U+1228F	𒊏	ẓi, zzi, RA, rah2
U+120C9	𒃉	DAN2, GA2×EN
U+120D9	𒃙	me7, GA2×KASKAL
U+120E9	𒃩	DAN3, GA2×TAK4
U+120F9	𒃹	
U+1200A	𒀊	AB, AP, EŠ3, IRI12, IS3, daban, hirin2, kakkala, kurušda
U+1201A	𒀚	LIBIŠ, ŠEM3, gir9, šem3, lipiš
U+1202A	𒀪	hu2, ha2, kaz8, hi2
U+1203A	𒀺	GE22, ge22
U+1204A	𒁊	
U+1205A	𒁚	hara4
U+1206A	𒁪	kisim2
U+1207A	𒁺	tan, DE6, DU, GIN, GUB, ĜEN, RA2, RE6, ŠA4, TUM2, gir7, ri6, kurx, lah6, ĝin, šà4, tù
U+1208A	𒂊	bre, EF, E, eg2, ég
U+1209A	𒂚	ensi3
U+120AA	𒂪	
U+120BA	𒂺	GA2×A+IGI
U+120CA	𒃊	GA2×EN×GAN2@t
U+120DA	𒃚	GA2×KID
U+120EA	𒃪	sad2, ula2, GA2×U
U+120FA	𒃺	ALAL4
U+1200B	𒀋	ABBA2, SI20
U+1201B	𒀛	
U+1202B	𒀫	AMAR, ZUR
U+1203B	𒀻	
U+1204B	𒁋	bappir3, lungax, BI×GAR, BIxGAR
U+1205B	𒁛	AKAN, UBUR, kisim7
U+1206B	𒁫	zibin
U+1207B	𒁻	LAḪ4, RE7, su8, sub2, sug2
U+1208B	𒂋	
U+1209B	𒂛	ADAMIN5
U+120AB	𒂫	
U+120BB	𒂻	GA2×AB2 tenû+TAB
U+120CB	𒃋	DAN4, GA2×GAN2@t
U+120DB	𒃛	GA2×KID+LAL
U+120EB	𒃫	erim4, karam, GA2×UD
U+120FB	𒃻	šá, GAR, ĜAR, NI3, NIG2, NIĜ2, NINDA, nindan, ša2, sar2, menari, níg, nij2, nig̃₂
U+1200C	𒀌	AGARIN, AĜARIN
U+1201C	𒀜	AD, AT, aṭ, ạt
U+1202C	𒀬	SISKUR
U+1203C	𒀼	EŠ16
U+1204C	𒁌	
U+1205C	𒁜	
U+1206C	𒁬	kiši9, kisim, zibin2
U+1207C	𒁼	GIR6, SUḪUŠ, išdumx
U+1208C	𒂌	
U+1209C	𒂜	ADAMINX
U+120AC	𒂬	ASILAX, UBARA, UN4, sil5, sud5, ul5, umbara
U+120BC	𒂼	dama, AMA, EME4, daĝal, dagal, GA2×AN, ummum
U+120CC	𒃌	EGARA, GALGA, ĝalga, GA2×GAR
U+120DC	𒃜	GA2×KU3+AN
U+120EC	𒃬	GA2×UD+DU
U+120FC	𒃼	GAR3, QAR, GÀR, ḳar
U+1200D	𒀍	ešgal, irigal, urigal
U+1201D	𒀝	aq, AG, AK, kid3, ša5, aḳ
U+1202D	𒀭	d, AM6, AN, DIĜIR, IL3, NAGGAX, ilu, DINGIR, ilum, ilim
U+1203D	𒀽	ŠUŠUR2, KAD8
U+1204D	𒁍	suř, sur, sir, BU, BUR12, DUR7, GID2, KIM3, PU, SIR2, SU13, SUD4, TUR8, gidim3, mudla, nun3, šašku, GÍD
U+1205D	𒁝	kiši7
U+1206D	𒁭	UTUA, udul6, utuwa
U+1207D	𒁽	du@s, GIR5, IM2, KAŠ4, RIM4, kaš4, kash4, kas4, GIR₅, gir5, kaku
U+1208D	𒂍	pit, É, bit, E2, bî, bîti, bîtam, bît, Ê, bītim
U+1209D	𒂝	
U+120AD	𒂭	
U+120BD	𒂽	iku2, GA2×AŠ
U+120CD	𒃍	gurdub, GA2×GI
U+120DD	𒃝	GA2×LA
U+120ED	𒃭	GA2/GA2
U+120FD	𒃽	GAŠAN, ugunu2
U+1200E	𒀎	AGARIN2, AĜARIN2, ŠEM5
U+1201E	𒀞	ME3, tahaz, tahas
U+1202E	𒀮	daban
U+1203E	𒀾	AS, AŠ2, as2, baneš, utu5, ás
U+1204E	𒁎	SIRSIR
U+1205E	𒁞	KIŠI8, kiši8
U+1206E	𒁮	DAM
U+1207E	𒁾	DUB, ZAMUG, dab4, dehi, tehi, kišib3, urud2, šen4, tup, dup, tub
U+1208E	𒂎	
U+1209E	𒂞	EREN, ERIN, ŠE22, ŠEŠ4
U+120AE	𒂮	
U+120BE	𒂾	GA2×AŠ2+GAL
U+120CE	𒃎	GA2×GI4
U+120DE	𒃞	MEN, era3, GA2×ME+EN
U+120EE	𒃮	qab, GAB, GABA, ru-gu2
U+120FE	𒃾	GEŠTIN, ĜEŠTIN, ĜESHTIN
U+1200F	𒀏	AGARINX, AĜARINX, NANŠE, NINA, SIRARA
U+1201F	𒀟	
U+1202F	𒀯	ANx3, MUL, suhub2, šun2, kakka, mulₓ
U+1203F	𒀿	AŠGAB, erib, šikangu
U+1204F	𒁏	
U+1205F	𒁟	UTUL5, udul5
U+1206F	𒁯	DAR, GUN3, TAR2, ṭár
U+1207F	𒁿	
U+1208F	𒂏	
U+1209F	𒂟	zab, EREM, EREN2, ERIM, ERIN2, ZALAG2, lah2, rin2, ṣab, zálag
U+120AF	𒂯	laban
U+120BF	𒂿	etutum, etutumx, sabad2, sad3, tilhar, GA2×BAD
U+120CF	𒃏	GA2×GI4+A
U+120DF	𒃟	ITIMA, gagig, GA2×MI
U+120EF	𒃯	
U+120FF	𒃿	
U+12100	𒄀	kù, qé, GE, GEN6, GI, GIN6, KE2, KI2, SIG17, ge4, unu10, esir4
U+12110	𒄐	GISAL, biz2
U+12120	𒄠	av, AM
U+12130	𒄰	KAM, gam2, tu7, utul2, ḳam
U+12140	𒅀	ya, ia, IA, i-a, ᵐia
U+12150	𒅐	AĜAR5, dalhamun6
U+12160	𒅠	
U+12170	𒅰	
U+12180	𒆀	mu13
U+12190	𒆐	KAD2
U+121A0	𒆠	QI, Qí, GI5, KE, KI, QI2, gagar, ge5, su-ub, ḳi
U+121B0	𒆰	ẓir, KUL, NUMUN, kulx, šabalbal, zêr, gul2
U+121C0	𒇀	GIGIR, gigir
U+121D0	𒇐	gukin
U+121E0	𒇠	
U+121F0	𒇰	
U+12101	𒄁	
U+12111	𒄑	iṣ, iss, ic, gis, GEŠ, GIŠ, ĜEŠ, ĜIŠ, IZ, is2, cis, ildagx, is4, UR₄, šita2, eṣ, ez, ÍS, ngiš, ngeš
U+12121	𒄡	BIŠEBA3
U+12131	𒄱	AR2
U+12141	𒅁	IP, IB, dara2, eb, ibbi, uraš, urta, ep
U+12151	𒅑	dalhamun4
U+12161	𒅡	ma5
U+12171	𒅱	
U+12181	𒆁	TUKUR2
U+12191	𒆑	KAD3
U+121A1	𒆡	habruda2
U+121B1	𒆱	
U+121C1	𒇁	
U+121D1	𒇑	DAGRIM, GARIM, ĜARIN, ĝarim
U+121E1	𒇡	ZAR, bul5, buru16, sur8, šerim2
U+121F1	𒇱	LAḪŠU
U+12102	𒄂	
U+12112	𒄒	kip, ADAMIN3, ALAL3, dara5, ul3, hul, hul3, kib, GIŠ%GIŠ, lirum3, ulul, šennur
U+12122	𒄢	sún, SUN2, GUL, SI23, sumun2, isim2, isimu2, kul2, ṣur
U+12132	𒄲	šargad
U+12142	𒅂	ARI2, IDIM, URI4, BANDA4, eše3, iri8, kir5
U+12152	𒅒	
U+12162	𒅢	SUB
U+12172	𒅲	KA×LI, ĝeli3, mu7, meli2, sug7, tu6, uš7, zug4
