status	glyphs	meaning	note	similar_in_my_dictionary
missing_attested	𓋴 𓎛 𓅨 𓂋 𓏲 𓌟 𓀁 𓏫	maledictions	sHwr (noun) [vygus]	𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 5704) ; 𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 15125)
missing_attested	𓋴 𓎛 𓏲 𓏥	catalogue	sHwy (noun) [vygus] ~approx	𓋴 𓎛 𓏲 𓅯 𓀁 = collect, asssemble (line 5709) ; 𓋴 𓎛 𓏲 𓅯 𓀁 = collect, asssemble (line 15180)
missing_attested	𓋴 𓎛 𓏲 𓏭 𓅯 𓏛	to summarize	sHwy (verb) [vygus]	𓋴 𓎛 𓏲 𓅯 𓀁 = collect, asssemble (line 5709) ; 𓋴 𓎛 𓏲 𓅯 𓀁 = collect, asssemble (line 15180)
missing_attested	𓊃 𓈙 𓍢	linen pad; (linen covered splint ?)	sS (noun) [vygus]	𓊃 𓈙 𓄿 𓏮 𓀁 = pray (line 11710) ; 𓊃 𓈙 𓄿 𓏮 𓀁 = pray (to) (line 11908)
missing_attested	𓊃 𓈙 𓍢 𓏴 𓀜	half open; leave ajar	sS (verb) [vygus]	𓊃 𓈙 𓄿 𓏮 𓀁 = pray (line 11710) ; 𓊃 𓈙 𓄿 𓏮 𓀁 = pray (to) (line 11908)
missing_attested	𓊃 𓈙 𓍼	linen pad; (linen covered splint ?)	sS (noun) [vygus]	𓊃 𓈙 𓄿 𓏮 𓀁 = pray (line 11710) ; 𓊃 𓈙 𓄿 𓏮 𓀁 = pray (to) (line 11908)
missing_attested	𓊃 𓈙 𓏲 𓏴 𓂻	to give fair passage	sS (verb) [vygus]	𓊃 𓈙 𓄿 𓏮 𓀁 = pray (line 11710) ; 𓊃 𓈙 𓄿 𓏮 𓀁 = pray (to) (line 11908)
missing_attested	𓊃 𓈙 𓏳 𓏥 𓏯	cakes	sS, sSrt (noun) [vygus]	𓊃 𓈙 𓄿 𓏮 𓀁 = pray (line 11710) ; 𓊃 𓈙 𓄿 𓏮 𓀁 = pray (to) (line 11908)
missing_attested	𓏞 𓏲 𓍼 𓏤	decorating	sS (noun) [vygus]	
missing_attested	𓏞 𓀀 𓎡	yours	sS .k (pron) [vygus]	𓏞 𓀀 = scribe (line 19694) ; 𓏞 𓀀 𓂧 𓈖 𓄔 𓏏 𓏜 = scribe of distribution (line 19695)
missing_attested	𓏟 𓏥 𓌾 𓏥	Accountant of grain	sS Hsb it (noun) [vygus] ~approx	
missing_attested	𓏞 𓊹 𓉗 𓏏 𓉐	Scribe of the Temple	sS Hwt nTr (noun) [vygus]	
missing_attested	𓏞 𓀁 𓈙 𓂝 𓍼 𓏏 𓏤	Letter Writer	sS Sat (noun) [vygus]	
missing_attested	𓏟 𓏲 𓍼 𓏥 𓈖 𓎛 𓂓 𓄿 𓏲 𓀁 𓏫	magical writing	sS n HkAw (noun) [vygus]	
missing_attested	𓇓 𓏞	Royal Scribe; King's Secretary; Minister	sS nsw (noun) [vygus]	
missing_attested	𓏞 𓏌 𓏏 𓏯 𓍱 𓏫	smooth yarn	sS nwt, naa nwt (noun) [vygus]	
