⦏	⦎ # LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
⦐	⦍ # RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
⦑	⦒ # LEFT ANGLE BRACKET WITH DOT
⦒	⦑ # RIGHT ANGLE BRACKET WITH DOT
⦓	⦔ # LEFT ARC LESS-THAN BRACKET
⦔	⦓ # RIGHT ARC GREATER-THAN BRACKET
⦕	⦖ # DOUBLE LEFT ARC GREATER-THAN BRACKET
⦖	⦕ # DOUBLE RIGHT ARC LESS-THAN BRACKET
⦗	⦘ # LEFT BLACK TORTOISE SHELL BRACKET
⦘	⦗ # RIGHT BLACK TORTOISE SHELL BRACKET
⦛	∡ # MEASURED ANGLE OPENING LEFT
⦠	∢ # SPHERICAL ANGLE OPENING LEFT
⦣	∠ # REVERSED ANGLE
⦤	⦥ # ANGLE WITH UNDERBAR
⦥	⦤ # REVERSED ANGLE WITH UNDERBAR
⦨	⦩ # MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND RIGHT
⦩	⦨ # MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND LEFT
⦪	⦫ # MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND RIGHT
⦫	⦪ # MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND LEFT
⦬	⦭ # MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND UP
⦭	⦬ # MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND UP
⦮	⦯ # MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND DOWN
⦯	⦮ # MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND DOWN
⦸	⊘ # CIRCLED REVERSE SOLIDUS
⧀	⧁ # CIRCLED LESS-THAN
⧁	⧀ # CIRCLED GREATER-THAN
⧄	⧅ # SQUARED RISING DIAGONAL SLASH
⧅	⧄ # SQUARED FALLING DIAGONAL SLASH
⧏	⧐ # LEFT TRIANGLE BESIDE VERTICAL BAR
⧐	⧏ # VERTICAL BAR BESIDE RIGHT TRIANGLE
⧑	⧒ # BOWTIE WITH LEFT HALF BLACK
⧒	⧑ # BOWTIE WITH RIGHT HALF BLACK
⧔	⧕ # TIMES WITH LEFT HALF BLACK
⧕	⧔ # TIMES WITH RIGHT HALF BLACK
⧘	⧙ # LEFT WIGGLY FENCE
⧙	⧘ # RIGHT WIGGLY FENCE
⧚	⧛ # LEFT DOUBLE WIGGLY FENCE
⧛	⧚ # RIGHT DOUBLE WIGGLY FENCE
⧨	⧩ # DOWN-POINTING TRIANGLE WITH LEFT HALF BLACK
⧩	⧨ # DOWN-POINTING TRIANGLE WITH RIGHT HALF BLACK
⧵	∕ # REVERSE SOLIDUS OPERATOR
⧸	⧹ # BIG SOLIDUS
⧹	⧸ # BIG REVERSE SOLIDUS
⧼	⧽ # LEFT-POINTING CURVED ANGLE BRACKET
⧽	⧼ # RIGHT-POINTING CURVED ANGLE BRACKET
⨫	⨬ # MINUS SIGN WITH FALLING DOTS
⨬	⨫ # MINUS SIGN WITH RISING DOTS
⨭	⨮ # PLUS SIGN IN LEFT HALF CIRCLE
⨮	⨭ # PLUS SIGN IN RIGHT HALF CIRCLE
⨴	⨵ # MULTIPLICATION SIGN IN LEFT HALF CIRCLE
⨵	⨴ # MULTIPLICATION SIGN IN RIGHT HALF CIRCLE
⨼	⨽ # INTERIOR PRODUCT
⨽	⨼ # RIGHTHAND INTERIOR PRODUCT
⩤	⩥ # Z NOTATION DOMAIN ANTIRESTRICTION
⩥	⩤ # Z NOTATION RANGE ANTIRESTRICTION
⩹	⩺ # LESS-THAN WITH CIRCLE INSIDE
⩺	⩹ # GREATER-THAN WITH CIRCLE INSIDE
⩻	⩼ # [BEST FIT] LESS-THAN WITH QUESTION MARK ABOVE
⩼	⩻ # [BEST FIT] GREATER-THAN WITH QUESTION MARK ABOVE
⩽	⩾ # LESS-THAN OR SLANTED EQUAL TO
⩾	⩽ # GREATER-THAN OR SLANTED EQUAL TO
⩿	⪀ # LESS-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
⪀	⩿ # GREATER-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
⪁	⪂ # LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
⪂	⪁ # GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
⪃	⪄ # LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE RIGHT
⪄	⪃ # GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE LEFT
⪅	⪆ # [BEST FIT] LESS-THAN OR APPROXIMATE
⪆	⪅ # [BEST FIT] GREATER-THAN OR APPROXIMATE
⪇	⪈ # [BEST FIT] LESS-THAN AND SINGLE-LINE NOT EQUAL TO
⪈	⪇ # [BEST FIT] GREATER-THAN AND SINGLE-LINE NOT EQUAL TO
⪉	⪊ # [BEST FIT] LESS-THAN AND NOT APPROXIMATE
⪊	⪉ # [BEST FIT] GREATER-THAN AND NOT APPROXIMATE
⪋	⪌ # LESS-THAN ABOVE DOUBLE-LINE EQUAL ABOVE GREATER-THAN
⪌	⪋ # GREATER-THAN ABOVE DOUBLE-LINE EQUAL ABOVE LESS-THAN
⪍	⪎ # [BEST FIT] LESS-THAN ABOVE SIMILAR OR EQUAL
⪎	⪍ # [BEST FIT] GREATER-THAN ABOVE SIMILAR OR EQUAL
⪏	⪐ # [BEST FIT] LESS-THAN ABOVE SIMILAR ABOVE GREATER-THAN
⪐	⪏ # [BEST FIT] GREATER-THAN ABOVE SIMILAR ABOVE LESS-THAN
⪑	⪒ # LESS-THAN ABOVE GREATER-THAN ABOVE DOUBLE-LINE EQUAL
⪒	⪑ # GREATER-THAN ABOVE LESS-THAN ABOVE DOUBLE-LINE EQUAL
⪓	⪔ # LESS-THAN ABOVE SLANTED EQUAL ABOVE GREATER-THAN ABOVE SLANTED EQUAL
⪔	⪓ # GREATER-THAN ABOVE SLANTED EQUAL ABOVE LESS-THAN ABOVE SLANTED EQUAL
