Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	
her		144627	5.1603	96.28	3.9073	Pronoun	143687	1.00	Pronoun.Noun	143687.9
want		140718	5.1484	99.01	3.9194	Verb	140488	1.00	Verb.Noun	140488.135
think		137261	5.1376	98.96	3.9192	Verb	136706	1.00	Verb.Noun	136706.489
good		133117	5.1242	99.14	3.9200	Adjective	131274	0.99	Adjective.Adverb.Name.Noun	131274.1424.147.61
see		130393	5.1153	99.26	3.9205	Verb	130089	1.00	Verb.Noun.Name	130089.144.8
let		123381	5.0913	99.03	3.9195	Verb	121604	1.00	Verb.Noun.Preposition.Name	121604.228.179.3
did		119410	5.0770	99.02	3.9194	Verb	199195	1.00	Verb.Noun	199195.18
why		114687	5.0595	98.94	3.9191	Adverb	114406	1.00	Adverb	114406
who		113370	5.0545	99.17	3.9201	Pronoun	111818	0.99	Pronoun.Name	111818.1019
will		108306	5.0347	96.91	3.9101	Verb	103247	0.95	Verb.Noun.Name	103247.2976.1985
from		103992	5.0170	99.02	3.9194	Preposition	102162	0.98	Preposition.Adverb.Noun.Name	102162.1692.5.1
when		103739	5.0159	99.09	3.9198	Conjunction	70435	0.68	Conjunction.Adverb.Noun	70435.33048.28
back		102467	5.0106	98.63	3.9177	Adverb	77642	0.76	Adverb.Noun.Verb.Adjective.Preposition.Name	77642.21861.2424.354.72.2
okay		102320	5.0100	75.37	3.8009	Adverb	82686	0.81	Adverb.Adjective.Name.Verb	82686.19363.22.19
gonna		101804	5.0078	83.70	3.8465	#N/A	#N/A	#N/A	#N/A	#N/A
d		101335	5.0058	97.02	3.9106	Letter	2181	0.86	Letter.Number.Name.Noun	2181.168.160.28
time		99890	4.9995	99.05	3.9195	Noun	98420	0.99	Noun.Verb.Adverb	98420.725.656
look		99311	4.9970	98.83	3.9186	Verb	89292	0.90	Verb.Noun.Name	89292.9750.5
take		96443	4.9843	98.94	3.9191	Verb	96012	1.00	Verb.Noun.Name	96012.343.3
an		95071	4.9781	98.77	3.9183	Article	94842	1.00	Article.Adverb.Noun	94842.140.20
