https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/tablemain.html

@font-face {
    font-family: 'Hieroglyphic';
    src: url('NewGardiner.ttf') format('truetype');
}
@font-face {
    font-family: 'HieroglyphicAux';
    src: url('HieroglyphicAux.ttf') format('truetype');
}
@font-face {
    font-family: 'HieroglyphicPlain';
    src: url('CaslonRoman.ttf') format('truetype');;
}
##
Sign list
The 1071 hieroglyphs from Unicode 5.2
Appearance and sources

The descriptions of the signs mostly follow Gardiner's publications. However, an attempt was made to achieve a greater consistency.

The sources include the following publications:

    J.P. Allen (2000), Middle Egyptian: An introduction to the language and culture of hieroglyphs. Cambridge: Cambridge University Press.
    A.M. Blackman and H.W. Fairman (1943), "The myth of Horus at Edfu -- II", in The Journal of Egyptian Archaeology 29, pp. 2-36.
    A.M. Calverley (1935), The temple of king Sethos I at Abydos. Volume II: The Chapels of Amen-Re, Re-Harakhti, Ptah, and King Sethos. Chicago: University of Chicago Press.
    S. Cauville (2001), Dendara: Le fonds hiéroglyphique au temps de Cléopâtre. Paris: Cybèle.
    A. Erman and H. Grapow (1961), Wörterbuch der ägyptischen Sprache. Berlin: Akademie-Verlag.
    H.W. Fairman (1943), "Notes on the alphabetic signs employed in the hieroglyphic inscriptions of the temple of Edfu", in Annales du Service des Antiquités de l'Égypte 43, pp. 191-318.
    R.O. Faulkner (1962), A concise dictionary of Middle Egyptian. Oxford: Griffith Institute, Ashmolean Museum.
    A.H. Gardiner (1957), Egyptian grammar: being an introduction to the study of hieroglyphs. 3rd edition. Oxford: Griffith Institute, Ashmolean Museum.
    A.H. Gardiner (1928), Catalogue of the Egyptian hieroglyphic printing type, from matrices owned and controlled by Dr. Alan H. Gardiner. Oxford: University Press.
    A.H. Gardiner (1929), "Additions to the new hieroglyphic fount (1928)", in The Journal of Egyptian Archaeology 15, p. 95. London: The Egypt Exploration Society.
    A.H. Gardiner (1931), "Additions to the new hieroglyphic fount (1931)", in The Journal of Egyptian Archaeology 17, pp. 245-247. London: The Egypt Exploration Society.
    A.H. Gardiner (1953), Supplement to the catalogue of the Egyptian hieroglyphic printing type, showing acquisitions to December 1953. Oxford: University Press.
    GITB, Griffith Insititute Topographical Bibliography
    R. Hannig (1995), Grosses Handwörterbuch Ägyptisch-Deutsch: die Sprache der Pharaonen (2800-950 v.Chr.). Mainz: Verlag Philipp von Zabern.
    G. Möller (1927a), Hieratische Paläographie. Erster Band: Bis zum Beginn der achtzehnten Dynastie. Neudruck der zweiten verbesserten Auflage. Osnabrück: Otto Zeller.
    G. Möller (1927b), Hieratische Paläographie. Zweiter Band: Von der Zeit Thutmosis’ III bis zum Ende der einundzwanzigsten Dynastie. Neudruck der zweiten verbesserten Auflage. Osnabrück: Otto Zeller.

Sign	Description	Source	Comments
  P1a	boat upside down	A.H. Gardiner (1957):498	
  P2	ship under sail	A.H. Gardiner (1957):499	
  P3	sacred barque	A.H. Gardiner (1957):499	
  P3a	sacred barque without steering oar	A.H. Gardiner (1928):34, J.P. Allen (2000):439 (see under P3)	
  P4	boat with net	A.H. Gardiner (1957):499	
  P5	sail	A.H. Gardiner (1957):499	
  P6	mast	A.H. Gardiner (1957):499	
  P7	combination of  P6 and  D36	A.H. Gardiner (1957):499	
  P8	oar	A.H. Gardiner (1957):499	
  P9	combination of  P8 and  I9	A.H. Gardiner (1957):499	
  P10	steering oar	A.H. Gardiner (1957):499	
  P11	mooring post	A.H. Gardiner (1957):499	
  Q1	seat	A.H. Gardiner (1957):500	
  Q2	portable seat	A.H. Gardiner (1957):500	
  Q3	stool	A.H. Gardiner (1957):500	
  Q4	head-rest	A.H. Gardiner (1957):500	
  Q5	chest	A.H. Gardiner (1957):500	
  Q6	coffin	A.H. Gardiner (1957):500	
  Q7	brazier	A.H. Gardiner (1957):500	
  R1	high table with offerings	A.H. Gardiner (1957):501	
  R2	table with slices of bread	A.H. Gardiner (1957):501	
  R2a	high table with offerings	A.H. Gardiner (1953):5	
  R3	low table with offerings	A.H. Gardiner (1957):501	
  R3a	low table	A.H. Gardiner (1953):5	
  R3b	low table with offerings (simplified)	A.H. Gardiner (1953):5	
  R4	loaf on mat	A.H. Gardiner (1957):501	
  R5	narrow censer	A.H. Gardiner (1957):501	
  R6	broad censer	A.H. Gardiner (1957):501	
  R7	bowl with smoke	A.H. Gardiner (1957):501	
  R8	cloth on pole	A.H. Gardiner (1957):502	
  R9	combination of  R8 and  V33	A.H. Gardiner (1957):502	
  R10	combination of  R8,  T28 and  N29	A.H. Gardiner (1957):502	
  R10a	combination of  R8 and  T28	A.H. Gardiner (1928):35, R.O. Faulkner (1962):204	
  R11	reed column	A.H. Gardiner (1957):502	
  R12	standard	A.H. Gardiner (1957):502	
  R13	falcon and feather on standard	A.H. Gardiner (1957):502	
  R14	feather on standard	A.H. Gardiner (1957):502	
  R15	spear emblem	A.H. Gardiner (1957):502	
  R16	sceptre with feathers and string	A.H. Gardiner (1957):502	
  R16a	sceptre with feathers	A.H. Gardiner (1931):246	
  R17	wig on pole	A.H. Gardiner (1957):503	
  R18	combination of  R17 and  N24	A.H. Gardiner (1957):503	
  R19	 S40 with feather	A.H. Gardiner (1957):503	
  R20	flower with horns	A.H. Gardiner (1957):503	
  R21	flower with horns	A.H. Gardiner (1957):503	
  R22	two narrow belemnites	A.H. Gardiner (1957):503	
  R23	two broad belemnites	A.H. Gardiner (1957):503	
  R24	two bows tied horizontally	A.H. Gardiner (1957):503	
  R25	two bows tied vertically	A.H. Gardiner (1957):503	
  R26	combination of  N17,  F36,  M24a and  M13	A.H. Gardiner (1931):246	
  R27	two arrows crossed over a shield	A.H. Gardiner (1953):5	
  R28	Bat	A.H. Gardiner (1953):5, R. Hannig (1995):239	
  R29	niche with serpent	A.H. Gardiner (1953):5, A. Erman and H. Grapow (1961):I:147	
  S1	white crown	A.H. Gardiner (1957):504	
  S2	combination of  S1 and  V30	A.H. Gardiner (1957):504	
  S2a	combination of  S1 and  O49	A.H. Gardiner (1953):5, A. Erman and H. Grapow (1961):IV:476	
  S3	red crown	A.H. Gardiner (1957):504	
  S4	combination of  S3 and  V30	A.H. Gardiner (1957):504	
  S5	double crown	A.H. Gardiner (1957):504	
  S6	combination of  S5 and  V30	A.H. Gardiner (1957):504	
  S6a	combination of  S3 and  O49	A.H. Gardiner (1953):5, A. Erman and H. Grapow (1961):II:124	
  S7	blue crown	A.H. Gardiner (1957):504	
  S8	ꜣtf-crown	A.H. Gardiner (1957):504	
  S9	two plumes	A.H. Gardiner (1957):504	
  S10	headband	A.H. Gardiner (1957):505	
  S11	broad collar	A.H. Gardiner (1957):505	
  S12	collar of beads	A.H. Gardiner (1957):505	
  S13	combination of  S12 and  D58	A.H. Gardiner (1957):505	
  S14	combination of  S12 and  T3	A.H. Gardiner (1957):505	
  S14a	combination of  S12 and  S40	A.H. Gardiner (1957):505	
  S14b	combination of  S12 and  S40	A.H. Gardiner (1953):5	
  S15	pectoral	A.H. Gardiner (1957):505	
  S16	pectoral	A.H. Gardiner (1957):505	
  S17	pectoral	A.H. Gardiner (1957):505	
  S17a	girdle	A.H. Gardiner (1957):506	
  S18	necklace with counterpoise	A.H. Gardiner (1957):505	
  S19	necklace with seal from side	A.H. Gardiner (1957):506	
  S20	necklace with seal from front	A.H. Gardiner (1957):506	
  S21	ring	A.H. Gardiner (1957):506	
  S22	shoulder-knot	A.H. Gardiner (1957):506	
  S23	knotted cloth	A.H. Gardiner (1957):506	
  S24	girdle knot	A.H. Gardiner (1957):506	
  S25	garment with ties	A.H. Gardiner (1957):506, A. Erman and H. Grapow (1961):I:159, A. Erman and H. Grapow (1961):I:422	
  S26	apron	A.H. Gardiner (1957):507	
  S26a	apron	A.H. Gardiner (1957):507 (under the name '(N18)')	
  S26b	apron	A.H. Gardiner (1957):507 (see under N18)	
  S27	cloth with two strands	A.H. Gardiner (1957):507	
  S28	cloth with fringe on top and  S29	A.H. Gardiner (1957):507	
  S29	folded cloth	A.H. Gardiner (1957):507	
  S30	combination of  S29 and  I9	A.H. Gardiner (1957):507	
  S31	combination of  S29 and  U1	A.H. Gardiner (1957):507	
  S32	cloth with fringe on the side	A.H. Gardiner (1957):507	
  S33	sandle	A.H. Gardiner (1957):507	
  S34	sandle-strap	A.H. Gardiner (1957):508	
  S35	sunshade	A.H. Gardiner (1957):508	
  S35a	sunshade	A.H. Gardiner (1928):36	
  S36	sunshade	A.H. Gardiner (1957):508	
  S37	fan	A.H. Gardiner (1957):508	
  S38	crook	A.H. Gardiner (1957):508	
  S39	shepherd's crook	A.H. Gardiner (1957):509	
  S40	sceptre	A.H. Gardiner (1957):509	
  S41	sceptre with spiral shaft	A.H. Gardiner (1957):509	
  S42	sceptre of authority	A.H. Gardiner (1957):509	
  S43	walking stick	A.H. Gardiner (1957):510	
  S44	walking stick with  S45	A.H. Gardiner (1957):510	
  S45	flagellum	A.H. Gardiner (1957):510	
  S46	covering for head and neck	A.H. Gardiner (1953):5, A.M. Calverley (1935):26, R.O. Faulkner (1962):42, H.W. Fairman (1943):241:272	
  T1	mace with flat head	A.H. Gardiner (1957):510	
  T2	mace with round head diagonally	A.H. Gardiner (1957):510	
  T3	mace with round head vertically	A.H. Gardiner (1957):510	
  T3a	combination of  T3 and  N26	A.H. Gardiner (1953):5, A. Erman and H. Grapow (1961):III:213	
  T4	mace with strap	A.H. Gardiner (1957):510	
  T5	combination of  T3 and  I10	A.H. Gardiner (1957):510	
  T6	combination of  T3 and two  I10	A.H. Gardiner (1957):510	
  T7	axe	A.H. Gardiner (1957):511	
  T7a	axe	A.H. Gardiner (1957):511	
  T8	dagger	A.H. Gardiner (1957):511	
  T8a	dagger	A.H. Gardiner (1957):511	
  T9	bow	A.H. Gardiner (1957):511	
  T9a	bow	A.H. Gardiner (1957):511	
  T10	composite bow	A.H. Gardiner (1957):511	
  T11	arrow	A.H. Gardiner (1957):512	
  T11a	two crossed arrows	GITB:802-065-700	
  T12	bow-string	A.H. Gardiner (1957):512	
  T13	joined pieces of wood	A.H. Gardiner (1957):512	
  T14	throw stick vertically	A.H. Gardiner (1957):513	
  T15	throw stick slanted	A.H. Gardiner (1957):513	
  T16	scimitar	A.H. Gardiner (1957):513	
  T16a	scimitar	A.H. Gardiner (1931):246	
  T17	chariot	A.H. Gardiner (1957):513	
  T18	crook with package attached	A.H. Gardiner (1957):513	
  T19	harpoon head	A.H. Gardiner (1957):514	
  T20	harpoon head	A.H. Gardiner (1957):514	
  T21	harpoon	A.H. Gardiner (1957):514	
  T22	arrowhead	A.H. Gardiner (1957):514	
  T23	arrowhead	A.H. Gardiner (1957):514	
  T24	fishing-net	A.H. Gardiner (1957):514	
  T25	floats	A.H. Gardiner (1957):514	
  T26	bird-trap	A.H. Gardiner (1957):515	
  T27	bird-trap	A.H. Gardiner (1957):515	
  T28	butcher's block	A.H. Gardiner (1957):515	
  T29	combination of  T30 and  T28	A.H. Gardiner (1957):515	
  T30	knife	A.H. Gardiner (1957):515	
  T31	knife-sharpener	A.H. Gardiner (1957):515	
  T32	combination of  T31 and  D54	A.H. Gardiner (1957):515	
  T32a	combination of  T31 and  S29	A.H. Gardiner (1953):5, R.O. Faulkner (1962):247	
  T33	knife-sharpener of butcher	A.H. Gardiner (1957):515	
  T33a	combination of  T33 and  S29	A.H. Gardiner (1953):5	
  T34	butcher's knife	A.H. Gardiner (1957):515	
  T35	butcher's knife	A.H. Gardiner (1957):515	
  T36	shield	A.H. Gardiner (1931):247	
  U1	sickle	A.H. Gardiner (1957):516	
  U2	sickle (low)	A.H. Gardiner (1957):516	
  U3	combination of  U1 and  D4	A.H. Gardiner (1957):516	
  U4	combination of  U1 and  Aa11	A.H. Gardiner (1957):516	
  U5	combination of  U2 and  Aa11	A.H. Gardiner (1957):516	
  U6	diagonal hoe	A.H. Gardiner (1957):516	
  U6a	vertical hoe	A.H. Gardiner (1953):5	
  U6b	 U6a reversed	A.H. Gardiner (1953):5	
  U7	horizontal hoe	A.H. Gardiner (1957):516	
  U8	hoe without connecting rope	A.H. Gardiner (1957):516	
  U9	grain-measure with grain	A.H. Gardiner (1957):516	
  U10	 U9 beneath  M33	A.H. Gardiner (1957):517	
  U11	combination of  S38 and  U9	A.H. Gardiner (1957):517	
  U12	combination of  D50 and  U9	A.H. Gardiner (1957):517	
  U13	plough	A.H. Gardiner (1957):517	
  U14	two joined branches	A.H. Gardiner (1957):517	
  U15	sledge	A.H. Gardiner (1957):517	
  U16	sledge with head of jackal	A.H. Gardiner (1957):517	
  U17	pick in ground	A.H. Gardiner (1957):517	
  U18	pick in basin	A.H. Gardiner (1957):518	
  U19	adze	A.H. Gardiner (1957):518	
  U20	adze	A.H. Gardiner (1957):518	
  U21	adze on wood	A.H. Gardiner (1957):518	
  U22	chisel	A.H. Gardiner (1957):518	
  U23	chisel	A.H. Gardiner (1957):518	
  U23a	chisel	A.H. Gardiner (1931):247	
  U24	drill for stone	A.H. Gardiner (1957):518	
  U25	drill for stone	A.H. Gardiner (1957):519	
  U26	drill for beads	A.H. Gardiner (1957):519	
  U27	drill for beads	A.H. Gardiner (1957):519	
  U28	fire-drill	A.H. Gardiner (1957):519	
  U29	fire-drill	A.H. Gardiner (1957):519	
  U29a	fire-drill with string	A.H. Gardiner (1953):5, A. Erman and H. Grapow (1961):V:517	
  U30	kiln	A.H. Gardiner (1957):519	
  U31	baker's rake	A.H. Gardiner (1957):519	
  U32	pestle and mortar	A.H. Gardiner (1957):520	
  U32a	hieratic pestle and mortar	A.H. Gardiner (1931):247	
  U33	pestle	A.H. Gardiner (1957):520	
  U34	spindle	A.H. Gardiner (1957):520	
  U35	combination of  U34 and  I9	A.H. Gardiner (1957):520	
  U36	club	A.H. Gardiner (1957):520	
  U37	razor	A.H. Gardiner (1957):520	
  U38	balance	A.H. Gardiner (1957):521	
  U39	post of balance	A.H. Gardiner (1957):521	
  U40	hieratic post of balance	A.H. Gardiner (1957):521	
  U41	plummet	A.H. Gardiner (1957):521	
  U42	pitchfork	A.H. Gardiner (1957):517 (under the name '(O30)')	
  V1	coil of rope	A.H. Gardiner (1957):521	
  V1a	 ...	A.H. Gardiner (1957):199	
  V1b	 ...	A.H. Gardiner (1957):194	
  V1c	 ...	G. Möller (1927b):635	
  V1d	 ...	A.H. Gardiner (1957):201	
  V1e	 ...	A.H. Gardiner (1957):192	
  V1f	 ...	A.H. Gardiner (1957):200	
  V1g	 ...	G. Möller (1927b):639	
  V1h	 ...	A.H. Gardiner (1957):191	
  V1i	 ...	G. Möller (1927a):636	
  V2	combination of  O34 and  V1	A.H. Gardiner (1957):521	
  V2a	hieratic form of  V2	A.H. Gardiner (1931):247	
  V3	combination of  O34 and three  V1	A.H. Gardiner (1957):522	
  V4	lasso	A.H. Gardiner (1957):522	
  V5	looped rope	A.H. Gardiner (1957):522	
  V6	cord with ends upward	A.H. Gardiner (1957):522	
  V7	cord with ends downward	A.H. Gardiner (1957):522	
  V7a	cord with ends downward	A.H. Gardiner (1953):6	
  V7b	hieratic cord with ends downward	A.H. Gardiner (1929):95 (under the name Ff2), G. Möller (1927b):521	
  V8	cord downward	A.H. Gardiner (1957):522	
  V9	round cartouche	A.H. Gardiner (1957):522	
  V10	oval cartouche	A.H. Gardiner (1957):522	
  V11	end of cartouche	A.H. Gardiner (1957):523	
  V11a	opening of cartouche	A.H. Gardiner (1928):39, G. Möller (1927b):532	
  V11b	closing of cartouche	A.H. Gardiner (1928):39, G. Möller (1927b):532	
  V11c	closing of knotless cartouche	G. Möller (1927b):532	
  V12	string	A.H. Gardiner (1957):523	
  V12a	string	A.H. Gardiner (1953):6, A. Erman and H. Grapow (1961):I:213	
  V12b	string	A.H. Gardiner (1953):6	
  V13	rope	A.H. Gardiner (1957):523	
  V14	rope with tick	A.H. Gardiner (1957):523	
  V15	combination of  V13 and  D54	A.H. Gardiner (1957):523	
  V16	looped cord	A.H. Gardiner (1957):523	
  V17	shelter of papyrus	A.H. Gardiner (1957):523	
  V18	shelter of papyrus	A.H. Gardiner (1957):523	
  V19	hobble with cross-bar	A.H. Gardiner (1957):524	
  V20	hobble	A.H. Gardiner (1957):524	
  V20a	 ...	A.H. Gardiner (1957):192	
  V20b	 ...	A.H. Gardiner (1957):201	
  V20c	 ...	A.H. Gardiner (1957):198	
  V20d	 ...	A.H. Gardiner (1957):197	
  V20e	 ...	A.H. Gardiner (1957):194	
  V20f	 ...	A.H. Gardiner (1957):192	
  V20g	 ...	A.H. Gardiner (1957):196	
  V20h	 ...	G. Möller (1927b):631	
  V20i	 ...	A.H. Gardiner (1957):191	
  V20j	 ...	A.H. Gardiner (1957):194	
  V20k	 ...	G. Möller (1927b):626	
  V20l	 ...	A.H. Gardiner (1957):191	
  V21	combination of  V20 and  I10	A.H. Gardiner (1957):524	
  V22	whip	A.H. Gardiner (1957):524	
  V23	whip	A.H. Gardiner (1957):524	
  V23a	whip	A.H. Gardiner (1931):247	
  V24	cord on stick	A.H. Gardiner (1957):524	
  V25	cord on stick with tick	A.H. Gardiner (1957):524	
  V26	netting needle	A.H. Gardiner (1957):525	
  V27	netting needle	A.H. Gardiner (1957):525	
  V28	wick	A.H. Gardiner (1957):525	
  V28a	combination of  V28 and  D36	A.H. Gardiner (1953):6, A. Erman and H. Grapow (1961):III:37	
  V29	swab	A.H. Gardiner (1957):525	
  V29a	combination of  V29 and  V31	A.H. Gardiner (1931):247, A. Erman and H. Grapow (1961):IV:314-315	
  V30	basket	A.H. Gardiner (1957):525	
  V30a	basket (low)	A.H. Gardiner (1928):39	
  V31	basket with right handle	A.H. Gardiner (1957):525	
  V31a	basket with left handle	A.H. Gardiner (1957):525	
  V32	frail	A.H. Gardiner (1957):526	
  V33	bag	A.H. Gardiner (1957):526	
  V33a	bundle	GITB:804-010-299	
  V34	bag	A.H. Gardiner (1957):527	
  V35	bag	A.H. Gardiner (1957):527	
  V36	receptacle	A.H. Gardiner (1957):527	
  V37	bandage	A.H. Gardiner (1957):527	
  V37a	bandage	A.H. Gardiner (1953):6, A. Erman and H. Grapow (1961):I:154	
  V38	bandage	A.H. Gardiner (1957):527	
  V39	knot-amulet	A.H. Gardiner (1957):508, A.H. Gardiner (1931):247	
  V40	hobble on its side	A.H. Gardiner (1957):191	
  V40a	two hobbles on their side	A.H. Gardiner (1957):201	
  W1	oil jar with ties	A.H. Gardiner (1957):527	
  W2	oil jar	A.H. Gardiner (1957):527	
  W3	alabaster basin	A.H. Gardiner (1957):527	
  W3a	alabaster basin (low)	A.H. Gardiner (1928):40	
  W4	combination of  O22 and  W3	A.H. Gardiner (1957):528	
  W5	combination of  T28 and  W3	A.H. Gardiner (1957):528	
  W6	metal vessel	A.H. Gardiner (1957):528	
  W7	granite bowl	A.H. Gardiner (1957):528	
  W8	deformed granite bowl	A.H. Gardiner (1957):528	
  W9	jug with left handle	A.H. Gardiner (1957):528	
  W9a	jug with right handle	A.H. Gardiner (1953):6	
  W10	cup	A.H. Gardiner (1957):528	
  W10a	pot with tick	A.H. Gardiner (1957):528	
  W11	round ring stand	A.H. Gardiner (1957):529	
  W12	square ring stand	A.H. Gardiner (1957):529	
  W13	earthenware pot	A.H. Gardiner (1957):529	
  W14	water jar	A.H. Gardiner (1957):529	
  W14a	combination of  V28,  W14 and  O34 	A.H. Gardiner (1928):40, A.H. Gardiner (1957):529 (see under W14)	
  W15	water jar with water	A.H. Gardiner (1957):529	
  W16	water jar with water in ring stand	A.H. Gardiner (1957):529	
  W17	three water jars in rack	A.H. Gardiner (1957):529	
  W17a	three water jars in rack (simplified)	A.H. Gardiner (1953):6 (under the name W18*)	
  W18	four water jars in rack	A.H. Gardiner (1957):529	
  W18a	four water jars in rack (simplified)		
  W19	milk jug in net	A.H. Gardiner (1957):529	
  W20	milk jug with leaf	A.H. Gardiner (1957):530	
  W21	twin wine jars	A.H. Gardiner (1957):530	
  W22	beer jug	A.H. Gardiner (1957):530	
  W23	jar with handles	A.H. Gardiner (1957):530	
  W24	bowl	A.H. Gardiner (1957):530-531	
  W24a	three bowls	A.H. Gardiner (1928):40, A.H. Gardiner (1957):530 (see under W24)	
  W25	combination of  W24 and  D54	A.H. Gardiner (1957):531	
  X1	flat loaf	A.H. Gardiner (1957):531	
  X2	tall loaf	A.H. Gardiner (1957):531	
  X3	tall loaf	A.H. Gardiner (1957):532	
  X4	roll of bread	A.H. Gardiner (1957):532	
  X4a	roll of bread	A.H. Gardiner (1928):41	
  X4b	roll of bread	A.H. Gardiner (1957):532 (under the name '(N18)')	
  X5	hieratic roll of bread	A.H. Gardiner (1957):532	
  X6	round loaf	A.H. Gardiner (1957):532	
  X6a	round loaf	A.H. Gardiner (1928):41	
  X7	half-loaf	A.H. Gardiner (1957):532	
  X8	conical loaf	A.H. Gardiner (1957):533	
  X8a	hieratic conical loaf	A.H. Gardiner (1957):533 (see under X8)	
  Y1	scroll with ties	A.H. Gardiner (1957):533	
  Y1a	vertical scroll with ties	A.H. Gardiner (1928):41, A.H. Gardiner (1957):533 (see under Y1)	
  Y2	scroll	A.H. Gardiner (1957):533	
  Y3	scribe's outfit with palette on left	A.H. Gardiner (1957):534	
  Y4	scribe's outfit with palette on right	A.H. Gardiner (1957):534	
  Y5	game board	A.H. Gardiner (1957):534	
  Y6	game piece	A.H. Gardiner (1957):534	
  Y7	harp	A.H. Gardiner (1957):534	
  Y8	sistrum	A.H. Gardiner (1957):534	
  Z1	stroke	A.H. Gardiner (1957):534-535	
  Z2	three  Z1 horizontally	A.H. Gardiner (1957):535-536	
  Z2a	three  Z1 horizontally	A.H. Gardiner (1957):536 (see under Z2)	
  Z2b	three  D67 horizontally	A.H. Gardiner (1957):535 (see under Z2)	
  Z2c	three  Z1 in triangular arrangement	A.H. Gardiner (1957):535 (see under Z2)	
  Z2d	three  Z1 in triangular arrangement		
  Z3	three  Z1 vertically	A.H. Gardiner (1957):536	
  Z3a	three lying  Z1 vertically	A.H. Gardiner (1928):42, A.H. Gardiner (1957):536 (see under Z3)	
  Z3b	three  D67 vertically	A.H. Gardiner (1957):535 (see under Z2)	
  Z4	two diagonal strokes	A.H. Gardiner (1957):536-537	
  Z4a	two  Z1 horizontally	A.H. Gardiner (1957):536 (see under Z4)	
  Z5	curved diagonal stroke	A.H. Gardiner (1957):537	
  Z5a	diagonal stroke	A.H. Gardiner (1928):42, A.H. Gardiner (1957):537 (see under Z5)	
  Z6	hieratic substitute for  A13 or  A14	A.H. Gardiner (1957):537	
  Z7	hieratic quail chick	A.H. Gardiner (1957):537	
  Z8	oval	A.H. Gardiner (1957):538	
  Z9	diagonal cross	A.H. Gardiner (1957):538	
  Z10	wide diagonal cross	A.H. Gardiner (1957):539	
  Z11	cross	A.H. Gardiner (1957):539	
  Z12	hieratic striking man	A.H. Gardiner (1929):95, R.O. Faulkner (1962):165	
  Z13	circle	A.H. Gardiner (1957):538 (under the name '(N33)'), A.H. Gardiner (1953):6	
  Z14	indeterminable hieratic tick	A.H. Gardiner (1929):95 (under the name Ff1)	
  Z15	long vertical stroke	A.H. Gardiner (1957):192	
  Z15a	 ...	A.H. Gardiner (1957):192	
  Z15b	 ...	A.H. Gardiner (1928):42, A.H. Gardiner (1957):193	
  Z15c	 ...	A.H. Gardiner (1957):191	
  Z15d	 ...	A.H. Gardiner (1957):192	
  Z15e	 ...	A.H. Gardiner (1957):193	
  Z15f	 ...	A.H. Gardiner (1957):191	
  Z15g	 ...	A.H. Gardiner (1957):191	
  Z15h	 ...	G. Möller (1927b):622	
  Z15i	 ...	A.H. Gardiner (1957):191	
  Z16	long horizontal stroke	A.H. Gardiner (1957):191	
  Z16a	 ...	A.H. Gardiner (1957):191	
  Z16b	 ...	A.H. Gardiner (1957):191	
  Z16c	 ...	A.H. Gardiner (1957):191	
  Z16d	 ...	G. Möller (1927b):660	
  Z16e	 ...	G. Möller (1927b):661	
  Z16f	 ...	G. Möller (1927b):662	
  Z16g	 ...	A.H. Gardiner (1957):191	
  Z16h	 ...	G. Möller (1927b):664	
  Aa1	basket from above	A.H. Gardiner (1957):539	
  Aa2	pustule	A.H. Gardiner (1957):539	
  Aa3	pustule with liquid	A.H. Gardiner (1957):540	
  Aa4	pot with two ticks	A.H. Gardiner (1957):528	
  Aa5	navigation instrument	A.H. Gardiner (1957):540	
  Aa6	instrument	A.H. Gardiner (1957):540	
  Aa7	instrument	A.H. Gardiner (1957):540	
  Aa7a	 Aa7 reversed	A.H. Gardiner (1928):43, A.H. Gardiner (1957):540 (see under Aa7)	
  Aa7b	later equivalent of  Aa7	A.H. Gardiner (1931):247	
  Aa8	irrigation canal	A.H. Gardiner (1957):540-541	
  Aa9	instrument	A.H. Gardiner (1957):541	
  Aa10	unknown	A.H. Gardiner (1957):541	
  Aa11	platform	A.H. Gardiner (1957):541	
  Aa12	platform	A.H. Gardiner (1957):541	
  Aa13	sharp half	A.H. Gardiner (1957):542	
  Aa14	bent half	A.H. Gardiner (1957):542	
  Aa15	blunt half	A.H. Gardiner (1957):542	
  Aa16	short half	A.H. Gardiner (1957):542	
  Aa17	lid	A.H. Gardiner (1957):542	
  Aa18	square lid	A.H. Gardiner (1957):542	
  Aa19	instrument	A.H. Gardiner (1957):542	
  Aa20	bag	A.H. Gardiner (1957):542	
  Aa21	instrument	A.H. Gardiner (1957):542	
  Aa22	combination of  Aa21 and  D36	A.H. Gardiner (1957):543	
  Aa23	high warp between stakes	A.H. Gardiner (1957):520	
  Aa24	low warp between stakes	A.H. Gardiner (1957):520	
  Aa25	unknown	A.H. Gardiner (1957):543	
  Aa26	unknown	A.H. Gardiner (1957):543	
  Aa27	spindle	A.H. Gardiner (1957):543	
  Aa28	level	A.H. Gardiner (1957):543	
  Aa29	instrument	A.H. Gardiner (1957):543	
  Aa30	frieze	A.H. Gardiner (1957):543	
  Aa31	frieze	A.H. Gardiner (1957):543	
  Aa32	archaic bow	A.H. Gardiner (1957):512	

Last update: 2016-09-20T02:35:20+01:00
