https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/tablemain.html

@font-face {
    font-family: 'Hieroglyphic';
    src: url('NewGardiner.ttf') format('truetype');
}
@font-face {
    font-family: 'HieroglyphicAux';
    src: url('HieroglyphicAux.ttf') format('truetype');
}
@font-face {
    font-family: 'HieroglyphicPlain';
    src: url('CaslonRoman.ttf') format('truetype');;
}
##
Sign list
The 1071 hieroglyphs from Unicode 5.2
Appearance and sources

The descriptions of the signs mostly follow Gardiner's publications. However, an attempt was made to achieve a greater consistency.

The sources include the following publications:

    J.P. Allen (2000), Middle Egyptian: An introduction to the language and culture of hieroglyphs. Cambridge: Cambridge University Press.
    A.M. Blackman and H.W. Fairman (1943), "The myth of Horus at Edfu -- II", in The Journal of Egyptian Archaeology 29, pp. 2-36.
    A.M. Calverley (1935), The temple of king Sethos I at Abydos. Volume II: The Chapels of Amen-Re, Re-Harakhti, Ptah, and King Sethos. Chicago: University of Chicago Press.
    S. Cauville (2001), Dendara: Le fonds hiéroglyphique au temps de Cléopâtre. Paris: Cybèle.
    A. Erman and H. Grapow (1961), Wörterbuch der ägyptischen Sprache. Berlin: Akademie-Verlag.
    H.W. Fairman (1943), "Notes on the alphabetic signs employed in the hieroglyphic inscriptions of the temple of Edfu", in Annales du Service des Antiquités de l'Égypte 43, pp. 191-318.
    R.O. Faulkner (1962), A concise dictionary of Middle Egyptian. Oxford: Griffith Institute, Ashmolean Museum.
    A.H. Gardiner (1957), Egyptian grammar: being an introduction to the study of hieroglyphs. 3rd edition. Oxford: Griffith Institute, Ashmolean Museum.
    A.H. Gardiner (1928), Catalogue of the Egyptian hieroglyphic printing type, from matrices owned and controlled by Dr. Alan H. Gardiner. Oxford: University Press.
    A.H. Gardiner (1929), "Additions to the new hieroglyphic fount (1928)", in The Journal of Egyptian Archaeology 15, p. 95. London: The Egypt Exploration Society.
    A.H. Gardiner (1931), "Additions to the new hieroglyphic fount (1931)", in The Journal of Egyptian Archaeology 17, pp. 245-247. London: The Egypt Exploration Society.
    A.H. Gardiner (1953), Supplement to the catalogue of the Egyptian hieroglyphic printing type, showing acquisitions to December 1953. Oxford: University Press.
    GITB, Griffith Insititute Topographical Bibliography
    R. Hannig (1995), Grosses Handwörterbuch Ägyptisch-Deutsch: die Sprache der Pharaonen (2800-950 v.Chr.). Mainz: Verlag Philipp von Zabern.
    G. Möller (1927a), Hieratische Paläographie. Erster Band: Bis zum Beginn der achtzehnten Dynastie. Neudruck der zweiten verbesserten Auflage. Osnabrück: Otto Zeller.
    G. Möller (1927b), Hieratische Paläographie. Zweiter Band: Von der Zeit Thutmosis’ III bis zum Ende der einundzwanzigsten Dynastie. Neudruck der zweiten verbesserten Auflage. Osnabrück: Otto Zeller.

Sign	Description	Source	Comments
  C4	god with head of ram	A.H. Gardiner (1957):448	
  C5	god with head of ram holding  S34	A.H. Gardiner (1957):449	
  C6	god with head of jackal	A.H. Gardiner (1957):449	
  C7	god with head of Seth-animal	A.H. Gardiner (1957):449	
  C8	ithyphallic god with  S9, uplifted arm and  S45	A.H. Gardiner (1957):449	
  C9	goddess with sun and horns	A.H. Gardiner (1957):449	
  C10	goddess with feather on head	A.H. Gardiner (1957):449	
  C10a	goddess with feather on head holding  S34	A.H. Gardiner (1928):19, J.P. Allen (2000):426	
  C11	god with arms supporting (the sky) and  M4 on head	A.H. Gardiner (1957):449	
  C12	god with  S9 and  S40	A.H. Gardiner (1957):449, A.H. Gardiner (1931):245	
  C13	 C12 reversed	A.H. Gardiner (1931):245	
  C14	god with  S9 and  T16a	A.H. Gardiner (1931):245	
  C15	 C14 reversed	A.H. Gardiner (1931):245	
  C16	god wearing  S3 with  S34	A.H. Gardiner (1931):245	
  C17	god with head of falcon and  S9	A.H. Gardiner (1957):449, A.H. Gardiner (1931):245	
  C18	squatting god	A.H. Gardiner (1957):449, A.H. Gardiner (1931):246	
  C19	mummy-shaped god	A.H. Gardiner (1957):449, A.H. Gardiner (1931):246	
  C20	mummy-shaped god in shrine	A.H. Gardiner (1957):449, A.H. Gardiner (1931):246	
  C21	Bes	GITB:801-751-278	
  C22	god with head of falcon and moon disk	GITB:801-727-370	
  C23	goddess with head of feline and  N6	GITB:802-096-740	
  C24	god wearing  S3 with  S40	GITB:801-753-130, GITB:802-065-930	
  D1	head in profile	A.H. Gardiner (1957):449-450	
  D2	face	A.H. Gardiner (1957):450	
  D3	hair	A.H. Gardiner (1957):450	
  D4	eye	A.H. Gardiner (1957):450	
  D5	eye touched up with paint	A.H. Gardiner (1957):450	
  D6	eye with painted upper lid	A.H. Gardiner (1957):450	
  D7	eye with painted lower lid	A.H. Gardiner (1957):451	
  D8	eye enclosed in  N18	A.H. Gardiner (1957):451	
  D8a	eye with painted lower lid enclosed in  N18	A.H. Gardiner (1928):20	
  D9	eye with flowing tears	A.H. Gardiner (1957):451	
  D10	wḏꜣt-eye	A.H. Gardiner (1957):451	
  D11	left part of white of  D10	A.H. Gardiner (1957):451	
  D12	pupil of eye	A.H. Gardiner (1957):451	
  D13	eye-brow	A.H. Gardiner (1957):451	
  D14	right part of white of  D10	A.H. Gardiner (1957):451	
  D15	diagonal marking of  D10	A.H. Gardiner (1957):451	
  D16	vertical marking of  D10	A.H. Gardiner (1957):452	
  D17	combination of  D16 and  D15	A.H. Gardiner (1957):452	
  D18	ear	A.H. Gardiner (1957):452	
  D19	nose, eye and cheek	A.H. Gardiner (1957):452	
  D20	nose, eye and cheek in semi-cursive form	A.H. Gardiner (1957):452	
  D21	mouth	A.H. Gardiner (1957):452	
  D22	mouth with two strokes	A.H. Gardiner (1957):452	
  D23	mouth with three strokes	A.H. Gardiner (1957):452	
  D24	upper lip with teeth	A.H. Gardiner (1957):453	
  D25	lips with teeth	A.H. Gardiner (1957):453	
  D26	liquid issuing from lips	A.H. Gardiner (1957):453	
  D27	small breast	A.H. Gardiner (1957):453	
  D27a	large breast	A.H. Gardiner (1957):453	
  D28	arms in kꜣ-posture	A.H. Gardiner (1957):453	
  D29	combination of  D28 and  R12	A.H. Gardiner (1957):453	
  D30	 D28 with tail	A.H. Gardiner (1957):453	
  D31	combination of  D32 and  U36	A.H. Gardiner (1957):453	
  D31a	combination of  D28 and  U36	A.H. Gardiner (1953):3, R.O. Faulkner (1962):169	
  D32	arms embracing	A.H. Gardiner (1957):453	
  D33	arms rowing	A.H. Gardiner (1957):453	
  D34	arms holding shield and battle-axe	A.H. Gardiner (1957):453	
  D34a	arms holding shield and mace	A.H. Gardiner (1957):453	
  D35	arms in gesture of negation	A.H. Gardiner (1957):454	
  D36	forearm	A.H. Gardiner (1957):454	
  D37	forearm with  X8	A.H. Gardiner (1957):454	
  D38	forearm with rounded loaf	A.H. Gardiner (1957):454	
  D39	forearm with  W24	A.H. Gardiner (1957):454	
  D40	forearm with stick	A.H. Gardiner (1957):455	
  D41	forearm with palm down and bent upper arm	A.H. Gardiner (1957):455	
  D42	forearm with palm down and straight upper arm	A.H. Gardiner (1957):455	
  D43	forearm with  S45	A.H. Gardiner (1957):455	
  D44	forearm with  S42	A.H. Gardiner (1957):455	
  D45	arm with nḥbt-wand	A.H. Gardiner (1957):455	
  D46	hand	A.H. Gardiner (1957):455	
  D46a	liquid falling from hand	A.H. Gardiner (1957):455	
  D47	hand with palm up	A.H. Gardiner (1957):455	
  D48	hand without thumb	A.H. Gardiner (1957):456	
  D48a	hand holding an egg	A.H. Gardiner (1953):3, A. Erman and H. Grapow (1961):III:104-105	
  D49	fist	A.H. Gardiner (1957):456	
  D50	finger vertically	A.H. Gardiner (1957):456	
  D50a	 ...	A.H. Gardiner (1957):199	
  D50b	 ...	G. Möller (1927b):652	
  D50c	 ...	G. Möller (1927b):653	
  D50d	 ...		
  D50e	 ...	G. Möller (1927b):653C	
  D50f	 ...	G. Möller (1927b):653D	
  D50g	 ...	G. Möller (1927b):653E	
  D50h	 ...	G. Möller (1927b):653F	
  D50i	 ...	A.H. Gardiner (1957):191	
  D51	finger horizontally	A.H. Gardiner (1957):456	
  D52	phallus	A.H. Gardiner (1957):456	
  D52a	combination of  D52 and  S29	A.H. Gardiner (1931):246	
  D53	liquid issuing from phallus	A.H. Gardiner (1957):456	
  D54	legs walking	A.H. Gardiner (1957):457	
  D54a	hieratic legs walking	A.H. Gardiner (1929):95 (under the name Ff3), G. Möller (1927b):120	
  D55	legs walking backwards	A.H. Gardiner (1957):457	
  D56	leg	A.H. Gardiner (1957):457	
  D57	combination of  D56 and  T30	A.H. Gardiner (1957):457	
  D58	foot	A.H. Gardiner (1957):457	
  D59	combination of  D58 and  D36	A.H. Gardiner (1957):458	

On the right in A.H. Gardiner (1957):458, the arm is above, but on the left it is behind the leg. Unicode assumes the latter.
  D60	 D58 under vase from which water flows	A.H. Gardiner (1957):458	
  D61	three toes oriented leftward	A.H. Gardiner (1957):458	
  D62	three toes oriented rightward	A.H. Gardiner (1957):458	
  D63	two toes oriented leftward	A.H. Gardiner (1957):458	
  D64	hand with palm down	A.H. Gardiner (1953):3	
  D65	lock of hair	A.H. Gardiner (1953):3, A. Erman and H. Grapow (1961):III:120, A. Erman and H. Grapow (1961):IV:526-527	
  D66	arm with reed pen	A.H. Gardiner (1953):3, A. Erman and H. Grapow (1961):I:389, A. Erman and H. Grapow (1961):IV:106	
  D67	dot	A.H. Gardiner (1957):199	
  D67a	 ...	A.H. Gardiner (1957):199	
  D67b	 ...	A.H. Gardiner (1957):199	
  D67c	 ...		
  D67d	 ...	G. Möller (1927a):699	
  D67e	 ...	A.H. Gardiner (1957):193	
  D67f	 ...	A.H. Gardiner (1957):198	
  D67g	 ...	A.H. Gardiner (1957):198	
  D67h	 ...		
  E1	bull	A.H. Gardiner (1957):458	
  E2	bull charging	A.H. Gardiner (1957):458	
  E3	calf	A.H. Gardiner (1957):458	
  E4	sacred ḥsꜣt-cow	A.H. Gardiner (1957):458	
