3169	扳	ban1/pan1	pullen	to pull or draw (up or out)/climb up/pull	bān:扳:⿰扌反 shǒu fǎn							
810	版	ban3	BAND B2	an edition/version/page/a register/a block of printing/	bǎn:版:⿰片反 piān fǎn							
930	板	ban3	PLANE? 票 <> 片 pan  板 ban3 plank bank	board/plank/plate/slab/boss	bǎn:板:⿰木反 mù fǎn							
3595	阪	ban3	B+PAN 阪	a slope/hillside	bǎn:阪:⿰阜|⻖反 fù fù fǎn							
4000	坂	ban3	a’ban: : Abhang		bǎn:坂:⿰土反 tǔ fǎn							
367	办	ban4	办 BE boss BAR 巴	to do/to manage/to handle/to go about/to run/to set up/to deal with	bàn:办:⿻力八 lì bā							
513	半	ban4	BIN2	half/semi-/incomplete/(after a number) and a half/half	bàn:半:⿱丷⿻二丨 bā èr shù gǔn 							
1298	伴	ban4	BANDE BIND	a partner/companion or associate/to accompany/comrade	bàn:伴:⿰亻半 rén bàn							
1974	扮	ban4	b2 band ~-	to disguise oneself/to dress up/adorn	bàn:扮:⿰扌分 shǒu fēn							
2915	瓣	ban4		petal/section	bàn:瓣:⿲辛瓜辛 xīn guā xīn							
3183	绊	ban4	ban	hinder/to trip/stumble	bàn:绊:⿰纟半 mì bàn							
3570	拌	ban4	B2 com.bind	to mix/mix in/to toss (a salad)	bàn:拌:⿰扌半 shǒu bàn							
769	帮	bang1	B2 BANDE	to assist/to support/to help/group/gang/party	bāng:帮:⿱邦巾 bāng jīn							
1363	邦	bang1	BUND	a state/country or nation	bāng:邦:⿰丰邑|⻏ fēng yì yì							
4062	梆	bang1	bang!	'watchman''s rattle'	bāng:梆:⿰木邦 mù bāng							
2558	傍	bang1/bang4	bei.an	near (approaching)/near/nestle	bàng:傍:⿰亻旁 rén páng							
2421	绑	bang3	BIÑDge	to tie/bind or fasten together	bǎng:绑:⿰纟邦 mì bāng							
2556	榜	bang3	bang	a notice or announcement/a list of names/public roll of successful examinees	bǎng:榜:⿰木旁 mù páng							
1941	膀	bang3/bang4/pang1/pang2	Pang > wing ! Bang!	upper arm/wing/to flirt/puffed (swollen)/bladder	bǎng:膀:⿰⺼旁 ròu páng							
2288	棒	bang4	bang! Hit	a stick/club or cudgel/smart/capable/strong	bàng:棒:⿰木奉 mù fèng							
2515	镑	bang4	bang! Pound 	pound (sterling)	bàng:镑:⿰钅旁 jīn páng							
3253	谤	bang4	;)	to slander/defame/speak ill of	bàng:谤:⿰讠旁 yán páng							
3947	蚌	bang4	<  贝 bei4 BEÌ	oysters/mussels	bàng:蚌:⿰虫丰 chóng fēng	Beige/white? 						
2941	磅	bang4/pang2	pound!	pound (unit of measurement)/scale/weigh/a measure word/	bàng:磅:⿰石旁 Shí páng							
454	包	bao1	BAG : COVER	to cover/to wrap/to hold/to include/to take charge of/package/wrapper/container/bag/to hold or embrace/bundle/packet/to contract (to or for)	bāo:包:⿻勹巳 bāo sì							
1341	胞	bao1	BAUCH	the placenta/womb	bāo:胞:⿰月包 yuè baō							
3539	褒	bao1	Bow ~ 	to praise	bāo:褒:⿳亠保𧘇 tóu baǒ yī							
3798	苞	bao1	wow	flower calyx/luxuriant/profuse	bāo:苞:⿱艹包 cǎo baō							
