#,S,phon      ,,meaning,,
196,?,di1/ti2,TAKE,"carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention",,
197,?,li4,LIFT <> virili,set up/to stand,,
198,?,ji2,Y+,to reach/and,,
199,?,bi3/bi4,BI2 BEI BY,"(particle used for comparison and '-er than')/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near",,
200,?,yuan2,-IAN JOIN,person/employee/member,,
201,?,jie3/jie4/xie4,Schneid / cut ?,"to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)",,
202,?,shui3,SHUI ?,water/river,,
203,?,ming2,MENOM MENTA,name/(measure word for persons)/place (e.g. among winners),,
204,?,zhen1,SURE SEIEN GEN,real/true/genuine,? zhen1 ? shen4 ? shi2,
205,?,lun2/lun4,RAN à,"the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss",,
206,?,chu3/chu4,GO,"to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect",,
207,?,zou3,GO,to walk/to go/to move,,
208,?,yi4,justice,justice/righteousness/meaning,,
209,?,ge4,JE,each/every,,
210,?,ru4,REIN,to enter,,
211,?,ji1/ji3,? tisch queue que?,"small table, almost, a few/how many, how much/how many/several/a few",,
212,?,kou3,? kop’,mouth/(a measure word),,
213,?,ren4,recon,to recognize/to know/to admit,,
214,?,tiao2,TALL thin twig  ?+T=? (??) ? ,"measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article",,
215,?,ping2,PLAIN,flat/level/equal/to make the same score/to tie/to draw/calm/peaceful,,
216,?,xi4,tie?,"be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie",,
217,?,qi4,gais/gair,"air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged",,
218,?,ti2,t.i. topic – ,topic/subject/to inscribe/to superscribe,,
219,?,huo2,FIRE HUO ZOO ? sh?ng live ?  ,to live/alive/living/work/workmanship,,
220,?,er3,<< ?,thus/so/like that/you/thou,,
221,?,geng1/geng4,CHANGE,"to change, more/even more/further/still/still more",,
222,?,bie2/bie4,BI2 BYE PART,"leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward",,
223,?,da2/da3,Dozen 2+10 <<,"dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from",,
224,?,nu:3/nv3,? NINa NUN!   ? niu1 ? ni2 ? ni1 ,female/woman,,
225,?,bian4,BEND WEND,to change/to become different/to transform/to vary/rebellion,,
226,?,si4,CIR4,four/4,,
227,?,shen2,SANK ? sh?ng ?  ,God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being,,
228,?,zong3,SYN,always/to assemble/gather/total/overall/head/chief/general/in every case,,
229,?,he2,HÄ? HOW? ,carry/what/how/why/which,,
230,?,dian4,DOWN >,electric/electricity/electrical,,
231,?,shu3/shu4/shuo4,?,"to count, number/figure/to count/to calculate/several, frequently/repeatedly",,
232,?,an1,? ? ?,content/calm/still/quiet/to pacify/peace,,
233,?,shao3/shao4,SHORT,"few/little/lack, young",,
234,?,bao4,,to announce/to inform/report/newspaper/recompense/revenge,,
235,?,cai2,CAN,"ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until",,
236,?,jie1/jie2,TIE ,knot/sturdy/to bear (fruit)/bond/to tie/to bind,,
237,?,fan3,FANTI FAUX,wrong side out or up/anti-,,
238,?,shou4,shoulder,to bear/to stand/to endure/(passive marker)/to receive,,
239,?,mu4,Muye™  MAAT ?!!!  ,eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title,??? m?y?njing  ? mou moyer seek,
240,?,tai4,TAI TALL,highest/greatest/too (much)/very/extremely,,
241,?,liang2/liang4,lang?,"to measure, capacity/quantity/amount/to estimate",,
242,?,zai4,Zai#2 second,again/once more/re-/second/another,RE: ? r?n,
243,?,gan3,<>gentle,to touch/to affect/to feel/to move/,,
244,?,jian4,ziehen,to set up/to build/to construct/to establish/to found/,,
245,?,wu4,mwuter ? wu4,affair/business/matter,,
246,?,zuo4,DO,to do/to make/to produce,,
247,?,jie1,JOIN,to extend/to connect/to receive/to join,,
248,?,bi4,? bill>will! ??  b? be/has-to,will/necessarily/certainly/must/,<> basta ?,
249,?,chang3,<<,"a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)",,
