241	SONG	иʼль	jiʔʎ
243	PEOPLE (SEVERAL)	дэʼӈ	dɛʔŋ
244	PEOPLE	ӄаарян	qaːrʲan
245	WORK (LABOUR)	лёвет	ʎɔvʲɛt
246	GUEST	ытыгайсь	ɨtɨɡajɕ
248	GAME	аниӈ	aɲiŋ
251	FRIEND	бэʼй	bɛʔj
252	COMPANION	кето	kʲɛtɔ
256	PIECE	лямт	ʎamt
257	PART	лямт	ʎamt
259	CIRCLE	круг	krʊɡ
260	CROSS	бальбесь	baʎbʲɛɕ
265	AREA	баʼӈ	baʔŋ
267	PLACE (POSITION)	баʼӈ	baʔŋ
269	MIDDLE	кы	kɨ
271	THING	биʼ	bʲiʔ
272	FRINGE	ӄат	qat
274	CORNER (OUTSIDE)	ӄъʼӄ	qʌʔq
275	TIP (OF OBJECT)	хат	xat
276	END (OF SPACE)	сирь	ɕirʲ
277	HOLE	каʼӈ	kaʔŋ
278	CORNER	ӄъʼӄ	qʌʔq
279	PATTERN	ириӈ	jirʲiŋ
280	SIZE (OF OBJECT)	хытай	xɨtaj
281	LENGTH	угд	ʊɡd
285	HEAP	дапӄуль	dapqʊʎ
286	ROW (OF OBJECTS)	туль	tʊʎ
287	BOAT	асьлин	aɕʎin
288	PADDLE	хай	xaj
290	SKI	асьлеӈ	aɕʎɛŋ
291	CAMPFIRE	богдөт	bɔɡdœt
294	STEP	тоӄ	tɔq
295	NORTH	тыль	tɨʎ
296	SOUTH	утль	ʊtʎ
297	WEST	ульбаӈ	ʊʎbaŋ
298	EAST	тъӈбаӈӄолеп	tʌŋbaŋqɔʎɛp
300	BOARD	лем	ʎɛm
303	POLE	ӄэрь	qɛrʲ
304	STICK	өксь	œkɕ
305	STAFF	ӄуу	qʊː
306	TUBE	турума	tʊrʊma
307	HOUSE	иӷусь	jiɣʊɕ
308	HOME	иӈӷусь	jiŋɣʊɕ
309	STOVE	тъӈгат	tʌŋɡat
311	TABLE	лем	ʎɛm
312	CHAIR	уӈөксь	ʊŋœkɕ
313	CRADLE	уʼй	ʊʔj
314	BED	оӈнась	ɔŋnaɕ
316	BOX	бальтий	baʎcij
318	DOOR	эла	ɛla
320	FENCE	огород	ɔɡɔrɔd
321	ROOF	иӈӷусьт хат	jiŋɣʊɕt xat
322	LADDER	булуксаӈ өксь	bʊlʊksaŋ œkɕ
323	BROOM	тальсигатсь	taʎɕiɡatɕ
324	SPADE	састоп	sastɔp
325	SHOVEL	Эʼп	ɛʔp
327	SPOON	ӄыкт	qɨkt
328	KNIFE	доʼн	dɔʔn
329	NAIL (TOOL)	аресь	arʲɛɕ
330	NET	уняӈ	ʊɲaŋ
331	HOOK	сюль	ɕʊʎ
332	HANDLE	донуль	dɔnʊʎ
333	LOCK	самбок	sambɔk
336	DOLL	хуʼн	xʊʔn
337	POUCH	ай	aj
339	BAG	натурска	natʊrska
340	BUCKET	тыʼн	tɨʔn
341	LID COVER	кулем	kʊʎɛm
343	SACK	ай	aj
344	CUP	таська	taɕka
346	KETTLE	тыʼн	tɨʔn
348	FOOD	илиӈись	jiʎiŋʲiɕ
349	DISH (FOOD)	илиӈись	jiʎiŋʲiɕ
350	MEAT	ись	jiɕ
353	BREAD	няʼнь	ɲaʔɲ
354	SLICE	няньлямт	ɲaɲʎamt
355	FAT (ORGANIC SUBSTANCE)	кыʼт	kɨʔt
356	BUTTER	кыʼт	kɨʔt
358	SALT	тъʼ	tʌʔ
359	SOUP	уʼк	ʊʔk
360	HONEY	меʼт	mʲɛʔt
361	MILK	мамуль	mamʊʎ
362	TEA	сяй	ɕaj
363	LEATHER	туӈ	tʊŋ
364	WOOL	ӄарь	qarʲ
366	NEEDLE (FOR SEWING)	иʼн	jiʔn
367	THREAD	киляӈ	kʲiʎaŋ
368	BUTTON	хъльтаӈ	xʌʎtaŋ
369	KNOT	боӈул	bɔŋʊl
370	PAINT (PIGMENTS)	сюк	ɕʊk
371	CLOTHES	ӄареӈ	qarʲɛŋ
372	SHIRT	сюят	ɕʊʲat
373	COLLAR	сюяткәӄт	ɕʊʲatkəqt
374	SLEEVE	бана	bana
375	TROUSERS	алеӈ	aʎɛŋ
376	BELT	куʼт	kʊʔt
377	CAP	дыʼ	dɨʔ
378	SHOE	масьпукань	maɕpʊkaɲ
379	BOOT	сягдэн	ɕaɡdɛn
380	RING	тъӷоль	tʌɣɔʎ
383	MIRROR	дэськъганөксь	dɛɕkʌɡanœkɕ
384	STRAP	сиит	ɕiʲit
385	STRING	аӈ	aŋ
387	BLANKET	усеньсь	ʊɕɛɲɕ
388	PILLOW	тъӈнась	tʌŋnaɕ
389	SCARF	сюйд	ɕʊjd
390	TOWEL	холос	xɔlɔs
391	FORCE	у	ʊ
392	STRENGTH	у	ʊ
394	DISEASE	даеӈ	daʲɛŋ
395	PAIN	аеӈ	aʲɛŋ
396	WOUND	айгинь	ajɡʲiɲ
398	MEDICINE	лекарсво	ʎɛkarsvɔ
399	BRIDGE	атаӄ	ataq
402	PATH	культа	kʊʎta
403	WAY	ӄоʼт	qɔʔt
404	ROAD	ӄоʼт	qɔʔt
405	VILLAGE	эӈӈуӈ	ɛŋːʊŋ
406	TOWN	колет	kɔʎɛt
407	LETTER	иринӈ	jirʲinŋ
408	BOOK	книга	kɲiɡa
409	CHARACTER	буква	bʊkva
410	NEWSPAPER	газета	ɡaʑɛta
411	LIFE	дъʼӄ	dʌʔq
412	DEATH	ӄореӈ	qɔrʲɛŋ
413	GRAVE	баӈуль	baŋʊʎ
415	SIN	кырак	kɨrak
416	GOD	Есь	jɛɕ
417	WORKER	лёветсь	ʎɔvʲɛtɕ
418	BOSS	ӄясь	qʲaɕ
420	PHYSICIAN	врач	vrat͡ʃ
421	TEACHER	сираӷатсь	ɕiraɣatɕ
422	MONEY	день	ɟɛɲ
424	SHOP	лапка	lapka
425	PRICE	киʼт	kʲiʔt
426	WARE	ләӄ	ləq
429	WORLD	кънбаӈ	kʌnbaŋ
430	COUNTRY	ӄолеп	qɔʎɛp
431	STATE (POLITICS)	государство	ɡɔsʊdarstvɔ
432	KING	кый	kɨj
433	POWER	кый	kɨj
435	WAR	каль	kaʎ
436	ENEMY	враг	vraɡ
439	BOW	ӄыʼт	qɨʔt
440	ARROW	ӄам	qam
441	GUN	хълиӈ	xʌʎiŋ
446	FAULT	саан	saːn
448	END (OF TIME)	куп	kʊp
449	TIME	сас	sas
450	DAY (NOT NIGHT)	иʼ	jiʔ
451	MORNING	ӄоноксь	qɔnɔkɕ
452	MIDDAY	суран	sʊran
453	EVENING	бись	bʲiɕ
454	NIGHT	си	ɕi
455	WEEK	неля	ɲɛʎa
456	MONTH	ӄип	qʲip
457	YEAR	сыы	sɨː
458	SPRINGTIME	ырь	ɨrʲ
459	SUMMER	силь	ɕiʎ
460	AUTUMN	ӄогдь	qɔɡɟ
461	WINTER	кәт	kət
462	JANUARY	ӄяӷып	qʲaɣɨp
463	FEBRUARY	ӄаятап	qaʲatap
464	MARCH	диӷып	ɟiɣɨp
465	APRIL	коонъп	kɔːnʌp
466	MAY	майӄип	majqʲip
467	JUNE	июньӄип	jiʲʊɲqʲip
468	JULY	июльӄип	jiʲʊʎqʲip
469	AUGUST	августӄип	avɡʊstqʲip
470	SEPTEMBER	ээльтийӄип	ɛːʎcijqʲip
471	OCTOBER	октябрьӄип	ɔkcabrʲqʲip
472	NOVEMBER	ноябрьӄип	nɔʲabrʲqʲip
473	DECEMBER	декабрьӄип	ɟɛkabrʲqʲip
474	MONDAY	нээля ӄарига иʼ	nɛːʎa qarʲiɡa ʲiʔ
475	TUESDAY	дынамась иʼ	dɨnamaɕ ʲiʔ
476	WEDNESDAY	доӈамась иʼ	dɔŋamaɕ ʲiʔ
477	THURSDAY	сигамась иʼ	ɕiɡamaɕ ʲiʔ
478	FRIDAY	ӄагамась иʼ	qaɡamaɕ ʲiʔ
479	SATURDAY	суббота	sʊbːɔta
480	SUNDAY	нээля иʼ	nɛːʎa ʲiʔ
481	BIG	ӄя	qʲa
482	SMALL	хъняньсь	xʌɲaɲɕ
483	LONG	угд	ʊɡd
484	SHORT	хольсь	xɔʎɕ
485	WIDE	ӄиильсь	qʲiːʎɕ
486	NARROW	тоӷ	tɔɣ
487	DENSE	хатпаӈ	xatpaŋ
488	THICK	бъсль	bʌsʎ
489	THIN (OF SHAPE OF OBJECT)	хаксем	xakɕɛm
491	SOLID	бытсь	bɨtɕ
492	FLAT	ламс	lams
493	SMOOTH	уульсь	ʊːʎɕ
494	HARD	бытсь	bɨtɕ
495	SOFT	хомыляӈ	xɔmɨʎaŋ
496	ROUND	круглай	krʊɡlaj
497	POINTED	етсь	jɛtɕ
498	SHARP	етсь	jɛtɕ
499	BLUNT	сяляньсь	ɕaʎaɲɕ
500	HEAVY	съъсь	sʌːɕ
501	BEAUTIFUL	ириӈ	jirʲiŋ
502	HOT	а	a
503	WARM	усь	ʊɕ
504	COLD	таʼй	taʔj
505	COOL	эньсь	ɛɲɕ
507	DAMP	ультусь	ʊʎtʊɕ
508	WET	ультусь	ʊʎtʊɕ
509	DRY	төиӈ	tœʲiŋ
511	EMPTY	ӄуйсь	qʊjɕ
514	CLEAN	датэӈсь	datɛŋɕ
515	DIRTY	синнтусь	ɕinːtʊɕ
516	RAW	ту	tʊ
518	TASTY	даʼӈ	daʔŋ
519	SWEET	хиляӈ	çiʎaŋ
520	BITTER	ӄълаӈ	qʌlaŋ
522	BRIGHT	къʼн	kʌʔn
523	DARK	ӄоний	qɔɲij
524	BLACK	тумсь	tʊmɕ
525	WHITE	тагым	taɡɨm
526	RED	сюлем	ɕʊʎɛm
527	YELLOW	ӄъляйсь	qʌʎajɕ
529	GREEN	съньсь	sʌɲɕ
530	GREY	ъреясь	ʌrʲɛʲaɕ
531	COLORFUL	ириӈ	jirʲiŋ
532	CHEAP	тольгитсь	tɔʎɡʲitɕ
533	EXPENSIVE	ӄягитсь	qʲaɡʲitɕ
534	PRECIOUS	ӄягитсь	qʲaɡʲitɕ
535	BLIND	утпаӈ	ʊtpaŋ
536	DEAF	тытсь	tɨtɕ
537	POWERFUL	аруӈусь	arʊŋʊɕ
538	STRONG	ӄя	qʲa
541	THIN (SLIM)	тоӷ	tɔɣ
543	EVIL	ӄойбесь	qɔjbʲɛɕ
544	STUPID	буӈтэтсь	bʊŋtɛtɕ
545	LAZY	уроксь	ʊrɔkɕ
547	STINGY	дъсень	dʌɕɛɲ
548	CLEVER	анунтусь	anʊntʊɕ
