218	სული	suli
219	ფიქრი	pʰikʰri
220	მეხსიერება	mɛxsiɛrɛbɑ
221	ჭკუა	t͡ʃˀkˀuɑ
221	გონება	ɡɔnɛbɑ
222	მნიშვნელობა	mniʃvnɛlɔbɑ
223	მიზეზი	mizɛzi
224	სიმართლე	simɑrtʰlɛ
224	ჭეშმარიტება	t͡ʃˀɛʃmɑritˀɛbɑ
225	ბაასი	bɑɑsi
225	საუბარი	sɑubɑri
226	არაკი	ɑrɑkˀi
226	ზღაპარი	zɣɑpˀɑri
227	თქმულება	tʰkʰmulɛbɑ
228	ცნობა	t͡sʰnɔbɑ
228	ამბავი	ɑmbɑvi
229	სიახლე	siɑxlɛ
230	სახელი	sɑxɛli
231	გამოცანა	ɡɑmɔt͡sʰɑnɑ
232	სიტყვა	sitˀqˀvɑ
233	ენა	ɛnɑ
234	ხმა	xmɑ
235	სიტყვა	sitˀqˀvɑ
236	ნიშანი	niʃɑni
237	ძახილი	d͡zɑxili
238	ხმაური	xmɑuri
239	ხმა	xmɑ
239	ბგერა	bɡɛrɑ
240	ტონი	tˀɔni
241	სიმღერა	simɣɛrɑ
242	სიწყნარე	sit͡sˀqˀnɑrɛ
243	ადამიანები	ɑdɑmiɑnɛbi
244	ერი	ɛri
244	ხალხი	xɑlxi
245	მუშაობა	muʃɑɔbɑ
246	სტუმარი	stˀumɑri
247	საჩუქარი	sɑt͡ʃʰukʰɑri
248	თამაში	tʰɑmɑʃi
249	საზოგადოება	sɑzɔɡɑdɔɛbɑ
250	შველა	ʃvɛlɑ
250	დახმარება	dɑxmɑrɛbɑ
251	მეგობარი	mɛɡɔbɑri
252	ამხანაგი	ɑmxɑnɑɡi
253	საქმე	sɑkʰmɛ
254	ოდენობა	ɔdɛnɔbɑ
255	სახეობა	sɑxɛɔbɑ
256	ნატეხი	nɑtˀɛxi
257	წილი	t͡sˀili
258	ნახევარი	nɑxɛvɑri
259	წრე	t͡sˀrɛ
260	ჯვარი	d͡ʒvɑri
261	ხაზი	xɑzi
262	შტრიხი	ʃtˀrixi
263	მანძილი	mɑnd͡zili
264	სიშორე	siʃɔrɛ
265	არე	ɑrɛ
265	მხარე	mxɑrɛ
266	ფართობი	pʰɑrtʰɔbi
267	ადგილი	ɑdɡili
268	მხარე	mxɑrɛ
269	შუა	ʃuɑ
