English	German	connecting
freeze	frier…	
understood	und verstanden	
license		
model		
gate	Gatter	
margaret		
soft	sanft ++ sacht | Saft?	saght (enough = enouf)  *semptio-
ear		
staff	Stab	
engine	<	<> Energie?
german		
map		
swim		
harm	Harm	< Gram
square		s'Quader
silver		
sydney		
brave	~	
positive		
female		
someplace	ein Platz	
blew		
weak	schwach	s'weak
season		
matt		
rush	rasch!	
awesome	xx	
snow		
champagne	™	
spread	spreitz	
bond	Band	
mayor		
demon		
winner		
madame		
leader	Leiter	
tongue	Zunge	
bath	Bad	
permission		
mm		
monsieur	™	
mexico		
storm		
spare		
tour		
appointment	xx	
piper	Pfeifer | Piper	
claire		
score	™	
shoe		
johnson		
ocean	a See'n	
harder	härter	
reality		
shape	Schöpfung	
brad	?	<> bridle brake
jeff		
kim		
gang		
survive	xx	sübervivre
style		
farm		
sexy		
example		uno ex amplus | eine aus eim Plus
laid	gelegt	
gosh		
alarm		
fortune	xx	
schedule		σχέδη (skhédē, “papyrus leaf”) <> scrit Schrift?
enter	eintret?	
punch	Punkt	pungō (“I prick”)
invite	einlade	ƒ
interview	xx	
affair		
russian		
unbelievable	xx	
wherever	xx	
chocolate		
sue	™	suivre, from Vulgar Latin *sequere
borrow	borge	
grade	Grad	
grew	groß	
cole	Kohl	caulis (“cabbage”)
investigation	xx	
mate	<<	Mutter?
statement	xx	
load		
community	xx	
exist		
toilet		
drove	treibe triebe	
meal	Mal	
dump	<> dumpf	
member	<<	 𐌼𐌹𐌼𐌶 mimz, “meat” <> maim limb 
shock		
pie		pīca (“magpie, jay”) <> Pieker, Specht?
carol	<> Karussell	χορός khorós, “choir” √circle
crash		
martha		
artist		
sat		
theory		
joy		
ruin		
traffic		
nonsense		
pink		
wise		
laura		
midnight		
deliver		
bread		
button		
mac		
original		
eve		
source		
hung		
switch		
decent		
nah		
below		
desert		
hollywood		
expensive		
particular		
higher		
grandmother		
lower		
period		
h		
pride		
dollar		
witch		
tip		
plant		
bust		
birth		
