northeuralex-0.9-concept-data.tsv
number	position_in_ranking	ranking_value	id_nelex	gloss_en	gloss_ru	annotation_en	annotation_en	annotation_ru	concepticon	concepticon_id	concepticon_proposed	comments
128	335	-1,468923	Schwanz::N	tail	хвост	[BSP:eines Hundes]	[EX:of a dog]	[НАПР:собаки]	TAIL	1220	TAIL	
129	207	-1,783631	Ei::N	egg	яйцо	[BSP:eines Vogel]	[EX:of a bird]	[НАПР:птицы]	EGG	744	EGG	
130	86	-2,299024	Nest::N	nest	гнездо	[BSP:eines Vogel]	[EX:of a bird]	[НАПР:птицы]	NEST	539	NEST	
131	971	0,692566	Bau::N	lair	нора	[BSP:eines Fuchses]	[EX:of a fox]	[НАПР:лисы]	<NA>	0	LAIR	
132	584	-0,885719	Tier::N	animal	животное	[]	[]	[]	ANIMAL	619	ANIMAL	
133	446	-1,201006	Herde::N	flock	стадо	[BSP:Schafherde]	[EX:of sheep]	[НАПР:овец]	<NA>	0	FLOCK_(OF_SHEEP)	
134	72	-2,365435	Kuh::N	cow	корова	[]	[]	[]	COW	1007	COW	
135	210	-1,777871	Bulle::N	bull	бык	[männliches Rind]	[male bovine]	[самец коровы]	BULL	1008	BULL	
136	107	-2,19378	Pferd::N	horse	лошадь	[]	[]	[]	HORSE	615	HORSE	
137	548	-0,964581	Schaf::N	sheep	овца	[]	[]	[]	SHEEP	1331	SHEEP	
138	892	0,060645	Schwein::N	pig	свинья	[]	[]	[]	PIG	1337	PIG	
139	63	-2,411981	Hund::N	dog	собака	[]	[]	[]	DOG	2009	DOG	
140	510	-1,051708	Katze::N	cat	кошка	[]	[]	[]	CAT	1208	CAT	
141	245	-1,690992	Bär::N	bear	медведь	[]	[]	[]	BEAR	1820	BEAR	
142	710	-0,598819	Eichhörnchen::N	squirrel	белка	[]	[]	[]	SQUIRREL	1628	SQUIRREL	
143	600	-0,858561	Elch::N	elk	лось	[]	[]	[]	ELK	1772	ELK	
144	641	-0,758215	Fuchs::N	fox	лиса	[]	[]	[]	FOX	1312	FOX	
145	301	-1,548627	Hase::N	hare	заяц	[]	[]	[]	HARE	1190	HARE	
146	258	-1,6587	Maus::N	mouse	мышь	[]	[]	[]	MOUSE	1491	MOUSE	
147	223	-1,749471	Wolf::N	wolf	волк	[]	[]	[]	WOLF	522	WOLF	
148	272	-1,624271	Vogel::N	bird	птица	[]	[]	[]	BIRD	937	BIRD	
149	411	-1,283932	Schwarm::N	swarm	стая	[BSP:Vogelschwarm]	[EX:of birds]	[НАПР:птиц]	<NA>	0	SWARM	
150	594	-0,867001	Huhn::N	chicken	курица	[]	[]	[]	CHICKEN	1318	CHICKEN	
151	795	-0,382618	Hahn::N	cock	петух	[männliches Huhn]	[male chicken]	[самец курицы]	ROOSTER	1511	ROOSTER	
152	144	-2,02007	Gans::N	goose	гусь	[]	[]	[]	GOOSE	1187	GOOSE	
153	627	-0,795774	Adler::N	eagle	орёл	[]	[]	[]	EAGLE	1905	EAGLE	
154	582	-0,889301	Ente::N	duck	утка	[]	[]	[]	DUCK	1360	DUCK	
155	602	-0,85064	Eule::N	owl	сова	[]	[]	[]	OWL	735	OWL	
156	334	-1,46941	Kranich::N	crane	журавль	[]	[]	[]	CRANE	1830	CRANE	
157	300	-1,550809	Krähe::N	crow	ворона	[]	[]	[]	CROW	913	CROW	
158	448	-1,199481	Kuckuck::N	cuckoo	кукушка	[]	[]	[]	<NA>	0	CUCKOO	
159	418	-1,270563	Schwan::N	swan	лебедь	[]	[]	[]	<NA>	0	SWAN	
160	77	-2,327773	Fisch::N	fish	рыба	[]	[]	[]	FISH	227	FISH	
161	698	-0,631216	Barsch::N	perch	окунь	[]	[]	[]	<NA>	0	PERCH_(FISH)	
162	854	-0,142238	Hecht::N	pike	щука	[]	[]	[]	<NA>	0	PIKE_(FISH)	
163	573	-0,913457	Schlange[Tier]::N	snake	змея	[]	[]	[]	SNAKE	730	SNAKE	
164	466	-1,151688	Wurm::N	worm	червяк	[]	[]	[]	WORM	1219	WORM	
