Nr	english	normed cuneiform 	word / syllables		PIE
19.320 	king, ruler 	𒋢𒄊;𒋢𒄒;𒋢𒌦𒄊;𒋢𒌦𒆠𒅕;𒋢𒌦𒆠𒅁;𒋢𒌦𒆠𒄒	sunki; zunki; su-gìr; su-kip; su-un-gìr; su-un-ki-ir; su-un-ki-ip; su-un-ki-kip	++?	"zunki ~ •cunki > kong > king   𓇓 𓏏 𓈖 ~ 𓇓 𓈖 𓂋 / 𓇓 𓈖 𓎡 (sun)king congir  𓇓 𓂋 su-gìr > shar  Predictions:  𜏼𜒇𜏌𜏳 sunkir  
𜏃𜒉𜏌 sunki •cungi king  
𜎄𜒉𜏌  zunki •cungi king  
𜑇𜒉𜏌𜏳  zunkir  "
19.410 	KING, master	𒋛𒅎𒀉;𒋼𒅎𒋾;𒋼𒅁𒋾;𒈬𒊌𒋾	si-im-it; te-im-ti; te-ip-ti; mu-uk-ti	?	ðimpti top semit? tempti@Luwian?
19.420 	slave 	𒇷𒁀𒌝𒈨;𒃻𒌋𒇻𒁁	li-ba-um-me; šá-u-lu-be	++	šáulube ~ slave! 
19.430 	servant 	𒇷𒁀𒅕	liba-; li-ba-ir	?	libation le'Bauer
19.440 	freeman 	??;𒃻𒇻𒌨	šalu.r; šá-lu-ur	ok?	salvar 1/slave
19.450 	command, order 	𒈨𒂖;𒄀𒀧;;𒊺𒊏𒄴;𒊺𒊏𒄴𒅆	me-el; gi-il; šera-; še-ra-h; še-ra-h-ši	<<<<	modal 
19.510 	friend, companion 	𒂁𒋾𒅕;𒆍𒅕𒊏	duk-ti-ir; kán-ir-ra	++	dost 2 con-ira 𓐍 𓈖 𓌰 𓀙 𓀀
19.520 	enemy 	𒁉𒋾𒅕;𒉿𒋾𒅕;𒁁𒋾;𒁁𒀉𒊏	beti; bi-ti-ir; pi-ti-ir; be-ti; be-it-ra	OK?	beat > feind Peter Petra <> be-ut fight
19.580 	help, aid 	𒋫;𒌨;𒈭𒄩𒀭𒋫;𒈭𒄩𒀭𒋼	ta-; taš; táh-ha-an-ta; táh-ha-an-te	OK?	to-hand zu-hände at-hand aid-hand
20.110 	fight (vb) 	𒁁𒌓	be-ut	++	beat ~ fight
20.140 	peace 	𒄖𒄖	gugu; gu-gu	<<<	<> Einigkeit?
20.150 	army 	𒄭𒀉	hi-it	ok?	Horde Heer™ Hoheit 𒂟 < 𒄭 KUR/GUER
20.210 	weapons, arms 	𒌌𒆠𒈾	ul-ki-na	ok?	al'guerno қару qaruᵒⁿ ҡорал qoral герз gerz ꜥḥꜣw იარაღი iaraɣi
20.220 	club 	𒃻𒇷𒈪	šá-li-mi	<<	s'dali sodālitās Schlag.me ສະໂມສອນ sa mō sǭn  szakkör slab<>clap/club
20.240 	bow 	𒋡𒄠𒌉	qa-am-ban	++™	> कमान kamān < qumerang 弓 ken keng gōng bowm@Baum < 𐌱𐌰𐌲𐌼 Bauğm Bogen ☑    କୋଦଣ୍ଡ kodôṇḍô --
20.250 	arrow 	𒋾𒌓𒋾𒌝;𒄭𒅖𒆠;𒊓𒄴	ti-ut-ti-um; hi-iš-ki; sa-h	™	𒋾 تیر তীর tīr 𓊃𓈙𓂋𓌕 śsahr > 𒊓𒄴 sah
20.260 	spear 	𒋗𒆳𒊒𒌝	šu-kur-ru-um	ok?!?	σιγύνης sigúnēs  შუბი-ჰოროლი  šubi-horoli  
20.330 	helmet 	𒋼𒀀𒅅	kar-ik	++ ok?	κόρυς kórus kiiver
20.410 	victory 	𒈨𒋼	me-te	<~ GO	ends meet 𐌼𐌿𐌽𐌳𐍂𐌴𐌹 mnikte 𓈖 𓆱 𓐍 𓏏 𓂡  nḫt
20.480 	booty, spoils 	𒁍𒊌𒊑𒅕	pu-uk-ri-ir	ok?+	pack® הἅρπαγμα hárpagma 𓃀 plaçka®  λάφυρα láphura   √bergen boocy booty
21.110 	law 	𒋗𒁺𒌨;𒋗𒌉	šu-du-ur; šu-tur	ok??-	<> sharia Droit sharci   شَرِيعَة‎ šarīʿa <> 法律 ほうりつ, hōritsu
21.230 	witness 	𒄀𒉌𒅁;𒄀𒉌𒉿;𒄀𒉡𒅁	gini; ginu; gi-ni-ip; gi-ni-pi; gi-nu-ip	ok? <+	kanun qanûn (lawyer) canon con… 2 Zeugen  गवाही gavāhī  گواهی‎  (见 jiàn) 证人 zhèngrén  szemtanú
21.240 	swear 	𒄀𒊑𒅁;𒄀𒊑	gi-ri-ip; gi-ri	ok?	grimm grieve grape cry
21.520 	thief 	𒌅𒍑𒋗𒌈	tu-uš-šu-íp	++? << 	> thief 2. troop(s) !!
22.120 	God 	𒈾𒀊;𒈾𒀊𒁀;𒈾𒀊𒉿;𒈾𒉈𒅁	nap; nab; na-ap; na-ab-ba; na-ap-pi; na-bí-ip	™	𓋞 Nabû (God)  𒀭𒀝 ܢܵܒܼܘܿ Nāvū <> night sky, nebel clouds, sun/moon!
22.150 	sacrifice, offering 	𒁕𒆷	dala; da-la	<<<	toleo@Swahili Teilen, stellen, dar(bietung) 𐎄𐎁𐎈 dbḥ ضَحَّى‎ ḍaḥḥā дарение darenie θύω thúō tarjous tarjoaminen 𓊵 𓏏 𓊪 > Ha.Tavil <> tuer:töten (kill)
22.180 	priest 	𒊮𒋾;𒃻𒁷;𒃻𒁺	šà-ti; šá-tin; šá-tan	™ ok?	свята́р svjatárᵒⁿ Satan;) свѧщеникъ svęštenikŭ  <> sacerdoto Seelsorger 성직자 聖職 seongjikja buýsanç  sacrārius!
22.190 	holy, sacred 	𒀝𒉿;𒀝𒉿𒅁	ak-pi; ak-pi-ip	ok?	•hakphiᵒˢ > ϩⲁⲅⲓⲟⲥ ἅγιος hágios pious, pure pyhä 𒉿𒀝 reverse   xubáa unlikely  𐎖𐎄𐎌  •qbrš aqbarš Allahu Akbar hagly holy
22.310 	heaven 	𒆠𒆠𒅔;𒆠𒆠𒅁;𒆠𒅅	kik; ki-ki-in; ki-ki-ip; ki-ik 	™++ !?	𓎡 𓎡 𓇰 (night)sky circ,cirque-du-ciel
	"work ""Werk"""		hutt	ok??	ha.Tat (hutta huhta) √do
	trespass		lakki		leg 𓂾 √legal ▲offense  magánlaksértés @ HUN
	Venus	𒁉𒉈𒄀𒌷…?; 𜎯𜐪𜏌𜏵	Pinikir Pinigir, Pirengir and Parakaras, 		VENUS in this form also in Hurrian Anatolian religion!
					
					
