𐀆	-de	-δε	de	allative/demonstrative
𐀉𐀺𐀄𐀠	du-wo-u-pi	δυFούπι (δύο)	two duo…	consisting of two  (see also ‘dwo’)
𐀉𐀺𐀸	du-wo-we	δυFώFεις	two-fass	with two ‘ears,’handles
𐁄	dwo	δFο	two duo	two
𐁄𐀍	dwo-jo	δυFό (>δυο)	zweie	two
𐀁𐀁𐀯	e-e-si	έενσι	seinsie	they/there are
𐀁𐀏𐀔𐀠	e-ka-ma-pi	έγμαφι	<<< /	stay
𐀁𐀏𐀔𐀳	e-ka-ma-te	εγμάτει (έγμα)		stay
𐀁𐀏𐀔𐀳𐀤	e-ka-ma-te-qe	εγμάτει (έγμα)		stay
𐀁𐀏𐀨	e-ka-ra	εσχάρα	charm chapa 	griddle
𐀁𐀏𐀨𐀁𐀸	e-ka-ra-e-we	εγγραέFεις (γράω;)	angry <<	related to rams
𐀁𐀐	e-ke	έχει	haske	he has/to have/they have
𐀁𐀐𐀁	e-ke-e	έχεεν  (>έχειν)	havken	he has/to have/they have
𐀁𐀐𐀤	e-ke-qe	έχει	exist	he has/to have/they have
𐀁𐀒𐀯	e-ko-si	έχονσι  (>έχουσι)		he has/to have/they have
𐀁𐀒𐀯𐀤	e-ko-si-qe	έχονσι  (>έχουσι)		he has/to have/they have
𐀁𐀒	e-ko	έχων	'a'' Ḫave  ( ων => v ! )  a''having ( νn )'	having  (see also ‘ehei’)
𐀁𐀒𐀳	e-ko-te	έχοντες	'a''havt …haft …haftig'	having  (see also ‘ehei’)
𐀁𐀐𐀍𐀵	e-ke-jo-to	εγκείοντοι (έγκειμαι)	<<	they are included
𐀁𐀐𐀫𐀦𐀜	e-ke-ro-qo-no	εγχερόπονοι	<<	wage-earners
𐀁𐀐𐀫𐀦𐀜𐀤	e-ke-ro-qo-no-qe	εγχερόπονοι		wage-earners
𐀁𐀐𐀯	e-keⁿsi	έγχενσι	𓎛 𓈖 𓇋 𓇋 𓏏 | spear | ה חֲנִית ḫe khanít 	spear
𐀁𐀐𐀯𐀤	e-ke-si-qe	έγχενσι		spear
𐀁𐀒𐀕𐀜	e-ko-me-no	Ερχομενός (>Ορχομενός)		place name
𐀁𐀒𐀰	e-ko-so	Eξών		place name
𐀁𐀒𐀰𐀜	e-ko-so-no	Εξώνος		place name
𐀁𐀒𐀰𐀺𐀒	e-ko-so-wo-ko	εξωFοργοί		‘outside workers’ (compare to ‘entosvorgoi’)
𐀁𐀔𐁀	e-ma-a2	Ερμάhαι (Ερμάhας>Ερμής)		 (related to) god Hermes
𐀁𐀕	e-me	εμεί (>ενί)	sym	with one
𐀁𐀖𐀵	e-mi-to	εμμίσθων (έμμισθος)	<<	in pay, hired
𐀁𐀙𐀡𐀫	e-na-po-ro	Ενάπλους		place name
𐀁𐀚𐀁𐀯	e-ne-e-si	ενέενσι (ειμί		they/there are
𐀁𐀚𐀏	e-ne-ka	ένεκα	denn car	because of
𐀁𐀚𐀯𐀅𐀃𐀚	e-ne-si-da-o-ne	Ενεσιδάονει (Ενεσιδάων)	Phøniseidon ( just a rhyme )	epithet of god Poseidon  (=‘earth-shaker’)
𐀁𐀚𐀺𐀟𐀼	e-ne-wo-pe-za	εννεFόπεζα	εννε neune	 (table) with nine legs
𐀁𐀝𐀷𐀪𐀍	e-nu-wa-ri-jo	ΕνυFάλιος	𒀭 !	god’s name
𐀁𐀚𐀺	e-ne-wo-	εννεFο-	neuf neuve ⇔ 𓇷 new 	nine-
𐀁𐀛𐀞𐀳𐀸	e-ni-pa-te-we	ΕνιπατεύFει (Ενιπατεύς)		place name
𐀁𐀃	e-o	εών (ειμί)	'ˢe.oⁿ	εών [[sein]]'	being/existing
𐀁𐀠	e-pi	επί	ˢepi < super	towards/on top
𐀁𐀠𐀤	e-pi-qe	επί	epi qve (of)	towards/on top
𐀁𐀠𐀑𐀵𐀛𐀊	e-pi-ki-to-ni-ja	επιχιτώνια	ˢÜberKitteln	kind of clothing (see also ‘hiton’)
𐀁𐀠𐀸𐀴𐀪𐀍	e-pi-we-ti-ri-jo	επιFέστριος	over-vester	kind of occupation  (working with ‘over-garments’)
𐀁𐀠𐀿𐀲	e-pi-zo-ta	επίζωστα	𓊃 𓍿  !! 	tied on top
𐀁𐀤𐀯𐀊	e-qe-si-ja	επέσια		related to the ‘epetas’
𐀁𐀤𐀯𐀍	e-qe-si-jo	επέσιος		related to the ‘epetas’
𐀁𐀠𐀒𐀺	e-pi-ko-wo	επίκορFοι	'ob''guarvo  super-korporal'	observers, guards
𐀁𐀤𐀲	e-qe-ta	επέτας	^^	official title  (=‘attendant’)
𐀁𐀤𐀲𐀤	e-qe-ta-qe	επέτας		official title  (=‘attendant’)
𐀁𐀨	e-ra	Έρα	Syria? Hellas?	place name
𐀁𐀨𐀊	e-ra-ja	Εραία	Era 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Era’  (fem.)
𐀁𐀨𐀟𐀕𐀙	e-ra-pe-me-na	ερ (ρ)απμένα (>ερραμμένη>ραμμένη)	MM	sewed  (fem.)
𐀁𐀨𐀡 	e-ra-po 	ελάφων (έλαφος)	Helopons?	place name  (see also ‘limenes’)
𐀁𐀨𐀡 r𐀂𐀕𐀚	e-ra-po ri-me-ne	ελάφων (έλαφος)		place name  (see also ‘limenes’)
𐀁𐀨𐀳𐀂	e-ra-te-i	Ελάτει	Elatos ≠ Eritrea	place name
𐀁𐀨𐀳𐀂𐀍	e-ra-te-i-jo	Ελάτειος	Elatos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Elatos’
𐀁𐀨𐀳𐀩𐀸	e-ra-te-re-we	ΕραθρέFει (ΕραθρέFα)		place name
𐀁𐀨𐀵𐀆	e-ra-to-de	Ελατόνδε (Έλατος)		place name
𐀁𐀨𐀺	e-ra-wo	έλαιον	ˢolive oil << sirup	olive/essential oil
𐀁𐀩𐀁	e-re-e	ερέεν  (>ερέττειν)	'oar''row!'	to row
𐀁𐀩𐀲	e-re-ta	ερέται	GeRuderer	rowers
𐀁𐀩𐀲𐀃	e-re-ta-o	ερετάων (ερέτας)	GeRuderer	rowers
𐀁𐀩𐀁𐀄	e-re-e-u	ερεύς	<<	person in charge of the ‘eretai’
𐀁𐀩𐀗	e-re-mo	έρεμος	Gerümpel ruin?	place deserted/isolated
𐀁𐀩𐀞	e-re-pa	ελέφας	elephant	elephant  (implying ivory)
𐀁𐀩𐀞𐀳	e-re-pa-te	ελεφάντει	elephant	elephant  (implying ivory)
𐀁-𐀩-𐀞-𐀵	ᵍe-le-pa-to 	ελεφάντει	elephant	
𐀁𐀩𐀞𐀳𐀊𐀠	e-re-pa-te-ja-pi	ελεφαντειάφι	Elephanten Vieh	elephant  (implying ivory)
𐀁𐀩𐀄𐀳𐀨	e-re-u-te-ra	ελευθέρα	gelivtere geleutere deliver @ Goth 	‘delivered’/free
𐀁𐀩𐀄𐀳𐀫	e-re-u-te-ro	ελεύθερος	'-''''-'	‘delivered’/free
𐀁𐀩𐀄𐀳𐀫𐀮	e-re-u-te-ro-se	ελευθέρωσε (εν) (>ελευθερώ)	'-''''-  G'	to set free/to deliver
