𐀆	-de	-δε	de	allative/demonstrative
𐀡𐀕𐀜	po-me-no	ποιμένος		shepherd
𐀡𐀛𐀐	po-ni-ke	φοινίκει		decorated with agriffin or palmtrees/
𐀡𐀛𐀐𐀤	po-ni-ke-qe	φοινίκει		decorated with agriffin or palmtrees/
𐀡𐀛𐀑𐀊	po-ni-ki-ja	φοινίκιος		purple phoenix
𐀡𐀠	po-pi	πόφι (>πους)		with legs
𐀡𐀢𐀩𐀊	po-pu-re-ja	πορφυρεία		purple  (fem.)
𐀡𐀤𐀹𐀀	po-qe-wi-a	φορεFιαί (>φορβειά)		halters
𐀡𐀩𐀙	po-re-na	φορήναι (>φέρομαι;)		attendees in sacrificial ceremonies
𐀡𐀩𐀙𐀤	po-re-na-qe	φορήναι (>φέρομαι;)		attendees in sacrificial ceremonies
𐀡𐀫	po-ro-	προ-		before/pro-
𐀡𐀫𐀉𐀔𐀳	po-ro-du-ma-te	προδύματες		family groups? (see also ‘dymates’)
𐀡𐀫𐀁𐀐	po-ro-e-ke	προεχής		 (table) fittingagainst the wall
𐀡𐀫𐀒𐀩𐀳𐀩	po-ro-ko-re-te-re	προκορέτερες		official title ‘vice-mayors’ (see also ‘koreter’)
𐀡𐀫𐀒𐀩𐀳𐀩𐀤	po-ro-ko-re-te-re-qe	προκορέτερες		official title ‘vice-mayors’ (see also ‘koreter’)
𐀡𐀫𐀹𐀵	po-ro-wi-to	ΠλωFιστοίο (ΠλώFιστος)		month name
𐀡𐀫𐀹𐀵𐀍	po-ro-wi-to-jo	ΠλωFιστοίο (ΠλώFιστος)		month name
𐀡𐀬𐀡𐀆	po-ru-po-de	πολυπόδει (πολύπους)		 (decorated with an)octopus
𐀡𐀬𐀡𐀆𐀤	po-ru-po-de-qe	πολυπόδει (πολύπους)		 (decorated with an)octopus
𐀡𐀮𐀅𐀃	po-se-da-o	Ποσειδάων		god’s name (>Poseidon)
𐀡𐀮𐀅𐀃𐀚	po-se-da-o-ne	Ποσειδαόνει		god’s name (>Poseidon)
𐀡𐀯	po-si	ποσί		up/on
𐀡𐀯𐀅𐀁𐀊	po-si-da-e-ja	Ποσιδάεια		goddess’s name
𐀡𐀯𐀅𐀁𐀸	po-si-da-e-we	ΠοσιδάεFες		cult association related to ‘Poseidaon’
𐀡𐀯𐀅𐀂𐀋u𐀡𐀯𐀅𐀂𐀋𐀄𐀯	po-si-da-i-je-upo-si-da-i-je-u-si	Ποσιδαϊγεύς		priest of ‘Poseidaon’
𐀡𐀯𐀅𐀂𐀍	po-si-da-i-jo	Ποσιδαίον		place dedicated to ‘Poseidaon’
𐀡𐀯𐀐𐀳𐀩	po-si-ke-te-re	ποσικέτερες (>οικέτης;)		dweller/houseservant (‘immigrants?’)
𐀡𐀴𐀛𐀊  𐀂𐀤𐀀	po-ti-ni-ja  i-qe-a	 (πότνεια) Ιπ (π)εία		goddess’s name (‘mistress of the horses’)
𐀡𐀴𐀛𐀊	po-ti-ni-ja	πότνια		goddess/‘beloved one’
𐀡𐀴𐀛𐀊𐀸𐀂𐀍	po-ti-ni-ja-we-i-jo	ποτνιάFειος		person related/dedicated to ‘potnia’
𐀡𐀴𐀛𐀊𐀸𐀊	po-ti-ni-ja-we-ja	ποτνιάFεια		person related/dedicated to ‘potnia’
𐀡𐀴𐀛𐀊𐀸𐀍	po-ti-ni-ja-we-jo	ποτνιάFειος		person related/dedicated to ‘potnia’
𐀡𐀴𐀠	po-ti-pi	πόρτιφι (πόρτις)		 (decorated  with a)young cow
𐀡𐀴𐀠𐀤	po-ti-pi-qe	πόρτιφι (πόρτις)		 (decorated  with a)young cow
𐀡𐀴𐀫	po-ti-ro	ποντίλοι		sailors
𐁇𐀜	pte-no	φτενοί		parts of a chariot (φτενός=  ‘thin’)
𐀢𐀒𐀰	pu-ko-so	πύξος		box- wood
𐀢𐀨𐀄𐀵𐀫	pu-ra-u-to-ro	πύραυθρον		cooking vessel (>πύραστρον,πυράγρα= forceps)
𐁆𐁈𐀀𐀐𐀩𐀄	pu2-ra2-a-ke-re-u	Φυλίας Αγρεύς		place name (φυλία= wildolive)
𐁆𐀳	pu2-te	φύτερ		planter
𐁆𐀳𐀪𐀊	pu2-te-ri-ja	φυτέρια		planted, cultivated (of ‘ktoina’= plots)
𐀣𐀨	qa-ra	KFάρα		place name
𐀣𐀨𐀵𐀫	qa-ra-to-ro	κFάλαθρον (>σπάλαθρον?)		rake
𐀣𐀯𐀩𐀄	qa-si-re-u	κFασιλεύς (>βασιλεύς)		title/occupation (latter the king)
qe)	qe)	 (>εγχέω)		
𐀤𐀥𐀜𐀕𐀙	qe-qi-no-me-na	γεγινωμένα		made by twisting
𐀤𐀥𐀜𐀕𐀜	qe-qi-no-me-no	γεγινωμένος		made by twisting
𐀤𐀥𐀜𐀵	qe-qi-no-to	γεγινωτός (>δινωτός)		made by twisting
𐀤𐀥𐀜𐀵𐀤	qe-qi-no-to-qe	γεγινωτός (>δινωτός)		made by twisting
𐀤𐀨𐀙	qe-ra-na	κέρνα		type of pot  (ewer)
𐀤𐀨𐀯𐀊	qe-ra-si-ja	Κερασία (>Θηρασία)		goddess’sname/epithet of Artemis?
𐀤𐀩𐀴𐀪𐀍	qe-re-ti-ri-jo	βλητρίω  (δυικ.) (>βλήτρον)		a band or hoop  (ofships)
𐀤𐀳𐀀	qe-te-a	 (>τέλθος;)		due  (to the gods?) (>τέλθος= debt,payment due)
𐀤𐀵	qe-to	 (>πίθος)		a kind of pot
𐀤𐀵𐀫	qe-to-ro-	πετρο-  (>τετρα-)		tetra-
𐀤𐀵𐀫𐀡𐀠	qe-to-ro-po-pi	πετροπόφι		with four legs,cattle
𐀥𐀯𐀟	qi-si-pe	ξίφεε  (δυικ.) (ξίφη)		swords
𐀥𐀯𐀟𐀁	qi-si-pe-e	ξίφεε  (δυικ.) (ξίφη)		swords
𐀦𐀃	qo-o	κFόος  (>βούς)		ox
𐀦𐀫𐀘𐀫	qo-ro-mu-ro	Βρώμυλος		place name
𐀦𐀄𐀏𐀨	qo-u-ka-ra	βούκαρα (>βουκρανία)		bull head  (βους=ox+ κάρα= head)
𐀦𐀄𐀒𐀫	qo-u-ko-ro	βουκόλος		shepherd, cattle-driver
𐀦𐀄𐀦𐀲	qo-u-qo-ta	βουβότας		shepherd, pastor
𐀦𐀹𐀊	qo-wi-ja	κόρFια (>κουρήια)		divine  (see also ‘korfa’)
𐀨𐀁𐀊	ra-e-ja	λαεία  (λάας)		made of stone
𐀨𐀊	ra-ja	Ραία		place name
𐀨𐀐𐀅𐀖𐀛𐀍	ra-ke-da-mi-ni-jo	Λακεδάμνιος (>Λακεδαίμων)	Lacedaemonia 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Lacedaemonia’ (>Laconia)
𐀨𐀖𐀛𐀊	ra-mi-ni-ja	Λάμνιαι (>Λήμνιαι)	Lemnos? 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Lemnos?’  (fem.)
𐀨𐀠𐀴𐁈	ra-pi-ti-ra2	ράπτρια (ι)		seamstresses
𐀨pte 	ra-pte 	ράπτερ		tailor, clothes-mender
𐀨𐀱𐀴𐀍	ra-su-ti-jo	Λασύνθιος	Lasynthos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Lasynthos’
𐀨𐀱𐀵	ra-su-to	Λάσυνθος		place name
𐀨𐀴𐀍	ra-ti-jo	Λάτιος	Lato 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Lato’
𐀨𐀵	ra-to	Λατώ		place name
𐀨𐀷𐀐	ra-wa-ke	λαFαγεία		belonging to the ‘lafagetas’
𐀨𐀷𐀐𐀊	ra-wa-ke-ja	λαFαγεία		belonging to the ‘lafagetas’
𐀨𐀷𐀐𐀯	ra-wa-ke-si	λαFαγεία		belonging to the ‘lafagetas’
𐀨𐀷𐀐𐀯𐀊	ra-wa-ke-si-ja	λαFαγέσια		belonging to the ‘lafagetas’
𐀨𐀷𐀐𐀯𐀊𐀍	ra-wa-ke-si-ja-jo	λαFαγεσιαίον		premises of the ‘lafagetas’
𐀨𐀷𐀐𐀯𐀍	ra-wa-ke-si-jo	λαFαγέσιος		belonging to the ‘lafagetas’
𐀨𐀷𐀐𐀯𐀍𐀍	ra-wa-ke-si-jo-jo	λαFαγεία		belonging to the ‘lafagetas’
𐀨𐀷𐀐𐀲	ra-wa-ke-ta	λαFαγέτας		official title  (=leader of the people)
𐀨𐀷𐀨𐀲	ra-wa-ra-ta	ΛάFρανθα (ι)		place name
𐀨𐀺	ra-wo	λαFός  (>λαός)		people
𐀩𐀐𐀁𐀵𐀫𐀳𐀪𐀍	re-ke-e-to-ro-te-ri-jo	Λεχεστρωτήριον		religious feast
𐀩𐀐𐀵𐀫𐀳𐀪𐀍	re-ke-to-ro-te-ri-jo	Λεχεστρωτήριον		religious feast
𐀩𐀟𐀄𐀪𐀍	re-pe-u-ri-jo	Λεπεύριος	*re-pe-u 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘*re-pe-u’
𐀩𐀡𐀵	re-po-to	λεπτόν		thin, fine
𐀩𐀣𐀮𐀺𐀺𐀺	re-qa-se-wowo-wo	‘re-qa-se-wo’FόρFος		place name  (see also ‘vorvos’)
𐀩𐀄𐀒𐀝𐀏	re-u-ko-nu-ka	λευκόνυχα		kind of decoration (for clothes)
𐀩𐀄𐀒𐀵𐀫	re-u-ko-to-ro	Λεύκτροι		place name
𐀩𐀺	re-wo	λέFος		kettle, caldron
𐀩𐀺𐀳𐀩𐀍	re-wo-te-re-jo	λεFοτέρειον (>λέβης		kettle, caldron
𐀩𐀺𐀵𐀫𐀒𐀺	re-wo-to-ro-ko-wo	λεFοτρόκορFοι		bath- attendants
𐀪𐀍	ri-jo	Ρίον		place name  (=cape)
𐀪𐀍𐀆	ri-jo-de	Ρίονδε		place name  (=cape)
𐀪𐀕𐀚	ri-me-ne	λιμένει (λιμήν)		harbor
𐀪𐀙𐀒𐀫	ri-na-ko-ro	λίναγρος		 (= flax gatherer )
𐀪𐀚𐀊	ri-ne-ja	λινείαι		flax workers  (fem.)
𐀪𐀜	ri-no	λίνον		flax  (plant)
𐀫𐀂𐀒	ro-i-ko	ροϊκός		crooked
𐀫𐀃𐀷	ro-o-wa	ΡοόFα		place name
𐀫𐀄𐀯𐀋𐀹𐀊	ro-u-si-je-wi-ja	ΛουσιέFεια (ι)		originating in ‘Lousos’  (fem.)
𐀫𐀄𐀯𐀍	ro-u-si-jo	Λούσιος	Lousos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Lousos’
𐀫𐀄𐀰	ro-u-so	Λουσός		place name
𐀬𐀑𐀴𐀍	ru-ki-ti-jo	Λυκίνθιος	Lykinthos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Lykinthos’
𐀬𐀑𐀵	ru-ki-to	Λύκινθος		place name
𐀬𐀨𐀲	ru-ra-ta	λυράτας		player on the lyre
𐀬𐀨𐀲𐀁	ru-ra-ta-e	λυράτας		player on the lyre
𐀭𐀔𐀨	sa-ma-ra	Σαμάρα		place name
𐀭𐀔𐀪𐀷	sa-ma-ri-wa	ΣαμαρίFα		place/ethnic name of ‘Samara’?
𐀭𐀞𐀐𐀳𐀪𐀊	sa-pa-ke-te-ri-ja	σφακτηρίαι (>σφάγια)		animals for ritualslaughter
𐀭𐀠𐀆	sa-pi-de	σαρπίδες		boxes
𐀭𐀨𐀟𐀅	sa-ra-pe-da	Σραπέδας		god’s epithet (‘Srapedas Poseidon’)
𐀭𐀪𐀝𐀺𐀳	sa-ri-nu-wo-te	ΣαλινουFόντει		place name
𐀭𐀭𐀔	sa-sa-ma	σασάμα (>σησάμη)		sesame  (plant)
𐀮𐀩𐀗𐀏𐀨𐀃𐀂	se-re-mo-ka-ra-o-i	σερεμοκαράο (ρε)ι (‘seremo’=>Σειρήνες;)		 (decorated) with heads of ‘Sirens?’
𐀮𐀩𐀗𐀏𐀨𐀠	se-re-mo-ka-ra-pi	σειρημοκαράφι		 (decorated) with heads of ‘Sirens?’
𐀮𐀪𐀜	se-ri-no-	Σελινoφόντει		place name
𐀮𐀵𐀂𐀊	se-to-i-ja	Σητοία (ι)		place name
𐀯𐁀𐀫	si-a2-ro	σίhαλος		pig
𐀯𐀵	si-to	σίτον		wheat
𐀯𐀵𐀡𐀴𐀛𐀊	si-to-po-ti-ni-ja	σιτοπότνια		goddess  (= ‘grain mistress’)
𐀰𐀸𐀜	so-we-no	σοFενοί (σοFενός)		vine?  (plant)
𐀰𐀸𐀜𐀤	so-we-no-qe	σοFενοί (σοFενός)		vine?  (plant)
𐀱𐀑𐀪𐀲	su-ki-ri-ta	Σύγριτα	Sygrita secret?	place name
𐀱𐀦𐀲	su-qo-ta	συβότας	শূকর চাষী shukor chashi	pig farmer
𐀱𐀪𐀗	su-ri-mo	Σύριμος		place name
𐀱𐀸𐀫𐀹𐀍	su-we-ro-wi-jo	ΣυFερόFιος		personal/ethnic name
𐀱𐀼	su-za	σύζα (σύkyα> σύκα)	süß	fig fruits
𐀲𐀞	ta-pa	τάρφα	<<	thick/close/frequent
𐀲𐀞𐀤	ta-pa-qe	τάρφα		thick/close/frequent
𐀲𐀨𐀝	ta-ra-nu	θράνυς	<< ≠ Θρήνος tränen "dirge" "lament" 	footstool
𐀲𐀨𐀝𐀤	ta-ra-nu-qe	θράνυς		footstool
𐀲𐀨𐀝𐀸	ta-ra-nu-we	θράνυFες		footstool
𐀲𐀨𐀯𐀊	ta-ra-si-ja	ταλανσία	adhalᵒⁿ 𒀜𒄬talents taian > tin ma.adhal 𒀜𒄬metal	 (unit of) copper
𐀲𐀲𐀐𐀄	ta-ta-ke-u	σταρταγεύς (>στρατηγός)		leader of the army
𐀲𐀳𐀩	ta-te-re	στατήρες;		 (> στατήρ=weight/coin)
𐀲𐀵𐀗	ta-to-mo	σταθμός		farmstead/standing-post
𐀳𐀐	te-ke	θήκε  (θέτω)		he assigned
𐀳𐀒𐀵𐀚	te-ko-to-ne	τέκτονες		carpenters
𐀳𐀖	te-mi	 (ου) τέρμις		without edges?
𐀳𐀖𐀆𐀸𐀳	te-mi-de-we-te	τερμιδFέντες (>τερμιόεντες)		 (= reaching to the feet) (see also ‘termis’)
𐀳𐀖𐁃	te-mi-dwe	τέρμιδFες (>τέρμις)		 (τέρμις= foot,border, edge)
𐀳𐀖𐀴𐀊	te-mi-ti-ja	Θεμιστία		place name (see also ‘ti-mi-to-a-ke-e’ and ‘ti-mi-to’)
𐀳𐀃	te-o	θεόν	te-ʷoⁿ devine theon	god
𐀳𐀃𐀂	te-o-i	θεοίς		god
𐀳𐀃𐀍	te-o-jo	θεοίο (θεός)		god
𐀳𐀃𐀡𐀪𐀊	te-o-po-ri-ja	Θεοφόρια		religious feast
𐀳𐀣𐀆	te-qa-de	Θήβανδε (Θήβαι)		place name (>Thebes?)
𐀳𐀣𐀊	te-qa-ja	Θη (κ)βαία	Thevai 𓈉 𓌙 𓀀 𓈓	personal/ethnic name of ‘Thevai’ (fem.)
𐀳𐀩𐀲	te-re-ta	τελεσταί	<<	official title  (τέλος= tax)
𐀳𐀩𐀲𐀃	te-re-ta-o	τελεστάων (τελέστας)	tall tallas?	official title  (τέλος= tax)
𐀳𐀶𐀓𐀺𐀀	te-tu-ku-wo-a	τετυχύFοα	<<	well prepared,ready
𐀳𐀶𐀬𐀸	te-tu-ru-we	ΤέθρυFες	Tetro 4?	ethnic/place name
𐀳𐀄𐀐𐀠	te-u-ke-pi	τεύχεσφι (τεύχος, τεύχεα)	<<	with implements,paraphernalia
𐀴𐀖𐀴𐀊	ti-mi-ti-ja	Τερμινθία		place name (see also ‘ti-mi-to-a-ke-e’ and ‘ti-mi-to’)
𐀴𐀖𐀵	ti-mi-to	τίρμινθος (>τέρμινθος)	terminth!	terebinth  (tree)
𐀴𐀖𐀵𐀀𐀐𐀁	ti-mi-to-a-ke-e	 (Θέμιτος) άγος	Themis Demeter?	‘holy place of themis/themistes (=>oracles)’/‘grove of the terebinth trees’ (see ‘a-ke-e,’ ‘te-mi,’ ti-mi-to’)
𐀴𐀖𐀵𐀀𐀐𐀂	ti-mi-to-a-ke-i	 (Θεμιστών) άγος		‘holy place of themis/themistes (=>oracles)’/‘grove of the terebinth trees’ (see ‘a-ke-e,’ ‘te-mi,’ ti-mi-to’)
𐀴𐁅𐀯𐀊	ti-nwa-si-ja	ΤινFασία		place name
𐀴𐀪𐀊	ti-ri-ja	τρία	(feminine?)	three
𐀴𐀪𐀯	ti-ri-si	τρισί	(masculine?)	three
𐀴𐀪𐀍𐀸	ti-ri-jo-we	τριώFεις		with three ‘ears,’handles
𐀴𐀪𐀡	ti-ri-po	τρίπως	tripod Dreifuß	tripod  (kind of stool)
𐀴𐀪𐀡𐀆	ti-ri-po-de	τρίπους	tripod Dreifuß	tripod  (kind of stool)
𐀴𐀪𐀡𐀇𐀒	ti-ri-po-di-ko	τριποδίσκοι	tripods (-iskoi)	small tripods
𐀴𐀪𐀮𐀫𐀁	ti-ri-se-ro-e	τρισιρώει (>τρισηρωίς)		divine epithet  (=‘the trice heroine’)
𐀵𐀍	to-jo	τοίο (>του, αυτού)		his
𐀵𐀍𐀤	to-jo-qe	τοίο (>του, αυτού)		his
𐀵𐀒𐀈𐀗	to-ko-do-mo	τοιχοδόμοι		builders  (> τοίχος=wall)
𐀵𐀒𐀰𐀲	to-ko-so-ta	τοξότας		archer
𐀵𐀒𐀰𐀺𐀒	to-ko-so-wo-ko	τοξoFόργος		arch worker
𐀵𐀔𐀒	to-ma-ko	Στόμαργος	Stimme…	personal/animal name  (= ‘busy with the tongue’)
𐀵𐀔𐀒𐀤	to-ma-ko-qe	Στόμαργος		personal/animal name  (= ‘busy with the tongue’)
𐀵𐀕	to-me	τόμε  (>τόνε)	dem	him  (see also ‘toe’)
𐀵𐀜	to-no	θόρνος (>θρόνος)		chair, throne
𐀵𐀜𐀤	to-no-qe	θόρνος (>θρόνος)	throne	chair, throne
𐀵𐀜𐀁𐀐𐀳𐀪𐀍	to-no-e-ke-te-ri-jo	Θορνοελκητήριον	turn	name of a festival
𐀵𐀟𐀼	to-pe-za	τoρπέζα (>τράπεζα)		table
𐀵𐀥𐀆	to-qi-de	τορπίδει		in/having spirals
𐀵𐀥𐀆𐀊	to-qi-de-ja	τορπιδεία		in/having spirals
𐀵𐀥𐀆𐀍	to-qi-de-jo	τορπίδειος		in/having spirals
𐀵𐀥𐀆𐀤	to-qi-de-qe	τορπίδει		in/having spirals
𐀵𐀥𐀆𐀸𐀭	to-qi-de-we-sa	τορπίδFεσσα (τορπίς>τροπίς)		in/having spirals
𐀵𐀫𐀜𐀺𐀒	to-ro-no-wo-ko	θορνοFοργός		maker of ‘thornoi’ (= thrones)
𐀵𐀭	to-sa	τόσαι		such  (plur. fem./plur. neut.)
𐀵𐀭𐀆	to-sa-de	τοσάδε		such  (see also next)
𐀵𐀰	to-so	τόσοι		such  (plur. masq./sing. neut.)
𐀵𐀰𐀆	to-so-de	τοσόσδε		such  (see also next)
𐀵𐀰𐀍	to-so-jo	τοσοίο		such  (see also next)
𐀵𐀰𐀚	to-so-ne	τοσόνε		such  (see also next)
𐀵𐀰𐀞	to-so-pa	τοσόσπας		such  (see also next)
𐀵𐀵	to-to	τότον		this/such  (see also ‘toson’)
𐀶𐀏𐀳	tu-ka-te	θυγάτερ		daughter
𐀶𐀏𐀳𐀤	tu-ka-te-qe	θυγάτερ		daughter
𐀶𐀏𐀳𐀩	tu-ka-te-re	θυγάτερες		daughter
𐀶𐀨𐀳𐀄	tu-ra-te-u	θηρατεύς		door keeper
𐀶𐀪𐀯𐀊	tu-ri-si-ja	Τυλίσια	Tylisos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Tylisos’
𐀶𐀪𐀯𐀍	tu-ri-si-jo	Τυλίσιος	Tylisos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Tylisos’
𐀶𐀪𐀰	tu-ri-so	Τύλισος		place name
𐀶𐁊	tu-ro2	τυρίον		cheese
𐀶𐀬𐁇𐀪𐀊	tu-ru-pte-ri-ja	στρυπτερία		alum
𐀶𐀸𐀀	tu-we-a	θύFεα		sacrificial fire
𐀶𐀺	tu-wo	θύFος		sacrificial fire
𐀄𐀈𐀫	u-do-ro	ύδρος		kind of pot  (waterjar?)
𐀄𐀞𐀨𐀑𐀪𐀊	u-pa-ra-ki-ri-ja	‘u-pa-ra’+ άγρια		place name (see also ‘a-ko-ro’)
𐀄𐀡	u-po	υπό	sub 	under
𐀄𐀬𐀵	ᴳu-ru-to	Fρύντοι (Fρύμαι)	Ϝ	to guard
𐀄𐀡𐀇n𐀃𐀺𐀺	u-po-di-nowo-wo	 (u-po-di-no)FόρFος		place name (see also ‘vorvos’)
𐀄𐀡𐀨𐀑𐀪𐀊	u-po-ra-ki-ri-ja	‘u-pa-ra’+ χωραία		place name (see also ‘a-ko-ro’)
𐀷𐀙𐀏	wa-na-ka	Fάναξ		wanax, king,leader aristocrat
𐀷𐀙𐀏𐀳	wa-na-ka-te	Fάνακτος		wanax, king,leader aristocrat
𐀷𐀙𐀏𐀳𐀨	wa-na-ka-te-ra	Fανάκτερα		premises of the wanax
𐀷𐀙𐀏𐀳𐀫	wa-na-ka-te-ro	Fανακτέρων (>ανάκτορα)		premises of the wanax
𐀷𐀙𐀏𐀵	wa-na-ka-to	Fανάκτει	Phoenix wanax	wanax, king,leader aristocrat
𐀷𐀙𐀭	wa-na-sa	Fάνασσα	Phoenicia Φάνης Phánēs Vanessa	queen
𐀷𐀙𐀮𐀹𐀊	wa-na-se-wi-ja	FανασέFια		royal
𐀷𐀙𐀮𐀹𐀍	wa-na-se-wi-jo	FανασέFιος		royal
𐀷𐀙𐀰	wa-na-so	Fάνασος		place name
𐀷𐀵	wa-to	Fάτος		place name
𐀷𐀶	wa-tu	Fάστυ	Festung port? palast? wastadt 𓋆	city, town
𐀸𐀀𐀩𐀊	we-a-re-ja	Fεαλεία		made of glass
𐀸𐀀𐀩𐀍	we-a-re-jo	Fεάλειος (>υαλεία		made of glass
𐀸𐁀𐀜	we-a2-no	Fεhανός		type of cloth
𐀸𐁀𐀩𐀍	we-a2-re-jo	υάλειος)		made of glass
𐀸𐀟𐀼	we-pe-za	Fέκπεζα		 (table) with sixlegs  (see also ‘ennevopeza’)
𐀸𐀳𐀂𐀸𐀳𐀂	we-te-i-we-te-i	Fέτει- Fέτει		‘from year to year’
𐀸𐀵	we-to	Fέτος		this year
𐀸𐀸𐀁𐀀	we-we-e-a	FερFέεια (*FέρFος> είρος)		woolen  (fem.)
𐀹𐀪𐀜	wi-ri-no	Fρινός	𓆓 𓎛 𓂋 𓄛  qvhrino	leather
𐀹𐀪𐀚𐀍	wi-ri-ne-jo	Fρίνειος		made of leather
𐀹𐀪𐀚𐀃	wi-ri-ne-o	Fρίνειος		made of leather
𐀺𐀈𐀸	wo-do-we	FορδόFεν (> ροδόεν)		made with rose oil
𐀺𐀈𐀸𐀤	wo-do-we-qe	FορδόFεν (> ροδόεν)		made with rose oil
𐀺𐀂𐀒𐀆	wo-i-ko-de	Fοίκονδε (Fοίκος> οίκος)		 (going) home
𐀺𐀏	wo-ka	Fόχα		vehicle
𐀺𐀜	wo-no	Fοίνος		wine
𐀺𐀨𐀸𐀭	wo-ra-we-sa	FοράFεσσα	√fahr	 (description of a chariot) (> φέρω= to bear,to carry)
𐀺𐀫𐀑𐀍𐀚𐀍	wo-ro-ki-jo-ne-jo	Fοργιόνειος (Fοργίονες>Οργέωνες)		cult association
𐀺𐀫𐀚𐀊	wo-ro-ne-ja	Fρόνεια  (>άρνεια)	√fire	of a lamp
𐀺𐀳	wo-te	 (>Σελινούς;)	??	
𐀺𐀺	wo-wo	FόρFος (>όρος		mountain/limit
𐀺𐀽	wo-ze	Fόρζει (ν) (*Fόρκyω> όργω>έργω)		to work
𐀺𐀽𐀤	wo-ze-qe	Fόρζει (ν) (*Fόρκyω> όργω>έργω)		to work
𐀺𐀿	wo-zo	Fόρζων		working
𐀺𐀿𐀕𐀙	wo-zo-me-na	Fορζομένα		being worked/well-made
𐀺𐀿𐀕𐀜	wo-zo-me-no	Fορζομένα		being worked/well-made
𐀺𐀿𐀳	wo-zo-te	Fόρζοντες		working
𐀼𐀁𐀵𐀫	za-e-to-ro	Ζαέθροι		place name
𐀼𐀓𐀯𐀊	za-ku-si-ja	Ζακύ (ν)σιος (>Ζακύνθιος)	Zakynthos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Zakynthos’
𐀼𐀓𐀯𐀍	za-ku-si-jo	Ζακύ (ν)σιος (>Ζακύνθιος)	Zakynthos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Zakynthos’
𐀼𐀔𐀁𐀹𐀀	za-ma-e-wi-a	ΖαμαέFια (ι)		ethnic/place name
𐀼𐀔𐀁𐀹𐀊	za-ma-e-wi-ja	ΖαμαέFια (ι)		ethnic/place name
𐀼𐀔𐀁𐀹𐀊𐀤	za-ma-e-wi-ja-qe	ΖαμαέFια (ι)		ethnic/place name
𐀼𐀸𐀳	za-we-te	ζάFετες		this year
𐀽𐀂𐀊𐀏𐀨𐀙	ze-i-ja-ka-ra-na	Ζεία Kράνα		place name
𐀽𐁆𐀨	ze-pu2-ra	Ζέφυραι		place name (>Halikarnassos?)
𐀽𐁆𐁉	ze-pu2-ra3	Ζεφυρέα (ι)	Zephyrai 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Zephyrai’
𐀽𐁆𐀫	ze-pu2-ro	Ζέφυρος		place name (>Halikarnassos?)
𐀽𐀰𐀕	ze-so-me	ζεσόμενος		boiling
𐀽𐀰𐀕𐀜	ze-so-me-no	ζεσόμενος		boiling
𐀽𐀄𐀐𐀯	ze-u-ke-si	ζεύγεσι		a pair
𐀽𐀄𐀒	ze-u-ko	ζεύγος		a pair
𐀃	ο-	ο-		introductory/prothetic world ‘who, in this manner’  (see also ‘jo-’)
𐀓𐀬𐀱pa3	ku-ru-su-pa3	χρυσυφαία;	golden	kind of pot  (tripodamphora)
𐀟𐀩sa2	pe-re-sa2	Πρέσφα	Presfa	goddess’s name
𐀟𐀩sa2𐀍	pe-re-sa2-jo	Πρέσφαιον		sanctuary dedicated to ‘Presfa’
𐀠sa2	pi-sa2	Πίσφα	≠ Pisa	place name
𐀂𐀤𐀀	  i-qe-a	 (πότνεια) Ιπ (π)εία		goddess’s name (‘mistress of the horses’)
 𐀂𐀥𐀍	 i-qi-jo	ιπ (π)ίω		chariot
*a𐀒	*a-ko	άγος		holy place/grove,valley  (see ‘ti-mi-to-a-ke-e’)
