Rank 	Rank 	Character 	Character 	Romanizations 	Notes 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Notes 	Notes 	Notes 
35	29	董 	董 	Dǒng 	direct, supervise, mentor 	Tung3 	Dung2 	Tung 	Tong 	TángTóng (Z) 	Tong 	Túng 	Tung 	Tûng 	 	Viet. 	Đổng 	 	 	direct, supervise, mentor 
36	33	袁 	袁 	Yuán 	a long robe 	Yüan2 	Jyun4 	Yuen 	Wan 	Oân 	Wang 	Yèn 	Yen 	Iōn 	 	Viet. 	Viên 	*ɢʷan 	Hjwon 	a long robe 
37	52	潘 	潘 	Pān 	name of a river that flows into the Han 	Pan1 	Pun1 	PoonPun 	Pun 	Phoaⁿ 	Phua 	Phân 	PanPhan 	Phon 	 	Viet. 	Phan 	 	 	name of a river that flows into the Han 
38	28	于 	于 	Yú 	in, on, at; go to 	Yü2 	Jyu1 	Yue 	U 	Î (Z)Û (X)U (Q, K, T) 	Yee 	Yî 	Yee 	Uī 	 	Viet. 	Vu 	*ɢʷa 	Hju 	in, on, at; go to 
39	43	蔣 	蒋 	Jiǎng 	wild rice (Zizania latifolia) 	Chiang3 	Zoeng2 	Tseung 	Cheung 	Chiúⁿ (X, Q, K, T)Chióⁿ (Z) 	CheohChioh 	Tsiòng 	Cheong 	Chiông 	 	Viet. 	Tưởng 	 	 	wild rice (Zizania latifolia) 
40	44	蔡 	蔡 	Cài 	State of Cai 	Tsai4 	Coi3 	Choi 	ChoyTsoiToy 	Chhoà 	Chua 	Chhai 	ChaiChoi 	Chhói 	 	Viet. 	TháiSái 	*s.r̥ˤat-s 	TshajH 	State of Cai 
41	51	余 	余 	Yú 	extra, surplus 	Yü2 	Jyu4 	YuYue 	UYee 	Î (Z, K, T)Û (X, K, T)Îr (Q) 	EeEu 	Yì 	Yee 	Uī 	 	Viet. 	Dư 	*la 	Yo 	extra, surplus 
42	53	杜 	杜 	Dù 	To prevent[17] 	Tu4 	Dou6 	To 	DoTou 	Tō͘ (X, Z, K, T)Tǒ͘ (Q) 	Toh 	Thu 	ToToh 	Thù 	 	Viet. 	Đỗ 	 	 	To prevent[17] 
43	49	葉 	叶 	Yè 	Leaf 	Yeh4 	Jip6 	Yip 	IpYeap 	Ia̍p 	Yap 	Ya̍p 	Yap 	Iep 	 	Viet. 	Diệp 	*lap 	Yep 	Leaf 
44	31	程 	程 	Chéng 	rule, order, regulation, procedure, journey 	Cheng2 	Cing4 	Ching 	Cheng 	Thiâⁿ (X, Q, K, T)Thêeⁿ (Z) 	Thia 	ChhàngChhìn 	ChangChin 	Tháng 	 	Viet. 	Trình 	*C.lreŋ 	Drjeng 	rule, order, regulation, procedure, journey 
45	41	蘇 	苏 	Sū 	Come to 	Su1 	Sou1 	So 	Sou 	So͘ 	Soh 	Sû 	Soo 	Su 	 	Viet. 	Tô 	*s.ŋˤa 	Su 	Come to 
