smoke / soot,Schmutz / Asche ,灰 (sm)huī,smutch,,木星 mùxīng planet  => Shun God   
scorch,s’火 z’huǒ chaud/ shining!,灼 zhuó,,,
burn,brand,燃烧 (b)rán, ,,
father,father,父 fù,,𓇋𓏏 fEδer,牡 mǔ  Vatertier lol
piece,piece/ plain/ planar/ plane,片 piàn ,,,
cow,gnu,牛 (牜/ ⺧) niú 	ngưu,,,Nan Bull
dog,κύon chien Hund 狗gǒun,犬 quǎn  (大da+g=dog),daquan Dogge,,gen.hun kuon @ Greek <> 干 gan  vs duck-hunt
sehr,“schon schön” -> sehrn,甚 shèn,,,上 shàng 升 shēng 什 shén
[you],!!,由 yóu,,,~Ursache <> ian/yin/io/yi/yu/yue(moon)/月/justice/you/youth [pure]
cows,Kuh-Vieh(l) ,畜 chù ,,,tongue
piece of cloth/ skin …,piece of cloth / peal ,疋 (⺪) pǐ ,,pi+𓋳piece,drape
white,bright  b𓇳 vai.de,白 baí,brekh/ bvait,,
emperor (Kaiser),KING imperator,皇 huáng ,,,太后 tai huo : big house / mother   	Daimyo
peal pelle,peal,皮 pí,pyλ,,
stane,der Stein,石 shí, ,,
carriage / sledge,Hund / Hunt ,矿车 kuàngchēn,,,buggy <> bergy / doggy ?
bang: strike,,碰 [碰] pèng,,,
grain,hay/Heu/Hafer,禾 hé,,,hn->korn 颗 [顆] kē !   灰 huī Staub
lieb,like,类 lèi,,,
net (catch),Fang-Netz,网 wǎng,phuan,,
Zunge,thongue,舌 shé,,𓄓 F20 waitshe ,
chewy,gnawy,艮  gěn,gen,zeugen 出  chūn hen,-> Gnu Leder 艮=?  ♀ Yan -> muyan=eye <> Eule 鸮形目
grass,Kau-Heu,艸 (艹) cǎo ~ 草 cǎo ,,,蚱蜢 zhàměng Grashüpfer 
chew cow,kau Kuh,艸 cǎo (艹) ,,出 chū,
by,bei/ beim  Präp.,边 biān, ,,
long,lang,长 [長] cháng / lang!,lang,,
gate,two men minding door,门 mén  門,M,ᛗ ,rune ᛗ manaz = men
question/ inquiary,when wen wann…  [men],问 [問] wèn,kwan/ phoon,Q3  𓊪   kou/phon ,when/ whom/ wen/ wann/ qua/ quan/ quando
harm/ Not,nein!,难 nàn,—,,<> nan bull
sehr,,非常 cháng,,,
leather,Gerb-leder,革 gé,,,
cereal corns,Gersten Kern Hirse Getreide ,颗 kē 禾 hé 核 hé,kherste,gähr    𓌽    𓌾,-> Mai 麦 dàmài  Ma@horse…
mare (horse),Mähre (“old horse”),马 [馬] mǎ ,mark? [horse],,(Saxen?-) Maat / Maut
tall,groß,高 gāo ,,國 guó (Gautal),
grain,Mais/ millet/ Malz,麥 mài / 麦 mài,,-> 米 mǐ  millet,mǐ  leis/ like
,nicht hell: dunkel  Adj.,黑 [黑] hēi, ,,
,,,,,
head,top ,头 tóu,,toupet,
son/ heir,er (versus ‘sie’),儿 ér   兒,,,
some,je/ jeweils/ sie,几 jǐ, ‘JI’ letters,,
self, je fr,己 jǐ,,,
seit/ selbst,since/ sich,自zì,,<> Zeit!,
thing/ thingamajig,Dings(bums),东西 dōngxi,ding=approach,东dong=opener,東 dong = east   叮当 dīngdāng  ding dong 
court,Rechts-Ding  Thing,厅 tīng 廷 tíng  ,,亭,定 dìng = (rechts)fest   Halle/Saal  -> Tenne?
go,rei.sen,行 xíng,,,
line,hang in line,行 háng,,,
,,J pie,J Biegung,,
,,l jue,gimel,,
one,ein,一 yī ,1,yuan uan,<> yi iana
roof,maurn monument 𓏠 ,宀 mián,MN+ia,N35 𓈖 Memnon 𓏠 ,Wellblechdach ;)
m/ meter,der Meter,米 mǐ ,,,
dagger,Dolch,刀 dāo,,,
,Stärke,力 [力] lì,L,,
,,,,,
earth,Terra Erde vs Air dual 𓈇 TURBAt!,土 tǔ,tur / ta / terra,ta / ter N23     𓈇,TURBAT@Hin/Per/Tur/Arab!!! disturbe! vs Earthu vs Monthu  ~ dìr 地 tyr vs TON!   屯 tún	𓊖𓊖=twin <>市 shì

red,tain Ton Ton,丹 dān/ tan,,<> δan chéng=orange,dash-red : tau-s-t 𓆼 
dawn!,,旦 dàn,,丹 dān,Morgenrot
[♀ in Oper],Donna/ dance,旦 dàn,,,𒌋𒁯𒈬 Ischtar Morgenstern
bejähred,¬youth yeared,旧 jiù,,老lǎo lau,
stand / sands: beach,der Strand / Stand ,滩 `tān [质],MERKUR!!,,
visitor,Visiten,探 tàn,visi-tan,,<> town tang tent
secret,si.kur.as,私 sī,,,
Maß / Waage,holy Maat -> maths/ right etc,巫 ma / wū,Magi,S23 MaTh.MaTch   𓋬 ,S38	hequa hex+t     𓋾  Magie
scholar,der Schüler Gelehrte,士 shì  , ,T18 shli  𓌞  = Schüler,xuel T18 fall.schlitten  𓌞  = follower  
,2er duo = too many,duō多,,,夕夕tuer:kill 
,,大 đại,,,
son,Zieh-Sohn/ Dimuzi=true son,子 zǐ,,G39 𓅭 goosen=son,Dimu : xuem blood
sprout,~shoots,屮 chè,na.tsher,M22 tsher 𓇑,nature ->  sher/hr 𓇑  shu 𓇓
gen.erate,nat.churn,出 chū,nat.gen ,M23 shu 𓇓,
DO create ~ 作 zuō,zu(zeh)+U Schuh! qu/zuo/…,出 chū,,,
Mount,Schanze,山 shān,вerшinа,Cyrillic: Sha Ш,Sha Ш  =  Phoenician Shin 十  shí   -> 	申  shēn ?  coptic Ϣ 三 sān,,,,,Anshan …,Shanghai …,,
 (Jupiter…),Windgott,巛 (川/ 巜) chuān,Schu / Tiuw,PTR,vs 彡shān  Aschur … 三 sān  
 pound,pound / pochen ,攴 pū,,A34  𓀧 S42 𓌂  vs D40+ ,punch
 slice,piece,片 piàn,,,fälln?
field/ land,-tian (i.e. Egyptian),田 tián + tuan?<<,-tian,*diǎn.电典单 Shàn,Tenne 
arrow (shoot),schieß,矢 shí,,,𓊃𓈙𓂋𓌕 Schießer 𓍱𓋴𓂋𓌕 !   shot [arrow]
shoot,schieß,射 shè,,矢 shí,摄 [攝] shè = shoot picture
spirit soul,Seele,示 (礻) shì’,,,shini~genie ♀ ghosh
road track,route,禸 róu,,rohd,
stand (erect),lift,立 lì,ri(se) <-> li(ft),,力 lì  Riesen-Stärke        里 lǐ liter? length -> lines !
silk,silk,糸/糹/丝 sī,,,
vat,Fass,缶 fǒu,bvouth,W14	FAss  𓎿  ,W1 bvase 𓎯 -> Bath-Kat 
lead a plow,lenk den Pflug,耒 lěi,,,
ear!,ear,耳 ěr,,F21 Ohr(d)    𓄔    𓄕,M36 [n]ohr   𓇥   Ohr/reu(se) D21  𓂋 
see,śeihàn sehen,見 	jiàn,,,xǐng省 seen->examine jian
,sehen/moigen,見面 jiànmiàn,,,mian
mvoir eiyen oigen Augen,sehen/moigen,目眼 mùyǎn,,𓁹    𓁺         𓁻,mvoir muyan mayer <> Muschel! mui 眉méi=Braue/brows 眯mí=Mais-im-Auge 
sehen,see,視 qù/ shì,,,
