Nr	english	word / syllables	PIE	normed cuneiform
5.230 	roast, fry 	kura-; ku-ra-at; ku-ra-ak	𓈎 𓂋 𓂋 𓊮 | cook | gare-	
5.340 	pitcher, jug 	piti; pi-ti	pot / pitcher	
5.370 	spoon 	ki-mal-tam	চামচ camôc; ḵāšūʾa-maʿláʾa™ <> camel-toe? <> джэмышх	
5.380 	knife (2) 	du-šu-um-ya; du-ši-um; du-ši-um-ir-ra	<<<	
5.510 	bread 	ši-ip-ru-um; ši-ip-ri-um	𒃻 superum < tupan 𓏏 𓏐 𓏳 𓏥  	
5.550 	meal, flour 	e-ul; u-ma-ma	ma.eul meal	
5.710 	fruit 	hurpi; hu-ur-pi; zib-ba		
5.750 	fig 	pi-ut-	pruit > fruit	
5.760 	grape 	šá-ap-pan-na; šap	•srp > sap saft	
5.790 	oil 	appi; ap-pi	appion 𓄡 𓊪 𓈖 𓃾  πίων píōn 𓊪𓈖	
5.791 	grease, fat 	abba; ab-ba	appion 𓄡 𓊪 𓈖 𓃾  πίων píōn 𓊪𓈖	
5.810 	salt 	anzi; an-zí	asin 盐 sièng давсн dansun  소금 ⵜⵉⵙⵏⵜ f tisnt ꞌúnaˢ নুন nunˢ öönga oónaˢ nzauv	
5.840 	honey 	hal -la -ki		
5.860 	milk (noun) 	sir-na	шура ʃu͡ʊrə šir sîr zsír √sour @Ural/Caucas	
5.880 	cheese 	pa	<> pan?	
5.940 	fermented drink 	an-na-in		
6.130 	tailor 	šá-h-ši-ik-ra	sack-secker {Schneider}	
6.210 	cloth 	tam-ši-um; ik-tin	<<<< <> Tuch :	
6.220 	wool 	tuk-ki-me; tuk-na; im-na	Tuch 𔕬 tú •Tuch 𔕪 tex 𔕫 𔕩 𒌆⋍𒉇 TÚG² 𒋳	
6.230 	linen, flax 	zali; za-li		
6.240 	cotton 	qa-li-tam	colttom coltton	
6.270 	felt 	da-bar-ri-um	dabar > der 𓂧𓂋𓄛  θήρ ?	
6.290 	leather 	šá-ir-šá-at-ti	𓂧 𓂋 𓄛	
6.330 	weave 	kurza-; kur-za-iš; kur-za-qa		
6.410 	cloak 	uk-ku-la-ki		
6.430 	coat 	hu-el-ip		
6.510 	shoe 	ha-šá-ir	ha.shoer	
6.550 	hat, cap 	uk-ku.ba-ti	a'cap™	
6.580 	glove 	kur-ip	𓂧 χειρό 𓎼 𓄿 𓃀 𓂢  ⋆carp	
6.710 	ornament, adornment 	qa-ar-ra-h; qa-ar-ra-ha	𓄡 𓎡 𓂋 𓅱 𓐬 𓏛 𓏥  ; 𓅱 𓋴 𓐍 𓋝 	
6.730 	ring (for finger) 	šà-mi; si-mi-it-tum	𓈙 𓈖 𓍶 Saum 𓍲 𓈖 𓏌 𓍶	
6.910 	comb 	ah-hu-um; a-h-hu-im	a' ḫom < Kamm < comb	
6.940 	ointment 	hasu; ha-su-ip; mi-ir-ri-h	𓐛 𓊃 𓏲 𓏌 𓏥  mhyrre	
6.960 	mirror 	šu-ha; šu-ha.zi-la	𓋹 𓏤 𓈔  / 𓌴 𓁹 𓄿 𓅱 𓁷 𓏤 𓈔 	
7.120 	house 	a-a-in; a-hi-in; ha-a-in; a-i-in; a-a-ni	𒂍 ᴴÉᵒⁿ < Hain homes	
7.150 	yard, court 	tu-uš; ulhi; ul-hi		
7.220 	door, gate 	hu-el; hi-el; el; e-el; e-ul; ú-el; lu-gu-ú	hall	𒌨𒂖 𒄭𒂖 𒂖 𒂊𒂖 𒂍𒂖 𒌑𒂖
7.221 	doorpost, jamb 	hal-ti; ha-al-te-te		
7.250 	window 	ku-un-nir		
7.270 	wall 	te-ip-ta; hu-hu-un		
7.320 	stove 	ku-ra-am-ma; ku-ra-na		
7.422 	blanket 	gi-ut-máš-te; gi-ut-máš-ti		
7.450 	lamp, torch 	hun; hu-ni-ir; hu-un-pu		
7.510 	roof 	a-ri; ku-uk; me-nu-me		
7.550 	beam 	te-ti		
7.560 	post, pole 	šali; ša-li		
7.570 	board 	šil-tur		
7.620 	brick 	e-ri-en-tum; ú-ri-en-tu; hu-us-si-ip; ú-pa-at		
8.120 	field (for cultivation) 	hal-la		
8.130 	garden 	ya-ad-da		
8.210 	plow 	āpi-; a-a-pi-h		
8.240 	shovel 	atti; at-ti; šullu; šu-ul-lu		
8.250 	hoe 	at-ti		
8.311 	seed 	par; pa-ar		
8.410 	crop, harvest 	hal-te-me; šu-lu-um		
8.420 	grain (barley, oats etc) 	tarmi; tarmu; tar-mi; tar-mu; mu-ša-al-lu		
8.430 	wheat 	ši-man		
8.440 	barley 	kur-ru-sa; nu		
8.570 	flower 	mi-ik-ki-ma		
8.760 	sap 	in-na-in; mu-ul-li; mi-el; mi-ul		
9.110 	do, make 	huta-; hu-ud-da; hu-taš; hu-tan-ki; hu-ut-táh; hu-ut-te-eš		
9.160 	tie, bind 	rabba-; ra-ab-ba-h; ráb-ba-qa		
9.190 	rope, cord 	šá-am		
9.210 	strike (hit, beat) 	halpi-; halpu-; hal-pu-h; hal-pi-ya		
9.220 	cut 	máš-áš; šahši-; šá-h-ši-qa		
9.250 	ax 	ipiš; i-pi-iš; hi-pi-is		
9.330 	pull 	sa-; sa-h		
9.430 	carpenter 	be-la-ti-ra; kiš-ki-ip-man-na		
9.440 	build 	kuši-; ku-ši-ha; ku-si-iš; ku-ši-ik		
9.460 	bore 	du-li-ib-be		
9.480 	saw 	el-pi		
9.490 	hammer 	sa-el		
9.500 	nail 	sikti; zikti; si-ik-ti; zik-ti-ip		
9.600 	smith, blacksmith 	kás-zí-ra		
9.610 	forge 	kassa-; kassi-; kazza-; kazzi-; qa-as-si-it-ri; qa-az-za-ak		
9.630 	cast (metals) 	šari-; ša-ri-h		
9.640 	gold 	la-an-si-ti-e; la-áš-da		
9.650 	silver 	lani; la-a-ni		
9.660 	copper, bronze 	e-ri-ni; sa-h; sa-hi-i; si-hi-kak		
9.670 	iron 	har-gi; har-ki-an-na		
9.680 	lead (noun) 	ri-kur		
9.690 	tin, tinplate 	a-na-ku		
9.730 	clay 	halat; ha-la-at		
9.760 	basket 	še-ri-it		
9.771 	rug 	za-ba-ar		
9.890 	paint (vb) 	karsu-; kar-su-iš-da; kar-su-qa		
10.252 	catch (ball) 	mari-; ma-ri-h; ma-ri-en-t		
