folio	side	line	text
9	back	7	qo.chol.chol.{ct}chy.daiin.<->otal.<->dor.<->daim
9	back	8	soiin.daiin.qokcho.rokyd.<->daly
9	back	9	daiin.chy.tor.chyty.dary.<->ytoldy
9	back	10	oty.kchol.chol.chy.kyty
9	back	11	ychor.chshoty.oky,kaiin
9	back	12	chkaiin.ckhy.chor<$>
10	front	1	pchocthy.shor.octhody.chorchy.pchodol.chopchal.ypch,kom
10	front	2	dchey.cthoor.char.chty.os,chair.otytchol.oky.daiin.etyd
10	front	3	qotor.o,tchy.daiin.chocthy.qotchy.chol.or.yty.dy.dy
10	front	4	sor.chaiin.chcthy.ctho,ckhy.or.aiin.chtchor.doii[r:n].ody
10	front	5	qokchy.qotchol.chol.cthy<$>
10	front	6	ycheor.cthy.chor.cthaiin.qoctholy.dy.<->chy.taiin.shy
10	front	7	dchy.qokchol.ydain.dair,am
10	front	8	qotchor.chor.otol.chol.cholor.<->chol.daiin.dar
10	front	9	oykchor.shor.chor.chy.kaiiin.dy.<->chodaiin
10	front	10	oqot[o:a]r.otor.cfhy.cthor.osain.<->ytoiin
10	front	11	@135;otchoshor.qoty.qotor.cthyd.<->otar
10	front	12	@135;odaiin.daiin.qotchy.qotor<$>
10	back	1	paiin,daiin.sheo.pcheey.qoty.daiin.cthor.otydy.sain
10	back	2	dain.daiin.ckhy.chcthor.choiin.qot.chodaiin.cthy.daiin
10	back	3	dsho.ytey.kchol.ol
10	back	4	qotchytor.shoiin.daiin.qotchey.sh{cthh}y.ytor.dain
10	back	5	sho,ykeey.daiin.qotchy.qotor.chol.daiin.qokchy,ky
10	back	6	shoiin.chor.shcthy.qoty.qotoiin.qokol.chor,aiin
10	back	7	qokol.chy
11	front	1	tshol.schoal.cfhy.shfydaiin.cphy.shey.tchody.shoyty
11	front	2	socthody.qodor,y.kshy.daiin.ytchy.ytchoky.kchol.daiin
11	front	3	qoty.chol.cthy.d[o:a]r.ykychy.choty.dain.chaiin.daiin.d[o:e]d
11	front	4	dchol.chy.kchy.dy.daiin<$>
11	front	5	tchol.shor.shor.dky.{c'h@148;h}y.daiin.cthy.d,y,chodl,daiin
11	front	6	odl.d,s,y.otol.chaiin.ykchor.dair.chody.cthy.s.daiin
11	front	7	qotchy.okchol.cthy.dy<$>
11	back	1	poldchody.shcphy.shordy.qoty.<->shol.cphar.dan,y
