chain_length	codes	glyphs
5	M377+M377 M365 M075 M387/M325 M263/M002/M036	𜋂(M377+M377)  𜊅(M365)  𛸳(M075)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
5	M252 M136 M056 M288 M124/M242/M047/M218/M388	𜂊(M252)  𛻰(M136)  𛷱(M056)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
5	M006 M367/M362/M153 M346 M006-cluster M362/M367/M153	𛵉(M006)  𜊊/𜉮/𛽆(M367/M362/M153)  𜈽(M346)  [M006-cluster](M006-cluster)  𜉮/𜊊/𛽆(M362/M367/M153)
5	M176 M297 M218/M242/M047/M388/M124 M288 M124/M242/M047/M218/M388	𛾍(M176)  𜅸(M297)  𛿺/𜀺/𛷊/𜌓/𛻃(M218/M242/M047/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M321 M005 M376 M203	𜇼(M321)  𛵇(M005)  𜊽(M376)  𛾳(M203)
4	M149 M054 M288 M124/M242/M047/M218/M388	𛼰(M149)  𛷪(M054)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
4	M153/M367/M362 M346 M006-cluster M362/M367/M153	𛽆/𜊊/𜉮(M153/M367/M362)  𜈽(M346)  [M006-cluster](M006-cluster)  𜉮/𜊊/𛽆(M362/M367/M153)
4	M193 M371 M124/M242/M047/M218/M388 M288	𛾚(M193)  𜊩(M371)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)  𜄱(M288)
4	M323 M036/M002/M263 M387/M325 M263/M002/M036	𜈆(M323)  𛶎/𛴾/𜃁(M036/M002/M263)  𜋾/𜈒(M387/M325)  𜃁/𛴾/𛶎(M263/M002/M036)
4	M066/M377 M218/M242/M047/M388/M124 M288 M124/M242/M047/M218/M388	𛸗/𜋀(M066/M377)  𛿺/𜀺/𛷊/𜌓/𛻃(M218/M242/M047/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
