chain_id	row_type	step	count	chain_length	codes	glyphs	from_code	from_glyph	to_code	to_glyph
3	summary			11	M260/M260~1 M106~a/M106/M106~b M009/M009~a/M009~g M206~g/M206~d/M206~fa/M206~b/M206~f M102~e/M102~d/M102~a/M102~da M309~a/M309~d/M309 M362+M059~d/M362+M059 M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1/M153/M362/M362~a/M362~b M346/M346~a/M346~b/M346~d/M346~1/M346~c/M346~a2 M005~a/M006/M006@g/M006@g~1/M006~b M362/M362~a/M362~b/M153/M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1	𜂧/𜂨 𛺉/𛺄/𛺊 𛵓/𛵔/𛵙 𛿃/𛾿/𛿂/𛾾/𛿁 𛹱/𛹮/𛹬/𛹰 𜆾/𜇁/𜆽 𜉴/𜉳 𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌/𛽆/𜉮/𜊁/𜊂 𜈽/𜈿/𜉄/𜉆/𜈾/𜉅/𜉁 𛵈/𛵉/𛵊/𛵋/𛵍 𜉮/𜊁/𜊂/𛽆/𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌				
3	step	1	7				M260	𜂧	M106	𛺄
3	step	1	2				M260	𜂧	M106~a	𛺉
3	step	1	1				M260~1	𜂨	M106	𛺄
3	step	2	13				M106~a	𛺉	M009	𛵓
3	step	2	12				M106	𛺄	M009	𛵓
3	step	3	21				M009	𛵓	M206~g	𛿃
3	step	4	20				M206~g	𛿃	M102~e	𛹱
3	step	4	1				M206~g	𛿃	M102~d	𛹮
3	step	5	19				M102~e	𛹱	M309~a	𜆾
3	step	5	1				M102~d	𛹮	M309~a	𜆾
3	step	6	2				M309~a	𜆾	M362+M059~d	𜉴
3	step	6	1				M309~a	𜆾	M362+M059	𜉳
3	step	7	1				M362+M059~d	𜉴	M367	𜊊
3	step	7	1				M362+M059	𜉳	M367	𜊊
3	step	8	10				M367	𜊊	M346	𜈽
3	step	8	5				M153	𛽆	M346	𜈽
3	step	8	4				M362	𜉮	M346	𜈽
3	step	8	3				M362~a	𜊁	M346~a	𜈿
3	step	8	3				M367~a	𜊋	M346~a	𜈿
3	step	8	3				M367~d	𜊐	M346	𜈽
3	step	8	2				M367~g	𜊓	M346	𜈽
3	step	8	1				M367	𜊊	M346~c	𜉅
3	step	8	1				M367~c	𜊏	M346~a2	𜉁
3	step	8	1				M367	𜊊	M346~1	𜈾
3	step	8	1				M362	𜉮	M346~1	𜈾
3	step	8	1				M362~a	𜊁	M346	𜈽
3	step	8	1				M362~b	𜊂	M346~a3	𜉂
3	step	8	1				M367~c	𜊏	M346	𜈽
3	step	8	1				M367~d	𜊐	M346~a	𜈿
3	step	8	1				M367	𜊊	M346~a2	𜉁
3	step	9	6				M346	𜈽	M006	𛵉
3	step	9	5				M346~a	𜈿	M006@g	𛵊
3	step	9	1				M346	𜈽	M005~a	𛵈
3	step	9	1				M346~c	𜉅	M006	𛵉
3	step	9	1				M346~a2	𜉁	M006	𛵉
3	step	9	1				M346~1	𜈾	M006	𛵉
3	step	9	1				M346	𜈽	M006@g~2	𛵌
3	step	10	4				M006	𛵉	M362~a	𜊁
3	step	10	2				M006@g	𛵊	M367	𜊊
3	step	10	2				M006	𛵉	M362	𜉮
3	step	10	1				M006	𛵉	M367~a1	𜊌
3	step	10	1				M006	𛵉	M362~b	𜊂
3	step	10	1				M006	𛵉	M367~f	𜊒
4	summary			10	M101 M009/M009~a/M009~g M206~g/M206~d/M206~fa/M206~b/M206~f M102~e/M102~d/M102~a/M102~da M309~a/M309~d/M309 M362+M059~d/M362+M059 M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1/M153/M362/M362~a/M362~b M346/M346~a/M346~b/M346~d/M346~1/M346~c/M346~a2 M005~a/M006/M006@g/M006@g~1/M006~b M362/M362~a/M362~b/M153/M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1	𛹪 𛵓/𛵔/𛵙 𛿃/𛾿/𛿂/𛾾/𛿁 𛹱/𛹮/𛹬/𛹰 𜆾/𜇁/𜆽 𜉴/𜉳 𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌/𛽆/𜉮/𜊁/𜊂 𜈽/𜈿/𜉄/𜉆/𜈾/𜉅/𜉁 𛵈/𛵉/𛵊/𛵋/𛵍 𜉮/𜊁/𜊂/𛽆/𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌				
4	step	1	3				M101	𛹪	M009	𛵓
4	step	2	21				M009	𛵓	M206~g	𛿃
4	step	3	20				M206~g	𛿃	M102~e	𛹱
4	step	3	1				M206~g	𛿃	M102~d	𛹮
4	step	4	19				M102~e	𛹱	M309~a	𜆾
4	step	4	1				M102~d	𛹮	M309~a	𜆾
4	step	5	2				M309~a	𜆾	M362+M059~d	𜉴
4	step	5	1				M309~a	𜆾	M362+M059	𜉳
4	step	6	1				M362+M059~d	𜉴	M367	𜊊
4	step	6	1				M362+M059	𜉳	M367	𜊊
4	step	7	10				M367	𜊊	M346	𜈽
4	step	7	5				M153	𛽆	M346	𜈽
4	step	7	4				M362	𜉮	M346	𜈽
4	step	7	3				M362~a	𜊁	M346~a	𜈿
4	step	7	3				M367~a	𜊋	M346~a	𜈿
4	step	7	3				M367~d	𜊐	M346	𜈽
4	step	7	2				M367~g	𜊓	M346	𜈽
4	step	7	1				M367	𜊊	M346~c	𜉅
4	step	7	1				M367~c	𜊏	M346~a2	𜉁
4	step	7	1				M367	𜊊	M346~1	𜈾
4	step	7	1				M362	𜉮	M346~1	𜈾
4	step	7	1				M362~a	𜊁	M346	𜈽
4	step	7	1				M362~b	𜊂	M346~a3	𜉂
4	step	7	1				M367~c	𜊏	M346	𜈽
4	step	7	1				M367~d	𜊐	M346~a	𜈿
4	step	7	1				M367	𜊊	M346~a2	𜉁
4	step	8	6				M346	𜈽	M006	𛵉
4	step	8	5				M346~a	𜈿	M006@g	𛵊
4	step	8	1				M346	𜈽	M005~a	𛵈
4	step	8	1				M346~c	𜉅	M006	𛵉
4	step	8	1				M346~a2	𜉁	M006	𛵉
4	step	8	1				M346~1	𜈾	M006	𛵉
4	step	8	1				M346	𜈽	M006@g~2	𛵌
4	step	9	4				M006	𛵉	M362~a	𜊁
4	step	9	2				M006@g	𛵊	M367	𜊊
4	step	9	2				M006	𛵉	M362	𜉮
4	step	9	1				M006	𛵉	M367~a1	𜊌
4	step	9	1				M006	𛵉	M362~b	𜊂
4	step	9	1				M006	𛵉	M367~f	𜊒
5	summary			9	M175+M288 M292/M292~f/M292~i/M292~c/M292~a/M292~h M102~e/M102~d/M102~a/M102~da M309~a/M309~d/M309 M362+M059~d/M362+M059 M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1/M153/M362/M362~a/M362~b M346/M346~a/M346~b/M346~d/M346~1/M346~c/M346~a2 M005~a/M006/M006@g/M006@g~1/M006~b M362/M362~a/M362~b/M153/M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1	𛾄 𜅊/𜅏/𜅑/𜅌/𜅋/𜅐 𛹱/𛹮/𛹬/𛹰 𜆾/𜇁/𜆽 𜉴/𜉳 𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌/𛽆/𜉮/𜊁/𜊂 𜈽/𜈿/𜉄/𜉆/𜈾/𜉅/𜉁 𛵈/𛵉/𛵊/𛵋/𛵍 𜉮/𜊁/𜊂/𛽆/𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌				
5	step	1	1				M175+M288	𛾄	M292~i	𜅑
5	step	1	1				M175+M288	𛾄	M292	𜅊
5	step	2	3				M292~f	𜅏	M102~d	𛹮
5	step	3	19				M102~e	𛹱	M309~a	𜆾
5	step	3	1				M102~d	𛹮	M309~a	𜆾
5	step	4	2				M309~a	𜆾	M362+M059~d	𜉴
5	step	4	1				M309~a	𜆾	M362+M059	𜉳
5	step	5	1				M362+M059~d	𜉴	M367	𜊊
5	step	5	1				M362+M059	𜉳	M367	𜊊
5	step	6	10				M367	𜊊	M346	𜈽
5	step	6	5				M153	𛽆	M346	𜈽
5	step	6	4				M362	𜉮	M346	𜈽
5	step	6	3				M362~a	𜊁	M346~a	𜈿
5	step	6	3				M367~a	𜊋	M346~a	𜈿
5	step	6	3				M367~d	𜊐	M346	𜈽
5	step	6	2				M367~g	𜊓	M346	𜈽
5	step	6	1				M367	𜊊	M346~c	𜉅
5	step	6	1				M367~c	𜊏	M346~a2	𜉁
5	step	6	1				M367	𜊊	M346~1	𜈾
5	step	6	1				M362	𜉮	M346~1	𜈾
5	step	6	1				M362~a	𜊁	M346	𜈽
5	step	6	1				M362~b	𜊂	M346~a3	𜉂
5	step	6	1				M367~c	𜊏	M346	𜈽
5	step	6	1				M367~d	𜊐	M346~a	𜈿
5	step	6	1				M367	𜊊	M346~a2	𜉁
5	step	7	6				M346	𜈽	M006	𛵉
5	step	7	5				M346~a	𜈿	M006@g	𛵊
5	step	7	1				M346	𜈽	M005~a	𛵈
5	step	7	1				M346~c	𜉅	M006	𛵉
5	step	7	1				M346~a2	𜉁	M006	𛵉
5	step	7	1				M346~1	𜈾	M006	𛵉
5	step	7	1				M346	𜈽	M006@g~2	𛵌
5	step	8	4				M006	𛵉	M362~a	𜊁
5	step	8	2				M006@g	𛵊	M367	𜊊
5	step	8	2				M006	𛵉	M362	𜉮
5	step	8	1				M006	𛵉	M367~a1	𜊌
5	step	8	1				M006	𛵉	M362~b	𜊂
5	step	8	1				M006	𛵉	M367~f	𜊒
