rank	count	glyph	base	variants	super	similar	
113	2	𛿈	M207	𛿍 M207~e×1, 𛿈 M207×1			
114	2	𜁨	M248	𜁰 M248~g×1, 𜁫 M248~c×1			
115	2	𜅇	M291	𜅇 M291×1, 𜅈 M291~a×1			
116	2	𜃓	M265	𜃓 M265×1, 𜃗 M265~f×1			
117	2	𛾑	M180	𛾓 M180~b×2			
118	2	𜄭	M286	𜄭 M286×2			
119	2	𜊛	M370	𜊛 M370×2			
120	2	𛺄	M106	𛺄 M106×2			
121	2	𜄉	M278	𜄐 M278~e×1, 𜄌 M278~b×1			
122	2	𜈙	M327	𜈙 M327×2			
123	2	𛵁	M003	𛵁 M003×1, 𛵂 M003~b×1			
124	2	𛹐	M086	𛹐 M086×2			
125	2	𛶟	M037	𛶟 M037×2			
126	2	𛵉	M006	𛵉 M006×2			
127	2	𛻳	M136+M365	𛻳 M136+M365×2			
128	2	𛹪	M101	𛹪 M101×2			
129	2	𜀓	M222	𜀓 M222×2			
130	2	𜈻	M344	𜈼 M344~d×2			
131	2	𛺣	M112	𛺣 M112×1, 𛺭 M112~i×1			
132	2	𜋂	M377+M377	𜋂 M377+M377×2			
133	2	𛾍	M176	𛾍 M176×2			
134	2	𜇖	M316	𜇖 M316×1, 𜇛 M316~a×1			
135	2	𜄄	M277	𜄇 M277~h×1, 𜄄 M277×1			
136	2	[M393]	M393	𜌘 M393~a×1, 𜌜 M393~fa×1			
137	1	𛼸	M150	𛼹 M150~a×1			
138	1	𜈚	M327+M044	𜈚 M327+M044×1			
139	1	𜈵	M343	𜈵 M343×1			
140	1	𛽻	M175+M131	𛽼 M175+M131~d×1			
141	1	𜍛	M495	𜍛 M495×1			
142	1	𜍜	M496	𜍜 M496×1			
143	1	𜈳	M342	𜈳 M342×1			
144	1	𜅴	M296	𜅴 M296×1			
145	1	𛽉	M153+M106	𛽊 M153+M106~a×1			
146	1	𜇼	M321	𜈁 M321~fa×1			
147	1	[M257]	M257	𜂢 M257~d×1			
148	1	𜇇	M312	𜇊 M312~f×1			
149	1	𛸅[M038]	M059+M038	𛸆 M059+M038~a×1			
150	1	𛵷	M029	𛵸 M029~a×1			
151	1	𛺸	M120	𛺸 M120×1			
152	1	𜉉	M348+M004	𜉉 M348+M004×1			
153	1	[M009 ≈ M035M09 ≈ M3]	M009 ≈ M035M09 ≈ M3	𛶍 M009~d ≈ M035M09~d ≈ M3×1			
154	1	𛽿	M175+M153	𛽿 M175+M153×1			
155	1	𜋔	M382	𜋖 M382~b×1			
156	1	𛻛	M131	𛻞 M131~d×1			
157	1	𜋄	M377+M383+M377	𜋄 M377+M383+M377×1			
158	1	[M073]	M073	𛸪 M073~b×1			
159	1	𛹓	M088	𛹓 M088×1			
160	1	𛽽	M175+M136	𛽽 M175+M136×1			
161	1	𛾸	M205	𛾽 M205~g×1			
162	1	[M075]	M075	𛹀 M075~s×1			
163	1	𜇟𜃪	M317+M269	𜇟𜃪 M317+M269×1			
164	1	𜋊	M379	𜋊 M379×1			
165	1	𛽭	M158	𛽲 M158~h×1			
166	1	[M226]	M226	𜀞 M226~c×1			
167	1	𛸐	M062	𛸑 M062~b×1			
168	1	𛸒	M063	𛸓 M063~a×1			
169	1	𛹅	M077	𛹅 M077×1			
170	1	𜀏	M221	𜀏 M221×1			
171	1	𜍇	M462	𜍇 M462×1			
172	1	[M281]	M281	𜄚 M281~f×1			
173	1	𛵱	M025	𛵲 M025~a×1			
174	1	𛼔	M143	𛼔 M143×1			
175	1	𛷂	M044	𛷃 M044~a×1			
176	1	𜆝	M304+M304	𜆝 M304+M304×1			
177	1	𛾚	M193	𛾡 M193~m×1			
178	1	𛵫	M017	𛵫 M017×1			
179	1	𛹽	M104	𛹽 M104×1			
180	1	𛿙	M210	𛿠 M210~f×1			
181	1	[M053]	M053	𛷨 M053~a×1			
182	1	𜄠	M284	𜄡 M284~e×1			
183	1	𜀣	M228+M101	𜀣 M228+M101×1			
184	1	𛽹	M175	𛽹 M175×1			
185	1	𛹘	M093	𛹘 M093×1			
186	1	𜉾	M362+M367	𜉾 M362+M367×1			
187	1	𜄾	M289	𜄿 M289~a×1			
188	1	𜀢	M228	𜀢 M228×1			
189	1	𜍐	M479	𜍐 M479×1			
190	1	[M094]	M094	𛹚 M094~e×1			
191	1	𜌞	M402	𜌞 M402×1			
192	1	[M271]	M271	𜃾 M271~g×1			
193	1	𛾏	M177	𛾐 M177~a×1			
194	1	𛿥	M213	𛿥 M213×1			
195	1	[M076]	M076	𛹂 M076~c×1			
196	1	𛹦	M098	𛹦 M098×1			
197	1	𛻰[M071]	M136+M071	𛻱 M136+M071~a×1			
198	1	𜅵	M296+M296	𜅵 M296+M296×1			
199	1	𛾇	M175+M377+M377	𛾇 M175+M377+M377×1			
200	1	𛻘	M129	𛻘 M129×1			
