score	num_documents	min_gap	sign_a	glyph_a	freq_a	sign_b	glyph_b	freq_b	VERTICAL neighbor examples_with_actual_glyphs
0.1132	2	2	M112	𛺣	24	M377+M377	𜋂	13	P008310(gap3: 𛺰M112~p/𜋇M377~e+M377~e), P009152(gap2: 𛺲M112~r/𜋂M377+M377)
0.1125	2	2	M066	𛸗	79	M270	𜃷	4	P008083(gap2: 𛸗M066/𜃻M270~m), P008122(gap3: 𛸗M066/𜃷M270)
0.1111	2	1	M370	𜊛	108	M370+M046	𜊛𛷇	3	P008105(gap2: 𜊛M370/𜊡M370~b+M046), P008105(gap1: 𜊛M370/𜊡M370~b+M046), P008105(gap3: 𜊛M370/𜊡M370~b+M046), P008193(gap1: 𜊛M370/𜊡M370~b+M046)
0.1091	2	1	M050	𛷙	14	M112	𛺣	24	P008178(gap1: 𛷡M050~p/𛺥M112~a), P009256(gap3: 𛷚M050~k/𛺩M112~d), P009256(gap1: 𛷚M050~k/𛺩M112~d)
0.1091	2	2	M188	𛾗	7	M365	𜊅	48	P008611(gap3: 𛾙M188~g/𜊅M365), P008954(gap2: 𛾗M188~e/𜊅M365)
0.1091	2	2	M032	𛶃	56	M305+M320	𜆯	6	P008635(gap2: 𛶃M032/𜆯M305+M320), P008777(gap3: 𛶃M032/𜆯M305+M320)
0.1091	2	1	M324	𜈌	12	M383	𜋜	28	P008741(gap2: 𜈌M324/𜋡M383~e), P272825(gap1: 𜈏M324~d/𜋜M383)
0.1091	2	1	M143	𛼔	8	M153	𛽆	42	P008751(gap2: 𛼖M143~d/𛽆M153), P009383(gap1: 𛼔M143/𛽆M153)
0.1085	2	2	M371	𜊩	85	M461	𜍄	4	P008188(gap2: 𜊩M371/𜍄M461), P008408(gap2: 𜊩M371/𜍆M461~q)
0.1085	2	3	M097	𛹤	20	M301	𜆄	17	P008446(gap3: 𛹥M097~h/𜆄M301), P008631(gap3: 𛹥M097~h/𜆄M301)
0.1085	2	1	M308	𜆻	4	M371	𜊩	85	P008446(gap2: 𜆻M308~e/𜊩M371), P009080(gap1: 𜆻M308~e/𜊩M371)
0.1083	2	1	M254	𜂔	31	M390	𜌕	11	P008241(gap1: 𜂕M254~a/𜌕M390), P008544(gap1: 𜂕M254~a/𜌕M390)
0.1083	2	2	M081	𛹌	31	M134	𛻦	11	P008617(gap2: 𛹌M081/𛻨M134~b), P008927(gap2: 𛹌M081/𛻦M134)
0.1083	2	1	M122	𛺹	31	M382	𜋔	11	P008827(gap3: 𛺹M122/𜋗M382~c), P009122(gap1: 𛺻M122~2/𜋔M382)
0.1081	2	2	M010	𛵜	57	M294	𜅗	6	P008279(gap2: 𛵜M010/𜅗M294~a), P008279(gap2: 𛵜M010/𜅗M294~a), P008279(gap2: 𛵜M010/𜅗M294~a), P008279(gap2: 𛵜M010/𜅗M294~a)
0.1081	2	2	M010	𛵜	57	M175+M136	𛽽	6	P008387(gap3: 𛵞M010~2/𛽽M175+M136), P009087(gap2: 𛵡M010~5/𛽽M175+M136)
0.1078	2	1	M208	𛿓	8	M384	𜋨	43	P009114(gap1: 𛿓M208/𜋪M384~ab), P009152(gap2: 𛿓M208/𜋪M384~ab)
0.1068	2	1	M051	𛷣	27	M209	𛿔	13	P008229(gap1: 𛷣M051~a/𛿗M209~d), P008773(gap1: 𛷣M051~a/𛿘M209~d1), P008773(gap1: 𛷣M051~a/𛿘M209~d1)
0.1048	2	2	M146	𛼢	28	M311	𜇄	13	P008015(gap2: 𛼨M146~d/𜇅M311~b), P008084(gap3: 𛼢M146/𜇅M311~b)
0.1048	2	1	M136+M365	𛻳	26	M417	𜌢	14	P008759(gap1: 𛻳M136+M365/𜌢M417~d), P008765(gap2: 𛻳M136+M365/𜌦M417~h)
0.1048	2	1	M209	𛿔	13	M383	𜋜	28	P008826(gap3: 𛿔M209~a/𜋜M383), P272825(gap1: 𛿗M209~d/𜋜M383)
0.1030	2	1	M247	𜁞	29	M311	𜇄	13	P009083(gap1: 𜁟M247~a/𜇆M311~g), P009164(gap2: 𜁟M247~a/𜇆M311~g)
0.1026	2	1	M036	𛶎	95	M036+N39C	𛶙	4	P008274(gap2: 𛶎M036/𛶙M036+N39C), P008350(gap1: 𛶎M036/𛶙M036+N39C)
0.1026	2	1	M147	𛼫	20	M314	𜇏	19	P008338(gap1: 𛼯M147~e/𜇏M314), P008906(gap1: 𛼬M147~a/𜇑M314~e)
0.1021	2	2	M370+M072	𜊛𛸧	8	M373	𜊲	48	P008043(gap3: 𜊢M370~b+M072/𜊲M373), P008490(gap2: 𜊢M370~b+M072/𜊳M373~a)
0.1021	2	1	M223	𜀕	16	M240	𜀰	24	P008101(gap1: 𜀕M223/𜀰M240), P008972(gap2: 𜀗M223~b/𜀰M240), P008972(gap3: 𜀗M223~b/𜀰M240)
0.1021	2	1	M361	𜉪	8	M365	𜊅	48	P008894(gap1: 𜉪M361~a/𜊅M365), P009152(gap1: 𜉪M361~a/𜊅M365)
0.1013	2	2	M175	𛽹	30	M248	𜁨	13	P008441(gap2: 𛽹M175/𜁩M248~a), P008894(gap3: 𛽹M175/𜁰M248~g)
0.1005	2	1	M149	𛼰	44	M310	𜇂	9	P008001(gap1: 𛼰M149~a/𜇂M310), P008105(gap1: 𛼰M149~a/𜇂M310)
0.0996	2	1	M254	𜂔	31	M377+M377	𜋂	13	P008238(gap1: 𜂗M254~c/𜋂M377+M377), P008438(gap1: 𜂕M254~a/𜋇M377~e+M377~e)
0.0996	2	1	M081	𛹌	31	M311	𜇄	13	P009051(gap3: 𛹌M081/𜇅M311~b), P009123(gap1: 𛹌M081/𜇅M311~b), P009123(gap3: 𛹌M081/𜇅M311~b), P009123(gap1: 𛹌M081/𜇅M311~b)
0.0994	2	3	M210	𛿙	45	M277	𜄄	9	P009086(gap3: 𛿡M210~g/𜄇M277~h), P009153(gap3: 𛿙M210/𜄄M277)
0.0990	2	1	M103	𛹸	24	M374	𜊴	17	P008072(gap1: 𛹺M103~2/𜊵M374~c), P008621(gap2: 𛹸M103/𜊵M374~c)
0.0981	2	1	M145	𛼙	32	M209	𛿔	13	P008135(gap3: 𛼞M145~d/𛿗M209~d), P008773(gap3: 𛼙M145/𛿘M209~d1), P008773(gap1: 𛼙M145/𛿘M209~d1)
0.0976	2	3	M206	𛾾	60	M351	𜉍	7	P008295(gap3: 𛿃M206~g/𜉒M351~c), P009459(gap3: 𛾾M206~b/𜉓M351~d)
0.0976	2	1	M383	𜋜	28	M418	𜌧	15	P008303(gap3: 𜋟M383~c/𜌩M418~c), P008303(gap1: 𜋟M383~c/𜌩M418~c), P008303(gap1: 𜋟M383~c/𜌧M418~a), P008322(gap3: 𜋝M383~a/𜌨M418~b)
0.0976	2	2	M059	𛸅	70	M151	𛼺	6	P008322(gap2: 𛸈M059~b/𛼿M151~e), P008372(gap2: 𛸅M059/𛼼M151~b)
0.0969	2	2	M068	𛸝	3	M376	𜊽	142	P008154(gap2: 𛸟M068~c/𜊽M376), P009185(gap2: 𛸞M068~b/𜊽M376)
0.0962	2	1	M175+M131	𛽻	4	M370	𜊛	108	P008105(gap1: 𛽻M175+M131/𜊛M370), P008432(gap1: 𛽼M175+M131~d/𜊛M370), P008432(gap3: 𛽼M175+M131~d/𜊛M370)
0.0962	2	1	M112	𛺣	24	M379	𜋊	18	P008178(gap2: 𛺥M112~a/𜋊M379), P008385(gap1: 𛺣M112/𜋋M379~c)
0.0962	2	2	M277	𜄄	9	M304	𜆛	48	P009086(gap2: 𜄇M277~h/𜆛M304), P009155(gap2: 𜄄M277/𜆟M304~a)
0.0945	2	2	M032	𛶃	56	M128	𛻌	8	P008166(gap3: 𛶃M032/𛻖M128~e), P368558(gap2: 𛶃M032/𛻌M128)
0.0943	2	1	M033	𛶈	18	M217	𛿯	25	P008369(gap1: 𛶈M033/𛿲M217~a), P272825(gap3: 𛶈M033/𛿯M217)
0.0943	2	1	M210	𛿙	45	M375	𜊶	10	P008382(gap3: 𛿞M210~d/𜊷M375~a), P008388(gap1: 𛿞M210~d/𜊻M375~i)
0.0943	2	1	M210	𛿙	45	M381	𜋒	10	P008471(gap1: 𛿤M210~ma/𜋒M381), P009077(gap3: 𛿙M210/𜋒M381)
0.0938	2	1	M269	𜃪	65	M351	𜉍	7	P008295(gap1: 𜃪M269/𜉒M351~c), P008439(gap1: 𜃰M269~a1/𜉍M351)
0.0937	2	2	M262	𜂼	38	M329	𜈩	12	P009258(gap2: 𜂼M262/𜈩M329), P368480(gap3: 𜂼M262/𜈩M329)
0.0930	2	1	M153	𛽆	42	M382	𜋔	11	P008223(gap1: 𛽆M153/𜋖M382~b), P008881(gap3: 𛽆M153/𜋙M382~e)
0.0930	2	2	M029	𛵷	22	M125	𛻇	21	P008495(gap2: 𛵼M029~e/𛻈M125~a), P008740(gap2: 𛵸M029~a/𛻇M125)
0.0928	2	1	M219	𜀈	29	M328	𜈧	16	P008094(gap1: 𜀈M219/𜈧M328~b), P008891(gap1: 𜀈M219/𜈧M328~b)
0.0919	2	1	M066	𛸗	79	M296+M296	𜅵	6	P008477(gap3: 𛸗M066/𜅵M296+M296), P008977(gap1: 𛸗M066/𜅵M296+M296)
0.0913	2	2	M369	𜊘	10	M373	𜊲	48	P008105(gap3: 𜊘M369/𜊲M373), P008105(gap2: 𜊘M369/𜊲M373), P009201(gap3: 𜊘M369/𜊲M373)
0.0909	2	3	M149	𛼰	44	M370+M388	𜊛𜌓	11	P008490(gap3: 𛼰M149~a/𜊣M370~b+M388), P009183(gap3: 𛼰M149~a/𜊣M370~b+M388)
0.0907	2	1	M033	𛶈	18	M051	𛷣	27	P009240(gap3: 𛶈M033/𛷤M051~b), P009240(gap1: 𛶈M033/𛷤M051~b), P272825(gap2: 𛶈M033/𛷤M051~b)
0.0904	2	2	M009 ≈ M035M09 ≈ M3	[M009 ≈ M035M09 ≈ M3]	3	M218	𛿺	163	P008163(gap2: 𛶍M009~d ≈ M035M09~d ≈ M3/𜀄M218~b), P008495(gap2: 𛶍M009~d ≈ M035M09~d ≈ M3/𛿺M218)
0.0899	2	2	M134	𛻦	11	M210	𛿙	45	P008277(gap2: 𛻦M134/𛿙M210), P009153(gap2: 𛻧M134~a/𛿙M210)
0.0899	2	1	M210	𛿙	45	M293	𜅒	11	P009357(gap1: 𛿜M210~ba/𜅔M293~b), P009367(gap1: 𛿡M210~g/𜅖M293~d), P009367(gap1: 𛿡M210~g/𜅖M293~d)
0.0898	2	1	M242	𜀺	16	M254	𜂔	31	P009257(gap1: 𜀺M242/𜂗M254~c), P009281(gap1: 𜀻M242~ab/𜂕M254~a)
0.0891	2	1	M072	𛸧	63	M298	𜆁	8	P008043(gap1: 𛸧M072/𜆂M298~a), P009103(gap3: 𛸧M072/𜆁M298)
0.0891	2	2	M032	𛶃	56	M310	𜇂	9	P008201(gap2: 𛶃M032/𜇃M310~1), P008490(gap2: 𛶃M032/𜇂M310)
0.0886	2	1	M296+M296	𜅵	6	M371	𜊩	85	P008161(gap1: 𜅵M296+M296/𜊩M371), P008477(gap2: 𜅵M296+M296/𜊩M371)
0.0884	2	1	M145	𛼙	32	M242	𜀺	16	P008081(gap1: 𛼚M145~a/𜀻M242~ab), P498539(gap1: 𛼚M145~a/𜀼M242~b)
0.0880	2	1	M251	𜂁	12	M384	𜋨	43	P008666(gap1: 𜂂M251~c/𜋭M384~d), P009204(gap3: 𜂇M251~h/𜋭M384~d)
0.0877	2	2	M332	𜈫	13	M352	𜉕	40	P008060(gap3: 𜈬M332~c/𜉜M352~o), P008144(gap2: 𜈭M332~d/𜉚M352~n)
0.0877	2	1	M248	𜁨	13	M352	𜉕	40	P008561(gap1: 𜁰M248~g/𜉗M352~c), P008633(gap2: 𜁨M248/𜉚M352~n)
0.0877	2	2	M352	𜉕	40	M377+M377	𜋂	13	P008784(gap2: 𜉚M352~n/𜋂M377+M377), P009152(gap3: 𜉗M352~c/𜋂M377+M377)
