rank	count	glyph	base	boundary %	variants	
1	21	𜋀	M377	17	𜋀 M377×13, 𜋅 M377~e×8	
8	13	𜉇	M347	17	𜉇 M347×13	
12	12	𜋸	M386	17	𜋺 M386~a×10, 𜋸 M386×2	
111	2	𛺌	M109	17	𛺌 M109×2	
32	6	𛼌	M139	18	𛼌 M139×6	
65	4	𜅵	M296+M296	19	𜅵 M296+M296×4	
114	2	𛺍	M110	19	𛺏 M110~b×1, 𛺎 M110~a×1	
54	5	𜀺	M242	20	𜀼 M242~b×3, 𜀿 M242~e×1, 𜀽 M242~d×1	
83	3	𛶋	M034	20	𛶌 M034~a×3	
10	12	𛵮	M024	21	𛵮 M024×12	
78	3	𛼫	M147	22	𛼮 M147~d×2, 𛼯 M147~e×1	
165	1	𛷊	M047	22	𛷊 M047×1	
17	9	𛼢	M146	23	𛼢 M146×9	
25	8	𜀰	M240	23	𜀰 M240×6, 𜀶 M240~e×2	
68	4	𛻇	M125	23	𛻇 M125×4	
60	4	𜂔	M254	24	𜂕 M254~a×4	
3	17	𜉚	M352	25	𜉚 M352~n×12, 𜉜 M352~o×3, 𜉞 M352~s×1, 𜉗 M352~c×1	
5	14	𛵅	M004	25	𛵅 M004×14	
14	10	𜅘	M295	25	𜅨 M295~ka×2, 𜅠 M295~e×1, 𜅡 M295~ee×1, 𜅬 M295~p×1, 𜅞 M295~d×1, 𜅥 M295~i×1, 𜅙 M295~a×1, 𜅭 M295~q×1, 𜅲 M295~y×1	
50	5	𛹥	M097	25	𛹥 M097~h×3, 𛹤 M097~f×2	
121	1	𛽻	M175+M131	25	𛽼 M175+M131~d×1	
140	1	𜀂	M218+M320	25	𜀂 M218+M320×1	
2	18	𛷐	M048	26	𛷐 M048~k×6, 𛷋 M048~c×4, 𛷌 M048~d×3, 𛷍 M048~e×3, 𛷏 M048~i×1, 𛷎 M048~g×1	
4	16	𛿯	M217	26	𛿯 M217×10, 𛿳 M217~e×3, 𛿹 M217~n×1, 𛿲 M217~a×1, 𛿴 M217~ea×1	
31	7	𜆄	M301	26	𜆄 M301×6, 𜆅 M301~a×1	
36	6	𜋏	M380	26	𜋐 M380~b×3, 𜋏 M380×2, 𜋑 M380~c×1	
37	6	𜂁	M251	26	𜂂 M251~c×3, 𜂉 M251~m×1, 𜂆 M251~g×1, 𜂄 M251~c3×1	
73	3	𜇩	M318	28	𜇫 M318~a1×2, 𜇮 M318~c×1	
49	5	𜈭	M332	29	𜈭 M332~d×3, 𜈰 M332~g×2	
86	3	𛻌	M128	30	𛻐 M128~da×1, 𛻏 M128~d×1, 𛻌 M128×1	
70	3	𛶍	M009 ≈ M035M09 ≈ M3	31	𛶍 M009~d ≈ M035M09~d ≈ M3×3	
154	1	𜇔	M315	31	𜇔 M315×1	
53	5	𛵷	M029	32	𛵹 M029~b×3, 𛵸 M029~a×2	
81	3	𜀮	M230	33	𜀯 M230~a×2, 𜀮 M230×1	
191	1	𜇂	M310	33	𜇂 M310×1	
194	1	𜈻	M344	33	𜈻 M344×1	
6	14	𜂼	M262	34	𜂽 M262~1×7, 𜂼 M262×6, 𜂾 M262~a×1	
13	11	𜀈	M219	34	𜀈 M219×11	
