count	length	glyphs	codes	example_records
2	3	𜋸 𛻛 𛿺	M386 M131 M218	P008319, P234794
2	3	[M006-cluster] 𛷱 𜄱	M006-cluster M056 M288	P008325, P009251
2	3	𛿺 𜋸 𜀕	M218 M386 M223	P008338, P008621
2	3	𛻜 𛿺 𜄱	M131+M388 M218 M288	P008351, P368496
2	3	𜌓 𜂼 𜂣	M388 M262 M259	P008354, P008447
2	3	𛸗 𜁒 𛸗	M066 M246 M066	P008355, P008977
2	3	𛸗 𜆄 𛷶	M066 M301 M057	P008379, P009088
2	3	𛻜 𜃁 𛿺	M131+M388 M263 M218	P008395, P009375
2	3	𛿺 𜀕 𛿺	M218 M223 M218	P008423, P009290
2	3	𜅸 𛸗 𜉈	M297 M066 M348	P008433, P008433
2	3	𜉕 𜆄 𛷶	M352 M301 M057	P008444, P272826
2	3	𛵅 𛸃 𛷶	M004 M058 M057	P008445, P009375
2	3	𜂔 𜂼 𛵮	M254 M262 M024	P008455, P008455
2	3	𛹜 𛵅 𛿺	M096 M004 M218	P008470, P368480
2	3	𛸗 𜉕 𛻛	M066 M352 M131	P008477, P009382
2	3	𜌓 𜋾 𜃁	M388 M387 M263	P008490, P009371
2	3	𜋾 𜃁 𛺍	M387 M263 M110	P008490, P008729
2	3	𜌓 𛺴 𜅵	M388 M115 M296+M296	P008490, P009338
2	3	𛹆 𛸗 𜇶	M080 M066 M320	P008509, P009017
2	3	𛵮 𜀺 𛹜	M024 M242 M096	P008533, P368486
2	3	𜆄 𛷶 𜄱	M301 M057 M288	P008598, P272826
2	3	𛵷 𜀺 𛹜	M029 M242 M096	P008612, P009196
2	3	𜀺 𛹜 𜄲	M242 M096 M288+N01	P008612, P008612
2	3	𜋾 𜀰 𛹜	M387 M240 M096	P008618, P009434
2	3	𜅊 𜌓 𛻜	M292 M388 M131+M388	P008621, P009032
2	3	𜀮 𛹜 𜄱	M230 M096 M288	P008621, P009338
2	3	𜋀 𜋀 𜌓	M377 M377 M388	P008626, P368482
2	3	𜃁 𛹜 𜄱	M263 M096 M288	P008635, P008666
2	3	𜂼 𜋏 𜊩	M262 M380 M371	P008708, P009258
2	3	𜅊 𜌓 𜃁	M292 M388 M263	P008812, P008979
2	3	𜌓 𜃁 𜉇	M388 M263 M347	P008812, P009343
2	3	𜌓 𛿺 𜄱	M388 M218 M288	P008928, P009016
2	3	𜆡 𜌓 𜆄	M305 M388 M301	P008978, P009041
