Unicode	Hieroglyph	PUA	Hieratic/PUA	Glyph name
U+130FD	𓃽	U+F30FD	󳃽	u130FD
U+130FE	𓃾	U+F30FE	󳃾	u130FE
U+130FF	𓃿	U+F30FF	󳃿	u130FF
U+13100	𓄀	U+F3100	󳄀	u13100
U+13101	𓄁	U+F3101	󳄁	u13101
U+13102	𓄂	U+F3102	󳄂	u13102
U+13103	𓄃	U+F3103	󳄃	u13103
U+13104	𓄄	U+F3104	󳄄	u13104
U+13105	𓄅	U+F3105	󳄅	u13105
U+13106	𓄆	U+F3106	󳄆	u13106
U+13107	𓄇	U+F3107	󳄇	u13107
U+13108	𓄈	U+F3108	󳄈	u13108
U+13109	𓄉	U+F3109	󳄉	u13109
U+1310A	𓄊	U+F310A	󳄊	u1310A
U+1310B	𓄋	U+F310B	󳄋	u1310B
U+1310C	𓄌	U+F310C	󳄌	u1310C
U+1310D	𓄍	U+F310D	󳄍	u1310D
U+1310E	𓄎	U+F310E	󳄎	u1310E
U+1310F	𓄏	U+F310F	󳄏	u1310F
U+13110	𓄐	U+F3110	󳄐	u13110
U+13111	𓄑	U+F3111	󳄑	u13111
U+13112	𓄒	U+F3112	󳄒	u13112
U+13113	𓄓	U+F3113	󳄓	u13113
U+13114	𓄔	U+F3114	󳄔	u13114
U+13115	𓄕	U+F3115	󳄕	u13115
U+13116	𓄖	U+F3116	󳄖	u13116
U+13117	𓄗	U+F3117	󳄗	u13117
U+13118	𓄘	U+F3118	󳄘	u13118
U+13119	𓄙	U+F3119	󳄙	u13119
U+1311A	𓄚	U+F311A	󳄚	u1311A
U+1311B	𓄛	U+F311B	󳄛	u1311B
U+1311C	𓄜	U+F311C	󳄜	u1311C
U+1311D	𓄝	U+F311D	󳄝	u1311D
U+1311E	𓄞	U+F311E	󳄞	u1311E
U+1311F	𓄟	U+F311F	󳄟	u1311F
U+13120	𓄠	U+F3120	󳄠	u13120
U+13121	𓄡	U+F3121	󳄡	u13121
U+13122	𓄢	U+F3122	󳄢	u13122
U+13123	𓄣	U+F3123	󳄣	u13123
U+13124	𓄤	U+F3124	󳄤	u13124
U+13125	𓄥	U+F3125	󳄥	u13125
U+13126	𓄦	U+F3126	󳄦	u13126
U+13127	𓄧	U+F3127	󳄧	u13127
U+13128	𓄨	U+F3128	󳄨	u13128
U+13129	𓄩	U+F3129	󳄩	u13129
U+1312A	𓄪	U+F312A	󳄪	u1312A
U+1312B	𓄫	U+F312B	󳄫	u1312B
U+1312C	𓄬	U+F312C	󳄬	u1312C
U+1312D	𓄭	U+F312D	󳄭	u1312D
U+1312E	𓄮	U+F312E	󳄮	u1312E
U+1312F	𓄯	U+F312F	󳄯	u1312F
U+13130	𓄰	U+F3130	󳄰	u13130
U+13131	𓄱	U+F3131	󳄱	u13131
U+13132	𓄲	U+F3132	󳄲	u13132
U+13133	𓄳	U+F3133	󳄳	u13133
U+13134	𓄴	U+F3134	󳄴	u13134
U+13135	𓄵	U+F3135	󳄵	u13135
U+13136	𓄶	U+F3136	󳄶	u13136
U+13137	𓄷	U+F3137	󳄷	u13137
U+13138	𓄸	U+F3138	󳄸	u13138
U+13139	𓄹	U+F3139	󳄹	u13139
U+1313A	𓄺	U+F313A	󳄺	u1313A
U+1313B	𓄻	U+F313B	󳄻	u1313B
U+1313C	𓄼	U+F313C	󳄼	u1313C
U+1313D	𓄽	U+F313D	󳄽	u1313D
U+1313E	𓄾	U+F313E	󳄾	u1313E
U+1313F	𓄿	U+F313F	󳄿	u1313F
U+13140	𓅀	U+F3140	󳅀	u13140
U+13141	𓅁	U+F3141	󳅁	u13141
U+13142	𓅂	U+F3142	󳅂	u13142
U+13143	𓅃	U+F3143	󳅃	u13143
U+13144	𓅄	U+F3144	󳅄	u13144
U+13145	𓅅	U+F3145	󳅅	u13145
U+13146	𓅆	U+F3146	󳅆	u13146
U+13147	𓅇	U+F3147	󳅇	u13147
U+13148	𓅈	U+F3148	󳅈	u13148
U+13149	𓅉	U+F3149	󳅉	u13149
U+1314A	𓅊	U+F314A	󳅊	u1314A
U+1314B	𓅋	U+F314B	󳅋	u1314B
U+1314C	𓅌	U+F314C	󳅌	u1314C
U+1314D	𓅍	U+F314D	󳅍	u1314D
U+1314E	𓅎	U+F314E	󳅎	u1314E
U+1314F	𓅏	U+F314F	󳅏	u1314F
U+13150	𓅐	U+F3150	󳅐	u13150
U+13151	𓅑	U+F3151	󳅑	u13151
U+13152	𓅒	U+F3152	󳅒	u13152
