Unicode	Hieroglyph	Experimental Hieratic	Hieratic char	Glyph name
U+130A8	𓂨	U+330A8	𳂨	u130A8
U+130A9	𓂩	U+330A9	𳂩	u130A9
U+130AA	𓂪	U+330AA	𳂪	u130AA
U+130AB	𓂫	U+330AB	𳂫	u130AB
U+130AC	𓂬	U+330AC	𳂬	u130AC
U+130AD	𓂭	U+330AD	𳂭	u130AD
U+130AE	𓂮	U+330AE	𳂮	u130AE
U+130AF	𓂯	U+330AF	𳂯	u130AF
U+130B0	𓂰	U+330B0	𳂰	u130B0
U+130B1	𓂱	U+330B1	𳂱	u130B1
U+130B2	𓂲	U+330B2	𳂲	u130B2
U+130B3	𓂳	U+330B3	𳂳	u130B3
U+130B4	𓂴	U+330B4	𳂴	u130B4
U+130B5	𓂵	U+330B5	𳂵	u130B5
U+130B6	𓂶	U+330B6	𳂶	u130B6
U+130B7	𓂷	U+330B7	𳂷	u130B7
U+130B8	𓂸	U+330B8	𳂸	u130B8
U+130B9	𓂹	U+330B9	𳂹	u130B9
U+130BA	𓂺	U+330BA	𳂺	u130BA
U+130BB	𓂻	U+330BB	𳂻	u130BB
U+130BC	𓂼	U+330BC	𳂼	u130BC
U+130BD	𓂽	U+330BD	𳂽	u130BD
U+130BE	𓂾	U+330BE	𳂾	u130BE
U+130BF	𓂿	U+330BF	𳂿	u130BF
U+130C0	𓃀	U+330C0	𳃀	u130C0
U+130C1	𓃁	U+330C1	𳃁	u130C1
U+130C2	𓃂	U+330C2	𳃂	u130C2
U+130C3	𓃃	U+330C3	𳃃	u130C3
U+130C4	𓃄	U+330C4	𳃄	u130C4
U+130C5	𓃅	U+330C5	𳃅	u130C5
U+130C6	𓃆	U+330C6	𳃆	u130C6
U+130C7	𓃇	U+330C7	𳃇	u130C7
U+130C8	𓃈	U+330C8	𳃈	u130C8
U+130C9	𓃉	U+330C9	𳃉	u130C9
U+130CA	𓃊	U+330CA	𳃊	u130CA
U+130CB	𓃋	U+330CB	𳃋	u130CB
U+130CC	𓃌	U+330CC	𳃌	u130CC
U+130CD	𓃍	U+330CD	𳃍	u130CD
U+130CE	𓃎	U+330CE	𳃎	u130CE
U+130CF	𓃏	U+330CF	𳃏	u130CF
U+130D0	𓃐	U+330D0	𳃐	u130D0
U+130D1	𓃑	U+330D1	𳃑	u130D1
U+130D2	𓃒	U+330D2	𳃒	u130D2
U+130D3	𓃓	U+330D3	𳃓	u130D3
U+130D4	𓃔	U+330D4	𳃔	u130D4
U+130D5	𓃕	U+330D5	𳃕	u130D5
U+130D6	𓃖	U+330D6	𳃖	u130D6
U+130D7	𓃗	U+330D7	𳃗	u130D7
U+130D8	𓃘	U+330D8	𳃘	u130D8
U+130D9	𓃙	U+330D9	𳃙	u130D9
U+130DA	𓃚	U+330DA	𳃚	u130DA
U+130DB	𓃛	U+330DB	𳃛	u130DB
U+130DC	𓃜	U+330DC	𳃜	u130DC
U+130DD	𓃝	U+330DD	𳃝	u130DD
U+130DE	𓃞	U+330DE	𳃞	u130DE
U+130DF	𓃟	U+330DF	𳃟	u130DF
U+130E0	𓃠	U+330E0	𳃠	u130E0
U+130E1	𓃡	U+330E1	𳃡	u130E1
U+130E2	𓃢	U+330E2	𳃢	u130E2
U+130E3	𓃣	U+330E3	𳃣	u130E3
U+130E4	𓃤	U+330E4	𳃤	u130E4
U+130E5	𓃥	U+330E5	𳃥	u130E5
U+130E6	𓃦	U+330E6	𳃦	u130E6
U+130E7	𓃧	U+330E7	𳃧	u130E7
U+130E8	𓃨	U+330E8	𳃨	u130E8
U+130E9	𓃩	U+330E9	𳃩	u130E9
