# Proto-Elamite CDLI sign name → Unicode character mapping
# Extracted from L2/23-196 (Pandey 2023)
# Format: CDLI_Name<TAB>Char<TAB>U+codepoint
# Total: 1636 signs

M131~e	𛻟	U+1BEDF
M131~f	𛻠	U+1BEE0
M131~g	𛻡	U+1BEE1
M131~h	𛻢	U+1BEE2
M131~ia	𛻣	U+1BEE3
M131~k	𛻤	U+1BEE4
M131~k1	𛻥	U+1BEE5
M134	𛻦	U+1BEE6
M134~a	𛻧	U+1BEE7
M134~b	𛻨	U+1BEE8
M134~ba	𛻩	U+1BEE9
M134~c	𛻪	U+1BEEA
M134~d	𛻫	U+1BEEB
M134~e	𛻬	U+1BEEC
M134~f	𛻭	U+1BEED
M134~g	𛻮	U+1BEEE
M135	𛻯	U+1BEEF
M136	𛻰	U+1BEF0
M136+M071~a	𛻱	U+1BEF1	𛻰 𛸥
M136+M353	𛻲	U+1BEF2	𛻰 𜉟
M136+M365	𛻳	U+1BEF3	𛻰 𜊅
M136+M387	𛻴	U+1BEF4	𛻰 𜋾
M136+MXXX	𛻵	U+1BEF5	𛻰 [MXXX?]
M136~a	𛻶	U+1BEF6
M136~b	𛻷	U+1BEF7
M136~c	𛻸	U+1BEF8
M136~d	𛻹	U+1BEF9
M136~e	𛻺	U+1BEFA
M136~f	𛻻	U+1BEFB
M136~g	𛻼	U+1BEFC
M136~h	𛻽	U+1BEFD
M136~i	𛻾	U+1BEFE
M136~j	𛻿	U+1BEFF
M136~k	𛼀	U+1BF00
M136~l	𛼁	U+1BF01
M136~m	𛼂	U+1BF02
M136~n	𛼃	U+1BF03
M136~o	𛼄	U+1BF04
M136~p	𛼅	U+1BF05
M136~q	𛼆	U+1BF06
M136~r	𛼇	U+1BF07
M136~s	𛼈	U+1BF08
M136~t	𛼉	U+1BF09
M136~u	𛼊	U+1BF0A
M136~w	𛼋	U+1BF0B
M139	𛼌	U+1BF0C
M139~a1	𛼍	U+1BF0D
M139~a2	𛼎	U+1BF0E
M140~a	𛼏	U+1BF0F
M141	𛼐	U+1BF10
M141~a	𛼑	U+1BF11
M141~b	𛼒	U+1BF12
M142	𛼓	U+1BF13
M143	𛼔	U+1BF14
M143~a	𛼕	U+1BF15
M143~d	𛼖	U+1BF16
M144	𛼗	U+1BF17
M144~a	𛼘	U+1BF18
M145	𛼙	U+1BF19
M145~a	𛼚	U+1BF1A
M145~b	𛼛	U+1BF1B
M145~bb	𛼜	U+1BF1C
M145~c	𛼝	U+1BF1D
M145~d	𛼞	U+1BF1E
M145~e	𛼟	U+1BF1F
M145~f	𛼠	U+1BF20
M145~n	𛼡	U+1BF21
M146	𛼢	U+1BF22
M146~0	𛼣	U+1BF23
M146~1	𛼤	U+1BF24
M146~2	𛼥	U+1BF25
M146~3	𛼦	U+1BF26
M146~4	𛼧	U+1BF27
M146~d	𛼨	U+1BF28
M146~e	𛼩	U+1BF29
M146~f	𛼪	U+1BF2A
M147	𛼫	U+1BF2B
M147~a	𛼬	U+1BF2C
M147~b	𛼭	U+1BF2D
M147~d	𛼮	U+1BF2E
M147~e	𛼯	U+1BF2F
M149~a	𛼰	U+1BF30
M149~a1	𛼱	U+1BF31
M149~a2	𛼲	U+1BF32
M149~a3	𛼳	U+1BF33
M149~c	𛼴	U+1BF34
M149~d	𛼵	U+1BF35
M149~g	𛼶	U+1BF36
M149~h	𛼷	U+1BF37
M150	𛼸	U+1BF38
M150~a	𛼹	U+1BF39
M151	𛼺	U+1BF3A
M151~a	𛼻	U+1BF3B
M151~b	𛼼	U+1BF3C
M151~c	𛼽	U+1BF3D
M151~d	𛼾	U+1BF3E
M151~e	𛼿	U+1BF3F
M151~f	𛽀	U+1BF40
M152	𛽁	U+1BF41
M152~d	𛽂	U+1BF42
M152~e	𛽃	U+1BF43
M152~f	𛽄	U+1BF44
M152~g	𛽅	U+1BF45
M153	𛽆	U+1BF46
M153+M006~a	𛽇	U+1BF47	𛽆 [M006~a?]
M153+M029	𛽈	U+1BF48	𛽆 𛵷
M153+M106	𛽉	U+1BF49	𛽆 𛺄
M153+M106~a	𛽊	U+1BF4A	𛽆 𛺉
M153+M205~c	𛽋	U+1BF4B	𛽆 𛾻
M153+M320+M153	𛽌	U+1BF4C	𛽆 𜇶 𛽆
M153+M342	𛽍	U+1BF4D	𛽆 𜈳
M153+M377~e+M153	𛽎	U+1BF4E	𛽆 𜋅 𛽆
M154~b	𛽏	U+1BF4F
M154~s	𛽐	U+1BF50
M155	𛽑	U+1BF51
M155~f	𛽒	U+1BF52
M156	𛽓	U+1BF53
M157	𛽔	U+1BF54
M157+M029	𛽕	U+1BF55	𛽔 𛵷
M157+M057	𛽖	U+1BF56	𛽔 𛷶
M157+M059	𛽗	U+1BF57	𛽔 𛸅
M157+M080~c	𛽘	U+1BF58	𛽔 𛹈
M157+M111~f	𛽙	U+1BF59	𛽔 𛺗
M157+M111~i	𛽚	U+1BF5A	𛽔 𛺚
M157+M131	𛽛	U+1BF5B	𛽔 𛻛
M157+M131~d	𛽜	U+1BF5C	𛽔 𛻞
M157+M136	𛽝	U+1BF5D	𛽔 𛻰
M157+M153	𛽞	U+1BF5E	𛽔 𛽆
M157+M288	𛽟	U+1BF5F	𛽔 𜄱
M157+M340	𛽠	U+1BF60	𛽔 𜈱
M157+M348	𛽡	U+1BF61	𛽔 𜉈
M157+M377~e+M377~e	𛽢	U+1BF62	𛽔 𜋅 𜋅
M157+M381	𛽣	U+1BF63	𛽔 𜋒
M157~a	𛽤	U+1BF64
M157~a+M066	𛽥	U+1BF65	𛽤 𛸗
M157~a+M080~c	𛽦	U+1BF66	𛽤 𛹈
M157~a+M131	𛽧	U+1BF67	𛽤 𛻛
M157~a+M131~a	𛽨	U+1BF68	𛽤 𛻝
M157~a+M131~d	𛽩	U+1BF69	𛽤 𛻞
M157~a+M342	𛽪	U+1BF6A	𛽤 𜈳
M157~a+M348	𛽫	U+1BF6B	𛽤 𜉈
M157~a+M367	𛽬	U+1BF6C	𛽤 𜊊
M158	𛽭	U+1BF6D
M158~b	𛽮	U+1BF6E
M158~c	𛽯	U+1BF6F
M158~d	𛽰	U+1BF70
M158~e	𛽱	U+1BF71
M158~h	𛽲	U+1BF72
M159	𛽳	U+1BF73
M165	𛽴	U+1BF74
M167~a	𛽵	U+1BF75
M167~a+M131~k	𛽶	U+1BF76	𛽵 𛻤
M172	𛽷	U+1BF77
M173	𛽸	U+1BF78
M175	𛽹	U+1BF79
M175+M038~a	𛽺	U+1BF7A	𛽹 𛶡
M175+M131	𛽻	U+1BF7B	𛽹 𛻛
M175+M131~d	𛽼	U+1BF7C	𛽹 𛻞
M175+M136	𛽽	U+1BF7D	𛽹 𛻰
M175+M136~n	𛽾	U+1BF7E	𛽹 𛼃
M175+M153	𛽿	U+1BF7F	𛽹 𛽆
M175+M157	𛾀	U+1BF80	𛽹 𛽔
M175+M175	𛾁	U+1BF81	𛽹 𛽹
M175+M203~a	𛾂	U+1BF82	𛽹 𛾳
M175+M286	𛾃	U+1BF83	𛽹 𜄭
M175+M288	𛾄	U+1BF84	𛽹 𜄱
M175+M325~d	𛾅	U+1BF85	𛽹 𜈔
M175+M376	𛾆	U+1BF86	𛽹 𜊽
M175+M377+M377	𛾇	U+1BF87	𛽹 𜋀 𜋀
M175+M380	𛾈	U+1BF88	𛽹 𜋏
M175+M381	𛾉	U+1BF89	𛽹 𜋒
M175+M387~c	𛾊	U+1BF8A	𛽹 𜌁
M175+M388	𛾋	U+1BF8B	𛽹 𜌓
M175~b	𛾌	U+1BF8C
M176	𛾍	U+1BF8D
M176~b	𛾎	U+1BF8E
M177	𛾏	U+1BF8F
M177~a	𛾐	U+1BF90
M180	𛾑	U+1BF91
M180~a	𛾒	U+1BF92
M180~b	𛾓	U+1BF93
M180~c	𛾔	U+1BF94
M184~b	𛾕	U+1BF95
M184~e	𛾖	U+1BF96
M188~e	𛾗	U+1BF97
M188~f	𛾘	U+1BF98
M188~g	𛾙	U+1BF99
M193	𛾚	U+1BF9A
M193~a	𛾛	U+1BF9B
M193~aa	𛾜	U+1BF9C
M193~ca	𛾝	U+1BF9D
