𛴀	N01
𛴁	N01@b
𛴂	N01@c
𛴃	N02
𛴄	N08A
𛴅	N08B
𛴆	N14
𛴇	N14@b
𛴈	N14@c
𛴉	N23
𛴊	N24
𛴋	N24@b
𛴌	N24@c
𛴍	N30C
𛴎	N30C@b
𛴏	N30C@c
𛴐	N30D
𛴑	N30D@b
𛴒	N30D@c
𛴓	N34
𛴔	N34@b
𛴕	N39A
𛴖	N39B
𛴗	N39B@b
𛴘	N39B@c
𛴙	N39C
𛴚	N45
𛴛	N45@b
𛴜	N46
𛴝	N48
𛴞	N51
𛴟	N51@b
𛴠	N51@c
𛴡	N51G
𛴢	N54
𛴣	N54@b
𛴤	N54G
𛴥	2·N01
𛴦	2·N01@b
𛴧	2·N14
𛴨	2·N30C
𛴩	2·N30C@b
𛴪	3·N01
𛴫	3·N01@b
𛴬	3·N01@c
𛴭	3·N14
𛾀	M175+M157	𛽹 𛽔
𛾁	M175+M175	𛽹 𛽹
𛾂	M175+M203~a	𛽹 𛾳
𛾃	M175+M286	𛽹 𜄭
𛾄	M175+M288	𛽹 𜄱
𛾅	M175+M325~d	𛽹 𜈔
𛾆	M175+M376	𛽹 𜊽
𛾇	M175+M377+M377	𛽹 𜋀 𜋀
𛾈	M175+M380	𛽹 𜋏
𛾉	M175+M381	𛽹 𜋒
𛾊	M175+M387~c	𛽹 𜌁
𛾋	M175+M388	𛽹 𜌓
𛾌	M175~b	
𛾍	M176	
𛾎	M176~b	
𛾏	M177	
𛾐	M177~a	
𛾑	M180	
𛾒	M180~a	
𛾓	M180~b	
𛾔	M180~c	
𛾕	M184~b	
𛾖	M184~e	
𛾗	M188~e	
𛾘	M188~f	
𛾙	M188~g	
𛾚	M193	
𛾛	M193~a	
𛾜	M193~aa	
𛾝	M193~ca	
𛾞	M193~e	
𛾟	M193~f	
𛾠	M193~g	
𛾡	M193~m	
𛾢	M195	
𛾣	M195+M038	𛾢 𛶡
𛾤	M195+M038~a	𛾢 𛶡
𛾥	M195+M057	𛾢 𛷶
𛾦	M195+M057~a4	𛾢 𛷻
𛾧	M195~a	
𛾨	M195~b	
𛾩	M195~c	
𛾪	M195~c1	
𛾫	M195~m	
𛾬	M197	
𛾭	M200	
𛾮	M200~1	
𛾯	M200~a	
𛾰	M201	
𛾱	M201+M377	𛾰 𜋀
𛾲	M201+M377+M377	𛾰 𜋀 𜋀
𛾳	M203~a	
𛾴	M203~c	
𛾵	M203~d	
𛾶	M203~e	
𛾷	M204~g	
𛾸	M205	
𛾹	M205~a	
𛾺	M205~b	
𛾻	M205~c	
𛾼	M205~d	
𛾽	M205~g	
𛾾	M206~b	
𛾿	M206~d	
𛿀	M206~d1	
𛿁	M206~f	
𛿂	M206~fa	
𛿃	M206~g	
𛿄	M206~g1	
𛿅	M206~g2	
𛿆	M206~i	
𛿇	M206~j	
𛿈	M207	
𛿉	M207~a	
𛿊	M207~b	
𛿋	M207~c	
𛿌	M207~d	
𛿍	M207~e	
𛿎	M207~f	
𛿏	M207~h	
𛿐	M207~m	
𛿑	M207~ma	
𛿒	M207~n	
𛿓	M208	
𛿔	M209~a	
𛿕	M209~b	
𛿖	M209~c	
𛿗	M209~d	
𛿘	M209~d1	
𛿙	M210	
𛿚	M210~a	
𛿛	M210~b	
𛿜	M210~ba	
𛿝	M210~c	
𛿞	M210~d	
𛿟	M210~e	
𛿠	M210~f	
𛿡	M210~g	
𛿢	M210~h	
𛿣	M210~m	
𛿤	M210~ma	
𛿥	M213	
𛿦	M213~b	
𛿧	M214~a	
𛿨	M214~b	
𛿩	M214~c	
𛿪	M214~d	
𛿫	M214~e	
𛿬	M214~h	
𛿭	M214~i	
𛿮	M215	
𛿯	M217	
𛿰	M217+M124	𛿯 𛻃
𛿱	M217+M388	𛿯 𜌓
𛿲	M217~a	
𛿳	M217~e	
𛿴	M217~ea	
𛿵	M217~f	
𛿶	M217~h	
𛿷	M217~j	
𛿸	M217~m	
𛿹	M217~n	
𛿺	M218	
𛿻	M218~1	
𛿼	M218~1+M288	𛿻 𜄱
𛿽	M218+M099	𛿺 𛹧
𛿾	M218+M101	𛿺 𛹪
𛿿	M218+M218	𛿺 𛿺
𜀀	M218+M288	𛿺 𜄱
𜀁	M218+M288~f	𛿺 𜄺
𜀂	M218+M320	𛿺 𜇶
𜀃	M218+M388	𛿺 𜌓
𜀄	M218~b	
𜀅	M218~c	
𜀆	M218~d+M288	𛿻 𜄱
𜀇	M218~g	
𜀈	M219	
𜀉	M219~1	
𜀊	M219~f	
𜀋	M219~s	
𜀌	M220	
𜀍	M220~m	
𜀎	M220~n	
𜀏	M221	
𜀐	M221~c	
𜀑	M221~e	
𜀒	M221~f	
𜀓	M222	
𜀔	M222~e	
𜀕	M223	
𜀖	M223~a	
𜀗	M223~b	
𜀘	M223~c	
𜀙	M223~d	
𜀚	M224	
𜀛	M224~a	
𜀜	M224~b	
𜀝	M224~c	
𜀞	M226~c	
𜀟	M226~ca	
𜀠	M226~e	
𜀡	M227	
𜀢	M228	
𜀣	M228+M101	𜀢 𛹪
𜀤	M228+M288	𜀢 𜄱
𜀥	M228+M320	𜀢 𜇶
𜀦	M228~b	
𜀧	M228~b+M101	𜀦 𛹪
𜀨	M228~b+M320	𜀦 𜇶
𜀩	M228~d	 𒯶𛴀 𛴺𛴄𛴅𛴖𛴕𛴆 
𜀪	M228~g	𒕑
𜀫	M228~ga	𜋊
𜀬	M228~gb	𜋌
𜀭	M229~e	
𜀮	M230	
𜀯	M230~a	
𜀰	M240	
𜀱	M240~a	
𜀲	M240~b	
𜀳	M240~c	
𜀴	M240~d	
𜀵	M240~d1	
𜀶	M240~e	
𜀷	M241	
𜀸	M241~a	
𜀹	M241~b	
𜀺	M242	
𜀻	M242~ab	
𜀼	M242~b	
𜀽	M242~d	
𜀾	M242~da	
𜀿	M242~e	
𜁀	M242~f	
𜁁	M242~k	
𜁂	M242~n	
𜁃	M243	
𜁄	M243~aa	
𜁅	M243~ac	
𜁆	M243~b	
𜁇	M243~c	
𜁈	M243~e	
𜁉	M243~ee	
𜁊	M243~ef	
𜁋	M243~f	
𜁌	M243~g	
𜁍	M243~h	
𜁎	M243~i	
𜁏	M243~j	
𜁐	M243~n	
𜁑	M244	
𜁒	M246	
𜁓	M246~a	
𜁔	M246~b	
𜁕	M246~c	
𜁖	M246~ca	
𜁗	M246~e	
𜁘	M246~f	
𜁙	M246~g	
𜁚	M246~h	
𜁛	M246~m	
𜁜	M246~o	
𜁝	M246~s	
𜁞	M247	
𜁟	M247~a	
𜁠	M247~b	
𜁡	M247~c	
𜁢	M247~d	
𜁣	M247~e	
𜁤	M247~f	
𜁥	M247~g	
𜁦	M247~m	
𜁧	M247~n	
𜁨	M248	
𜁩	M248~a	
𜁪	M248~b	
𜁫	M248~c	
𜁬	M248~ca	
𜁭	M248~d	
𜁮	M248~e	
𜁯	M248~f	
𜁰	M248~g	
