cat Brahmi.scripts.list| while read x; do u $x >> Brahmi.ALL.abc; done

𑀀	CANDRABINDU
I	ਿ
II	ੀ
U	ੁ
UU	ੂ
EE	ੇ
AI	ੈ
OO	ੋ
AU	ੌ
VIRAMA	੍
KHHA	ਖ਼
GHHA	ਗ਼
ZA	ਜ਼
RRA	ੜ
FA	ਫ਼
ZERO	੦
ONE	੧
TWO	੨
THREE	੩
FOUR	੪
FIVE	੫
SIX	੬
SEVEN	੭
EIGHT	੮
NINE	੯

ੲ
ੳ
ONKAR	ੴ

CANDRABINDU	ઁ
ANUSVARA	ં
VISARGA	ઃ
A	અ
AA	આ
I	ઇ
II	ઈ
U	ઉ
UU	ઊ
!R	ઋ
CANDRA E	ઍ
E	એ
AI	ઐ
CANDRA O	ઑ
O	ઓ
AU	ઔ
KA	ક
KHA	ખ
GA	ગ
GHA	ઘ
NGA	ઙ
CA	ચ
CHA	છ
JA	જ
JHA	ઝ
NYA	ઞ
TTA	ટ
TTHA	ઠ
DDA	ડ
DDHA	ઢ
NNA	ણ
TA	ત
THA	થ
DA	દ
DHA	ધ
NA	ન
PA	પ
PHA	ફ
BA	બ
BHA	ભ
MA	મ
YA	ય
RA	ર
LA	લ
LLA	ળ
VA	વ
SHA	શ
SSA	ષ
SA	સ
HA	હ
NUKTA	઼
AVAGRAHA	ઽ
AA	ા
I	િ
II	ી
U	ુ
UU	ૂ
!R	ૃ
!RR	ૄ
CANDRA E	ૅ
E	ે
AI	ૈ
CANDRA O	ૉ
O	ો
AU	ૌ
VIRAMA	્
ૐ
!RR	ૠ
ZERO	૦
ONE	૧
TWO	૨
THREE	૩
FOUR	૪
FIVE	૫
SIX	૬
SEVEN	૭
EIGHT	૮
NINE	૯
Aries 	♈ 	U+2648 	&#9800; 	Aries (zodiac constellation)
Taurus 	♉ 	U+2649 	&#9801; 	Taurus (zodiac constellation)
Gemini 	♊ 	U+264A 	&#9802; 	Gemini (zodiac constellation)
Cancer 	♋ 	U+264B 	&#9803; 	Cancer (zodiac constellation)
Leo 	♌ 	U+264C 	&#9804; 	Leo (zodiac constellation)
Virgo 	♍ 	U+264D 	&#9805; 	Virgo (zodiac constellation)
Libra 	♎ 	U+264E 	&#9806; 	Libra (zodiac constellation)
Scorpius 	♏ 	U+264F 	&#9807; 	Scorpius (zodiac constellation), minim
Sagittarius 	♐ 	U+2650 	&#9808; 	Sagittarius (zodiac constellation)
Capricorn 	♑ 	U+2651 	&#9809; 	Capricornus (zodiac constellation)
Aquarius 	♒ 	U+2652 	&#9810; 	Aquarius (zodiac constellation)
Pisces 	♓ 	U+2653 	&#9811; 	Pisces (zodiac constellation)

    🇰🇭 Cambodia
ANUSVARA	ஂ
VISARGA	ஃ
A	அ
AA	ஆ
I	இ
II	ஈ
U	உ
UU	ஊ
E	எ
EE	ஏ
AI	ஐ
O	ஒ
OO	ஓ
AU	ஔ
KA	க
NGA	ங
CA	ச
JA	ஜ
NYA	ஞ
TTA	ட
NNA	ண
TA	த
NA	ந
NNNA	ன
PA	ப
MA	ம
YA	ய
RA	ர
RRA	ற
LA	ல
LLA	ள
LLLA	ழ
VA	வ
SSA	ஷ
SA	ஸ
HA	ஹ
AA	ா
I	ி
II	ீ
U	ு
UU	ூ
E	ெ
EE	ே
AI	ை
O	ொ
OO	ோ
AU	ௌ
VIRAMA	்
LENGTH MARK	ௗ
ONE	௧
TWO	௨
THREE	௩
FOUR	௪
FIVE	௫
SIX	௬
SEVEN	௭
EIGHT	௮
NINE	௯
TEN	௰
ONE HUNDRED	௱
ONE THOUSAND	௲

0x0C00-0x0C7F	3072-3199	Telugu
Telugu
CANDRABINDU	ఁ
ANUSVARA	ం
VISARGA	ః
A	అ
AA	ఆ
I	ఇ
II	ఈ
U	ఉ
UU	ఊ
!R	ఋ
!L	ఌ
E	ఎ
EE	ఏ
AI	ఐ
O	ఒ
OO	ఓ
AU	ఔ
KA	క
KHA	ఖ
GA	గ
GHA	ఘ
NGA	ఙ
CA	చ
CHA	ఛ
JA	జ
JHA	ఝ
NYA	ఞ
TTA	ట
TTHA	ఠ
DDA	డ
DDHA	ఢ
NNA	ణ
TA	త
THA	థ
DA	ద
DHA	ధ
NA	న
PA	ప
PHA	ఫ
BA	బ
BHA	భ
MA	మ
YA	య
RA	ర
RRA	ఱ
LA	ల
LLA	ళ
VA	వ
SHA	శ
SSA	ష
SA	స
HA	హ
AA	ా
I	ి
II	ీ
U	ు
UU	ూ
!R	ృ
!RR	ౄ
E	ె
EE	ే
AI	ై
O	ొ
OO	ో
AU	ౌ
VIRAMA	్
MARK	ౕ
LENGTH MARK	ౖ
!RR	ౠ
!LL	ౡ
ZERO	౦
ONE	౧
TWO	౨
THREE	౩
FOUR	౪
FIVE	౫
SIX	౬
SEVEN	౭
EIGHT	౮
NINE	౯
0x0C80-0x0CFF	3200-3327	Kannada
Kannada
ANUSVARA	ಂ
VISARGA	ಃ
A	ಅ
AA	ಆ
I	ಇ
II	ಈ
U	ಉ
UU	ಊ
!R	ಋ
!L	ಌ
E	ಎ
EE	ಏ
AI	ಐ
O	ಒ
OO	ಓ
AU	ಔ
KA	ಕ
KHA	ಖ
GA	ಗ
GHA	ಘ
NGA	ಙ
CA	ಚ
CHA	ಛ
JA	ಜ
JHA	ಝ
NYA	ಞ
TTA	ಟ
TTHA	ಠ
DDA	ಡ
DDHA	ಢ
NNA	ಣ
TA	ತ
THA	ಥ
DA	ದ
DHA	ಧ
NA	ನ
PA	ಪ
PHA	ಫ
BA	ಬ
BHA	ಭ
MA	ಮ
YA	ಯ
RA	ರ
RRA	ಱ
LA	ಲ
LLA	ಳ
VA	ವ
SHA	ಶ
SSA	ಷ
SA	ಸ
HA	ಹ
AA	ಾ
I	ಿ
II	ೀ
U	ು
UU	ೂ
!R	ೃ
!RR	ೄ
E	ೆ
EE	ೇ
AI	ೈ
O	ೊ
OO	ೋ
AU	ೌ
VIRAMA	್
MARK	ೕ
LENGTH MARK	ೖ
FA	ೞ
!RR	ೠ
!LL	ೡ
ZERO	೦
ONE	೧
TWO	೨
THREE	೩
FOUR	೪
FIVE	೫
SIX	೬
SEVEN	೭
EIGHT	೮
NINE	೯

0x0D00-0x0D7F	3328-3455	Malayalam
Malayalam
ANUSVARA	ം
VISARGA	ഃ
A	അ
AA	ആ
I	ഇ
II	ഈ
U	ഉ
UU	ഊ
!R	ഋ
!L	ഌ
E	എ
EE	ഏ
AI	ഐ
O	ഒ
OO	ഓ
AU	ഔ
KA	ക
KHA	ഖ
GA	ഗ
GHA	ഘ
NGA	ങ
CA	ച
CHA	ഛ
JA	ജ
JHA	ഝ
NYA	ഞ
TTA	ട
TTHA	ഠ
DDA	ഡ
DDHA	ഢ
NNA	ണ
TA	ത
THA	ഥ
DA	ദ
DHA	ധ
NA	ന
PA	പ
PHA	ഫ
BA	ബ
BHA	ഭ
MA	മ
YA	യ
RA	ര
RRA	റ
LA	ല
LLA	ള
LLLA	ഴ
VA	വ
SHA	ശ
SSA	ഷ
SA	സ
HA	ഹ
AA	ാ
I	ി
II	ീ
U	ു
UU	ൂ
!R	ൃ
E	െ
EE	േ
AI	ൈ
O	ൊ
OO	ോ
AU	ൌ
VIRAMA	്
LENGTH MARK	ൗ
!RR	ൠ
!LL	ൡ
ZERO	൦
ONE	൧
TWO	൨
THREE	൩
FOUR	൪
FIVE	൫
SIX	൬
SEVEN	൭
EIGHT	൮
NINE	൯


0x0D80-0x0DFF	3456-3583	Sinhala
Sinhala
ANUSVARAYA	ං
VISARGAYA	ඃ
AYANNA	අ
AAYANNA	ආ
AEYANNA	ඇ
AEEYANNA	ඈ
IYANNA	ඉ
IIYANNA	ඊ
UYANNA	උ
UUYANNA	ඌ
IRUYANNA	ඍ
IRUUYANNA	ඎ
ILUYANNA	ඏ
ILUUYANNA	ඐ
EYANNA	එ
EEYANNA	ඒ
AIYANNA	ඓ
OYANNA	ඔ
OOYANNA	ඕ
AUYANNA	ඖ
ALPAPRAANA KAYANNA	ක
MAHAAPRAANA KAYANNA	ඛ
ALPAPRAANA GAYANNA	ග
MAHAAPRAANA GAYANNA	ඝ
KANTAJA NAASIKYAYA	ඞ
SANYAKA GAYANNA	ඟ
ALPAPRAANA CAYANNA	ච
MAHAAPRAANA CAYANNA	ඡ
ALPAPRAANA JAYANNA	ජ
MAHAAPRAANA JAYANNA	ඣ
TAALUJA NAASIKYAYA	ඤ
TAALUJA SANYOOGA NAAKSIKYAYA	ඥ
SANYAKA JAYANNA	ඦ
ALPAPRAANA TTAYANNA	ට
MAHAAPRAANA TTAYANNA	ඨ
ALPAPRAANA DDAYANNA	ඩ
MAHAAPRAANA DDAYANNA	ඪ
MUURDHAJA NAYANNA	ණ
SANYAKA DDAYANNA	ඬ
ALPAPRAANA TAYANNA	ත
MAHAAPRAANA TAYANNA	ථ
ALPAPRAANA DAYANNA	ද
MAHAAPRAANA DAYANNA	ධ
DANTAJA NAYANNA	න
SANYAKA DAYANNA	ඳ
ALPAPRAANA PAYANNA	ප
MAHAAPRAANA PAYANNA	ඵ
ALPAPRAANA BAYANNA	බ
MAHAAPRAANA BAYANNA	භ
MAYANNA	ම
AMBA BAYANNA	ඹ
YAYANNA	ය
RAYANNA	ර
DANTAJA LAYANNA	ල
VAYANNA	ව
TAALUJA SAYANNA	ශ
MUURDHAJA SAYANNA	ෂ
DANTAJA SAYANNA	ස
HAYANNA	හ
MUURDHAJA LAYANNA	ළ
FAYANNA	ෆ
AL-LAKUNA	්
AELA-PILLA	ා
KETTI AEDA-PILLA	ැ
DIGA AEDA-PILLA	ෑ
KETTI IS-PILLA	ි
DIGA IS-PILLA	ී
KETTI PAA-PILLA	ු
DIGA PAA-PILLA	ූ
GAETTA-PILLA	ෘ
KOMBUVA	ෙ
DIGA KOMBUVA	ේ
KOMBU DEKA	ෛ
KOMBUVA HAA AELA-PILLA	ො
KOMBUVA HAA DIGA AELA-PILLA	ෝ
KOMBUVA HAA GAYANUKITTA	ෞ
GAYANUKITTA	ෟ
DIGA GAETTA-PILLA	ෲ
DIGA GAYANUKITTA	ෳ
KUNDDALIYA	෴

0x0F00-0x0FFF	3840-4095	Tibetan
Tibetan
OM	ༀ
GTER YIG MGO TRUNCATED A	༁
GTER YIG MGO -UM RNAM BCAD MA	༂
GTER YIG MGO -UM GTER TSHEG MA	༃
INITIAL YIG MGO MDUN MA	༄
CLOSING YIG MGO SGAB MA	༅
CARET YIG MGO PHUR SHAD MA	༆
YIG MGO TSHEG SHAD MA	༇
SBRUL SHAD	༈
BSKUR YIG MGO	༉
BKA- SHOG YIG MGO	༊
INTERSYLLABIC TSHEG	་
DELIMITER TSHEG BSTAR	༌
SHAD	།
NYIS SHAD	༎
TSHEG SHAD	༏
NYIS TSHEG SHAD	༐
RIN CHEN SPUNGS SHAD	༑
RGYA GRAM SHAD	༒
CARET -DZUD RTAGS ME LONG CAN	༓
GTER TSHEG	༔
CHAD RTAGS	༕
LHAG RTAGS	༖
SGRA GCAN -CHAR RTAGS	༗
-KHYUD PA	༘
SDONG TSHUGS	༙
RDEL DKAR GCIG	༚
RDEL DKAR GNYIS	༛
RDEL DKAR GSUM	༜
RDEL NAG GCIG	༝
RDEL NAG GNYIS	༞
RDEL DKAR RDEL NAG	༟
ZERO	༠
ONE	༡
TWO	༢
THREE	༣
FOUR	༤
FIVE	༥
SIX	༦
SEVEN	༧
EIGHT	༨
NINE	༩
HALF ONE	༪
HALF TWO	༫
HALF THREE	༬
HALF FOUR	༭
HALF FIVE	༮
HALF SIX	༯
HALF SEVEN	༰
HALF EIGHT	༱
HALF NINE	༲
HALF ZERO	༳
BSDUS RTAGS	༴
NGAS BZUNG NYI ZLA	༵
CARET -DZUD RTAGS BZHI MIG CAN	༶
NGAS BZUNG SGOR RTAGS	༷
CHE MGO	༸
TSA -PHRU	༹
GUG RTAGS GYON	༺
GUG RTAGS GYAS	༻
ANG KHANG GYON	༼
ANG KHANG GYAS	༽
YAR TSHES	༾
MAR TSHES	༿
KA	ཀ
KHA	ཁ
GA	ག
GHA	གྷ
NGA	ང
CA	ཅ
CHA	ཆ
JA	ཇ
NYA	ཉ
TTA	ཊ
TTHA	ཋ
DDA	ཌ
DDHA	ཌྷ
NNA	ཎ
TA	ཏ
THA	ཐ
DA	ད
DHA	དྷ
NA	ན
PA	པ
PHA	ཕ
BA	བ
BHA	བྷ
MA	མ
TSA	ཙ
TSHA	ཚ
DZA	ཛ
DZHA	ཛྷ
WA	ཝ
ZHA	ཞ
ZA	ཟ
-A	འ
YA	ཡ
RA	ར
LA	ལ
SHA	ཤ
SSA	ཥ
SA	ས
HA	ཧ
A	ཨ
KSSA	ཀྵ
FIXED-FORM RA	ཪ
AA	ཱ
I	ི
II	ཱི
U	ུ
UU	ཱུ
