A: Man and his occupations    
A47E	F30C2	995522	󳃂
A48	F30C3	995523	󳃃
A48A	F30C4	995524	󳃄
A48B	F30C5	995525	󳃅
A49	F30C6	995526	󳃆
A49A	F30C7	995527	󳃇
A50	F30C8	995528	󳃈
A50A	F30C9	995529	󳃉
A50B	F30CA	995530	󳃊
A50C	F30CB	995531	󳃋
A50D	F30CC	995532	󳃌
A50E	F30CD	995533	󳃍
A50F	F30CE	995534	󳃎
A50G	F30CF	995535	󳃏
A51	F30D0	995536	󳃐
A51A	F30D1	995537	󳃑
A51B	F30D2	995538	󳃒
A51C	F30D3	995539	󳃓
A51D	F30D4	995540	󳃔
A51E	F30D5	995541	󳃕
A51F	F30D6	995542	󳃖
A51G	F30D7	995543	󳃗
A52	F30D8	995544	󳃘
A52A	F30D9	995545	󳃙
A52B	F30DA	995546	󳃚
A52C	F30DB	995547	󳃛
A52D	F30DC	995548	󳃜
A52E	F30DD	995549	󳃝
A52F	F30DE	995550	󳃞
A52G	F30DF	995551	󳃟
A52H	F30E0	995552	󳃠
A52I	F30E1	995553	󳃡
A52J	F30E2	995554	󳃢
A53	F30E3	995555	󳃣
A53A	F30E4	995556	󳃤
A54	F30E5	995557	󳃥
A55	F30E6	995558	󳃦
A55A	F30E7	995559	󳃧
A56	F30E8	995560	󳃨
A57	F30E9	995561	󳃩
A57A	F30EA	995562	󳃪
A57B	F30EB	995563	󳃫
A57C	F30EC	995564	󳃬
A57D	F30ED	995565	󳃭
A58	F30EE	995566	󳃮
A58A	F30EF	995567	󳃯
A58B	F30F0	995568	󳃰
A59	F30F1	995569	󳃱
A59A	F30F2	995570	󳃲
A60	F30F3	995571	󳃳
A60A	F30F4	995572	󳃴
A61	F30F5	995573	󳃵
A62	F30F6	995574	󳃶
A62A	F30F7	995575	󳃷
A62B	F30F8	995576	󳃸
A63	F30F9	995577	󳃹
A63A	F30FA	995578	󳃺
A63B	F30FB	995579	󳃻
A64	F30FC	995580	󳃼
A65	F30FD	995581	󳃽
A66	F30FE	995582	󳃾
A66A	F30FF	995583	󳃿
A67	F3100	995584	󳄀
A67A	F3101	995585	󳄁
A68	F3102	995586	󳄂
A68A	F3103	995587	󳄃
A69	F3104	995588	󳄄
A70	F3105	995589	󳄅
A71	F3106	995590	󳄆
A72	F3107	995591	󳄇
A72A	F3108	995592	󳄈
A73	F3109	995593	󳄉
A73A	F310A	995594	󳄊
A74	F310B	995595	󳄋
A75	F310C	995596	󳄌
A76	F310D	995597	󳄍
A76A	F310E	995598	󳄎
A76B	F310F	995599	󳄏
A76C	F3110	995600	󳄐
A76D	F3111	995601	󳄑
A77	F3112	995602	󳄒
A78	F3113	995603	󳄓
A80	F3114	995604	󳄔
A80A	F3115	995605	󳄕
A80B	F3116	995606	󳄖
A81	F3117	995607	󳄗
A81A	F3118	995608	󳄘
A81B	F3119	995609	󳄙
A82	F311A	995610	󳄚
A83	F311B	995611	󳄛
A84	F311C	995612	󳄜
A85	F311D	995613	󳄝
A86	F311E	995614	󳄞
A87	F311F	995615	󳄟
A87A	F3120	995616	󳄠
A88	F3121	995617	󳄡
A89	F3122	995618	󳄢
A90	F3123	995619	󳄣
A90A	F3124	995620	󳄤
A90B	F3125	995621	󳄥
A90C	F3126	995622	󳄦
A90D	F3127	995623	󳄧
A91	F3128	995624	󳄨
A92	F3129	995625	󳄩
A93	F312A	995626	󳄪
A94	F312B	995627	󳄫
A95	F312C	995628	󳄬
A96	F312D	995629	󳄭
A96A	F312E	995630	󳄮
A97	F312F	995631	󳄯
A98	F3130	995632	󳄰
A99	F3131	995633	󳄱
A100	F3132	995634	󳄲
A100A	F3133	995635	󳄳
A100B	F3134	995636	󳄴
A101	F3135	995637	󳄵
A101A	F3136	995638	󳄶
A101B	F3137	995639	󳄷
A101C	F3138	995640	󳄸
A101D	F3139	995641	󳄹
A102	F313A	995642	󳄺
A103	F313B	995643	󳄻
A104	F313C	995644	󳄼
A104A	F313D	995645	󳄽
A104B	F313E	995646	󳄾
A105	F313F	995647	󳄿
A107	F3140	995648	󳅀
A108	F3141	995649	󳅁
A108A	F3142	995650	󳅂
A109	F3143	995651	󳅃
A109A	F3144	995652	󳅄
A109B	F3145	995653	󳅅
A109C	F3146	995654	󳅆
A109D	F3147	995655	󳅇
A109E	F3148	995656	󳅈
A109F	F3149	995657	󳅉
A109G	F314A	995658	󳅊
A109H	F314B	995659	󳅋
A110	F314C	995660	󳅌
A111	F314D	995661	󳅍
A112	F314E	995662	󳅎
A113	F314F	995663	󳅏
A114	F3150	995664	󳅐
A114A	F3151	995665	󳅑
A114B	F3152	995666	󳅒
A115	F3153	995667	󳅓
A116	F3154	995668	󳅔
A116A	F3155	995669	󳅕
A116B	F3156	995670	󳅖
A117	F3157	995671	󳅗
A117A	F3158	995672	󳅘
A117B	F3159	995673	󳅙
A118	F315A	995674	󳅚
A119	F315B	995675	󳅛
A119A	F315C	995676	󳅜
A120	F315D	995677	󳅝
A121	F315E	995678	󳅞
A121A	F315F	995679	󳅟
A121B	F3160	995680	󳅠
A121C	F3161	995681	󳅡
A122	F3162	995682	󳅢
A123	F3163	995683	󳅣
A124	F3164	995684	󳅤
A125	F3165	995685	󳅥
A126	F3166	995686	󳅦
A127	F3167	995687	󳅧
A130	F3168	995688	󳅨
A131	F3169	995689	󳅩
A131A	F316A	995690	󳅪
A131C	F316B	995691	󳅫
A132	F316C	995692	󳅬
A133	F316D	995693	󳅭
A133A	F316E	995694	󳅮
A133B	F316F	995695	󳅯
A135	F3170	995696	󳅰
A135A	F3171	995697	󳅱
A135B	F3172	995698	󳅲
A135C	F3173	995699	󳅳
A135D	F3174	995700	󳅴
A135E	F3175	995701	󳅵
A135F	F3176	995702	󳅶
A136	F3177	995703	󳅷
A137	F3178	995704	󳅸
A138	F3179	995705	󳅹
A139	F317A	995706	󳅺
A139A	F317B	995707	󳅻
A139B	F317C	995708	󳅼
A139C	F317D	995709	󳅽
A139D	F317E	995710	󳅾
A140	F317F	995711	󳅿
A140A	F3180	995712	󳆀
A141	F3181	995713	󳆁
A141A	F3182	995714	󳆂
A142	F3183	995715	󳆃
A143	F3184	995716	󳆄
A143A	F3185	995717	󳆅
A144	F3186	995718	󳆆
A145	F3187	995719	󳆇
A146	F3188	995720	󳆈
A147	F3189	995721	󳆉
A148	F318A	995722	󳆊
A149	F318B	995723	󳆋
