1  	 	ए 	e	  एक eka one
Ķ  	 	X	 	•kṣ / kt 𓄀 𑀅𑀫𑀳 अमहस amahaś ș ş ß š  *Xr 𓐍 𓊖  𑀋 R ur      okto/aṣt okto vs aṣta 8 ‘og’ in  legs
Γ 	 	𑀔 	KH	 ख  γ  <>  qᵛ  φ
L		𑀮	LA	 ऌ ḷ 𑀍 L 𑀎	'LL	𑀉	U	𑀑	O	𑀒	AU	 𑀊	UU  nile 𓈖'
Ł 	 	𑀭𑀼  	RU	  𐝁 in   𑀫𑀱𑀭𑀼𑀅  aruṣam  𓇳
ļl 	 	𑀴 	LLA	𜎇  𜎏 liquid?   legs ल्ल lla 𜎎 ma:
M		𑀫	MA	 mátsya 𓁹 𐙁  vs    𜎶 𜎷
M 	  	 	MÙ	 木      𓇸 mantha 󳀂
ṃ 	  	म 	•µ 	𒌝 -um -on -ma suffix 𐙁 => n ñ … 𒈠    󵡂 aṃśu lamp ?
Ḫᴵᴺ 	 	𑀗 	ṄA	  𜑎 NA                         Hindu Hühne Heu?   禾   <> Ł 	 𑀭𑀼  RU
Ṅ		𑀗	ṄA	  U¬ un  ण  !  ᵃIⁿ  अन an            𓏌 urne Ñ 
N		𑀦	NA	   𓂜 ¬ न   ᵃIⁿ
N!		𑀡 	NNA!	 ¬  𑀦	'NA   nile 𑀗	NGA 𑀜	NYA HN¬   𑀡  zAIN/goNG  江 @ ganges'
ñ		𑀜	NYA	  HN¬   ≈  𑀡   𑀷     	NK/NG ≈ Ñ  ≈ Ṅ 
Ṉ		𑀷	NNNA	 *NG      @ jiang 𓈐 …
O	𜥂	𑀑 	Oᶥ	 8! «𐦣» o/u 𑀉   𑀏 Eᶥ	'𑀯 VA  Aᴵ 	 	𑀈 	𒀀 A 𜎆  Eu      aṅka    ājani => o I       𜎌 ''U'' Au  see ḪI     𓈘 ?'
Oʳ 	  	? 	O/U	 orbit   <>      UR
P		𑀧	PA	 	'𑀩	BA  𑀪	BHA π 	𑀊	UU				'
φ 		𑀨	PHA	  𓉔     𓉐 Pforte   ब  𓉔              𑀩 BA beth 𓊪   ≈ 𑀪 bha    binnen see   ᵠU	 𑀯 VA 
Q		𑀙	CHA		𑀣𑀝   -> TCU   peculiar /
Q 	 	अ 	ḤA	 𓎛 𓎝 => Ḥ/K
r 	  	𑀭 	R	 र  RA  𐘘 RU 𐘙 RE   𐙕 •RI   𐚵   𐘁 𐝁 RO  "or" & "erst" 𑀭   𒌫 UR₂            => yard yad 
Rᴵ	𜖮	𑀶	RRA	 𐘴 RA 𑀅 HA 𑀋 R χr	𑀌 RR chr  𐀪 ri 󲀀  𓂋… 𓀁 vs 𓀀
R	 	𑀶 	RRA	      rad ratha wheel  𓇳 𓎫 ⋍ 𜏳 𜏴 𜏶 𜏵 𜏷 日 𓂋 re/ri/ir in Elamite  Ř       
ᶜR		𑀋	R	  𜏵 𜏳   𓊖  *Xr 𓐍  <      kur rural  ॠ  ṝ ?
Ș		𑀱	SSA	 𑀲	'SA	𑀳	HA	𑀬	YA	   σ?			'
Š 	   	𑀲 	SAᶥʳ	 𓊃 𓇋 𓀀   ≈
T		𑀢	TA		'𓎆  𑀝	TTA	 vs   𜖮 大 太   die  / der ? 𐘞 SA  •s 𜐰 sa   	'
Ś 	 	𑀞 	ṬH 	seed	   śukra 𑀞 ṣar ☼/龵 𒄭 ŠAR₂ 𒊮 SHA₃ 𒊮 šàʳ    श  ≈ 𔔻 ?  
Ṭh 	 	𑀞 	ṬH 	ठ  •ṭhora 𓇳   Uṭa 𒌓   𑀞 TTHA	'𑀣 THA tāla 𒀀𒇉 ÍD  Tᴰ 𜏧	 𜏂	𜏏	 𜏝	ti ta to tu 𑀝 also  𐘞 SA'
Th 	 	𑀣 	THA	☉ ☀ ☼ 太阳  天 大 𑀢 :
Ṭᶜ		𑀝	Ṭ  *TC		'TTA	𑀕	GA 	𑀔	KHA	 𓍿 𓎆  𓏏     𓎆 ≈ 𓇹 ≈ ☾ ≈ 		'
Uᶥ	𐦣  	𑀉	Uʳ/Oʳ	  «𑀭» R≈L
U	  	𑀉	ᵠU		 UU ?        𓊪  phu          vs          ü y ?𐦣 U  𑀊
V		𑀊	UU		व v ≈ b   𑀯 VA  VOID  𓊪  pha  vi 𓆑  
W		𑀊	UU	   ʷLʷ Welle ?
Wᵒ	 		•WR	  weir,well,warka see   UR 𐩰·𓊪 udapāna
X  	 	𑁛?	 	deci- 10 दश daśa ᴷŚ?    𑀅𑀫𑀳  अमहस amahaś ș ş ß š ç ć č ċ see K 
Xˢ	 	𑀓	KAˢ		𒆜  KAS                             X /KS/ vs  •Xr :
χʳ	 	𑀓	KAʳ	   KUR  UR ḪR 𑀋 R  
Y	!	𑀛	JHA	  𑀬  vs K/X   Yad vs  right
Y		𑀬	YA	 य  
Z 	 	𑀟 	DDA 	•Zahn Dent 𜒚 so Saar Saale <> ḍ  𑀟 𜑠  Tᴰ 
ʒ		𑀟	DDA	 ≈Z  Zeus/Deus 𜑇 za 𜑅 ☑ Don/Theon/Jiang  𑀡  𑀗	'*CN	NGA vs 𜎌 ''U'' eau 𒀀  δ 𑀘	CA 	𑀰 					'
∑		𑀰	SHA	      <> za ta 𐠯 ti 𐘎 ZO  / ZU  
∑  	 	𑀚	JAˣ	 / Ċis    ≈ 𑀱 ≈ 𑁗 ≈ 6  δ ≈ 𑀠 ≈ 6 six ☑
2 	 	𐎕	•ZWO 	 𜎄 	zo      sopāna ladder 
