≈	NR	ID	#	Compare	Tentative Phonetics
𑀩	E4	59	4	𐊺 𓊪 ≈ 𔔙𔔚𔔛𔔜𔔝𔔞𔔟𔔠𔔡𔔢𔔣𔔤 󴍅 hall 𐩰 fe 𑀩 B @ Brahmi	hof/b/p
⧄	D3	60	30	Ͷ̅ И̅ ≈ 𐤁‎ ⴽ 󲄤 󲄥 󲇘 𐂧 𐘮 𐀷 󲄤 󲄝 ⇔ 󲅬 󴊸 󴇇  palace 𓉐 𐤁‎ beth see chinese cursive 𓊪	hof/b/p
𓉔	D2	61	24	(reflected) 𐘲 𐀱 house / su halb vs semi	hˢ
П	D4	62	26	𓉐 Π ⨅ PE PI 𓊪 𜑶 𜑷 𜑲 𐩨 beth  𜑶 se 𜑷 še 𜑰 ši	P / b / se
ꕼ	D5	63	6	"󲁇  𐩵 daleth 𓉿 dalt ""door"" 𐊮 SH 𓌕𓐮 󲍐 󲉗 󲍾 󲁄 󲁅 󲁆 󲁇 󲄞 󲄟 󲇄 󲉐 󲎃 | 󲁄 󲁆 𐘱 JA 𐀊 ja 󲁄 󲁆 janah جناح 󲁅 󲁇 鬥 "	da ᵈja ᵈʃꭍᶴ
𐙎 𑀪	G6	64	28	𓁨 ኸ ḥ ከ 󴒌 𐩫 k አ 𐩱  ʔ  Ћ tshe ђ dje  𐩱 alef  𐙎 •JI  Ⴞ  Ƕ Ԣ ??? ћ tshe ⵄ Saturn: ♄ ꖷ vai mu 𐎠 𑀜 ñ	kḥʔ  cj  ᵗʃꭍᶴ  π?
𐊿	D8	65	4	𔗤 󴋛 𓉲 𐘮 WA 𐀷 wa 𐊿 /UU/ D8' 𐘦 DE 𔘂 𔗕 TE  𐀴 ti ጠ ṭ 𐚩 E1 𐘫 PU wohn 𓏼 𓏽 𓐃 𐎍 A m ⩋ lambda ᚃ fearn 𐘮 𐀷 𐂸 𔔒 ▥	ᵖwu/wo /  TE 𐀴 ti ጠ ṭ
𐂸	D6	66	4	𔖻 ^^ 𐙏 󴥡 󴊆 󴊇 󴊈 󴊉 󴊊 󴊃 󴊂 󴊄 󴫇 palace 𐀎 ju  󲄤 󲄥 󲇘 𐂧 𐘮 𐀷 󲄤 󲄝 ^^	4u₄ ju
󴋝	D7	67	1	𔔒 𓏠𓈖  𔔓 󴙜 𔗕 𜑋 𜑌 𜑍 𜑎 𜑏 𜑐 𜑑 𜑒 𜑓  naós ναός monument	5u₅
𜏃	G7	68	18!	𓇷 G7'  half 󴫃  𐩰 fe 𐩥 waw 𜏇 𜏄 Hˢ 𜏼 𜏃 su₂ 𜏼𜒇𜏌𜏳 sunkir ≈ 𜏃𜒉𜏌 sunki •cungi king  𐩷 teth 𐩳 dhadhe ፀ ṣ́ solar θ thalath	ፀ ṣ́ 𜏃 su₂ 𒄮 sur₃  𓇳 šure 𓇷 סהרא sahrā 𒌗 𒌓 𒄭𔓷ⵀⴱ halb 𒌓 semi šamš  ⵙ sol < θ thalath
ⴵ	E13	69	5	ⴵ YAJ 𜑀 dj •dz 𐩸 zayn 𜐾 𜐿 𜑁 𜑂 𜑃 𜐻 𜐼 𜐽  𜑀 •HE ⇔ 𜐾 ᵏHU 𜔁 𜐳 𜐲 𜐵 𜐶 Kappa	z/ðj/ç
⨺	F6	70	2	𓉴 🜁 𔐑 𐙁 MA 𔓬 #MONS 𓍋 𓅓 𓂋 𓉴 󴩜 𔗖 medina 𔗗  ≠ 𜐇 z 𜐐 𐘢 PI 𐀠 pi  𐩳 dhadhe <> di,ti 𔑺 ≈ 𔒅 ma	maᵒⁿ
⨻	H3	71	2	𜒶 𜐗 🜂 ⌤ 𜒵   could bee cursive of F6 ⨺ 🜁 𐙁 𔓬 󴩜	^
▽̌	E10	72	16	𜐮 𜐂 𜐆 𜐃 𜐄 𜐅 𐃋 󲇞 𜐗	ʣʳ?
