Nº 	English 	Etruscan 𐌑~com~𐌔𐌌 𐌐𐌅~qv/p	gloss h->ḫ	PIE		Hittite 𒉈𒅆𒇷 (nesili)	Luwian	w<>r n<>l ar<>ol	Lydian	Lycian 
133	wipe 	- 	-			fshin	ammassiti	Wischen ++		
134	pull 	- 	trao, tre	trac	✓	huettiezzi	-			
135	push 	𐌀𐌓𐌔 	ᵖars, trut, trot	pursue, push, drückt	<<	suwezzi	-	stoße		
136	throw 	𐌕𐌓𐌅𐌈 	truth, eik, geta, iakoi, lanso	Thrush ++	✓	𒁉𒌍𒅆𒄑𒍣 (pesiezi), ūssiezzi	-			
137	tie 	- 	konis		✓	ishai, hamanki	hishiti, hāpiti			
138	sew 	- 	su		✓	-	-			
139	count 	- 	-			kappuezzi	-			
140	say 	- 	nar, or	𓆙𓂋𓄔	<<<	tēzzi	āssatti (?)			
141	sing 	- 	kantor, canr		✓	Ishamai !	-	1. hiss 𓎛 𓎿 𓋴 𓀁 2. shumai 𓈙 𓅓 𓂝		
142	play 	- 	canr	cwanr	^^	duskzi, hinganiskezzi	-			
143	float 	- 	-			-	-			
144	flow 	- 	ini	वाहने vāhne rinne	✓!?	ārszi	ārsi(ya)-	?		
145	freeze 	- 	-			ekāizzi	-			
146	swell 	- 	ofe	up		suwattari	-	~swellt		
147	sun 	𐌅𐌔𐌉𐌋, 𐌅𐌑𐌉𐌋 	usil, uśil	*SOL 𐤔𐤌𐤔 šm	✓	istanus 𒀭	𒋾𒉿𒊍 (tiwaz)	eastern 𒀭 !?		
148	moon 	𐌕𐌉𐌅, 𐌕𐌉𐌅𐌓 	tiv, tivr	տարի tari 달 𒌗 סהרא sahrā	✓!	armas	*armas	??? <<>>		
149	star 	𐌐𐌅𐌋𐌅𐌌 ? 	pulum	s'par •pulamet~planet 𓃀 𓄿 𓇼	~?	hastērz	-	hastars! 		
150	water 	𐌍𐌄𐌓𐌉 	neri, thi	νερό	✓	𒉿𒀀𒋻 (wa-a-tar)	𒉿𒀀𒅈𒊭 (wārsa)	Water 		
151	rain 	- 	-			hēus	-	Guss		
152	river 	- 	amnis	mean… meander marine maim 𓈙 ⋍ 𓏠 𓈖	<<	hapas	𒄩𒀀𒁉𒅖 (hāpis)			
153	lake 	- 	tisś	𓈙 ~ 𓊌 таш taš	<<!!	lulis (?)	-			
154	sea 	- 	mar		✓	arunas	𒀀𒆷𒀸𒊭𒄠𒈪𒅖 (alasammis)	<<>>		
155	salt 	- 	sal, salt		✓	-	-			
156	stone 	𐌐𐌄𐌍𐌈𐌅𐌍𐌀, 𐌐𐌄𐌍𐌈𐌍𐌀, 𐌕𐌅𐌐𐌉, 𐌕𐌅𐌋 	penthuna, penthna, tupi, tul, ixu	𐎍𐎁𐎐𐎚 lbnt le*Bint > pethra!!!	✓!	𒉺𒀸𒅆𒆷𒀸 (passilas)	-	psteyenas Stein 		
157	sand 	- 	-			-	-			
158	dust 	- 	-			-	pasūriyas (?)			
159	earth 	𐌂𐌄𐌋 	cel, teleii, telos, tera	soil < Terra 𐤲𐤦𐤭𐤠 qira 	✓	tēkan	𒋾𒄿𒀀𒄠𒈪𒅖 (tiyammis)	terrain!! (sic)		
160	cloud 	- 	-			alpās	-			
161	fog 	- 	-			kammaras	-			
162	sky 	𐌚𐌀𐌋𐌀𐌕𐌅 	falatu	Baerotu ~ Petru	✓?	𒉈𒂊𒁉𒅖 (nēpis)	𒋫𒀊𒉺𒀸𒊭 (tappassa)	ne.phoith  𓎟 𓏏 𓉗 𓏏 𓉐 𓅆		
163	wind 	- 	-			huwanz	-	Shuwind δ!		
164	snow 	- 	-			-	-			
165	ice 	- 	-			ekan	-	Eican !! k<>c		
166	smoke 	- 	-			tuhhuwais	-			
167	fire 	𐌅𐌄𐌓𐌔 	vers	𐌅𐌄𐌓𐌔 = firos	✓	𒉺𒀪𒄯 (paḫḫur)	𒉺𒀀𒄷𒌋𒌨 (pāhūr)	Phaihur +++ πi!		
168	ash 	- 	-			hās, hāss-	-	hash!		
169	burn 	- 	osaie, cina	zünd, kindle	✓	urāni	-	Buranι ++		
170	road 	𐌕𐌄𐌆𐌀𐌍 	tezan, via	szosaⁿ, via	✓!	𒆜𒀸 (palsas)	harwas	Path <<		
171	mountain 	- 	-			-	*ariyattis	𓈎𓄿𓇋𓇋𓈒𓏥𓊎		
172	red 	- 	roph	𐌐<>st ! ^^	✓ ~	mitas	-	<<		
173	green 	- 	-			hahlawanz	hahhaluwantis			
174	yellow 	- 	-			hahlawanz	hahhaluwantis	hyellow.onth		
175	white 	- 	-			harkis	-	thürkis??		
176	black 	- 	atrste, ater	aether? astro artist?	<<<	hanzanas, dankuis	dakkuīs, marwāy-	dunkel		
177	night 	- 	-			ispanz	-			
178	day 	𐌕𐌉𐌍, 𐌕𐌉𐌍𐌉𐌀 	tin, tinia	dayn	✓	sīwaz	halli	δaywaz		
179	year 	𐌀𐌅𐌉𐌋 	avil	"𔕺 𐌅𐌔𐌉𐌋 vsil ""sun"" <> an"	<<<	wīz	ussis			
180	warm 	- 	tep	temp	✓?	ānz	-			
181	cold 	- 	also	ᵏaltho	✓??	ekunanz	-	kühl?		
182	full 	- 	churu	𓎡𓎟	✓!	suus	-			
183	new 	- 	nia, nusi		✓	nēwas	nāwis	new++		
184	old 	- 	-			miyahwanz	-	much mi.year		
