№ 	English 	Old Church Slavonic 	Aryan	Czech 	Polish 	Slovak 	Lower Sorbian 	Upper Sorbian 	Bulgarian 	Macedonian 	Serbo-Croatian Latin 	Serbo-Croatian Cyrillic 	Slovene 	Belarusian 	Russian 	Rusyn 	Ukrainian														
166	smoke 	дꙑмъ (dymŭ) 	<<??	kouř, dým 	dym 	dym 	dym 	kur, dym 	пушек (pušek), дим (dim) 	дим (dim), чад (čad) 	dim 	дим 	dim 	дым (dym) 	дым (dym) 	дым (dŷm) 	дим (dym)														
167	fire 	огнь (ognĭ) 	Agni ++	oheň 	ogień 	oheň 	wogeń 	woheń 	огън (ogǎn) 	оган (ogan) 	vatra, oganj 	ватра, огањ 	ogenj 	агонь (ahonʹ) 	огонь (ogonʹ) 	огень (ohenʹ) 	вогонь (vohonʹ), ватра (vatra)														
168	ash 	popel 	;)	popel 	popiół 	popol 	popjeł 	popjeł 	пепел (pepel) 	пепел (pepel) 	pepeo 	пепео 	pepel 	попел (popjel) 	пепел (pepel), зола (zola) 	попіль (popilʹ) 	попіл (popil)														
169	to burn (intransitive) 	горѣти (gorěti) 	<<??	hořet 	palić 	horieť 	paliś se 	palić 	горя (gorja) 	гори (gori) 	goreti, gorjeti 	горети, горјети 	žgati, goreti 	гарэць (harecʹ) 	гореть (goretʹ) 	горїти (horjity) 	горіти (hority), палати (palaty)														
170	road 	пѫть (pǫtĭ) 	<<??	silnice, cesta, note: pouť (but in the meaning of "journey") 	droga 	cesta 	droga 	puć 	път (pǎt), шосе (šose) 	пат (pat) 	put, cesta 	пут, цеста 	cesta 	дарога (daroha), шлях (šljax) 	дорога (doroga), путь (putʹ) 	дорога (doroha) 	дорога (doroha), шлях (šljax)														
171	mountain 	гора (gora) 	KUR!!	hora 	góra 	hora, vrch 	góra 	hora 	планина (planina) 	планина (planina) 	planina, gora 	планина, гора 	gora, planina 	гара (hara) 	гора (gora) 	гора (hora) 	гора (hora)														
172	red 	чръвєнъ (črŭvenŭ) 	<<??	červený 	czerwony 	červený 	cerwjeny 	čerwjeny 	червен (červen) 	црвен (crven) 	crven 	црвен 	rdeč 	чырвоны (čyrvony) 	красный (krasnyj), червонный (červonnyj) (obsolete) 	червеный (červenŷj) 	червоний (červonyj)														
173	green 	зєлєнъ (zelenŭ) 	Zar! Selene?	zelený 	zielony 	zelený 	zeleny 	zeleny 	зелен (zelen) 	зелен (zelen) 	zelen 	зелен 	zelen 	зялёны (zjaljóny) 	зелёный (zeljónyj) 	зеленый (zelenŷj) 	зелений (zelenyj)														
174	yellow 	žlutý 	Sloty <> gold	žlutý 	żółty 	žltý 	žołty 	žołty 	жълт (žǎlt) 	жолт (žolt) 	žut 	жут 	rumen 	жоўты (žoŭty) 	жёлтый (žóltyj) 	жовтый (žovtŷj) 	жовтий (žovtyj)														
175	white 	бѣлъ (bělŭ) 	白 bái.lux alebainon!	bílý 	biały 	biely 	běły 	běły 	бял (bjal) 	бел (bel) 	beo, bijel 	бео, бијел 	bel 	белы (bjely) 	белый (belyj) 	білый (bilŷj) 	білий (bilyj)														
176	black 	чрънъ (črŭnŭ) 	𓐍 gyr gray 𒊹 ŠAR	černý 	czarny 	čierny 	carny 	čorny 	черен (čeren) 	црн (crn) 	crn 	црн 	črn 	чорны (čorny) 	чёрный (čórnyj) 	чорный (čornŷj) 	чорний (čornyj)														
177	night 	нощь (noštĭ) 	✔	noc 	noc 	noc 	noc 	nóc 	нощ (nošt) 	ноќ (noḱ) 	noć 	ноћ 	noč 	ноч (noč) 	ночь (nočʹ) 	ніч (nič) 	ніч (nič)														
178	day (daytime) 	дьнь (dĭnĭ) 	dien✔ dayn Tajjen	den 	dzień 	deň 	źeń 	dźeń 	ден (den) 	ден (den) 	dan 	дан 	dan 	дзень (dzjenʹ) 	день (denʹ) 	день (denʹ) 	день (denʹ)														
179	year 	лѣто (lěto) 	𓇳k	rok, roky/léta (plural) 	rok 	rok 	lěto 	lěto 	година (godina) 	година (godina) 	godina, ljeto, leto (arch.) 	година, љето, лето (arch.) 	leto 	год (hod) 	год (god), лето (leto) (arch.) 	рік (rik) 	рік (rik)														
180	warm (as in weather) 	топлъ (toplŭ) 	<<??	teplý 	ciepły 	teplý 	śopły 	ćopły 	топъл (topǎl) 	топол (topol) 	topao 	топао 	topel 	цёплы (cjóply) 	тёплый (tjóplyj) 	теплый (teplŷj) 	теплий (teplyj)														
181	cold (as in weather) 	хладьнъ (xladĭnŭ), стоудєнъ (studenŭ) 		studený, chladný 	zimny, chłodny 	studený, chladný 	zymny 	zymny, chłódny 	студен (studen), хладен (hladen) 	студен (studen), ладен (laden) 	hladan, studen 	хладан, студен 	hladen, mrzel 	халодны (xalodny), сцюдзёны (scjudzjóny) 	холодный (xolodnyj), студёный (studjónyj)																
182	full 	испльнь (isplĭnĭ) 	Plenty ++	plný 	pełny 	plný 	połny 	połny 	пълен (pǎlen) 	полн (poln) 	pun 	пун 	poln 	поўны (poŭny) 	полный (polnyj) 	повный (povnŷj) 	повний (povnyj)														
183	new 	новъ (novŭ) 	✔	nový 	nowy 	nový 	nowy 	nowy 	нов (nov) 	нов (nov) 	nov 	нов 	nov 	новы (novy) 	новый (novyj) 	новый (novŷj) 	новий (novyj)														
184	old 	старъ (starŭ) 	~senior starr! Stark star!?	starý 	stary 	starý 	stary 	stary 	стар (star) 	стар (star) 	star 	стар 	star 	стары (stary) 	старый (staryj) 	старый (starŷj) 	старий (staryj)														
185	good 	добръ (dobrŭ) ™	<<??	dobrý 	dobry 	dobrý 	dobry 	dobry 	добър (dobǎr) 	добар (dobar) 	dobar 	добар 	dober 	добры (dobry) 	хороший (xorošij), добрый (dobryj) 	добрый (dobrŷj) 	гарний (harnyj), добрий (dobryj)														
186	bad 	зълъ (zŭlŭ)  !!	<< sly slut? <<	špatný, zlý 	zły 	zlý 	zły 	hubjeny, špatny, zły 	лош (loš), зъл (zъl) 	лош (loš) 	zao, loš 	зао, лош 	zloben, slab 	дрэнны (drenny), кепскі (kjepski), благі (blahi) 	плохой (ploxoj), злой (zloj), поганый (poganyj) 	планый (planŷj) 	поганий (pohanyj), злий (zlyj)														
187	rotten (as a log) 	shnilý 		shnilý 	zgniły 	hnilý 	zgnity 	zhniły 	гнил (gnil) 	гнил (gnil) 	truo, gnjio 	труо, гњио 	gnil 	гнілы (hnily) 	гнилой (gniloj) 	гнилый (hnylŷj) 	гнилий (hnylyj)														
188	dirty 			špinavý 	brudny 	špinavý 	njerěšny, brudny 	mazany 	мръсен (mrǎsen), нечист (nečist) 	валкан (valkan), нечист (nečist) 	prljav 	прљав 	umazan 	брудны (brudny) 	грязный (grjaznyj) 	брудный (brudnŷj) 	брудний (brudnyj)														
189	straight 	правъ (pravŭ), равьнъ (ravĭnŭ) 		přímý, rovný 	prosty 	priamy, rovný 	rowny 	runy 	прав (prav) 	прав (prav) 	prav, ravan 	прав, раван 	raven 	прамы (pramy), просты (prosty) 	прямой (prjamoj), ровный (rovnyj) 	прямый (prjamŷj) 	прямий (prjamyj), рівний (rivnyj)														
190	round 			kulatý 	okrągły 	guľatý, okrúhly 	kulaty 	kulojty, kulowaty 	кръгъл (krǎgǎl) 	кружен (kružen), тркалезен (trkalezen) 	okrugao 	округао 	okrogel 	круглы (kruhly) 	круглый (kruglyj) 	округлый (okruhlŷj) 	круглий (kruhlyj)														
191	sharp (as a knife) 	остръ (ostrŭ) 		ostrý 	ostry 	ostrý 	wótšy 	wótry 	остър (ostǎr) 	остар (ostar) 	oštar 	оштар 	oster 	востры (vostry) 	острый (ostryj) 	острый (ostrŷj) 	гострий (hostryj)														
192	dull (as a knife) 			tupý 	tępy 	tupý 	tupy 	tupy 	тъп (tǎp) 	тап (tap) 	tup 	туп 	top 	тупы (tupy) 	тупой (tupoj) 	тупый (tupŷj) 	тупий (tupyj)														
193	smooth 	гладъкъ (gladŭkŭ) 		hladký 	gładki 	hladký 	gładki 	hładki 	гладък (gladǎk) 	мазен (mazen) 	gladak 	гладак 	gladek 	гладкі (hladki) 	гладкий (gladkij) 	гладкый (hladkŷj) 	гладенький (hladenʹkyj)														
194	wet 	мокръ (mokrŭ) 		mokrý 	mokry 	vlhký, mokrý 	mokšy 	mokry 	мокър (mokǎr) 	мокар (mokar), влажен (vlažen) 	mokar 	мокар 	moker 	мокры (mokry), вільготны (vilʹhotny) 	мокрый (mokryj) 	мокрый (mokrŷj) 	мокрий (mokryj)														
195	dry (adjective) 	соухъ (suxŭ) 		suchý 	suchy 	suchý 	suchy 	suchi 	сух (suh) 	сув (suv) 	suv, suh 	сув, сух 	suh 	сухі (suxi) 	сухой (suxoj) 	сухый (suxŷj) 	сухий (suxyj)														
196	right (correct) 	правъ (pravŭ) 		správný 	poprawny,													 prawidłowy 	správny 	pšawy 		prawy 	правилен (pravilen) 	точен (točen), правилен (pravilen) 	tačan, ispravan	тачан, точан, исправан, правилан 	točen, pravilen 	правільны (pravilʹny), слушны (slušny) 	правильный (pravilʹnyj), верный (vernyj), точный (točnyj) 	правилный (pravylnŷj) 	правильний (pravylʹnyj), вірний (virnyj)
197	near 	близъ (blizŭ) 		blízký 	bliski 	blízky, neďaleký 	bliski 	bliski 	близък (blizǎk) 	близок (blizok) 	blizak 	близак 	bližnji 	блізкі (blizki) 	близкий (blizkij) 	близкый (blyzkŷj) 	близький (blyzʹkyj)														
198	far 	дальнии (dalĭnii), дальнъ (dalĭnŭ) 		daleký 	daleki 	ďaleký 	daloki 	daloki 	далечен (dalečen) 	далечен (dalečen) 	dalek 	далек 	daljen 	далёкі (daljóki) 	далёкий (daljókij), дальний (dalʹnij) 	далекый (dalekŷj) 	далекий (dalekyj)														
199	right (side) 	дєснъ (desnŭ), правъ (pravŭ) 		pravý 	prawy 	pravý 	pšawy 	prawy 	десен (desen) 	десно (desno) 	desni 	десни 	desni 	правы (pravy) 	правый (pravyj) 	правый (pravŷj) 	правий (pravyj)														
200	left (side) 	лѣвъ (lěvŭ) 	✔	levý 	lewy 	ľavý 	lěwy 	lěwy 	ляв (ljav) 	лево (levo) 	levi, lijevi 	леви, лијеви 	levi 	левы (ljevy) 	левый (levyj) 	лївый (ljivŷj) 	лівий (livyj)														
201	at 	оу (u), при (pri) 	au, pro ++	u, při 	u, przy 	pri 	wu, pśi 	při 	в (v), на (na), при (pri), до (do) 	до (do), на (na), кај (kaj) 	u, pri, kod 	у, при, код 	v, pri, na 	каля (kalja), ля (lja), пры (pry) 	при (pri), у (u), возле (vozle), около (okolo) 	коло (kolo), при (pry) 	коло (kolo), біля (bilja), при (pry), у (u), в (v)														
202	in 	въ (vŭ) 	bei?	v, ve 	w, we 	v, vo 	w, we 	w, we 	в (v), във (vǎv) 	во (vo) 	u 	у 	v 	у (u), ў (ŭ) 	в (v), во (vo) 	в (v), у (u) 	в (v), у (u), ув (uv), уві (uvi)														
203	with (accompanying) 	съ (sŭ) 	zu,syn	s, se 	z, ze 	s, so 	z, ze 	z, ze 	с (s), със (sǎs) 	со (so) 	s, sa 	с, са 	s, z 	з (z) 	с (s), со (so) 	з (z), зо (zo), із (iz) 	з (z), зі (zi), із (iz)														
204	and 	и (i) 	y	a, i 	i 	a, i 	a 	a 	и (i) 	и (i) 	i 	и 	in 	і (i), ды (dy) 	и (i), да (da) (coll.) 	і (i), а (a), та (ta) 	та (ta), і (i), й (j)														
205	if 	ащє (ašte) 	Este …  ak! 	jestliže, jestli 	jeśli, jeżeli 	ak 	joli, gaž, gaby 	hdyž 	ако (ako) 	ако (ako) 	ako 	ако 	če, ako 	калі (kali) 	если (jesli), ежели (ježeli), коли (koli) 	кідь (kidʹ) 	якщо (jakščo)														
206	because 	пон҄єжє (ponʹeže) 	<< opon esse	protože, jelikož, poněvadž 	bo, ponieważ 	pretože, lebo 	dokulaž 	dokelž, přetož 	защото (zaštoto) 	затоа што (zatoa što), зашто (zašto), бидејќи (bidejḱi) 	zbog, zato što, jer 	због, зато што, јер 	zaradi, ker 	бо (bo), таму што (tamu što) 	потому что (potomu što), ибо (ibo) 	бо (bo), затоже (zatože), протоже (protože) 	бо (bo), тому що (tomu ščo)														
207	name 	имѧ (imę) 	имѧ  NAME!!! jméno 	jméno 	imię 	meno 	mě 	mjeno 	име (ime) 	име (ime) 	ime 	име 	ime 	імя (imja) 	имя (imja) 	імя (imja), мено (meno) 	ім'я (imʺja)														
