№	English	Kurukh कुँड़ुख़	PIE	
178	day	उल्ला (ullā)	ura	
179	year	बछर (bachar), चान (cān)	"sān [[𓆶]] 𒉿𒂖;𒁁𒌌	pi-el; be-ul"	
180	warm	बिड़ना (biṛnā), कुड़ना (kuṛnā)	firny gwurma	⚠️
181	cold	पईँयाँ (paī̃yā̃), कीर्ना (kīrnā)	frai, cryo	
182	full	निंदका (nindkā), पूर (pūr)	पूर pūr poly full	
183	new	पुना (punā)	puny	
184	old	पच्चा (paccā)	𒁍 púʳ पुराण purāṇa ⇔ 𐀞𐀨𐀍 pa-ra-jo  paleo 	
185	good	दव (dau), बेस (bēs)	besser best	
186	bad	मल्दव (maldau), अनेस (anēs)		
187	rotten	कित्त्का (kittkā)		
188	dirty	केच्केचा (keckecā)		
189	straight	उज्गो (ujgō)		
190	round	गोल (gōl)	gyr	
191	sharp (as a knife)	धार (dhār)		
192	dull (as a knife)	बोथे (bothē)		
193	smooth	चिकना (ciknā)		
194	wet	चइँका (caĩkā)		
195	dry	ख़इका (xaikā)		
196	correct	ठीक (ṭhīk)	check ;)	
197	near	हेद्दे (heddē), गुसन (gusan)		
198	far	गेच्छा (gecchā)		
199	right	तीना (tīnā)		
200	left	लेंगा (leṅgā)		
201	at	नू (nū), गुसन (gusan)	𓈖 𒀸 	
202	in	नू (nū)	𓈖 𒀸 	
203	with	संगे (saṅgē), गुसन (gusan)	syn.que ge.syn	!
204	and	अरा (arā), दरा (darā)		
205	if	अगर (agar)	ajar 𓇋 𓂋 ار ar eğer	
206	because	अवंगे (aoṅgē) (therefore)		
207	name	नामे (nāmē)	name	
