Nr 	English 	Eurasian 	Best Uralic	Best Turk		Hungarian = corrupted PIE/Turk	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	Tundra Nenets	North Sami 	Kildin Sami 	Turk connection	Best Turk	Aryan		Turkmen 
188	dirty 	mucos, murky, rotten ^^ piss;) … lika+inen	reduhiine 		+++	mocskos, piszkos koszos 	likainen 	ligahine reduhiine 	must räpane 	рудазов 	ърдазу лебоню 	няйт 	 		duolvvas 	са̄ккьс (sākkʹs) 			<> khir=black	✓️	kirli, hapa 
189	straight 	Sure <> right = oiko	sirge	тӳрĕ 	^^+	egyenes  ~ oikoinen	suora oikoinen 	oigie šuorie 	sirge 	виде 	виде 	веськыд 	 		 	нёллкэ (njollke) 		тӳрĕ 	s’тура.de straight <>¬gon	<	göni; dogry 
190	round 	Circ/fahrend/rad pirouette <> fire?	каря pyöreä		++++	Kerek <> circ!	pyöreä 	pyörie pyöryžä 	ümmargune 	кирксала 	покаряв 	гӧгрӧс 	 		jorbbas 	ёррьпесь (jorrʹpʹesʹ) 			çаврака~circ, togar.as, wrun.de	~?	togalak, öwre 
191	sharp 	Terä <> tear ýitir@turk ħað cutter 	terav 		<	éles él “edge” (Keil/Teil)	terävä 	terävä 	terav 	пшти 	оржа 	ёсь 	 		bastil 	пассьтлэсь (passʹtlesʹ) 					ýiti; ötgür 
192	dull 	dumb dull Tölpel!	tylppä		+++<	tompa 	tylsä tylppä 	tylčä tupičču 	nüri 	ношка 	ношка 	ныж 	 		 	ме̄ресь (mʹērʹesʹ) 			cut¬ac	✓️<!	kütek 
193	smooth 	Smooth, ~	sima.de simaty		++~	sima 	sileä 	silie 	sile 	валаня 	арся такор 	шыльыд 	 		duolba 	нёллькесь (njollʹkʹesʹ) 			teyig~ silk!	✓️ ½ 	tekiz 
194	wet 	Nass @ meer  nautic nawäss	Nedves / märkä		++<<	Nedves 	märkä 	mägrä 	märg 	начко 	начка 	уль 	 		njuoskkes 	ню̄цкас (njūckas) 			Lak <> aqua, öl!!	✓️<!	çygly; öl (damp, wet) 
195	dry 	száraz < sun , chau'  乾  かわく kawaku 干 gök	kuiva		++™ ?	száraz 	kuiva 	kuiva 	kuiv 	коське 	коське 	кос 	 		goiki 	коашькэсь (koašʹkesʹ) 			кургак karg qry dry 	✓️~	qury 
196	correct 	Hell-yes okey ;) eu-que r'ight …	helyes, oikea		++;)	helyes 	oikea 	oigie 	õige 	виде 	виде 	 	 		riekta 	вӯййк (vūjjk) 			derechia, drtha << d’agree ++	✓️ <<	dogry 
197	near 	kurz мала~nahr nähe  ~ *lähe- àl le- 𓂋 мала ma.la лишне 𓎫  ležgõl 	Közel 		+?	Közel : kurz	lähellä 	lähellä 	lähedal 	маласо 	мала 	матын 	lˈapa 		lahka 	алльт (allʹt) 			join/con/sys	√	ýakyn 
198	far 	Marsch @ Messe!	𓈝 		…?	messze	kaukana etäällä loitolla  @ caucasus?	edäh edähäksi loitton 	kauge(l) 	васоло 	ичкозе 	ылын 	 		guhkkin 	́куһкенҍ (adverbial)			kozak? Iraq;)  farac ерак 	~	uzak, alyş 
199	right 	又 you yǒu 友 右 有  job yep 业 JA hab ok oikea 𓁹 	jobb, oigie		++<<!!	jobb 	oikea 	oigie 	parem 	вить кедь 	виде 	веськыд 	 		olgeš 	вуэлькесь (vuelʹkʹesʹ) 			sax 石右  shíyou 手 <> thai (facing pole)	<<!!	sag 
200	left 	"falsch? ballen? balsen? fassen 🖑 fist 𓂩𓂫𓂬	"			<<<	bal 	vasen 	važen hurai 	vasak 	керш кедь 	кержи 	шуйга 	 		gurut 	чинч (činč) 			左 zuǒp ‘job’ syr(i) sol	<!	çep 
201	at 	𓈖 𒀸 𒈾 nah an / al ל! < à-la < 𓂋		-ра/-ре, -та/-те	+++	-nál/-nél 	-lla/-llä 	-lla/-llä 	-l juures 	кедьсэ (postposition) 	ваксса (postposition) 	 	 		-s (locative) 	-эсьт (-esʹt) альн (alʹn) 		-ра/-ре, -та/-те	bei / at / de / to 𓏏	✓️✓️	-ра/-ре, -та/-те
202	in 	binnen bei/in *ben=ב bian 边   QED  2. zu 在 ++	-ban -ssä	-ра/-ре, -та/-те	+++++	-ban/-ben 	-ssa/-ssä 	-ssa/-ssä 	-s sees 	потсо 	-са 	-ын 	 		-s (locative) 	-эсьт (-esʹt) (inside) сызьн (sɨzʹn) 		-ра/-ре, -та/-те	bei / at / de / to 𓏏 içinde	✓️✓️	-ра/-ре, -та/-те
203	with 	VE! ו con! Care 𓎛𓈖𓂝	kanssa kera  -vel	-па/-пе 	++++	-val/-vel 	kanssa kera 	kellä -nke/-nkera kera 	-ga koos 	марто (postposition) 	мархта (postposition) 	-кӧд -ӧн 	jot 		mielde (also along) 	-энҍ (-enʹ) мӣлльтэ (mīllʹte) 		-па/-пе 	bei 陪 pei  ל 被 by bi.de with along belong!	✓️✓️!?	bilen 
204	and 	Da / ja / és / si / et y/a ++ (an)da	Da / ja / és		…	és s 	ja 	da 	ja ning 	ды 	эди и 	да 	os 		ja 	я (ja) 			 و wa to With y+n con~жана  	✓️✓️	we 
205	if 	Que, quan ~ when   𓇋 𓂋 jos-ko (mouth=os/kou)	Kuin > ku > ha	eger 	+++	ha 	jos -ko 	kuin ku -ko 	kui 	бути -ндеря- 	дяряй 	кӧ 	 		juos, jus 	коалэ (koale) 		eger 	𓇋 𓂋 either	✓️✓️!!!?	eger 
206	because 	cause, c’est +++	koska, sest	çünki 	+++	Mert < merit (of)	koska sillä 	sendäh sentän žentäh žentän 	sest 	секс мекс 	сяс мес 	вӧсна 	māɣəs kastəl 		dihte, geažil 	гуэйкэ (guejke) 		çünki 	since	✓️?	çünki 
207	name 	name	nimi 	аат 	+++	név 	nimi 	nimi 	nimi 	лем 	лем 	ним 	nam 	nʲum 	namma 	нэ̄мм (nēmm) 		аат 	𐌷𐌰𐌹𐍄 heißen (m)ot, ad@res address	✓️	at 
six			👋 + 1			*kutte															
seven	hét	++	set < *setimi (slavic)			*seccem 															
ten	tíz	+++	dix																		
