Nr 	English 	Eurasian 	Best Uralic	Best Turk		Hungarian = corrupted PIE/Turk	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	Tundra Nenets	North Sami 	Kildin Sami 	Turk connection	Best Turk	Aryan		Turkmen 
48	louse 	kit-louse	--	bit[ik]	egal	tetű 	täi 	täi 	täi 	чичав 	си 	той 	 		 	тыһкь (tɨhkʹ) 	[bu]тыһкь tɨhkʹ “tick”	bit[ik]	bit ~ beetle!	✓️	bit 
49	snake 	𓎛𓆑𓄿𓅂 KAR™ Gewürm MUS! Made:  ! <>  Kiefer? Ge-Ziefer curved	кый kiärmis кӯввьт kūvvʹt	gurt (worm)	+++	kígyó 	käärme 	kiärmis mado 	madu uss 	гуй ёзнэ 	куй 	кый 	 		gearpmaš 	кӯввьт (kūvvʹt) 	кӯввьт (kūvvʹt) 	gurt (worm)	schlange!! kʊlɪn  curlen	✓️!	ýylan 
50	worm 	Ver.1 Made ^^	ма̄дт mādt	gurt 	+++	féreg 	mato 	madoine 	uss 	сукс 	сукс 	нидзув 	 		máhtu 	ма̄дт (mādt) 	кӯввьт kūvvʹt (snake)	gurt 	Curled !	✓️!	gurt, gurçuk 
51	tree 	"wood, fig, Fichte, шуфта чувто chopped ship? 𒄬𒁍 	ḫal-pu   palūs palūdem "	puu 	bag 𐌱𐌰𐌲𐌼𐍃 !!	++?	fa(k)	puu 	puu 	puu 	чувто 	шуфта <<<	пу 	jiw 	pʲa	muorra 	мӯрр (mūrr) 	"fa(k)	puu пя ṕa"	bag 𐌱𐌰𐌲𐌼𐍃 !!	fig / birch bark 	✓️✓️!	bag, agaç 
52	forest 	mùs 木 ™  вирь~bor* boreal forst  𓄟? 𓏠𓏌𓏌𓏌𓆭𓆭𓆭	mets 	мас (Tungistic)	+ 	Erdő  𓏌𓏌𓏌𓆭𓆭𓆭!	metsä 	meččä 	mets 	вирь 	вирь 	вöр 	 	pedarʲi	vuovdi, meahcci 	ва̄ррь (vārrʹ) 			mùs 木 turkee tree	✓️	tokaý 
53	stick 	bat > beat botanic 𓆭 klopp, pod@Dravid	bot, kepp pulk 	çöp	++<	bot 	keppi sauva 	keppi balikko savakko 	kepp pulk 	палка 	байдек 	 	 		soabbi 	суэммьп (suemmʹp) 	kepp	çöp	мод 木 stick~sтаяк ++ 	✓️!	çöp; taýak (stick, cane) 
54	fruit 	Gemüse;) Mus! Malve, puuvili~	Имож , puuvili	miwe 	+? 	gyümölcs 	hedelmä 	 	vili puuvili 	(сад пире) эмеж 	имож 	 	 		šaddu, šattoš 	шаннт (šannt) 	имож 	miwe 	Malve Mus ≠ kveret ~ guord gvruit	✓️½ 	miwe 
55	seed 	Samen, semen 2. maggot? 𓄟?	siemen 	tohum 	+++ 	Mag (more?)	siemen 	siemen 	seeme 	видьме 	видьме 	кöйдыс 	 		 	се̄м (sʹēm) 	се̄м sʹēm <	tohum 	tha'am Samen (f)urə 𓂋 ! ӱрен  fruit 	✓️<!	tohum 
56	leaf 	leaf levél 	levél 		+++	levél 	lehti 	lehti 	leht 	лопа 	лопа 	кор 	 	weba	lasta 	лэ̄сст (lēsst) 			𓌾  prak~blatt--	✓️ ~	ýaprak 
57	root 	kur™ jroot kork core gurke;)	juuri™	kök	<++	gyökér 	juuri 	juuri 	juur 	ундовкс 	юр 	вуж 	 	pəŋkə	ruohtas 	вуэнҍтэсь (vuenʹtesʹ) 	gyökér 	kök	Kork~Bark √deep 	✓️✓️	kök; düýp (base) 
58	bark 	кора (kora) Kork !	kéreg 	қабық gabyk 	+++	kéreg 	kaarna kuori 	kuori 	koor 	керь суд 	суд 	кырсь 	 		osttu 	па̄ҏҏк (pār̥r̥k) (hard) кэ̄рр (kērr) (soft) пе̄ссь (pʹēssʹ) 	kéreg 	қабық gabyk 	*karbark кора (kora) barka	✓️✓️	gabyk 
59	flower 	! 𓆼𓆼  viral *vloirag foliage панчф  plant 花花 huge	kukka 	çiçək	!!!	virág 	kukka 	kukka 	lill őis 	цеця 	панчф 	дзоридз 	 	ŋəmtedə	rássi ~ rose!	ра̄ссь (rāssʹ) rose!	kukka 	çiçək	Sisilk << çiçək susank	<	gül 
60	grass 	Heuᵒⁿ Ge.rāssʹ ра̄ссь   тише ~ 𒌑𒇷𒀀𒊬 dīšu  тикше турун ~ tṛ́ṇa	heinä, ра̄ссь, тикше турун		+++	fű (phyt)	ruoho heinä 	heinä 	rohi muru 	тикше 	тише ~ 𒌑𒇷𒀀𒊬 dīšu	турун ~ tṛ́ṇa	pum 		suoidni 	ра̄ссь (rāssʹ) 			cUT, курăк~gracc~grass	✓️✓️	ot 
61	rope 	Kordel cord köt = knot nuora 𓈖 Naht! <> Kittel	kötél 		+++	kötél 	köysi nuora 	nuora 	köis nöör 	пикс 	пикс 	гез 	 		báddi ~ Bind-Faden	нӯррь (nūrrʹ) 			𓎛 бау tanar TAU++ ip 𓎛 	✓️✓️	tanap, ýüp; urgan (thick) 
62	skin 	"bare naked <> s’nake  2. derma <> тӯлльй	"	"nahk, тӯлльй	"	deri	++<	Bőr <> bark	iho (human skin) nahka hipiä 	nahka hibja 	nahk 	кедь киське 	кедь киське 	ку 	 	xobə	náhki 	тӯлльй (tūllʹj) 	тӯлльй	deri	tūllʹj <> derma++ 𓄛 leather	✓️✓️	deri (animal); ham (human) 
63	meat 	<> F’lesh! Flihus fileth	liha 		+~	hús 	liha 	liha 	liha 	сывель 	сиволь пал 	яй 	 	ŋəmtsa	biergu 	вуэннч (vuennč) 			eat ma.et	✓️✓️	et 
64	blood 	WIR! Vir! Viral 🪱 vér 	vér 		++<	vér 	veri 	veri 	veri 	верь 	вер 	вир 	 	weja	varra 	вэ̄рр (vērr) 			sang! Xuen	✓️	gan 
65	bone 	Кость > Osteo  lobein leg 𓂾𓄙??			<< | ??	Csont <> süňk?	luu < ловажа 	luu 	kont luu 	ловажа 	пакарь 	лы 	 	le	dákti 	та̄ххьт (tāxxʹt) 			Sang soma сööк<>gök™ сөяк korkn	< 	süňk 
66	fat (noun) 	ranz, sîr=milk, пӯййт pūjjt > fat	razva, куя,		<<+	zsír 	rasva 	razva 	rasv 	куя 	куя 	 	 		buoidi 	пӯййт (pūjjt) 			yóu 油  𓅭 yā 鸭 yoil yog(hurt) mast	✓️<<	yağ 
67	egg 	Theia 𓏏𓆇@𓆉, Many Moon! 𓆇 𓇸 𓁹	muna 		+++!!	tojás, mony 	muna 	muna 	muna 	ал 	ал 	кольк 	mūŋi 		monni 	маннҍ (mannʹ) 			<< jaun ¬murt? urtga~egg@KOR 𓅓𓏏𓅐	<<<	ýumurtga 
68	horn 	sarv < kharvn khorn сюро keras	сюро 		++~?	szarv (@Schaf?)	sarvi 	sarvi 	sarv 	сюро 	сюра 	сюр 	āńt 	nʲamtə	čoarvi 	чуэррьв (čuerrʹv) 			𓏠 𓈖 𓃒 𓏥 menges / şah (Pers.) Zahn	✓️✓️	şah (Pers.) 
69	tail 	Hinter tail!!   𓊪 𓎛 𓄖  back frack 𓄖 ⇔ 𓆏 	häntä 		+++	Farok	häntä 	händä 	saba (händ) 	пуло 	пула 	бöж 	 	tææwə	seaibi 	се̄ййп (sʹējjp) 			Curück! <> curl?	✓️	guýruk 
70	feather 	Tolle, tail? sulk?	toll 		++ ?	toll 	sulka 	sulga 	sulg 	толга 	толга 	гöн 	pun 		dolgi 	по̄ннц (pōnnc) 			tail! toll@ural	✓️	ýelek 
71	hair 	hair < carve	haj, karva hivus		++>	haj 	karva hiukset, hius, tukka (human head hair) 	karva hivus, tukka (human head hair) 	karv juuksed (human head hair) 	черь 	шяярь 	юрси 	āt 	ŋebto	vuokta (s.), vuovttat (pl.) 	вӯппт (vūppt) (body) сэфс (sefs) 			sack, tolle	✓️	saç, tüý, gyl 
72	head 	face, ce.pha’ <> p'ne li.pa mouth  𓁷 ob	fej fő, piä 		++<>	fej fő 	pää 	piä 	pea 	пря 	пря 	юр 	puŋk 	ŋææwa	oaivi 	вуэййв (vuejjv) 			boss! Kopf++ TOP!	✓️	baş 
73	ear 	Füll:Hohrn khohrn 𐦜𐂠𐇩𓄏𓄋 curve?  𓇥 𓂋 𓆓 𓄔	korva 	ҡолаҡ gulak 	<<	fül 	korva 	korva 	kõrv 	пиле 	пиле 	пель 	palˈ 		beallji 	пе̄лльй (pʹēllʹj) 			Khores ++	✓️	gulak 
74	eye 	see/mu 目 	silmä 		++?	szem 	silmä 	silmä šilmä 	silm 	сельме 	сельме 	син 	sam 	sææwə	čalbmi 	чалльм (čallʹm) 			gaze ogeyes!	✓️✓️	көз 
75	nose 	nose eineNas’ 1!	nenä 		!!?	Orr ≠ Ohr	nenä 	nenä 	nina 	судо 	шалхка 	ныр 	ńol 	pija	njunni 	нюннҍ (njunnʹ) 			thana’~nasha  burun? Myrrhenos	✓️?	burun 
76	mouth 	Osu @ Latin	suu 		<-?	száj ajak 	suu 	suu 	suu 	курго 	курга 	вом 	sūp 	nʲah	njálbmi 	ня̄лльм (njāllʹm) 			𓂋 !!! am/OS << agyz	✓️	agyz 
77	tooth 	zham~zahn ᶻHammer? Hauer ha@mouth?  tʲibʲa	hammas		??	fog ~ fang?	hammas 	hammaš 	hammas pii 	пей 	пей 	пинь 	 	tʲibʲa	bátni 	па̄ннҍ (pānnʹ) 			Teeth +++	✓️✓️	diş 
78	tongue 	<> Kehle, Keil? chel djil 𐍄𐌿𐌲𐌲𐍉 talk	keel 	"чĕлхе dil 	тiл "	??	nyelv 	kieli 	kieli 	keel 	кель 	кяль 	кыв 	ńēləm 	nʲaəmi	giela 	нюхчемь (njuxčʹemʹ) 			D del! Teil 𐍄𐌿𐌲𐌲𐍉	✓️<< ++ 	dil 
79	fingernail 	craw claw Kralle kynzi~nykil~nail 	గోరు (gōru)	чĕрне dyrnak 	++-!	köröm 	kynsi 	kynzi 	küüs(singular) küüned (plural) 	(кедь сур) кенже 	кенже 	гыж 	 		gazza 	кэ̄ннц (kēnnc) 		чĕрне 	tir.nagel	✓️	dyrnak 
80	foot 	lab / le po/füß 1.leg vs jambe el.B(ein) 𓃀 ja.leg	la bfej!!  ja lka	taban даван / аяқ 	<++>	láb lábfej 	jalka jalkaterä 	jalga jallanpohja 	jalg jalalaba 	пильге 	пильге 	кок 	 	ŋææ	juolgi 	ю̄лльк (jūllʹk) 			bethe bal al.gan 𓃀 JAGe	✓️✓️!	aýak 
81	leg 	Lab / 1.leg	láb 	būt бұт	<++>	láb 	jalka 	jalga 	jalg 	пильге 	пильге 	кок 	 	ŋææ	juolgi 	ю̄лльк (jūllʹk) (calf) пе̄ццк (pʹēcck) 			bacak! 𓃀 бот +++	✓️✓️	aýak 
82	knee 	кумажа  krümm √turn? ≠ pelvis ('cap')		чĕр куççи 		térd 	polvi 	polvi 	põlv 	кумажа 	пълманжа 	пыдзöс 	 		čibbi 	пӯввл (pūvvl) 			térd@hun 	~	dyz 
83	hand 	•Kante > qātu > кедь kedʹ  हाथ hāth Hand=käsi ;) Keil	கை kai кедь kedʹ	қол 	<<<++	kéz 	käsi 	käzi 	käsi 	кедь 	кядь 	ки 	kāt 	ŋuda	giehta 	кӣдт (kīdt) 			Elle vs Arma  qoʻl хол < cheiro	~	el 
84	wing 	𓅂 tyw թեւ tʿew 𓆄@𓅂star Schar wing=tip sweep  7@chirp? Scharnier?	tiib		??	szárny 	siipi 	siibi 	tiib 	сёлмо 	паця 	борд 	 		soadji 	суэйй (suejj) 			qwingas!! кан~qwan!	~	ganat 
85	belly 	Fass, f’essen <> POT=belly పొట్ట (poṭṭa)	vačča 		<<<++	Has <	maha vatsa 	maha vačča 	kõht 	пеке 	пеке 	кынöм 	 		čoavji 	чуэййв (čuejjv) 		karın, kursak	𓄡 črěvo coeur-sack!	✓️<	garyn 
86	guts 	bulk@belly 𐰋𐰃𐰠‎ bél => belt  soma, solve?	suonet?	bağırsak 	™	belek 	suolet 	suonet 	sisikond sooled 	потмот-сюлот 	сюлот 	 	 		čoalli 	чуэлль (čuellʹ) 			bags+ sacks	✓️	içege 
87	neck 	neck, Kehle !	nyak, kaula 		+++	nyak 	kaula 	kagla 	kael 	кирьга 	кърга 	 	 	jiikə	čeabet 	ча̄пэх (čāpex) 			neck nɪkɪmna  моюн << √biegen <>back 		boýun 
88	back 	hinter   <> cat 𓄖 <> Hut?  𓐟 selg <> schulter	hát		++	hát 	Selkä  ?	selgä 	selg 	кутьмере 	копорь 	мыш 	sis 		čielgi 	се̄лльк (sʹēllʹk) 			ARC! a’Rück!  <> Arsch? 𓐟 	✓️✓️	arka, yagyrny 
