Nr 	English 	Hungarian 	Best Uralic	Eurasian	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	North Sami 	Kildin Sami 	Tundra Nenets
78	tongue 	nyelv 	keel 	<> Kehle, Keil?	kieli 	kieli 	keel 	кель 	кяль 	кыв 	ńēləm 	giela 	нюхчемь (njuxčʹemʹ) 	nʲaəmi
79	fingernail 	köröm 			kynsi 	kynzi 	küüs(singular) küüned (plural) 	(кедь сур) кенже 	кенже 	гыж 	 	gazza 	кэ̄ннц (kēnnc) 	
80	foot 	láb lábfej 	jalalanpohja 	!! lab / po*	jalka jalkaterä 	jalga jallanpohja 	jalg jalalaba 	пильге 	пильге 	кок 	 	juolgi 	ю̄лльк (jūllʹk) 	ŋææ
81	leg 	láb 	láb 	Lab / leg	jalka 	jalga 	jalg 	пильге 	пильге 	кок 	 	juolgi 	ю̄лльк (jūllʹk) (calf) пе̄ццк (pʹēcck) 	ŋææ
82	knee 	térd 			polvi 	polvi 	põlv 	кумажа 	пълманжа 	пыдзöс 	 	čibbi 	пӯввл (pūvvl) 	
83	hand 	kéz 		<> kaf!	käsi 	käzi 	käsi 	кедь 	кядь 	ки 	kāt 	giehta 	кӣдт (kīdt) 	ŋuda
84	wing 	szárny 			siipi 	siibi 	tiib 	сёлмо 	паця 	борд 	 	soadji 	суэйй (suejj) 	
85	belly 	has 			maha vatsa 	maha vačča 	kõht 	пеке 	пеке 	кынöм 	 	čoavji 	чуэййв (čuejjv) 	
86	guts 	belek 			suolet 	suonet 	sisikond sooled 	потмот-сюлот 	сюлот 	 	 	čoalli 	чуэлль (čuellʹ) 	
87	neck 	nyak 	nyak, kaula 	neck, Kehle !	kaula 	kagla 	kael 	кирьга 	кърга 	 	 	čeabet 	ча̄пэх (čāpex) 	jiikə
88	back 	hát 			selkä 	selgä 	selg 	кутьмере 	копорь 	мыш 	sis 	čielgi 	се̄лльк (sʹēllʹk) 	
