No 	English 	Turkish 	Eurasian	Kyrgyz (Cyrillic) 	Mongolian (Cyrillic) 	Oroqen (IPA) 	Manchu (MT) 		Korean (RRK) 	Kor PIE		Japanese (Hepburn romanization)												
149	star 	y?ld?z 	<> gild!	?????? 	?? 	???kta 	usiha 		byeol 	"ball	 bhyel"	++<	hoshi	hastra hoshine	++<										
150	water 	su 	mwuca wasser	??? 	?? 	mu: 	muke 		mul 	mwar?ta @ maul	++<	mizu	????  mn?se	++										
151	rain 	ya?mur 	yaqua pour ????? 	"??????	 ???? "	????? 	tigd? 	aga 		bi 	Bi ? Bian ?? !! pleuvir	++<	ame												
152	river 	?rmak 	bhitra bira kawa aqua	"?????	 ???? "	??? 	bira 	bira ula 		nae 	nau++	+++	kawa	Aqva kawa.shui gew?ser  	+++										
153	lake 	g?l 	Kuhle!	??? 	???? 	am?d?i 	omo tenggin noor 		mos 	????  mn?se moos moor	+-	mizuumi	????  mn?se											
154	sea 	deniz 	DONac	????? 	"?????	 ?????? "	dalay 	mederi namu 		bada 	bad?bvata 	+++	umi												
155	salt 	tuz 	Thyssand? <> tozan 1000-sand!	??? 	???? 	"d?:sun	 katagan "	dabsun 		sogeum 	Sargom ~ salz	+-	shio	Shio @ shui/shaliz											
156	stone 	ta? 	Dash T-s / s-t ++	??? 	????? 	d??l? 	wehe 		dol 	Dolmen! ????? ??? 	+++	ishi	?sh?										
157	sand 	kum 	Kr?m.el ++	??? 	??? 	?irgi 	yonggan 		morae 	moor/maur=desert!	+++	suna	sunad											
158	dust 	toz 	Dust ++	"???	 ??? "	???? 	t?:rag 	buraki 		meonji 	mansch;)		chiri hokori												
159	earth 	toprak 	Terr.as +++	??????? 	"??????	 ??????	 ?????? "	t?kala 	na 		heulg 	Soil / ghorg	+-	tsuchi												
160	cloud 	bulut 	Pquloud!! <<	????? 	??? 	tuk?u 	tugi 		gureum 	Gur = ? ? ? ?	+++	kumo	kumulus	+++										
161	fog 	"sis	 duman (smoke) "	dunst	????? 	"?????	 ????? "	tamna 	talman 		angae 	Angel ;) ---		kiri												
162	SKY	g?k! 	? ? kak=all@	"???	 ????? "	"????????	 ??? ?????? "	b?wa 	abka 		haneul 	HIMEUL HANEUL	+++	sora	skyra ? !!											
163	wind 	yel 	Schumal <<	"?????	 ??? "	????? 	?din 	edun 		baram 	bar.am		kaze	kaspi?											
164	snow 	kar 	Kryo@kar ++	??? 	??? 	?mana 	nimanggi 		nun 	snown ? 		yuki												
165	ice 	buz 	b?ice ++ m?ice	??? 	??? 	umuk?u 	juhe 		eoleum 	oileum		koori	kyro!											
166	smoke 	"duman	 t?t?n "	dunst	????? 	???? 	?a??an 	?anggiyan 		nae 			kemuri												
167	fire 	od 	HOT!!	?? 	??? 	t??? 	tuwa 		Bul < burn	"Bul < burn	 bhyro"	++	Hi <> hotuwa												
168	ash 	k?l 	g?lle?	??? 	??? 	ul?pt?n 	fulenggi 		jae 	Haijae < heiz	++	hai	heiz											
169	to burn (v.i.) 	yan- 	koch++  sHot ?	"??????-	 ?????- "	????? 	dalga- 	deiji- 		ta- 	?hotta hotata!!	++	moe-												
170	road 	yol 	jallah	??? 	??? 	?kt? 	jug?n 		gil 	giro.de +++ ?	++	michi												
171	mountain 	da? 	Da? <> dar / tai = tall	??? 	"???	 ??? "	ur? 	alin 		"me eondeog ('slope	 incline; hill') "	<<		yama?	?!! yamount											
172	red 	"al	 k?z?l "	KIRSCH.al ++	????? 	????? 	?la:r?n 	fulgiyan 		bulg- ppalgah- 	Bull-color! Falk?		aka												
173	green 	ye?il 	yelSAR	????? 	?????? 	t?uturin 	niowanggiyan 		"pureu-/pureur-	 parah- "	pure (copper) para.dies		midori												
174	yellow 	sar? 	sar?? sar=green 	???? 	??? 	???ar?n 	suwayan 		norah- 	?? 	+-	ki	kyr ? 											
175	white 	ak 	ash!	?? 	?????? 	bagdar?n 	?anyan 		hui- 	whui.de! Hell^^	++	shiro	shiro skyra  ?											
176	black 	kara 	char.a	???? 	??? 	k??n?r?n 	sahaliyan 		geom- 	?	++-	kuro	(ne)?kara	+++										
177	night 	gece 	<> g?k!  ??	??? 	???? 	d?lb? 	dobori 		bam 	?beam ?		yoru yo	Yuer <> year ? yu?										
178	day 	g?n 	<> sun	??? 	???? 	in?? 	inenggi 		"nal ('day	"		<<<													
179	year 	y?l 	Year <> yeal ++	??? 	??? 	a??an? 	aniya 		hae 	Yhear 2. nyean ? ni?	++	toshi												
180	warm 	s?cak 	schw?hls++	????? 	"??????	 ?????? "	?ama 	"bulukan	 halukan "		ttatteut-ha- 	hotta	+-?	atataka-	hotataka											
181	cold 	so?uk 	soak	???? 	"??????	 ?????? "	i?in 	?ah?run 		cha- chagap-/chagaw- chup-/chuw- (of the weather) sig- ('to cool off') 	chill chold	++	tsumeta- samu- (of the weather) same- ('to cool off') hie- ('to get cold')												
