Id	English (gloss)	Georgian language x=kh!	EG	PIE		IPA	Gothic 	Turkmen 	Aryan
70	feather	ფრთა (prta)	𓇋™	pʰtʰrɑ => father 	+++	/pʰrtʰɑ/	[Term?] 	ýelek 	D del! Teil 𐍄𐌿𐌲𐌲𐍉
71	hair	თმა (tma)	𓎛𓁸 , 𓍲 𓈖 𓏮 𓁸 𓏥	tüy.ma 头买发 tail Tolle  <> Matte	+++!?	/tʰmɑ/	𐍄𐌰𐌲𐌻	saç, tüý, gyl 	tir.nagel
72	head	თავი (tavi)	𓁶 𓊪	top	+++	/tʰɑvi/	𐌷𐌰𐌿𐌱𐌹𐌸 (haubiþ) 	baş 	bethe bal al.gan 𓃀 JAGe
73	ear	ყური (q̇uri)	𓇥 𓂋 𓄔 𓄕	qhear Gehör ecoutem ⲥⲱⲧⲉⲙ	+++	/qʼuri/	𐌰𐌿𐍃𐍉 (ausō) 	gulak 	bacak! 𓃀 бот +++
74	eye	თვალი (tvali)	𓏏 𓏏 , 𓁹 𓁹 , 𓁹 𓏏 𓏤	tāwīs@luwian 2   𓏏 𓂋 𓏏 𓂀	!!!	/tʰvɑli/	𐌰𐌿𐌲𐍉 (augō) 	көз 	térd@hun 
75	nose	ცხვირი (cxviri™)	𓈙 𓂋 𓏏 𓂉 𓄹 <> 𓏏 𓊪 𓂋 𓂊	^^ q’nosva	- / ++	/tsxviri/	[Term?] 	burun 	Elle vs Arma  qoʻl хол < cheiro
76	mouth	პირი (ṗiri)	𓊪𓂋	pe.ri bu.ri li’po el'pu	+!<	/pʼiri/	𐌼𐌿𐌽𐌸𐍃 (munþs) 	agyz 	qwingas!! кан~qwan!
77	tooth	კბილი (ḳbili)	𓇋 𓃀 𓎛 𓄑 𓏤	ƒbir ~ ḳibiri <> Kiefer > ivory Gebiss?		/kʼbili/	𐍄𐌿𐌽𐌸𐌿𐍃 (tunþus) 	diş 	𓄡 črěvo coeur-sack!
78	tongue (organ)	ენა (ena)	𓈖𓄓 𓋴 𓄻	ˢunge <> ˢechs(6) 	++	/ɛnɑ/	𐍄𐌿𐌲𐌲𐍉 (tuggō) 	dil 	bags+ sacks
79	fingernail	ფრჩხილი (prčxili)	𓋁 𓃀 𓌟 𓄹 𓏤	<> prick, pick		/pʰrtʃxili/	[Term?] 	dyrnak 	neck nɪkɪmna  моюн << √biegen <>back 
80	foot	ტერფი (ṭerpi)	𓉻 𓂝 𓄿𓃀	tier.pied 𓇾𓃀 (big)footer terr.paw	+++<	/tʼɛrpʰi/	𐍆𐍉𐍄𐌿𐍃 (fōtus) 	aýak 	ARC! a’Rück!  <> Arsch? 𓐟 
81	leg	ფეხი (pexi)	𓃀	pe* peδi	+++	/pʰɛxi/	[Term?] 	aýak 	mamma chestum!
82	knee	მუხლი (muxli)	𓌳 𓄿 𓊨 𓏏 𓂾		!<<<	/muxli/	𐌺𐌽𐌹𐌿 (kniu) 	dyz 	coeur сүрэх ++
83	hand	ხელი (xeli)	𓂧 cheiro 𓎡~𓂩~𓂢	Elle < Keil Кедь Kante  kol=arm	T++	/xɛli/	𐌷𐌰𐌽𐌳𐌿𐍃 (handus) 	el < kol 	bags+ liBor!
84	wing	ფრთა (prta)	𓇋™ ~ 𓆃	𓇋 pʰtʰrɑ	+++	/pʰrtʰɑ/	[Term?] 	ganat  𓂧 𓌳 𓏏 𓆃 !!	iq…make! 𓂋 Nomnom;)
85	belly	მუცელი (muceli)	𓏇 ~ 𓄡	@mother?	+<<?	/mutsɛli/	𐍅𐌰𐌼𐌱𐌰 (wamba) 	garyn 	isse…make!
86	guts	ნაწლავი (nac̣lavi)		内 nèi inner 	++	/nɑtsʼlɑvi/	[Term?] 	[n]içege 	ытыр BIT …bisser make! snack
87	neck	კისერი (ḳiseri)	𓋭 𓅿 <> 𓎝 𓎛 vs 𓅘	kiss <> collar  vs  𓈖 𓅘 𓎛 neck	;)	/kʼisɛri/	𐌷𐌰𐌻𐍃 (hals) 	boýun 	mamma
88	back	ზურგი (zurgi)	𓐠 𓂋 𓏘 	s'rq zurück Rück' s'arc 	++++	/zurɡi/	[Term?] 	[z]arka, yagyrny 	tüýkür…make!
89	breast	მკერდი (mḳerdi)	𓏠 𓈖 𓂧 𓂒 𓏏 𓏏	men.cheir.tit² m.coeure 𓊖		/mkʼɛrdi/	𐌱𐍂𐌿𐍃𐍄𐍃 (brusts) 	emjek 	kotz…make! ++
90	heart	გული (guli)	𓎛 𓄿 𓏏 𓏮 𓄣 (heart)	gulieb<coeur 𓊖𓄥𓄤𓏋𓄣 > [g]ýürek 🥒	++-	/ɡuli/	𐌷𐌰𐌹𐍂𐍄𐍉 (hairtō) 	ýürek 	eshu,lüfle, a-woosh
91	liver	ღვიძლი (ɣviʒli)	𓏇 𓇋 𓋴 𓏏 𓄹 𓏤  | 𓈘 𓈇 𓋴 𓏏 𓄹	ɣvista vitali  vs milt/milz 𓅓 𓊃 𓏏 𓄹 𓈓	+?	/ɣvidzli/	[Term?] 	bagyr 	aдем atem ++ (in)hale
92	to drink	სმა (sma)	 𓋴𓅨𓂋	SOMA™ 	++<<	/smɑ/	𐌳𐍂𐌹𐌲𐌺𐌰𐌽 (drigkan) 	içmek 	johl, күл kill;) gelächter
93	to eat	ჭამა (č̣ama)	𓏶𓅓𓀁	çиме’ khana खाना  かむん kamun 	++<	/tʃʼɑmɑ/	𐌹𐍄𐌰𐌽 (itan)	Iýmek, çиме’	𓂋𓁹𓁺 Care eygör! Gvr vs mvr 
94	to bite	კბენა (ḳbena)	𓆤 bite@Biene 𓃀 𓇋 𓅱𓆤 	k-b-n b-k-n b-ß-n  𓊪 𓊃 𓎛 𓄑 𓀁	?	/kʼbɛnɑ/	𐌱𐌴𐌹𐍄𐌰𐌽 (beitan) 	dişlemek 	sDm!
