113	to hit 	치다, 때리다 		chida, ttaerida	c’Hit  < chi.da	+++		
114	to cut 	베다, 자르다 		beda, jareuda	Beda ~ 2 parte!   Jar/jal <<<	+++<<		
115	to split 	갈라지다, 가르다 		gallajida (v.i.), gareuda (v.t.)	Gwar-  < gpar!			
116	to stab 	찌르다 		jjireuda	kjill ?? kill! jir~ger ?? g�r !!	+++<		
117	to scratch 	비비다, 긁다 		bibida, geukda	chalkwi ?  bibida<beda:part	++<		
118	to dig 	파다 		pada	(s)paten < parte	+++<		
119	to swim 	헤엄치다 		heeomchida	swim.suita < shui.muci.da=to water 	++++?<		
120	to fly 	날다 		nalda	𓂜 wing 날개   nil=par 4=4	𓂜?	???? (nolta).	
121	to walk 	걷다 		geotda	geht,goeth,git@Turk	+++++		
122	to come 	오다 		oda	(c)o.mak	++�		
123	to lie (as in a bed) 	눕다 		nupda	nap@nupt=night	++++		
124	to sit 	앉다 		antta	ante@hintern <> stand	+++?		
125	to stand 	서다 		seoda[n]	Steh ^^	+++<		
126	to turn (intransitive) 	돌다 		dolda	dor ~ turn	+++~		
127	to fall 	떨어지다 	ᄠᅥ러디다 	Tteoreojida < pteletita	Podar > ptall > fall , পড়া pôṛa padati QED	+++<!!		
128	to give 	주다 		juda	yod@SEM <> gut	+++		
129	to hold 	잡다, 붙잡다 		japda, butjapda	^^ jab@yad < gab butja~fassen@Luwian?	++^		
130	to squeeze 	짜다 		jjada	squeeza ~~ jja.da ?? 	~~		
131	to rub 	문지르다 		munjireuda	mansch;)			
132	to wash 	빨다, 씻다 		ppalda, ssitda	ab?bal   swoosh    ? shu?tda < sweat s�water	<< ++		
133	to wipe 	닦다 		dakda	Duck-tape docht ---	~-		
134	to pull 	끌다 	k͈ɯ̽ldɑ 	kkeulda	keulen <> quell!? ^^	;)		
135	to push 	밀다 	mildɑ 	milda	?mild	�??//		
136	to throw 	던지다 		deonjida	don.jekt @ dungeon	~		
137	to tie 	매다 	mεdɑ 	maeda	mend <> meet	++?<>		
138	to sew 	꿰매다 	k͈ʷemεdɑ 	kkwemaeda	giw~sew.men Saum ???   gemend  ? garments ^^^	+~++++		
139	to count 	세다 	s⁽ʰ⁾edɑ 	seda	Σ say@Turk zähl.do sum.do counter 	++-	scrita seda~strong!	
140	to say 	말하다 		malhada	maul! Mot < mword ~ m-l-d	++--		
141	to sing 	노래하다, 부르다 		noraehada, bureuda	𓂜 bu/no-reden? <> play:	<<?		
142	to play 	놀다 		nolda	𓂜 null work	++?		
143	to float 	뜨다 		tteuda	Täuen < shui?			
144	to flow 	흐르다 		heureuda	Horus, quell, heulen!	?		
145	to freeze 	얼다 	ʌldɑ 	eolda	(c)ool < cold, kor / (k)yros	++�		
146	to swell 	붓다 		butda	brut, burst > Brandung	+:)		
147	sun 	해 	hε 	hae	HEL > high	+++		
148	moon 	달 	dɑl 	dal	𓏏 ~ 🌓☽  dell <> mount !	+++++<	Teil 𓏏 ~ 🌓	
149	star 	별 		byeol	ball, bhyel  𓃀𓇼	+++<		
150	water 	물 		mul	mwar𓈗ta @ maul	+++<		
151	rain 	비 		bi	Bi? byu! Bian biter? pee pieselt pleuvir	++< ---		
152	river 	내, 가람 		nae, garam	nau++	+++		
153	lake 	못 		mot	Mud! Mulde (mu물mar) Mvater mbad:	++-?		
154	sea 	바다 		bada	Bad bvata mbad^	+++		
155	salt 	소금 		sogeum	Sargo ~ salz	++-		
156	stone 	돌, 바위 		dol, bawi	Dolmen! Bau	+++	<> stell 𓏏	
157	sand 	모래 		morae	moor/maure=desert! 𓌻𓂋𓅱𓈉	+++		
158	dust 	먼지 		meonji	mansch;)  Mauern^^	+-?		
159	earth (soil) 	흙 		heuk	hulk hErz 	+-	kard	
160	cloud 	구름 		gureum	Gur = … c-r-d cloud ‘~Kugel’	+++		
161	fog 	안개 	angae		Angel ;) ---			
162	sky 	하늘 		haneul	HIMEUL HANEUL Han.El	+++		
163	wind 	바람 		baram	para = 𓆅  @port blow wirbelo?	++?<<<		
164	snow 	눈 		nun	s’nowin ?  Nice causative 雪 xueno	+++?	𓆑 <> 𓐍 nun=kar	
165	ice 	얼음 		eoreum	(k)urum < kur!	++>T		
166	smoke 	내, 연기 		nae, yeongi (←煙氣) 	nebel, snog			
167	fire 	불 		bul, ACHTUALLY: phyr!	Bul < burn < phyro ! boil@bowl	++++		
168	ash 	재 		jae	Haijae < heiz	++		
169	to burn 	타다 	tɑdɑ 	tada	hotata, torch ^^	++		
170	road 	길 		gil	giro.de +++ ?	++		
171	mountain 	뫼, 메, 언덕, 산 		moe, me (archaic), eondeok, san (Sino-Korean)	mou?.tan ~ ?? nam.san.gan ?? dome! ???  goug.deghi	+++~~		
172	red 	빨강, 붉다 		ppalgang, bukda	bhaigda~beige! ?   ? Pugdan Bull-color! Falk?	�+?		
173	green 	갈매, 초록 		galmae, chorok (Sino-Korean)	galmae~grüne! Chorok~charun@SEM  Pure (copper) para.dies	+++	calm!	
174	yellow 	노랑 		norang	norange(color) Dor’range	++++!		
175	white 	하양 		hayang	whui.de! White(rang)   hui~hell^^	+++		
176	black 	검정, 검다, 까맣다 		geomjeong, geomda, kkamata	Chem 𓆎/𓎼𓅓  geor  𓐍	+++!		
177	night 	밤 	bɑm 	bam	beam 	?	vs 낮 (nat): daytime	
178	day 	낮 	nɑd 	nat	nətər@turk 𓊹 nature 1/night nahr 	++<< x 	nɑd=1/dayn indaalo@Banty	
179	year 	해 		hae	Yhear 2. nyean hév@HUN	++-	?? (hoy) <> hoyear! (this)	
180	warm 	따뜻 		ttatteut	tato@Romani thyth< torch hothothot!!!	++++	<> топлъ (toplŭ) <> burn = 타다 tɑdɑ	tata:sky-daddy
181	cold 	차다, 춥다 		chada (object), chupda (weather)	chold	++		
182	full 	차다, 부르다, 가득 		chada, bureuda (stomach), [adv.] gadeuk	chaque bull~full++	+++	<> burp :(	
183	new 	새, 새로운 		sae, saeroun	sehr=gut/neu/viel 	++�		
184	old 	옛, 오래되다 		yet, oraedoeda	yeared, nyean ? ni�n	+++		
185	good 	좋다 		jota	Good jut 좋 ~ EU.de	++		
186	bad 	나쁘다 		nappeuda	na�ppeu ��?  pfui (^^eops)	<<		
187	rotten 	썩다 		sseokda	suck;) soaked	;)		
188	dirty 	더럽다 		deoreopda	Dirty ~ deor-wty	++		
189	straight 	곧다 		gotda	god! (gut/good/go-right) 𓊹 ⲥⲟⲩⲧⲱⲛ	+++<<		
190	round 	둥글다 		dunggeulda	团 geul<cur 	++	<> 筒 tong3 Tonne dunkel 𓏏 𓐍 ?	
191	sharp (as a knife) 	날카롭다, 뾰족하다 		nalkaropda (sharp), ppyojokhada (pointed)	Null-karo			
192	dull (as a knife) 	무디다 		mudida	mute	++-		
193	smooth 	부드러움 		budeureoum	me�kero~meraka:			
194	wet 	젖음 		jeojeum	jeoj ~ yu	+x 	Feucht ~ 	
195	dry 	마름 		mareum	mull� ? ? 			
196	correct 	바름, [[맞음] 		bareum, majeum	mayer<maat  bar@law			
197	near 	가까움 		gakkaum	gag come		Gag-order : gag@gurgel~bent –	
198	far 	멀다 		meolda	? mvar muli 𓈗 		𓈗 mar ~ durain 3	
199	right 	오른쪽 		oreunjjok	arighn jjok=side	---		
200	left 	왼쪽 		oenjjok	andere?	---		
201	at 	에서 		eseo	atho -a -e -ecke -hante 	++++		
202	in 	에, 안에 		e, ane	?ro/euro in-a zugegen In-esse 	++++		
203	with 	와, 과, 랑 		wa, gwa, rang	We, gwan, hagon (con) àr/on	+++		
204	and 	와, 과 		wa, gwa	Gwan, hagon (con)  qwa~qve,que	++++		
205	if 	한다면, 만약, 만일 ...면 		handamyeon, manyak (Sino-Korean), (manil) ...-myeon	Quanda-ment = wenn man� !!!!	+++++?		
206	because 	때문에 	ddaemune		da.man denn!	++++		
207	name 	이름 	iɾɯ̽m 	ireum	𓂋 𓈖  a’REIM	++++!	民名	
								
208	house 	집		Ship > ev@HUN	ship!! ?cheap � ? ji? k� ?cover Turkic *eb ? hibra ?  2. Dach ? zh�i site	+?	 ?  ?? jitta build  ? ji� Gestelll	
209	wall 	팔, 벽		wall, bug	B�rg 1/cheop!  Town? Tempel?	??		
210	deer 	사슴		chasem	??=ndoroe = roe deer 2. tia?deer ? thsa! ? gelispelt!	++++!! 	 Attestest 1446	
211	mouse 	쥐		toy	mouse,    ma.sh?i ? 	++�		
212	rabbit 	토끼		thog	?Dackel			
213	eagle 	수리표			< Tier			
214	spider 	거미			comic;) toxic! Spider <> Tuch!?! cough?	+?		
215	face 	표면		ob.mian	ob!!  al.gol <> gurgel?   ? kkol ? <> ? owl ghost!	+++<<		
216	body 	저, 체		身 shēn 体 ti	Ce (this), sieve?			
217	navel 	네이블, 배꼽		navel, begob?		++?		
218	finger 	손가락		songer.ak	ſinger.1	++~		
219	sick	역겨		yck	sick (sic)	++		
220	needle 	침		tim	trim?			
221	clothing 	의,의료, 의류		ui	衣 yī	++x 		
222	thunder 	우레			UR!			
223	lightning 	번개			bang!			
224	above 	지, 우, 위		tai, y	太, 上 sur tjr			
225	below 	하		ha	丅, 下			
226	to cough 	기침하다			coughimoa.do			
227	to buy 	사다		sa 	1/sell.do shut deal			
228	to choose 	선거		change				
229	to grow 	자라		taller…	make.tall@SEM			
230	to open 	개		geh	go!			
231	to steal 	훔침			hamstern			
232	to dream 	꿈			G’aum ~ traum			
233	to cry 	통, 흐트끼다			trän’			
234	to yawn 	하품			yawpum			
235	to cook 	쿡, 익히, 요리하		cook	cook	++		
236	six 	육		(s)yg	six	~+		
237	seven 	칠		sibl	sieben	~+		
238	eight 	팔		bar(men)	(b)hacht!	+x 		
239	nine 	아홉		九 jiub		~x		
240	ten	열		yl	Yl < Teil 𓎆 < tell 𓏏 ~ 10 tent 𓏏  y�all ;)	<?		
								
	cow	? 		so	So� ~ cow vs Sau!!	++-		
	wri�e write	??? 		puri'e 		++-		
	Berg, beak, peak	?? 		buri	burig Berg peak!	++++	<>?? (ppuri, �root�)	
	mount!	??? 		met		++		
	Gorge / gully	? 		Gol / gor		++++	?? gogae: Gurgel / mountain pass (�Kur go�)	
	Bone / sKull 	? 		?, gol		++-		
	piper	?? 		piri		++<		
	tip, top	? 		top		++++		
	(g)hoop (loop)	? 		gup			gup~hoop~rEifen	
	wri�e write	??? 		puri'e 				
	CYAN	?		cheong cheonglogsae	? = cyan / shining ? q?ng ? cheong			
	pink	???		pununk(se)	Pununk ~ pink  phun.hong ? [?] h�ng			
para!	Blue-range / pale	???, ??, ???, ???		Pa-ranze, parang�,   para.ta, phu?u.da	Para, phu?u > pale, blue! Boreal ? b?i ?? b�is�	++++	? q?ng ?? ?? qongse  ???? .. hada 	
po?a	PURple	???		pura(se) borasaek	pure purpur purple +++	++++		
pala!	Red (fire ? pale!)	??, ?? 		Ppalgang (?pyrrang!), bukda	bhaigdan~beige.de ? tain! ?   ? Pugdan Bull-color! Falk?	�+?		
	Range / color	??, ?,?, ??  ? ?		ranje(g), jang, sha?el ?, segkala, jhue	? seg:sex! ? q?ng ?? ?? qongse cai:speise?		Saegeul=saeg.eul �l ? sexual-orientation! 	
	Lack : color ? chlor			(g)logsae				
	Orange <> yellow 	???, ??, ??,		(n/d/j)orange 	(n/d/j)orange, tju.hang ? hu�ng ? h�ng	++++!	taurange@turk! ? tju:root  ? <> ROT, juice ?, chief ?	
	Light <> 	?		jaun 	Jaune ? young yellow sch�n? ? hun white			
	white (man)	?? , ?		hayang, hun, h�n, hin 	HUN! Hui~Hell^^  ???  himmel!! vs ? b�in:bone!	+++	? hu�ng = yellow ? b�i.de vhai.de! White   	
	silver	?		(h)�n	hun=white		? hu? : hue/bunt! ? ? hu� 	
	gray	??  ??, ??		hue 	Hue ~ ?			
	gold	?		k�m	Kyro Chrom @ ?    ? j?n <> h�n ? hu�ng			
	black 	??, ??, ??? 		geomjeong, geomda, kkamata, komen.se	Chemn ?? / ? geor   ??	+++!		
paran!	Blue-range / pale	???, ??, ???, ???		Pa-ranje, parang�,   para.ta, phu?u.da	Purple Para, phu?u > pale, blue! Boreal ? b?i ?? b�is�	++++	? q?ng ?? ?? qongse  ???? .. hada 	
?	Brown bronze ????	??		cal.se ??  h�	??????? calce=bronze! Calm ~ gr�n Halm ! lol			
	green chlorma	??, ?? 		galmae, chorok (Sino-Korean)	galmae~gr�nme! Chorok~charun@SEM  Pure (copper) para.dies	+++		
	CYAN ^^	?  		cheong cheonglogsae	? = cyan / shining ? q?ng ? cheong			
	Cyong, cyam, chem (blue!)	?, ?			? ? ? cyamng copper/steel/chrome/gold? <> blue chemie ? ? black			
	chroma [color] ^^	?		qom	vs crimson = RED meat carnelian COM,CENG vs HONG ? CYM (gold)			
	?	?, ?? ^^		oin	? j?n tin / gold ? cimn comnbos!  			
	cutzol, metal, cumsug	?? , ??	??		Kuhzoll = Metall, ChromZeug			
								
		??		qong he	the big, blue oceans			
		??		gu sjog				
		???						
	FLY <> paaren	??		pa�ri				
								
	Have / do!	??  		hada	???? = cyan / shining(do) ?			
	Ndo: not, naut, north!	?		no~do??	? naut ? oar ? / knot  �no=des� !! 	+++!	?  ? ndo=north ? mar=south ? nan! Mean mnemno	
								
								
				ndug.sae(g)				
	bull	??		ciuwthau 				
	frog: qu�kuri	???						
	Nata ?	?? � (nata)  ?? nada						
	Note < lay down, bear ?	?? (nota,						
	foam	?? 		co�pum				
	keyboard	??		KeynBoan ~				
	GO: Goto <> iter	??		goto! 				
	Foil �	??		bacji	Back-schicht (foil)			
								
	GORge� gully core cave	? � (gol/gor) 			s�gol = skull an�gor = anger		https://en.wiktionary.org/wiki/%EA%B3%A8	
	KUR� ?	?? GORI ring			?? hang			
	KVR� ? gWeiler village	??		Go-eul  Goar	quirl			
	Gori� ?	?  Go ? ?(�high rate�)			? [?] g?o			
	GoRAD� : roll	??? GURADA roll						
	KORB	?? � (gori) 		??, ? k?ri				
	basket	???		baguni				
	gully, gullet, gorge, 	???		goljjagi				
								
	IL = ein !1! 	? 		IL 	IL, EL, ER, der erste ? y?l / y?n ? y?o  ? (b)yu�n			
	1sat 	?, ?		tja(d), tsha(n)  ? 				
