 No. 	English 	Aryan	Lithuanian 	Old Prussian	Latvian 	Latgalian 	Samogitian 	Old Prussian
97	to vomit 	vomiti	vemti|riaugėti 	Sjaūtweī : spit	vemt 	vemt 	vemtė 	Sjaūtweī : spit
98	to blow (as wind) 	Pusten <3	pūsti 	dumtwei	pūst 	pyust 	- 	dumtwei
99	to breathe 	keuch? Dwest!?	kvėpuoti|alsuoti 	dwestwei	elpot 	dvašuot|pyustīs 	- 	dwestwei
100	to laugh 	joke|smit™ smunzel	juoktis 	smeītun si	smieties 	smītīs|krēkt|kecinēt 	- 	smeītun si
101	to see 	Moyti!!! 𓈖𓍇𓏌𓁹 <<<<>>	matyti|regėti|išvysti 	wīdātun	redzēt|manīt 	redzēt 	matītė|iveizietė|primatītė 	wīdātun
102	to hear 	Gehört > kirditin 𓇥𓂋 gDm ?! <> do?	girdėti|klausytis 	kīrdītun|klausītun	dzirdēt 	dzierdēt|izdzierst 	- 	kīrdītun|klausītun
103	to know (a fact) 	Zgnosti | ism < wisdom / weise.tun <3 !!! <<<	žinoti|išmanyti 	Waīstun <3	zināt 	zynuot 	žėnoutė 	Waīstun <3
104	to think 	demnk deem.toi ++	galvoti|mąstyti 	pamēritwei|mēritwei	domāt 	guoduot|dūmuot 	mėslītė 	pamēritwei|mēritwei
105	to smell 	smerr.do.tuei !!	uosti|uostyti|smirdėti|kvepėti 	wōstun|smīrdītwei	ost|saost 	ūst|smuorduot 	- 	wōstun|smīrdītwei
106	to fear 	bijo~fio(r)	bijoti 	bijāsnan	baidīties|bīties 	beitīs|beisteitīs 	- 	bijāsnan
107	to sleep 	snorsti|kusch|<<>>	miegoti|snausti 	gulētun	gulēt|dusēt|čučēt 	gulēt 	mėiguotė 	gulētun
108	to live 	GENE < Gyventi <<<	gyventi|gyvuoti 	gijwans	dzīvot 	dzeivuot 	- 	gijwans
109	to die 	mėrtė	mirti|dvėsti|žūti 	aulaut	mirt 	miert|paguļt 	mėrtė|mėrtė žemien 	aulaut
110	to kill 	galin: killen.tun :) zu.dieth	žudyti|galabyti|užmušti 	galīntun	galināt|nonāvēt 	nūsist|nuoveit|nūnuoveit 	zurduotė 	galīntun
111	to fight 	qwarrty?	kovoti|kautis|muštis 	wālint	cīnīties 	ceikstētīs|veiktīs|atsaturēt 	- 	wālint
112	to hunt 	𓈖𓍇𓏌𓁹  mnetz|mvidio	medžioti 	medjānē	medīt 	medeit 	- 	medjānē
113	to hit 	smite, s’must? Doti<< … >>>	smogti|mušti|duoti|trenkti|kirsti|plekštelėti|liuobti|kulti 	Bruktēt <> brech	sist|sadot 	sist|laubt 	- 	Bruktēt <> brech
114	to cut 	Cirpt >> cept !!!	pjauti|kirpti|kirsti|riekti (bread)|kirpti 	wartint	griezti|cirpt 	grīzt 	- 	wartint
115	to split 	skelt™ spilt~spadalit!?<	skelti|padalinti <> spliter	spīltun	sadalīt|šķelt 	padaleit|sadaleit 	- 	spīltun
116	to stab (or stick) 	durt<>dolch?	durti|smeigti|besti 	bādīnt	durt 	dūrt|dūrsteit 	- 	bādīnt
117	to scratch (an itch) 	~ 	drėksti||draskyti|brėžti|brozdinti|zulinti|kasyti|krapštyti 	kīrptun|glāubtun|grāmbintun	skrāpēt 	- 	- 	kīrptun|glāubtun|grāmbintun
118	to dig 	<<	kasti|rausti|rakinėti 	kaptun	rakt 	rakt|best 	- 	kaptun
119	to swim 	pluvoir? Float > flat	plaukti 	plūtwei	peldēt 	maut 	- 	plūtwei
120	to fly 	s’christi?   Lidot=let-out	skristi|lėkti|skrieti|skraidyti 	skrāistwei|skrītwei|langītwei	lidot 	skraideit|laistīs	liektė 	skrāistwei|skrītwei|langītwei
121	to walk 	Geiht | tzingeln?	eiti|žengti|vaikščioti 	eit|zengt	iet 	īt 	ėitė 	eit|zengt
122	to come 	Ad-iteri, ad-weg, para-iter, nāht	ateiti|atvykti 	perēitwei	nākt 	atīt|īt 	- 	perēitwei
123	to lie (as in a bed) 	Guilty;) >>	gulti (action)|gulėti (state) 	mēntitun (action)|lānzītwei (state)	gulties (action)|gulēt (state) 	guļtīs (action)|gulēt (state) 	- 	mēntitun (action)|lānzītwei (state)
124	to sit 	sedate|sitz|cessti	sėsti (action)|sėdėti (state) 	sīstwei (action)|sīndītwei (state)	sēsties (action)|sēdēt (state) 	sēdēt (state) 	- 	sīstwei (action)|sīndītwei (state)
125	to stand 	✓	stoti (action)|stovėti (state) 	stātwei (action)|stalītwei (state)	stāties|stāt (action)|stāvēt (state) 	stuotīs|stuot (action) 	- 	stātwei (action)|stalītwei (state)
126	to turn (intransitive) 	Krypti ++ < gyr, verse <> sacret: apsagrīzt 	apsisukti|krypti|kreipti|gręžtis|verstis 	līnkis|wartīntun|grānztun	apgriezties	apsagrīzt	- 	līnkis|wartīntun|grānztun
127	to fall 	𓐍 𓂋 𓀒	kristi|pulti|virsti|griūti 	krūtwei|wīrstwei|grustwei	krist|kristies 	krist 	kristė|kristė žemien 	krūtwei|wīrstwei|grustwei
128	to give 	donn|dar|datei|take++|dotiert++	duoti|teikti 	dātwei	dot 	dūt 	doutė 	dātwei
129	to hold 	<< wiktionary: nix ;(	laikyti|turėti 	lāikāitē	turēt 	turēt 	torietė 	lāikāitē
130	to squeeze 	~-	spausti|slėgti|mygti 	glabtun|gnestun|niettrepewīngis	spiest|žmiegt 	mīgt|spīst 	- 	glabtun|gnestun|niettrepewīngis
131	to rub 	Treat! <> treten?	trinti 	tirtun	berzt|trīt 	treit|bruozuot 	- 	tirtun
132	to wash 	floaten!^^ <> plaukti  : swim	plauti|skalbti|mazgoti 	aumūtun|mūtun	mazgāt 	mozguot 	plautė 	aumūtun|mūtun
133	to wipe 	/	šluoti|valyti 	Klekstātun ;)|skistīntun	slaucīt 	slauceit 	- 	Klekstātun ;)|skistīntun
134	to pull 	track|tension|felge?	traukti|tempti|vilkti 	tēnstun|wīlktun	vilkt|raut 	viļkt 	- 	tēnstun|wīlktun
135	to push 	stämmt|	stumti|grūsti 	brjaūtun|pistun push.tun!	stumt|grūst 	stoßen 	- 	brjaūtun|pistun push.tun!
136	to throw 	smite, s’mess.tun <> miss ;) messen?	mesti|sviesti 	mestun	mest|sviest 	Svīst ~ Schiesst	Laistė ~ lässt	mestun
137	to tie 	Zieht <> Seite, Seil?	rišti|sieti 	ristun|sēitun	siet 	sīt 	- 	ristun|sēitun
138	to sew 	Sew.ti sew.tun ++	siūti 	šūtun	šūt 	šyut 	- 	šūtun
139	to count 	s’geld? <<	skaičiuoti|skaityti 	gīrbautun|skaitātun	skaitīt 	skaiteit 	skaitlioutė 	gīrbautun|skaitātun
140	to say 	sayg.ti  tarlk.ti >	sakyti|byloti|tarti|teikti 	gērdautun|waitjātwei|tarītun	teikt|sacīt 	saceit|runuot 	- 	gērdautun|waitjātwei|tarītun
141	to sing 	<> Dance dainuoti drawn/turn<> gyro.doti  <3	dainuoti|giedoti 	gremtun gram?	dziedāt žaisti Sistrum/Guitar?	dzīduot 	dainioutė 	gremtun gram?
142	to play 	Spiel | Sistrum?? <<+	žaisti	spīlitun	spēlēt 	kaitavuot 	- 	spīlitun
143	to float 	pludin~floaten! Paddel;) <> plauti^^	plūduriuoti 	plaudīntun	peldēt|pludināt 	mauduot 	- 	plaudīntun
144	to flow 	<<	tekėti|bėgti|srūti|plūsti 	tektwei|bēgtwei	tecēt 	tecēt|skrīt 	- 	tektwei|bēgtwei
145	to freeze 	Salt! << @…	šalti 	saltwei	salt 	saļt 	šaltė 	saltwei
146	to swell 		tinti|brinkti|pursti|tvinkti|pūstis 	belztwei|pabelztwei	uztūkt|piebriest 	satyukšt 	porptė 	belztwei|pabelztwei
147	SUN	shora sohra saule sole!!	saulė 	saūlē	saule 	saule 	saulė 	saūlē
148	moon 	~Mien menace maniac	mėnulis|mėnuo|mėnesis 	mēniks	mēness 	mienesnīks 	mienolis 	mēniks
149	star 	schweigter(n) Zweig???	žvaigždė 	lāuksnā	zvaigzne 	zvaigzne 	žvaizdė 	lāuksnā
150	water 	wunda wden wuoter	vanduo 	wundan	ūdens 	iudiņs 	ondou 	wundan
151	rain 	liter!?	lietus 	aglō	lietus 	leits 	lītos 	aglō
152	river 	Ape <> ab!! <> Ufer!	upė 	ape	upe 	upe 	- 	ape
153	lake 	wässer.as	ežeras 	assaran	ezers 	azars 	ežers 	assaran
154	sea 	Jura!! <<	jūra|marios 	jūrjāi	jūra 	jiura 	jūra 	jūrjāi
155	salt 	Salth <> frost!	druska 	sālis	sāls 	suoļs 	droska 	sālis
156	stone 	Akmiņ 8!!!!!!! QED unsuspected	akmuo|kūlis 	stabs	akmens 	akmiņs 	kūlis 	stabs
157	sand 	schmeltz? Zigur ziegel!!	smėlis|žvirgždas|smiltys 	zigzdā|zwīrkstan	smiltis 	smiļkts 	smėltės 	zigzdā|zwīrkstan
158	dust 	<> pust=blow	dulkės 	pūslē	putekļi 	puteklis 	- 	pūslē
159	earth 	Geon χῐών Zion Zi.ma क्ष ṣa.um zoo.al soil	žemė 	zemē	zeme 	zeme 	žemė 	zemē
160	cloud 	<> debris ?	debesis 	wupyan	mākonis 	muokuļs 	drankis 	wupyan
161	fog 	Rauch, ash, mist.al	rūkas|migla|ūkas 	migla	migla 	mygla 	megla 	migla
162	SKY	DON.Guss DON.Goth Dei.bwheather <Piter <<++	dangus 	dāngus	debess|debesis 	dabasi  DA.BOSSi	dongos DON.GOTH	dāngus
163	wind 	~|weather! < water	vėjas|vėtra 	wētra	vējš 	viejs 	vies|viesos 	wētra
164	snow 	✓	sniegas 	snāigs	sniegs 	snīgs 	sneigs 	snāigs
165	ice 	Lead <> liter <<	ledas 	leds	ledus 	lads 	leds 	leds
166	smoke 	dumnst	dūmai 	dūms	dūmi 	dyumi 	- 	dūms
167	fire 	PAN agnis™ ignite	ugnis 	Pannō !?	uguns 	guņs 	ognes 	Pannō !?
168	ash 	< fallen	pelenai	pelanē	pelni 	palni 	- 	pelanē
