#,Swadesh_207_gloss,PIE,p-Kunama,p-Maba,p-Berta,Fur,p-Moru-Madi,p-Lendu-Ngiti,p-Mangbetu,p-Mangbutu,p-Sara-Bongo-Bagirmi,p-Kresh,Aja,Birri,p-Songhay,p-Kanuri,p-Tubu,p-Zaghawa-Berti,p-Koman,Gule,p-Gumuz,p-Kadu,Shabo,p-Nubian,p-SW Surmic,p-SE Surmic,Majang,Nara,p-Jebel,p-Nyimang,p-Temein,p-Tama,p-Daju,p-W Nilotic,p-E Nilotic,p-S Nilotic,p-Kuliak
33,short,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,narrow,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,thin,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,woman,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,man (male),10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,man (human),10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,child,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,wife,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,husband,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,mother,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,father,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,animal,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,fish,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,bird,10000 WORDS,*šurk-; *eːt-,*kuši,*mìɕˀé,*=ya,*àrī,*àrɛ̀,*áríꜜ,*k=ari,*ʔyalɪ,*sisi,weri,uɖa,*kiɾo,*ŋgúdò,*kefuri,*tarfo,*ɗi ~ *ɗiu,a=dadamit,*mit-,*awi- ~ *wayi-,holut,*kawir-ti ₁,*kiɓʌlli- ₁,*kVbar₁; *šɔwa,tìːtòn,karba ₁,*miCˀe,*ór,*=awɛ ₂,*wegi-t,*awa-de ₂,*wɪɲ ₃; *dit,*k̚weɲ- ₃,*tarɪːt,*gʷa
47,dog,10000 WORDS,*tay-,*iɲ(i),*gàlì,asa,*ɔ̀kɛ́,*ìсē,*=esi,*iɓu,*bisi,*k=ɔnɔ,ɕ=ino,ana,*há(y)nsì,*kə́rì,*kidi,*biɽi,*kˀaw,aːw,*kˀawa,*eːra,kaːn,*bǝl,*ʊr-ð,*ro-s-,wár ₁,wos ₂,*a(ː)ɖ; *kal- (?),*wil ₁; *gil,*=we-,*wes-i ₂,*iːs- ₂,*gwok,*=ŋɔk ₃; *ɗi-,*ŋoːk ₃,*kudo; *sak
48,louse,10000 WORDS,*ɕiːl-,*mese,*ɗiːɲi,n=ina-ŋ,*òrí,*sī (*sʊ̄ ?),*=tì,*t=ɔta,*ŋgisa,,,,*gáːní,*k(=)àŋgə́sù,*masko,*(ʔɛ)wɛN,*šu(kˀ)-,ki,*sukun-,*=it̪i,nɛnna,*iti-di,*iɲa-(ti) ₁,*iɲ-tyo ₁,ŋɛ̀tí-ŋ,šiti,*ɠiɲ- ₂,*(ŋ)un- ₃,,*sin; *ɲiŋ- ₃,*tiŋgaɣ-,*ɲwʌk- ₄,*=ɬaɕ-; *=sɪrʊ,*ɲɔk- ₄,*ɠay ~ *ɠɛn ₂
49,snake,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,worm,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
