? ,English ,Hebrew ,Romanized Hebrew ,EU,,Arabic ,Romanized Arabic ,Tarifiyt Berber ,,Hebrew ,Romanized Hebrew ,Syriac ,Romanized Syriac ,Romanized Akkadian ,Ge'ez ,Romanized Ge'ez ,Maltese ,Romanized Coptic ,Tarifiyt Berber ,Hausa ,Oromo (Wallagga) ,Somali
62,skin ,???? ,?ór ,?ór < orange/red carne! :,,???? ,jild ,?i?m?š? ,Cor!!! < tir,???? ,?ór ,????? ,geld? ,gildu ,??? ,m??s ,?ilda ,p-šaar ,?i?m?š? ,fáatàa ,"gogaa, ittillee ",jir
63,meat ,???? ,bâsâr ,@Basar sar=red carne,++,???? ,la?m ,açsum ,,???? ,bâsâr ,????? ,besr? ,,?? ,??g? ,la?am ,p-af ,açsum ,náamàa ,foon ,"hilib, so'"
64,blood ,??? ,dâm ,"? d?n ™ > tain, dome!",+++,??? ,dam ,i?amm?n ,blidam III,??? ,dâm ,???? ,dm? ,d?mu ,?? ,dam ,demm ,pe-snof ,i?amm?n ,jíníi ,d'iiga ,dhiig
65,bone ,???? ,?e?em ,osteom,+,???? ,?a?m ,i??ss ,osteo,???? ,?e?em ,????? ,garm? ,e?emtu ,??? ,?a?m ,g?adma ,p-kas (kaas) ,i??ss ,?àshíi ,lafee ,laf
66,fat ,???? ,?élev ,Hilf eléve.nt?,<<,???? ,duhn ,?a?unt ,,???? ,?élev ,"?????, ?????? ","dahn?, šumn? ",šamnu ,???? ,ma?b?? ,,,?a?unt ,mái?òo ,moora ,baruur
67,egg ,????? ,bé?â ,"b’eggs @ birth, bird",+++,????? ,báy?a ,?am???a? ,?tam.egg!,????? ,bé?â ,?????? ,bé??â ,,????? ,anqoq?ho ,bajda ,t-soouhe ,?am???a? ,?wái ,"killee, bup'p'aa ","ukun, beed"
68,horn ,???? ,qeren ,qhorn,+++,???? ,qurn ,išš ,osteo,???? ,qeren ,????? ,qarn? ,qarnu ,??? ,qarn ,qarn ,tap ,išš ,?àhóo ,gaafa ,gees
69,tail ,???? ,zânâv ,"<ðánab  <> der, tail",<<,???? ,ðánab ,?an?ww?? (< Ar.?) ,schwanz,???? ,zânâv ,?????? ,dunb? ,zibbatu ,??? ,zab?n ,denb ,sat ,?an?ww?? (< Ar.?) ,wútsíyàa ,eegee ,dabo
70,feather ,????? ,nó?â ,@nose??,-,????? ,r?sha ,af? ,afa!,????? ,nó?â ,????? ,?evr? ,,??? ,?ag?r ,rixa ,,af? ,gáashìi ,,baal
71,hair ,???? ,sé?âr ,Shair <>  shear,+++,???? ,ša?r ,"z’?t’t’u, aš?wwaf ",schewwwr,???? ,sé?âr ,????? ,sa?r? ,š?rtu ,??? ,?ag?r ,xag?ar ,p-f? ,"z’?t’t’u, aš?wwaf ",gáashìi ,,timo
72,head ,???? ,róš ,Reason ratio rüssel,++,???? ,ra?s ,aq?yyua ,,???? ,róš ,????? ,réš? ,r?šu ,??? ,r???s ,ras ,"t-ape (ap?ue), j? ",aq?yyua ,kâi ,mataa ,madax
73,ear ,???? ,?ózen ,™,+,???? ,?úðun ,"am?z’z’u?, am?žžun ",<,???? ,?ózen ,????? ,?eðn? ,uznu ,??? ,??zn ,widna ,p-maaje ,"am?z’z’u?, am?žžun ",kûnnée ,gurra ,dheg
74,eye ,???? ,?ayin ,eyen,+++,???? ,?ayn ,?it’t’ ,see’it,???? ,?ayin ,????? ,?ayn? ,?nu ,??? ,?ayn ,g?ajn ,"p-val, eiat ",?it’t’ ,ídòo ,ija ,indho
75,nose ,??? ,af ,nope nose snupf,++,???? ,?anf ,?inz? ,the noze,??? ,af ,?????? ,n??r? ,appu ,??? ,anf ,mnie?er ,"šai, šant ",?inz? ,háncìi ,fuññaan ,san
76,mouth ,??? ,pe ,li’ppe,++,??? ,fam ,aq?mmum ,aqua moumnd,??? ,pe ,????? ,p?m? ,pû ,?? ,?af ,?alq ,"t-tapro, r? ",aq?mmum ,bàakíi ,afaan ,af
77,tooth ,??? ,šén ,Zahn,+++,??? ,sinn ,?i?m?s? ,tooth III,??? ,šén ,"????, ???? ","šenn?, kakk? ",šinnu ,?? ,s?n ,sinna ,"šol, najhe ",?i?m?s? ,hákóoríi ,,ilig
78,tongue ,????? ,lâšón ,glosse lingue,++,????? ,lis?n ,i??s ,> Ar,????? ,lâšón ,????? ,lešš?n? ,liš?nu ,????/??? ,m?l??s/l?s?n ,lsien ,p-las ,i??s ,hárshèe ,arraba ,carrab
79,fingernail ,????? ,?ippóren ,Zeh__,,???? ,?ufr ,išš? ,Zeh < Bantu,????? ,?ippóren ,????? ,?efr? ,?upru ,??? ,??fr ,difer ,eiv ,išš? ,fárcèe ,qeensa ,ciddi
80,foot ,?? ???? ,kaf re?el ,:,,???? ,qadam ,?’? ,toe,?? ???? ,kaf re?el ,????? ,?aql? ,š?pu ,??? ,??gr ,sieq ,"t-ouer?te, rat ",?’? ,?áfàa ,miilla ,cag
81,leg ,???? ,re?el ,reg leg rekel regel:step,++,???? ,rijl ,ifadd?n ,Food !,???? ,re?el ,????? ,re?la ,kim?u ,??? ,?agad? ,ri?el ,rat ,ifadd?n ,?áfàa ,"hojjaa, luka ",lug
82,knee ,???? ,berex ,bruch,-,????? ,rúkba ,fu? ,Food !,???? ,berex ,?????? ,burk? ,birku ,??? ,b?rk ,"rkoppa, rkobba ","kal, kel, rat ",fu? ,gwíwàa ,jilba ,jilib
83,hand ,??? ,yâð ,Hand ~ yâð ,+,??? ,yad ,fus ,fothe!!,??? ,yâð ,????? ,??ða ,q?tu ,?? ,??d ,id ,"t-cij, toot ",fus ,hánnúu ,harka ,gacan
84,wing ,???? ,kânâf ,canary f-n-k wing,+<>,"???, ???? ","katf, kanaf ",afriw ,avring!,???? ,kânâf ,????? ,kenf? ,kappu ,??? ,k?nf ,?ewna? ,t?nh ,afriw ,fíffíkèe ,,baal
85,belly ,???? ,be?en ,bottom,+,???? ,ba?n ,a??ddis ,,???? ,be?en ,"?????, ????? ","ba?n?, kars? ",libbu ,??? ,kar? ,?aqq ,"t-h?, h?t ",a??ddis ,cíkìi ,,calool
86,guts ,????? ,mé?im ,maime inner,+-?,?????? ,?am??? ,"a?an, ?ururu ",,????? ,mé?im ,"?????, ???? ","m?ayy?, gaww? ",erru ,???? ,am??ut ,,"maht, meht ","a?an, ?ururu ",hánjíi ,mar'umaan ,"mindhicir, xiidmo"
87,neck ,????? ,?awwâr ,@swan?,,????? ,ráqaba ,iri ,,????? ,?awwâr ,"?????, ????? ","?awr?, qð?l? ","kiš?du, labi?nu ",??? ,k?s?d ,g?onq ,p-makh ,iri ,wúyàa ,qoosee ,"luqun, sur"
88,back ,??? ,gâv ,<<,,???? ,?ahr ,a?rua ,,??? ,gâv ,"????, ?????? ","?a???, bestr? ",šašallu ,??? ,d??r ,dahar ,jise ,a?rua ,báayáa ,dugda ,dhabar
89,breast ,???? ,?âze ,< tzhize > hitze,+-,???? ,?adr ,ibb?š ,brest,???? ,?âze ,????? ,?aðy? ,irtu ,????? ,?ng?da?? ,sider ,t-ekive ,ibb?š ,nóonòo ,harma ,naas
