No ,English , ,,Aymara ,Kunza ,Southern Quechua runa simi,PIE / PERU,,,"Wichí languages (Guisnay, Nocten and Vejoz) ",Rapa Nui (Austronesian),Spanish,Mapudungun ,Paraguayan Guaraní avañe'?,,
69,tail* ,"<> winken, winseln < pinsel",~??,wich'inkha ,[[]] ,waqra,wa’qran qhorn,++?,cola,tochos ,hiku ,cola,külen ,tesa,,
70,feather* ,phuru!!!,~??,phuyu ,ack-iu ,chupa,????  *copra ,<<,,afwenche w’ule ,huru huru ,pluma,"pichun, pichuñ ",t?,,
71,hair* ,schnitt/schurte !?!,,ñik'uta ,? ,puru,"Pôr @ Indo-Aryan <> fur,pter",+++,,tow’uley ,rauoho ,"cabello, pelo",(ka?) longko ,juru,,
72,head* ,Qop | piq pickel(haube@prus –),?,p'iqi ,? ,chukcha,?? chuchar,++,,tolhetek ,puoko ,cabeza,longko ,tãi,zain dent tai,
73,ear* ,<> muschel?,,jinchu ,ckaickai ,uma,Ommel ,;),,toch’ute’ ,taringa ,oreja,pilun ,k?,,
74,eye* ,mnoyra!!!! aunge ++++++,??,nayra ,"ckepe, ckepi ",rinri,,,,tottelhu ,mata ,ojo,nge ,pyap?,,
75,nose* ,Nase!! +++,??,nasa ,seppi ,ñawi,Nvi <> nvidia,+-,,tonhes ,ihu ,nariz,yu ,py,pod,
76,mouth* ,la.kau! Gueule +++,~?,laka ,? ,sinqa,Zinke,;),,tok’aj ,haha ,boca,wü? ,tetyma,,
77,tooth* ,Ckénia ~ Zähne ++ ;),~?,laka ch'akha ,ckénia ,simi,,,,totsute ,niho ,diente,foro ,,,
78,tongue* ,languar,~?,laxra ,? ,kiru,? chorn ,++,,tok’ajlhech’e ,arero ,lengua,"kewü?, kewen ",po,Pfote ^^ pod,
79,fingernail ,,,sillu ,ckenni ,qallu,qa? zu.longue,+-<,,tofwefwt’oj ,"akikuku, maikuku ",uña,wili ,pepo,Opter ^^ pod,
80,foot* ,"go-- k?ja@Balt!!   qad@sem ayak,algan@altai ",~?,kayu ,ckutchir ,sillu,,,,topach’u ,va'e ,pie,?amu? ,,,
81,leg ,"~kayu,k?ja,kuoja @Baltic !!",~?,chara ,? ,chaki,,,,totkolo ,horeko va'e ,pierna,chang ,py'akue,,
