 № 	English 	Telugu 	 		Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
41	husband 	మొగుడు (moguḍu), భర్త (bharta), పెనిమిటి (penimiṭi) 	?, part		கணவன் (kaNavan) 	കെട്ടിയവൻ (/keʈʈijaʋan/), മണവാളൻ (/maɳaʋaːɭan/) (bridegroom) 	ಗಂಡ (gaNDa)				
42	mother 	అమ్మ (amma), తల్లి (talli) 	Amme	🗸	தாய் (/Thaai/), அன்னை (/annai/), அம்மா (ammā)(Mummy) 	അമ്മ (/amma/), തള്ള (/t̪aɭɭa/) 	ಅಮ್ಮ (amma), ತಾಯಿ (thayi)				
43	father 	నాన్న (nānna), తండ్రి (taṇḍri) 	tender		தந்தை(/thandhai/), அப்பா (/appā/)(Daddy) 	അച്ഛൻ (/at͡ʃt͡ʃʰan/), അപ്പൻ (/appan/), തന്ത (/t̪an̪t̪a/) 	ಅಪ್ಪ (appa)				
44	animal 	జంతువు (jantuvu) 	jan.tier @ jungle @Hind	🗸	விலங்கு (vilaṅku) 	[[]]					
45	fish 	చేప (cēpa) 	C-p p-c pesc		மீன் (mīṉ) 	മീൻ (mīn) 	ಮೀನು (mīnu)				
46	bird 	పక్షి (pakṣi), పిట్ట (piṭṭa) 	bird papagei	🗸	பறவை (paṟavai) 	കിളി (/kiɭi/),					
47	dog 	కుక్క (kukka) 	Cute coccer kuon dog	🗸	நாய் (/nāy/),குக்கல் (/Kukkal/) 	പട്ടി (/paʈʈi/), നായ (/n̪aːja/) 	ನಾಯಿ (nāyi)				
48	louse 	పేను (pēnu) 			பேன் (pēn) 	പേൻ (/peːn/) 	ಹೇನು (hēnu)				
49	snake 	పాము (pāmu) 	p>v …	🗸?	பாம்பு (pāmpu), 	പാമ്പ് (/paːmpɨ̆/) 	ಹಾವು (hāvu)				
50	worm 	పురుగు (purugu) 	Purugu > wurm	🗸!? <	புழு (puzhu) 	പുഴു (/puɻu/), വിര (/ʋiɾa/) 	ಹುಳ (huLa)				
51	tree 	చెట్టు (ceṭṭu) 	𓋴 < seat 		மரம் (maram) 	മരം (/maɾam/) 	ಮರ (mara)				
52	forest 	అడవి (aḍavi) 			காடு (kāṭu) 	കാട് (/kaːʈɨ̆/) 	ಕಾಡು (kāḍu)				
53	stick (of wood) 	కర్ర (karra), కట్టె (kaṭṭe) 	kar:bark	🗸 ?	குச்சி (kucci),தடி (/thaʈi/), கம்பு (/kampɨ̆/) (twig), கோல் (/koːl/) (staff) 	വടി (/ʋaʈi/), കമ്പ് (/kampɨ̆/) (twig), കോൽ (/koːl/) (staff) 	ಕೋಲು, ಕಡ್ಡಿ, ಬಡಿ				
54	fruit 	పండు (paNḍu), ఫలము (phalamu) 	ఫలము (phalamu)  +++		பழம் (/paɻam/),கனி (/kani/) 	പഴം (/paɻam/), 	ಹಣ್ಣು				
55	seed 	విత్తనం (vittanaM) 			விதை (/vithai/),வித்து (/ʋit̪t̪ɨ̆/)(Seed Material of All things) 	വിത്ത് (/ʋit̪t̪ɨ̆/), കുരു (/kuɾu/), അരി (/aɾi/) 	ಬಿತ್ತು (bittu)				
56	leaf 	ఆకు (āku) 			இலை (ilai) 	ഇല (/ila/), 	ಎಲೆ (ele)				
