English 	Farsi/Persian 			Bengali 	Hindi 	Romani 	IE		Tajik 	Kurdish (Central) 	Mazandarani (Tabari) 	Punjabi[1] 	Urdu 	Nepali 	Gujarati 	Zazaki	
39	child 	Bursche	🗸	बच्चा bachchā 	بچه bachche 	বাচ্চা bacca 	chard→cavord	!	shavoro 	бача 	minall 	وَچه vache 	ਬਾਲ, ਬੱਚਾ 	بچه bachchā 	बच्चा,बालक 	kidek, doman, leyr	
40	wife 	Part bivi>wife Beau	🗸	पत्नी/बीवी patnī/bīvī 	زن zan 	বউ bou 	nû!	!	romnyi 	зан 	jin 	زنا zena 	ਘਰਵਾਲੀ, ਤੀਵੀਂ, ਵਹੁਟੀ 	بیوی bīvī 	श्रीमती,पत्नी 	cênık	
41	husband 	part, szameit!	🗸!	पती patī 	شوهر showhar 	জামাই jamai 	™	!	rom 	шавҳар 	şû, mêrd 	شی shi 	ਘਰਵਾਲਾ, ਕੰਤ, ਖ਼ਾਵੰਦ 	شوہر shauhar 	श्रीमान,पति 	Cüwamerd	
42	mother 	matar	🗸	माँ/माता mā̃/mātā 	مادر mâdar 	মা/আম্মা ma/amma 		??	dej 	модар 	dayk 	مار mar 	ਬੇਬੇ/ਮਾਂ/ਮਾਤਾ 	ماں mā̃ 	आमा,माता 	Marde, Maye	
43	father 	pedar, pita, bap	🗸	बाप/पिता bāp/pitā 	پدر pedar 	বাবা/আব্বা baba/abba 		🗸🗸	dad 	падар 	bawk 	پییر piyer 	ਬਾਪੂ/ਪਿਉ/ਪਿਤਾ 	باپ bāp 	बुवा,पिता 	Pêr, Pi	
44	animal 	djān’var> anival 	🗸!	जानवर jānvar 	جانور jânvar 	জন্তু jontu 		;)	pedo 	ҷонвар 	gyanleber 	جونور junevar 	ਡੰਗਰ/ਪਸ਼ੂ/ਜਾਨਵਰ 	جانور jânvar 	जनावर 	Heywan	
45	fish 	marlin! 𓈗 	🗸	मछ्ली machlī 	ماهی mâhi 	মাছ mach 	mesh, mvas@𓈗	🗸	masho 	моҳӣ 	masî 	مایی mayi 	ਮੱਛੀ 	مچھلی machlī 	माछा 	Mase	
46	bird 	parand~bird	!🗸	पक्षी/चिड़िया pakṣī/ciṛiyā 	پرنده parande 	পাখি pakhi 	chirp, tyr	🗸	chiriklyi 	парранда 	ballinde, pelewer 	پرنده parende 	ਪੰਛੀ 	پرنده parinda 	चरा 	Theyr	
47	dog 	Köter! Cocker Spaniel 	🗸 !?	कुत्ता kuttā 	سگ sag 	কুকুর kukur 	khuo+kelef	🗸	zhukel 	саг 	seg 	سگ sag 	ਕੁੱਤਾ 	کتا kuttā 	कुकुर 	Kutık	
48	louse 		~	जूँ jū̃ 	شپش šepeš 	উঁকুন ukun 			zhuv 	шапиш 	espê 	اِسپیج espij 	ਜੂੰ 	جوں jū̃ 	जुम्रा 	Lıv	
49	snake 	serp.on mars𓈖!	🗸	साँप sā̃p 	مار mâr 	সাপ shap 	serp.on	🗸🗸	sap 	мор 	mar 	مَر mar 	ਸੱਪ 	سانپ sā̃p 	सर्प 	mar	
50	worm 	Kwrumm → kir:red	🗸	कीड़ा kīṛā 	کرم kerm 	কৃমি krimi 	! kwrüm!	🗸?	kermo 	кирм 	kirm 	کرم kerm 	ਕੀੜਾ 	کیڑا kīṛā 	किरा 	malık	
51	tree 		??	पेड़ peṛ 	درخت derakht 	গাছ gach 	kEschet		kasht 	дарахт 	dar 	دار dar 	ਰੁੱਖ/ਦਰੱਖ਼ਤ 	پیڑ peṛ 	जुका 	dare	
52	forest 	jungle	🗸	जंगल/वन jangal/van 	جنگل jangal 	বন bôn 		~?	vesh 	ҷангал 	lêrr 	جِنگِل jengel 	ਜੰਗਲ 	جنگل jangal 	जङ्गल 	Bır	
53	stick 	Dan 𓂡	™<<!	डंडा ḍanḍā 	چماق chomågh 	লাঠি laṭhi 			kopal 	чомоқ 	gopal 	چماق chomagh 	ਸੋਟੀ 	ڈنڈا ḍanḍā 	लौरो,लठ्ठी 	sopa	
54	fruit 	malve, fallut!!	🗸	फल/मेवा phal/mewa 	میوه mive 	ফল phôl 		🗸🗸	frukto 	мева 	mêwe, mîwe ਫਲ/ਮੇਵਾ 	پھل/میوہ phal/mewa 	फल 	meyve			
55	seed 	biseed	🗸?	बीज//दाना bīj/dānā 	دانه/تخم tokhm/dâne 	বিচি bici 	samen+^!?	🗸	sumburo 	тухм 	tow 	تیم tim 	ਬੀਂ 	بیج//دانہ bīj/dānā 	बिउ,बीज 	toxum	
56	leaf 	b’att platt Blatt	🗸	पत्ती pattī 	برگ barg 	পাতা pata 	blatt	~?	patrin 	барг 	ولگ valge 	gella 	ਪੱਤਾ 	پتا patta 	पात 	pelge, pele	
57	root 	roithe	🗸	जड़ jaṛ 	ریشه riše 	শিকর shikôr 	rookt	~	rikita 	реша 	rîşe 	ریشه rishe 	ਜੜ੍ਹ 	جڑ jaṛ 	जरा 	rıstım	
58	bark 	kark™	🗸	छाल chāl 	پوست درخت pust-e derakht 	ছাল chal 	kork™	🗸🗸	korca 	пӯсти дарахт 	twêkllî dar 	گلام gelam 	ਸੱਕ/ਛਿੱਲ 	چھال chāl 	बोक्रा, भुक्नु 	-	
59	flower 	phulvr pulver:pollen fallen!	🗸	फूल phūl 	گل gol 	ফুল phul 	lilidy™	🗸🗸	luludyi 	гул 	gull 	گل gol 	ਫੁੱਲ 	پھول phūl 	फूल 	vıle, fıle	
60	grass 	ghass	🗸	घास ghās 	علف alaf 	গাস ghash 	chaors	!!	char 	алаф 	allif 	بند ِواش band-e-vash 	ਘਾਹ 	گھاس ghās 	घाँस 	vaş	
61	rope 	𓎛 DHR cord QED 	!!!	डोरी ḍōrī 	طناب tanåb 	দড়ী ḍori 	Seil.o	🗸🗸	shelo 	таноб 	tenaf 	رَسِن rasen 	ਰੱਸੀ 	رسی rassī 	डोरी 	urgan	
62	skin 	khroma, skim	🗸	चमड़ी camṛī 	پوست pust 	চামড়া camṛa 			morchi 	пӯст 	pêst 	جلد jeld 	ਖੱਲ/ਚਮੜੀ 	چمڑا camṛa 	छाला 	post	
63	meat 	Meath, Goĝi @ Korean	🗸 <<<	मांस/गोश्त mā̃s/gośt 	گوشت gušt 	মাংস/গোশ্ত mangsho/goshto 	meth@	🗸🗸	mas 	гӯшт 	goşt 	گوشت gusht 	ਮਾਸ 	گوشت gošt 	मासु 	goşt	
64	blood 	red! Lack, 血 [血] xuèn < k/hong	🗸™	रक्त, ख़ून, लहू rakt, xūn, lahū 	خون khun 	রক্ত rôkto 	rot	🗸🗸	rat 	хун 	xwên 	خون khun 	ਲਹੂ/ਖ਼ੂਨ/ਰੱਤ 	خون, لہو rakt, xūn, lahū 	रगत 	goni	
65	bone 	Hosteo-Khari < korn	🗸™	हड्डी haḍḍī 	استخوان ostokhån 	হাড়ী haṛi 			kokalo 	устухон 	êsk 	هِسِّکا hesseka 	ਹੱਡੀ 	ہڈی haḍḍī 	हाड,हड्डी 	este	
