 No. 	English 	Basque euskara =  Aquitanian	PIE anknüpfbar?	remotely	Dravidian anknüpfbar? NO	DRAVIDIAN connection? NO	Aryan
194	wet 	busti, heze				తడి (taḍi) 	ಒದ್ದೆ (odde) 
195	dry 	lehor				పొడి (poḍi), ఎండు (ēMḍu) 	Water-a 𓇶 photo ;) 
196	correct 	zuzen	🗸!	sosein, ceca!	~	సరైన (saraina) 	sa’right correct
197	near 	hurbil				దగ్గర (daggara) 	DA
198	far 	urrun	<			దూరం (dūraM) 	dura+
199	right 	eskuin	🗸			కుడి (kuḍi) 	Cut-hand?
200	left 	ezker	🗸	isqierda		ఎడమ (eḍama) 	
201	at 	-n, -an, -ean, -etan	🗸	in, an at !!	~	-వద్ద (-vadda) (location), -వైపు (-vaipu) (direction) 	Vat-a, vadda, al …
202	in 	-n, -an, -ean, -etan	🗸🗸		~	-లో (-lō) 	Al …  il~in
203	with 	-ekin, -arekin	🗸🗸	a’con		-తో (-tō) 	-உடன் (-udan)~with
204	and 	eta	🗸🗸	ãt, et	++	మరియు (mariyu) 	mit ಮತ್ತು (mattu)  -உம் (-um) cum
205	if 	(baldin) ba-	🗸	be… Falls!! <<		-ఇతే (-itē) 	-ఇతే (-itē)  𓇋𓂋
206	because 	-elako, bait-, ... eta	~			-వల్ల (-valla), ఎందుకంటే (endukaNṭē) 	weil
207	name 	izen, deitura	🗸!!	heißen, dite !!??	++++	ಹೆಸರು (hesaru)	heiße  / appeller
	axe	aizkora	🗸	Adze +++ kora=bark!			
	hoe	aitzur	™	Hoeitz! <> heizen			
	knife	aizto	™	atze, gnifs!!			
	stone	Haitz <<<<<	🗸🗸™!	ERZ,Gnheisz!!!			
