№ 	English 	NOT PIE except pronouns!	K'iche' 	Q'eqchi' 	Tzotzil 	Mam 	Yucatec 	Huastec 	Lang7 	Lang8
168	ash 	xaq~cha~ash	chaj, xaq 	cha 	tan 	tza’j 				
169	to burn (intransitive) 	bol~~bur’	k’atik, polik, qalajik 	k’at, choqlenk, humuk 	chik’, k’ak’ 	pátan 				
170	road 	bein-	b'e 	b'e 	be 	b’e 	beh 			
171	mountain 	gjebuy~	juyub' 	tzuul 	vitz 	witz 				
172	red 		kaq(a) 	kaq 	tzoh, chak- 	kyaq 	chak 			
173	green 	fresh reeds	rax(a) 	rax 	yosh 	cha’x 	ya'ax 			
174	yellow 		q'an(a) 	q'an 	k’on 	sak q’ent 	k'an 			
175	white 		saqi 	saq 	sak 	sak 	sak 			
176	black 		q'eq(a) 	q'eq 	7ik’ 	q’eq’ 	boox 			
177	night 		aq'ab'al, chaq’äb’ 	q'ojyin 	7ak’ubal, 7ik’7osil 	qoníya 	aak'ab 			
178	day (daytime) 		q'ij 	kutank 	k’ak’al, 7osil 	q’ijl 	k'iin 			
179	year 		junab' 	hab’ 	habil 	jnab’q’í, tyem 	ja'ab 			
180	warm (as in weather) 		qa'q' 	tiq 	k’ok’ 	métmaj 				
181	cold (as in weather) 		tew 	ke 	sik 	che’w 	keel 			
182	full 		nojinäq 	nujenaq 	noh 	noj 				
183	new 		k’ak’ 	ak’ 	7ach’ 	ák’aj 	tuumben 			
184	old 		q’e’l 	q'eel 	k’a7 	q’ának, tij 				
185	good 		utz 	us 	7utz, lek 	b’a’n 	uts 			
186	bad 	Ma ¬ goods	itzel, ma utz täj 	lab' 	chopol 	k’a’ 	k'as 			
187	rotten (as, a log) 			q'aaneq 	k’a7al, k’o7 					
188	dirty 			b'alak', pes 	7ik’ 		eek 			
189	straight 			tiik 	tuk’ 					
190	round 			kotko, sursu 	setset 					
191	sharp (as a knife) 			q'es 						
192	dull (as a knife) 			room (Spanish) 						
193	smooth 			q'un, ji'ji' 	ch’ulul, lich’ich’ 					
194	wet 		ch'aqalik 	t'aqt'aq, tz'uuq 	t’ushul 					
195	dry (adjective) 		chaqi'j 	chaqi 	takin 					
196	right (correct) 			q'axal chaab'il 	melel 					
197	near 		naqaj 	nach', rik'in 	nopol 	naká, nka 	naats 			
198	far 		naj 	nach' 	nom 	naqch 	naach 			
199	right (side) 		wikiaq'ab 	sa' nim 	batz'i k'obol 					
200	left (side) 		moxq'ab 	tz'e 	tz’et 					
201	at 		pa 		ta 		ti' 			
202	in 		pa 	sa’ 	k’al 		ich 			
203	with (accompanying) 		ruk' 	rik’in 	chi7uk, tohol 		tu yeetel 			
204	and 		xupuje' 	ut 	7i 					
205	if 			si' (Spanish) 	mi 	ka 	wa 			
206	because 			xb’aan naq 	k’u ti 		tumen 			
207	name 		b'i' 	k'ab'a'ej 	biil 	b’i 	k'aaba' 			
