№	English	Akkadian (many spellings!)	IPA Sound 	Akkadian SEM-PIE		Akkadian 	Egyptian many variants		𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections
55	seed	zērum	/ˈzeː.rum/	Serum, Saart		𒆰 (zēru) 	𓄝 𓏏 𓇋 𓇋 𓏏 𓂺 𓏥,  𓂸 𓏏 𓏲 𓏏 𓂺 𓏥, 𓅓 𓏏 𓂺 𓅱 𓏏		𒀀	a	𓂋 •r̥̄ Äre 𓉐 𓂋 𓏏 𓂺 𓈓  fruit !
56	leaf	artum, ḫasḫaltu, 𒁖𒊍𒁺𒊻	/ˈar.tum/, /χasˈχal.tu/, par-as-du-us	𓇥 𓂋 𓆓 𓄔 #artum ear™ وَرَقَة waraqaᵐ 𓂝 𓂋 𓇋 𓇋 𓏏 𓆱 (door)leaf		ḫasḫaltu 	𓇥 𓂋 𓆓 𓄔 2. 𓂝 𓂋 𓇋 𓇋 𓏏 𓆱, 𓄔 𓏤  3. 𓋴 𓐟 𓄿 𓊪𓏏𓆰		𒄑𒉺	(ngiš)pa	Blatt <> feather
57	root	šuršum	/ˈʃur.ʃum/	source شرش šereš		𒁼 (šuršu) 	𓍯 𓄿 𓃀 𓆰, 𓏠𓈖𓇋𓇋𓏏𓆱, 𓆱𓇛, 𓇡 		𒄑𒄿…𒈾	(ngiš) i-ri9-na	𒌫 úr ? ren.phyt?
58	bark (of a tree)	quliptum	/ˈqu.lip.tum/	barka 𒁇𒄯!   ᑫὑλακτέω		𒄑𒁇𒄯 (sihpu) 					
59	flower	ayyarum, inbum	/ˈay.ya.rum/, /ˈin.bum/	InBloom ;)		inbu 	𓆸 ⋍ 𓆹, 𓊃 𓈙 𓈖 𓆸,  𓇇𓆰, 𓇬𓈖𓃀, 𓃹𓈖𓃀𓆰, 𓁷 𓂋 𓂋 𓏏 𓆰, 		𒌌	ul, gi-rin	ƒula V+GUL ყვავილი q̇vavili 
60	grass	dīšum, šammum	/ˈdiː.ʃum/, /ˈʃam.mum/	Samen 𒌑  𒋀 ?		dīšu 	𓁸  𓏥  2.  𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥 		𒌑	ú	weed 
61	rope	ašlum	/ˈaʃ.lum/	Seilᵘᵐ		𒂠 (eblu) 	𓁷 𓏤 𓍢, 𓂝 𓎛 𓍢, 𓇋 𓎛 𓍢, 𓍱 𓋴 𓍢 2. 𓈖 𓍇 𓏌 𓅱 𓎛 𓍢 		𒂊𒊺	éše	Öse 𒅖𒄭𒈠𒀀𒀸 iš-ḫi(ma)@PIE 𓍱 𓋴 𓍢, Öse, lasso <> Schnur
62	skin	maškum	/ˈmaʃ.kum/	maSkin Masken		gildu 	𓄛, 𓄚 𓈖 𓏏 𓄛, 𓄞 𓂧 𓅱, 2. 𓂧 𓂋 𓄛 3. 𓄟 𓋴 𓂓 𓄛 4. 𓃀 𓅡 𓄇 𓄛  		𒍪	su	sur δέρ
63	meat	šīrum	/ˈʃiː.rum/	𓄿 𓈙 𓂋 𓄹		ṭabhu 	𓄹, 𓇋 𓆑 𓄻 𓏥, 𓇋 𓅱 𓆑 𓄹 𓄹 𓄹  2. 𓄿 𓈙 𓂋 𓄹, 𓅨 𓂋 𓇋 𓄹		𒍪, 𒍜	uzuʳ, suʳ	𓄿 𓈙 𓂋 𓄹 auzhur fleshu 
64	blood	dāmum	/ˈdaː.mum/	<>		𒄈𒉻𒁺 (eṣemtu) 	𓂐, 2. 𓂧 𓈙 𓂋 𓂐, 𓂧 𓈙 𓂋 𓅱 𓏯 3. 𓊃 𓈖 𓆑 𓅱 𓂐		𒍗, 𒋀 ,  𒁁 	úš, (ŠEŠ)ùri, múd	𒂊𒌍𒄯 e-eš-ḫar @PIE ēshar असृज् asṛj dúš 𓂧 𓈙 𓂋 𓂐
