№	English	Akkadian (many spellings!)	IPA Sound 	Akkadian SEM-PIE		Akkadian 	Egyptian many variants		𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections
134	to pull	šadādum	/ʃaˈdaː.dum/	𓄞 𓂧 𓀜 !! scheiden ziehen	✓!!		𓇋 𓏏 𓎛 𓀜, 𓇋 𓏏 𓎛 𓍕, 𓆑 𓂧 𓏴 𓂡, 𓆌 2. 𓄞 𓂧 𓀜 3. 𓊪 𓈖 𓋴 𓏴 𓂡 4. 𓋴 𓍊 𓐍 5. 𓋴 𓏠 𓈖 𓐍 𓍊 𓏛 		𒍮	rig	rig, reiss  𓄞 𓂧 𓀜 ?
135	to push	napāṣum, sakāpum	/naˈpaː.sˤum/, /saˈkaː.pum/	𓇋 𓆛 𓈖 𓂢 𓂡  an.pushᵘᵐ  	✓!? 		𓄿 𓅱 𓅯, 𓅱 𓇋 𓆛 𓈖 𓂢 𓂡  		𒋺	taka	take-on زق tsaq шту́рхаць 推 татта <  турка turka drück
136	to throw	nasākum	/naˈsaː.kum/	𓋴 𓐍 𓀒		nadû 	𓌙,𓌙 𓅯,𓄡 𓀒, 𓀒 𓏏, 𓋴 𓐍 𓀒, 𓈎 𓌚 𓏜, 𓈎 𓌳 𓄿 𓌙 𓅯 𓏜, 𓂝 𓅓 𓂝 𓄿 𓌚, 𓂝 𓅓 𓄿 𓏏 𓏐, 3. 𓋴 𓄝 𓏏 𓀜 		𒊑	ri	⚠️
137	to tie	kaṣārum, ṣamādum, rakāsum	/kaˈsˤaː.rum/, /sˤaˈmaː.dum/, /raˈkaː.sum/	cache, rig, sym.do	✓ <<	kaṣāru, rakāsu, ṣamādu 	𓈖 𓃀 𓍢 𓂝, 𓎛 𓃀 𓅱 𓃒 2. 𓍿 𓊃 𓋭, 𓋭 𓊃 𓏲 𓂡, 𓎛 𓎸 𓈖 𓊃 𓎡 𓍢 𓂡 3. 𓈎 𓄿 𓋴 𓍢 𓂡 		𒋰, 𒁾, 𒆪	dab2,4,5	TAB tie bind 𓋭  𒆪 •ÇUR zerr @ 𒁳 dib √dieb
138	to sew	𒁑	bulug	plug (holes)		kubbû 	ⲱⲧⲉϩ ⲑⲣⲁⲡⲥ ↔ ⲑⲱⲣⲡ , ⲑⲉⲣⲡ    		𒁑	bulug	Balg bulk
139	to count	manûm	/maˈnuːm/	𓂩 𓏠 ⲙⲏϣ Menge  	!?	manû 	𓍿 𓈖 𓌙 𓅯 𓏌 𓅱 𓏜, 2. 𓎛 𓋴 𓃀 𓐎 𓏛, 𓐎 𓏛 3. 𓇋 𓊪 𓏛 		𒋖?	šita5	∑nT
140	to say	qabûm	/qaˈbuːm/	quob™ geyapᵘᵐ	<	qabû 	𓆓 𓂧 		"𒂊, 𒁉
"	ég, bi	𓆓 𓂧  edge ক @ 𒅗 λέγω légō
141	to sing	zamārum	/zaˈmaː.rum/	summern 𓇖 śamar 𒍝𒈠𒊒 za-ma-ru zamár זַמָּר  	✓ 	zamāru 	𓎛 𓋴, 𓎛 𓎿 𓊃 𓏮 𓀁, 		𒊬,𒆪	mud6, tuš	mudhe, muse, tusch™ <<<
142	to play	mēlulum	/ˈmeː.lu.lum/	melody!	!?	mēlelu 	𓎛 𓃀 𓂝 𓌙 𓌙 𓏜, 𓎛 𓂝 𓃀 𓂡 2. 𓆼 𓄿 𓂝 𓂡 3.  		𒆠𒂊𒉈𒁲𒀭𒈹, 𒂠𒄾?	ešemen2,3	⚠️
143	to float	𒉈𒆸𒁍 	ne-qel-pu ana-qelipe	𓈖 glide, float down			<>		𒋛𒀀	dirig	si'a  צָף ṣāf <> sauf / swim <> drink
144	to flow	𒅈𒀸𒍣 	ar-aš-zi /aršzi, āršzi/)  <> अर्षति (arṣati). 	"fallakuw walle @ lake <> 𒁺;𒈠	ĝen;ma"		alāku 	𓋴 𓍬 𓍿 𓄿 𓂻, 2. 𓃀 𓋴 𓂻, 𓄿 𓊃 𓍬 𓂻, 𓄿 𓋴 𓍬 𓂻 3. 𓎡 𓆑 𓆑 𓂐 4. 𓐍 𓂧 𓊛		𒉌	zal	⚠️ zal ≈ écoule  sileadh <> slide  урсгал
145	to freeze	𒁇𒈹𒁲	bar šed₁₀	freezed, cooled down					𒍝𒈹𒁲	halba2,3	"𒁇𒈹𒁲	bar.šed₁₀ freezed"
146	to swell	𒌌	ul	(s)walle-  UL:DU οἰδέω oidéō	✓!		𓈙 𓆑 𓐎 		𒈤	mah	<> maha!  mooadee
147	sun	šamšum	/ˈʃam.ʃum/	summer shineᵘᵐ 𓇶	✓ 	šamšu 	𓊃 𓅱 𓇳, 𓆄 𓅱 𓇳, 𓂋 𓂝 𓇳 𓏤, 𓂋 𓂝 𓏏 𓇳 𓁐, 2. 𓇋 𓏏 𓈖 𓇳		𒌓	ud	ydon 𓇋 𓏏 𓈖 𓇳 adon < radiant 
148	moon	Sîn	/siːn/	Shine 𓇋 𓂝 𓎛 waxing ☽ wake	✓! 	sîn, warxu 	𓇋 𓂝 𓎛, 𓇋 𓎛 𓅆, 𓀭		𒌗	iti, itud	𓇋 𓂝 𓎛 •iathr
149	star	kakkabum	/ˈkak.ka.bum/	𓋴 𓃀 𓄿 𓇼	✓ 	kakkabu 	𓇼 𓏤, 𓋴 𓃀 𓄿 𓇼 𓇳, 2. 𓎼 𓈖 𓄡 𓏏 𓇼		𒌌,𒀯	ul, mul	multi
150	water	mû	/ˈmuː/	𓈗 murky mare	✓ 	mû 	𓈗, 𓎛 𓃀 𓃀 𓈅 𓈗, 𓎛 𓃀 𓃀 𓏏 𓈗  2. 𓍇 𓏌 𓇋 𓇋 𓈘,  𓈖 𓏏 𓏯 𓈗  3. 𓈗, 𓈗 𓇋 𓇋 𓈗		𒀀	a,bu / mu	eau, ob / 𓈗 mar
151	rain	šamûm	/ʃaˈmuːm/	𓇶	✓ 	zunnu 	𓇋 𓄿 𓂧 𓏏 𓏯 𓇲, 𓇋 𓂧 𓏏 𓇲, 𓇶, 𓈗, 𓎛 𓀜 𓏷 𓀜 𓈗, 𓎛 𓀝 𓇋 𓇋 𓏏 𓈗, 		𒅎	im!	vihm @ Estonian!  imvula ama umun @ Malay ! <> mwu mvula umul mulo מִטְרָא miṭrā  雨 yǔmen
152	river	nārum	/ˈnaː.rum/	𓈖, 𓎔 	✓ 	nāru 	𓈖, 𓇋 𓏏 𓂋 𓅱 𓈙 𓏥, 𓇋 𓏏 𓂋 𓃭 𓈘 𓈅 𓏤, 𓇋 𓏏 𓂋 𓈘 𓈗 …		𒀉,?	id, ída	𓇋 𓏏 𓏲 𓂋 𓈗  vidhar Ida Eider waters :
153	lake	tiāmtum	/ti.ˈaːm.tum/	Tiamat?	✓ 	tāmtu 	𓈙 𓈇 𓏤, 𓈘 𓈅 𓏤, 𓄞 𓂧 𓈘 𓈅 𓏤, 𓎛 𓆰 𓈖 𓏏 𓏯 𓈘 𓈇		𒀊	ab, aba	Ob, ibón, ypa  *h₂ep- @ PIE / Romance ≠ йӓр <> AP [[𒀖]] 
154	sea	tiāmtum	/ti.ˈaːm.tum/	Tiamat 𓈗 θάλασσαᵘᵐ™		tâmtu 	𓈙, 𓈙 𓈇 𓏤  2. 𓇅 𓆓 𓅨 𓈗 𓈘, 𓇆 𓅨 𓂋 𓇋 𓈗 𓈘 𓈅 𓏤, 𓇋 𓇋 𓏲 𓅓 𓂝 𓈗 𓈘 𓈇		𒀊	ab, aba, nab	abyss! apa=🌢  𒀀𒁀𒈠𒌅 abamātu !
155	salt	ṭabtum	/ˈtˤab.tum/	@table		𒁵 (ṭabtu)  𒋰𒌅 ṭab-tu	𓎛 𓌳 𓄿 𓏏𓍖 𓈒 𓏥 B. 𓎛 𓌴 𓏏𓈒 𓏥		𒁵	mun	ⲁⲙⲙⲟⲛⲓ ammonia 盐 皿 mǐn @ mine <> 𓎛 𓋴 𓏠 𓍖 𓈒 𓏥
156	stone	abnum	/ˈab.num/	ebony 𒎎??	<<	abnu 	𓊌  2. 𓇋 𓈖 𓂋 𓊌 3. 𓃀 𓇋 𓏏 𓊌 		𒎎	na4	natrium gneiss inar 𓇋 𓈖 𓂋 𓊌  ha.nat 𓎛 𓌴 𓏏𓈒 𓏥 ?
157	sand	bāṣum	/ˈbaː.sˤum/	≠ bush		bāṣu 	𓈙 𓂝 𓏮 𓈒 𓏥, 𓈙 𓂝 𓈒 𓏥		𒅖	sahar	*saharaⁿᵗ
158	dust	eperum	/ˈe.pe.rum/	hyper?		eperu 	𓐍 𓅓 𓅱 𓊡 𓏪		𒅖	ukum	𓐍 𓅓 𓅱 𓊡 𓏪  ^^ 𒅖 !   Krume?  χοῦς шаң sand 尘 can4 / epru‹m› 𐎓𐎔𐎗 ʿpr прах  бурэхи burexi
159	earth	erṣetum	/ˈer.sˤe.tum/	earth™	+++	erṣetu 	𓎛 𓄿 𓏏 𓈅 𓏥, 𓄿 𓎛 𓏏 𓈇, 𓄿 𓎡 𓂋 𓀭 𓏪, 𓄿 𓎡 𓂋 𓆙, 𓅱𓂝 𓎛  2. 𓇾 𓈇 𓏤  3. 𓅭𓏏𓅱𓈅 𓏥 , 𓅭𓏏𓏮𓊌 𓊃 𓅭 𓄿 𓏏𓅱𓈇 𓏥  4. 𓎤 𓃀 𓃀 𓈅 𓏥		𒆠	ki	Geo kir.de
160	cloud	erpetum	/ˈer.pe.tum/	𓂋 𓊪 𓏏 𓇯 𓀭  	+++	erpetu 	𓈎 𓂋 𓇋 𓇲, 𓈎 𓂋 𓇋 𓃫 𓀜, 𓈎 𓂋 𓂋 𓊡, 𓈎 𓂋 𓊡   2. 𓍲 𓈖 𓂝 𓍁  ϭⲏⲡⲉ ?		𒅎𒄿,𒅎𒂂,𒂂	imi, muru9, dugud	ʿaymā ܥܝܡܐ!  xomv merawan @ Malay!   … മേഘം mēghaṁ മുകിൽ mukil
161	fog	imbarum	/ˈim.ba.rum/	> 𒅎𒂂 muru9	<<	imbāru 			𒅎𒂂	muru9	𓈗 murky <> Mohr  мурк murk
162	sky	šamû	/ʃaˈmuː/	shimmer sHimmel		šamû 	𓇯, 𓊪 𓏏 𓇯, 𓁷 𓏏 𓇯, 𓄿 𓂋 𓏏 𓇯, 𓄿 𓊃 𓂋 𓏏 𓇯, 𓄿  2. 𓈎 𓃀 𓎛 𓅂 , 𓈎 𓃀 𓎛 𓅱𓏁 𓅭 𓏥 𓈉 3. 𓏌 𓏌 𓏏 𓏌 𓇯 𓁐 		𒀭	an	𒀭 𓄿 Arn 𓇯 < Heron
163	wind	šārum	/ˈʃaː.rum/	"𓋴 𓅱 𓎛 𓊡 sirocco, sharq ""east"" @sahara / shore? @shore?"	+++	šāru 	𓊡, 𓅱 𓏏 𓊡, 𓊡 𓅱   2.  𓋴 𓅱 𓎛 𓊡, 𓆓 𓂝 𓊡,  𓋴 𓏲 𓎘 𓃀 𓄲 𓏛  3.  𓈖 𓆑 𓏏 𓊡 𓏲		𒆤	líl 	ел yel! @Turkic  Gewind KID
164	snow	šalgum	/ˈʃal.gum/	"gela™ 𒍋, 𒊾	šeg,8,9 (sic)"	<<	šalgu 			𒍋, 𒊾	šeg,8,9	shegnow sñow shagel? 💡
165	ice	šurīpum	ʃuˈriː.pum	@ kur			<<<		𒍋, 𒊾	šeg8,9	ᓯᑯ siko дюкэ ʒukə ϫⲁϥ čaq > čaf  ша šaᵍ giaç jaço jég یَخ  yax @ Ural <  ទឹកកក tɨk  تلج talg  Tungusic 
166	smoke	qutrum	/ˈqu.trum./	𓎛 𓏏 𓏮 𓊮 <> glutrum		qutru 	𓎛 𓏏 𓏮 𓊮		𒄿𒉈	i-bí	"obol, bel @ Malay  <  𒉈 bar₇ burn ""fire"""
167	fire	išātum	/iˈʃaː.tum/	heissa™		išātu 	𓊮 2. 𓐍 𓏏 𓊮, 𓏴 𓏏 𓊮, 𓈎 𓂋 𓂋 𓊮, 𓋴𓆓 𓏏𓊮		𒉈	izi	"heiss 𒉈 bar₇ burn pyro ""fire"""
168	ash	tumrum	/ˈtum.rum/	𓇋 𓏏 𓈖 𓏌 𓍢 𓂊  ?		didallu, ṭikmēnu 	𓇋 𓏏 𓈖 𓏌 𓍢 𓂊 		𒀭𒂍	déᵏ	•idén 𓇋 𓏏 𓈖 𓏌 𓍢 𓂊  @ 𓇋 𓏏 𓈖 𓇳
169	to burn	𒉈𒉈	ne.par/bar₇/bil₂;bil₃	𓊮 𒆳 kur charm 𒌋𒍝𒄠𒈠𒀀 u-zaʳam-ma-a @ Kerze		napāxu 	𓊮, 𓌳 𓄿 𓐍 𓊮,  𓌳 𓄿 𓄡 𓊮, 𓍑 𓄿 𓆑 𓊮 , 𓎡 𓊪 𓊶, 𓋴 𓌳 𓄿 𓅓 𓊮 		𒋰,𒉈	tab, bil	bil~bur(n) @Ural
170	road	ḫarrānum	/χarˈraː.num/	runᵘᵐ xūlu calla		xūlu 	𓅓 𓂝 𓍿 𓇱, 𓐝 𓂝 𓏏 𓈖 𓌙 𓈐 𓂻, 𓅓 𓍿 𓃒  2. 𓍯 𓄿 𓏏 𓈐 , 𓍯 𓏏 𓈐 𓈘  3. 𓂸 𓏏 𓈖 𓈐 𓈇		𒀀𒁺,𒋡	a-rá, sila3	a.ra.du a'road, calla
171	mountain	šadûm	/ʃaˈduːm/	saddle		šadû 	𓈉 𓏤, 𓈋 𓏤, 𓈋 𓅱 𓊌		𒆳,?	kur, iši	ጋራ gara გორა góra ಗಿರಿ кайа کۄہ cairn
172	red	sāmum (masculine), sāmtum (feminine)	/ˈsaː.mum/, /ˈsaːm.tum/	𓍿 𓅓 𓋴 𓏞 crimson, 𒀤 rosso 𒊓𒊓, 𒀠 ᵖAL bull ≈ pēlu < pyr 𒀤 hibira		ruššû, pēlu 	1. 𓏏 𓄟 𓋴 𓏞 𓏜, 𓍘 𓅓 𓋴 𓏞 1b. 𓍿 𓅓 𓋴 𓏞 1c. 𓂧 𓇋 𓏇 𓋳 <> 2. 𓂧 𓈙 𓂋 𓅟		𒊓𒊓	sa-sa	"<> 𒃻𒊓𒊓 niĝ₂sa-sa	šásasa niĝsasa (sic) burning  <> 𒊑𒋗𒌅 ri-šu-tu «rosette» reddening, redness  "
173	green	warqum (masculine), waruqtum (feminine)	/ˈwar.qum/, /waˈruq.tum/	"𓇆 𓎡 𓄿 𓅱 qaruⁿ <> warqu  𓅱 𓄿 𓎡 𓇆   𒊬 sharin 𒅈 𒄣 	ʸar-qu  ירוק \ יָרֹק yarók 𒀀𒊏𒄣 	a-ra-qu √iraq"		warqu 	𓎡 𓄿 𓅱, 2. 𓇆 = 𓇅 𓆓 𓏛		𒅊	sig7	zarǧun! زرغون  sgrün  ଶାଗୁଆ śāguā  ਸਾਵਾ sāvā zöldᵍ
174	yellow	warqum (masculine), waruqtum (feminine)	/ˈwar.qum/, /waˈruq.tum/	𓇆 <> 𓇼 𓍯 𓄿 𓅱 𓇳 𓏮 ?		warqu 	𓈎 𓈖 𓇋 𓇋 𓐏, 𓈎 𓈖 𓇋 𓇋 𓏏 𓏊		𒅊	sig7	sárga! shine სინი̆ sinĭ jaune ⲁⲟⲩⲓⲛ  𓈎 𓈖 𓇋 𓇋 𓐏 grünit ^^ صُفْر ṣufr sarı زرد zardᵍ
175	white	peṣûm (masculine), peṣītum (feminine)	/peˈsˤuːm/, /peˈsˤiː.tum/	白色 báisè weiß		peṣû 	𓌈, 𓌈 𓂂,  𓌈 𓆓 𓇳, 𓎛 𓌈 𓆓 𓇶  1. 𓃀 𓅡 𓄿 𓈎 𓆭  2. 𓊏 𓊪 𓇳, 𓊏 𓊪 𓇶 3. 𓋴 𓈙 𓊪, 𓇳 𓋴 𓈙 𓊪 𓇶		𒆬	kug	KUG χαλκός khalkós chalk! <> 𒆬𒌓 KU₃.UD  چاندی cá̃dí  🌕/🌞 
176	black	ṣalmum (masculine), ṣalimtum (feminine)	/ˈsˤal.mum/, /sˤaˈlim.tum/	calm 𓆎 𓅓 𓁸		ṣalmu 	𓆎 𓅓 𓁸, 𓆎 𓏛 2. 𓐍 𓋴 𓃀 𓆓 𓂂  2b. 𓆓 𓂝 𓌠 𓃀 3. 𓐍𓐍		𒈪;𒈪𒈪	ñíg, gíg	negro 𓐍𓐍 gray
177	night	mūšum, līliātum	/ˈmuː.ʃum/, /liː.liˈaː.tum/	muse? Muße(Stunde)		mūšu 	𓎡𓎡𓇰, 𓉸, 𓇰,  2.  𓆼 𓄿 𓅱 𓏮 𓇰  ,  𓐍 𓆼 𓄿 𓅱𓇰, 𓎼 𓂋 𓎛 𓇰  3.  𓅱 𓐍 𓇰   𓏲 𓄿 𓆼 𓇰  5. 𓍑 𓄿 𓅱𓇰		𒈪	ñíg, ngi6	night ^^
178	day	ūmum	/ˈuː.mum/	yom jourmᵘᵐ ἦμαρ êmar 		ūmu 	𓋴 𓅱 𓇳 𓏥, 𓇳 𓏤, 𓋴 𓋴 𓋴 𓅱 𓇳 𓏥  2. 𓉔 𓂋 𓅱 𓇳 𓏤  3.  𓊄 𓅱 𓇳 𓏥		𒌓	u4, DAG₂ 	uhr, houra, 𒌓 DAG₂ utug Tag!
179	year	"šattum 𒆳𒌅 	šat-tu"	/ˈʃat.tum/	Zeitᵘᵐ, suns		šattu, 𒊭𒈾𒀀𒀜 ša-na-a-at 	𓆵𓆶?, 𓆳 𓏏 𓏤, 𓈖 𓂋 𓇋 𓆵 𓇳		𒈬	mu	Monat
180	warm	𒉈;𒌓	"kum₂;kum₄ ""hot"""	charm 𓐍 𓅓 𓊮			𓊮, 𓋴 𓐍 𓅓 𓅓, 𓋴 𓈙 𓅓 𓅓 𓊮, 𓋴 𓂋 𓆑 𓊮, 𓐍 𓅓 𓊮, 𓈙 𓅓 𓅓 𓊮		𒉈	kúm	𓐍 𓅓 𓊮 charm 
181	cold	kaṣûm	/kaˈsˤuːm/	𓎛 𓎿 𓋴 𓊡 crisp 𓈎 𓃀 𓏂		kaṣû 	𓈎 𓃀 𓏂, 𓈎 𓃀 𓃀 𓈗, 2. 𓎛 𓋴  , 𓎛 𓎿 𓋴 𓊡		𒋼	ten	ठंड ṭhaṇḍ 𑀞𑀡𑁆𑀠 ṭhaṇḍha  thunder 凍 / 冻 dung3 dunkel? צוֹנֵן tzonén <<<
182	full	𒈠𒀠𒇻𒌑 … 𒈠𒇷 …	malu- mali- …	𓎔 𓏛 𓅓		malû 	𓏏 𓏏 𓏝, 𓏏 𓅱 𓏏 𓀾 𓏜  2. 𓎔 𓏛 𓅓		𒈝??	éšša	"𒊺𒁍 	še-puˡ  πLUM  𒈝	"
183	new	eššum (masculine), edištum (feminine)	/ˈeʃ.ʃum/, /eˈdiʃ.tum/	heiss;)		𒉋 (eššu) 	𓈖 𓌳 𓄿 𓅱 𓏏 𓏛, 𓌳 𓄿 𓅱 𓏮 𓏛, 𓌳 𓏏 𓏛		𒉋	gibil ƒ	"𒉋 ≈ 𒉈 NE neo ""new"" новъ     𒉈 pir Swahili: -pya"
184	old	𒋗𒄄 šu-gi₄		•segnil segnor 𓇋𓇩 𓋴𓆰𓏛 <> zippen		labru, 𒋗𒄄 (šību) 	𓇋𓄿, 𓇋𓄿𓅱𓏏𓀗  1. 𓎡 𓎛 𓎡 𓎛 𓀘  2. 𓇋𓇩 𓋴𓆰 𓏛  3. 𓈖𓐍𓐍		𒌌,𒅆𒂠	ul, libir	ol’  ≈ œil  <  𓇋𓄿 hiero
185	good	𒄭 (ṭābu) 		top		𒄭 (ṭābu) 	𓄤, 𓃀 𓄤, 𓃀 𓅱 𓄤 𓆑 𓂋, 𓄤 𓆑 𓂋		𒄭	dùg	gud
186	bad	𒅆𒌨 (lemnu) 		"lame, si.uraˢ 𒅆𒌨 sour 𓈙 𓂋 𓅪 شَرَّ šarra ""bad"" 𒅆𒌨 reus reudig 𒅆𒌨 xirab 𒅆𒌨 pero <>  buruk"		𒅆𒌨 (lemnu) 	𓃀 𓇋 𓈖 𓅪,  𓈋 𓅪, 𓈋 𓅱 𓅪, 𓈋 𓏴 𓅪 3. 𓃛		𒅆𒌨	hul	foul, evil
187	rotten	𒄾𒁶	hul-dim₂	mush		𒅆𒌨𒁶 (masku) 	𓂝 𓍯 𓄿 𓐎 2. 𓎛 𓍯 𓄿 𓐎 		𒇥,?	hab2, sungin	hab < •hrab 𓎛 𓍯 𓄿 𓐎 < σαπρός  <> to smell <> putrid
188	dirty	𒈬𒁍	mudra₆	modrig muddy mob		𒈬𒁍 ((w)aršu) 	?		𒄫𒂖𒇲	pe-el-lá	palid پلید foul @ Pfuhl puercuᵃˡ бузр buzr бру́дны brut βρόμικος  бӏеха bˀexa ເປື້ອນ pư̄an
189	straight	𒄿𒊭𒊏𒀜 	"i-ša-ra-at, 𒋛𒁲;𒋛𒋛𒁲	si sa₂"	išarāt a'straight acura™?		ešru 	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜,   𓂸 𓏏𓌙 𓌙 𓏜				
190	round	𒄑𒃵	"ĝeš gur₂, 𒋗𒄥	šu-gur šugur"	(circular) rim, ring, rolled up mat		kippatu < *xipantu 𓂧 𓃀 𓈖 𓂂 𓂻	𓂧 𓃀 𓈖 𓂂 𓂻, 𓄲 𓂻, 𓄲 𓈖 𓂻, 𓄷 𓈖 𓂻, 𓄲 𓇉 𓊗 𓏤 𓏤 𓏤 𓏤, 𓐪 𓂧 𓏌 𓂻, 𓐪 𓂧 𓏌 𓏛		𒃻	ĝar, ninda	gyro  wind,round,nind 𓄲 𓈖 𓂻 𒁺
191	sharp (as a knife)		"𒀠 𒆥 𒀀	al-kin-a"	schliff- schleif- 𓋴 𓇮 𓂧 𓌪		šēlu 	𓂧, 𓇮 𓏜, 𓋴 𓊪 𓂧 𓇮, 𓋴 𓇮 𓂧 𓌪   2.  𓂧 𓐝 𓌪 𓂡, 𓅓 𓂠 𓂧 𓊃𓏛, 𓅓 𓂧 𓋴𓌪, 𓆓 𓏏 𓌪, 𓇮 𓏜		"𒆠𒅗𒄯𒊏	"	ki-zu₂ur₅-ra kizurra	scissor, sharp edge
192	dull (as a knife)						𓈖𓆓 𓋴 𓅪, 𓅪				
193	smooth					>	𓋴𓈖𓂝 𓂝 𓏞 𓏛, 𓋴𓌢 𓂝 𓂝 2. 𓇋 𓂧 𓄿, 𓏞 𓏛				
194	wet		𒉌𒇻 niˢ-lu  wetness	𓈖 Niesel Nässe , rot:		raṭbu 	𓈖 𓊪 𓅯 𓈗  nass 		𒁻	lah	𒁻 RE7 𒁺 RE6 רטוב ratóv
195	dry	𒀀𒁀𒀠	a-ba-al abal	abaˡ abaᶴ יָבֵשׁ  iabᵒˢ jāf جَاف <> പൊടി poṭi powder  бакъвараб baqxʷʼarab  √bare þurr 𓆄 𓅱𓇳		ablu 	𓋴 𓆄 𓅱𓇳, 𓆄 𓅱𓇳 2. 𓇶 3. 𓅱𓈙 𓂋 𓇳 4. 𓋴𓏲 𓈙 𓂋 𓇳, 𓇶,  5. 𓐍 𓅓 𓊡		𒂟?	háda hād-	𒄩𒀀𒋼𒅕 ha-a-te-er hāter 𒌓ah₃.utu 𓇶 𒂟 lah₂ / sig₅ sag₁₀ secco! 𒊭𒁍𒇻 ša-bu-lu s'abal!  𓋴 𓆄 𓅱𓇳 <> na-ba-lu 𒈾𒁀𒇻 dry land
196	correct	išarum, kīnum	/ˈi.ʃa.rum/, /ˈkiː.num/	isso, conᵘᵐ		damqu 	𓂝 𓈎 𓄿 𓇋 𓇋 𓏏 𓂭 𓂭 𓏜 2. 𓆄, 𓁦, 𓆄𓆄 𓏏 𓏤, 𓌷 𓂝 𓏏𓆄 𓏛 𓏥		𒄀𒈾	gi-na	genau!
197	near	𒋼;𒋾	teĝ₃;teĝ₄	daga@Tungusic దగ్గర daggara@Dravidian		𒋼 (ṭexû) 	𓐍 𓂋  2.  𓂋 𓉔 𓅱𓏥, 𓂋 𓏤 𓂝 𓏤,  3. 𓍚 𓅱𓂻 𓆑  4. 𓏏 𓎡 𓈖𓂻		𒁕	da	da, dort, at
198	far	𒊑𒄣 	ri-qu riqum	"reach(ing) 𓍯 𓄿 𓀜, 𓍯 𓄿 𓈐, 𒀀𒁲 	a-di until 𒋫"		nešû 	𓍯 𓄿 𓀜, 𓍯 𓄿 𓈐, 𓍯 𓈐,   3. 𓎛 𓁷 𓂋 𓈐		𒋫,𒋤	ta, sud	PIE to- *tāli- *toli- dura دور дур  𒋤 sur хара sehr შორეული šoreuli հեռավոր heṙavor <> 𒊒 𒆪𒌋𒋾 ru-ku-u-ti <> 𒊒𒁺 rukub
199	right	imnum	/ˈim.num/	yemen manu		𒍠 (imittu) 	𓇋 𓏠 𓈖𓊿,  𓋀 𓂢  2. 𓊿  3.  𓋀 𓂢,  𓅆 𓏏𓏮		𒍥𒁕	zi-da	सिद्ध  सीधा sīdhā •zirda 𓋀 𓂢 •sirda straight ὀρθός  gerade geright suora тура tura 
200	left	šumēlum	/ʃuˈmeː.lum/	x  شُمال šumāl 𐎌𐎎𐎀𐎍 šmảl שְׂמֹאל (he) smol small(hand) schummel?? : 左 zuǒ maldekstra		𒆏𒁍 (šumēlu) 	𓋁, 𓋁 𓃀, 𓋁 𓃀 𓏏𓏮 𓈇,  𓋁 𓃀 𓏮 𓂢, 𓍋 𓃀 𓏮 𓂢  2. 𓏏 𓋁 𓏮		𒇷𒁍	gùb-bu	𒆏 GÚB 𓎼𓄿𓃀𓂢 𒆏𒁍 kappu carpe  [[grab]] çep чап čap  @ Turk 𒆎 *gippala@Hittite 
201	at	ina	/ˈi.na/	in			𓂋, 𓁷 𓏤, 𓌨 𓂋		𒁕	da	ada, da, dort
202	in	ina	/ˈi.na/	in		ina 	𓈖		𒀀,?	a, andan	à, ə! Into!
203	with	𒀉𒋾 ʷit-ti ʷitti	/ˈit.ti/	whithi			𓎛 𓈖𓂝  2. 𓐍 𓂋, 𓁷 𓏤, 𓐍 𓏏 𓆑		𒃰	gada	co'add :
204	and	u	/u/	u. und &		u 	𓎛 𓈖𓂝  2. 𓐍 𓂋 𓀒		𒂵	ga	ⲕⲉ ⲕⲁⲓ, que, gar, 𓐍 𓂋 𓀒 kar, gam, com!
205	if	𒌓 šumma 𒅅 , 𒋳𒈠	/ˈʃum.ma/	sei-mal 𓇳 wäre 𒌓 what-if		šumma 	𓇋𓂋		𒋗𒃻𒌉𒇲, 𒈜𒁆𒋗𒃻𒌉𒇲, 𒌓	tukum, tukumbi, ud 	sei gar dem à, what (if)
206	because	aššum, ištu	/ˈaʃ.ʃum/, /ˈiʃ.tu/	assume 𓃹 ist … 		aššum 	𓁷, 𓁷 𓏤, 𓂋 𓁻, 𓈖𓈖𓏏𓏏, 𓈖𓏮		𒈬	mu	mean… meaning 𓈖𓏮𓁻 nam nämlich :
207	name	šumum	/ˈʃu.mum/	shame, name ∑		𒈬 (šumu) 	𓂋𓈖𓀁, 𓂋𓈖𓍷		𒈬	mu	(na)mu
