№	English	Tadaksahak	Notes
90	heart	wǝ́l
91	liver	taaʃá
92	to drink	nín
93	to eat	ŋá	eating
94	to bite	ṇám, ŋá	ṇám bite; ŋá bite (animal)
95	to suck	sǝ́mǝm
96	to spit	s-ǝ́ṭǝf
97	to vomit	yéeri
98	to blow (as wind)	fúr	blow (wind)
99	to breathe	ʃ-ǝ́nfǝʃ
100	to laugh	górgor
101	to see	guná	also sight
102	to hear	mó	hear (news/noise)
103	to know (a fact)	báy	know; also able, familiar with
104	to think	yordá	think (that)
105	to smell (sense odor)	mammaní kár borá	lit. "odor hit person"
106	to fear	hambará	fear
107	to sleep	keení	also dream: keení ŋ guná
108	to live	yiddár	alive, to be
109	to die	bún	also dead, death, end
110	to kill	wí	also extinguish (fire, light); dumbú kill (animal)
111	to fight	zóɣ
112	to hunt (transitive)	gimár	hunt (game)
113	to hit	kár	also play, fall (rain), warn, carve, twine
114	to cut	kós, dumbú	kós cut; dumbú cut/kill
115	to split	yífṭǝk	split (wood)
116	to stab (or stick)	yírẓi	stick something into
117	to scratch (an itch)	z-ǝ́kmǝz, kúkkuʒ-it
118	to dig	fás
119	to swim	yíʃǝf	also dive
120	to fly	ṣót	also jump
121	to walk	didá	walk
122	to come	kóy-kat
123	to lie (as on one's side)	yíniʃtaga	lie on side
124	to sit	goorá	also stay
125	to stand	káy	also stop, upright
126	to turn (change direction)	yístaɣ
127	to fall (as in drop)	káŋ
128	to give	ná
129	to hold (in one's hand)	yíddǝr
130	to squeeze
131	to rub
132	to wash	hímay
133	to wipe	tús	wipe out
134	to pull	yírkǝb, húbut	yírkǝb pull; húbut pull something heavy
135	to push	yíntǝg, yíntaɣ
136	to throw	fúr	also blow (wind), rise (sun)
137	to tie	háw	also tether
138	to sew	ṭaatab
139	to count	ʃ-iḍǝn
140	to say	cí	also want
141	to sing	d(a) á-ṣṣak
142	to play	hór	also amuse oneself; kár play (football/instrument)
143	to float
144	to flow	dudú	also pour
145	to freeze
146	to swell	hǝ́ḍǝdi	swollen, to be
147	sun	wayní
148	moon	a-yyár	also month
149	star
150	water	aryén
151	to rain	kár	fall (rain)
152	river	a-jǝráw	river (Niger)
153	lake	a-ɣázar	also pond (temporary)
154	sea (as in ocean)
155	salt	ciidí
156	stone	ṭóndi	also stony elevation, battery
157	sand	t-a-záazul-t
158	dust	a-báaleq
159	earth (as in soil)	gánda	also country, ground, land
160	cloud	nuun-én	also smoke
161	fog
162	sky	i-ʒínn-an
163	wind (as in breeze)	héw
164	snow
165	ice
166	smoke	nuun-én	same as cloud
167	fire	huurú
168	ash	booʃí	ashes
169	to burn (intransitive)	kurú-kuru	burn / burned, to be
170	road	t-a-dáqat-t
171	mountain
172	red	cidáy
173	green	ṭay	green (grass), to be; also wet
174	yellow	yaráɣ	yellow, to be
175	white	kóoray
176	black	bíibi
177	night	cijí
178	day (daytime)	zaɣrí
179	year	a-wátay
180	warm (as in weather)	korrá	hot, to be; also heat
181	cold (as in weather)	fufú	cold (weather)
182	full
183	new	yaynáy	new, to be
184	old	ʒén	old, to be / to make
185	good	giŋ-gimán	also nice
186	bad	agar, yibrár	agar bad; yibrár bad/ugly, to be
187	rotten (as, a log)	fumbú	rotten, to be / to make rot
188	dirty	lés, ʒíibit	lés dirty/impure; ʒíibit dirty
189	straight	yáʕad	straight, to be
190	round
191	sharp (as a knife)	yiwál	sharp (knife), to be
192	dull (as a knife)	bún	dull (knife), to be; polysemous: also die, dead, end
193	smooth	sǝlál	smooth, to be
194	wet	ṭay	wet, to be / to make; also green
195	dry (adjective)	qóq	dry, to be
196	right (correct)	dǝ́ttǝt	true, to be
197	near	mán	near to, to be; also approach
198	far	mór	far away, to be; also distance from
199	right (side)	áaɣil
200	left (side)	zálgat
201	at	daw	at (somebody's)
202	in	ka	also among, from, to
203	with (accompanying)	ǝnda	with (company); also with (instrument), and, if/when, towards
204	and	ǝnda	and (between noun phrases); same as with
205	if	ǝndár, ǝs-kábahar	ǝndár hypothetical; ǝs-kábahar if/when; ǝnda if/when
206	because	igdá, iddá, íd
207	name	mân
