		NE:Caspian 	NOT PIE!	2.1 Indo-European 2.2 Semitic 2.3 Turkic 2.4 Mongolic			NW:Pontic    	some PIE	ɨ < r	South:Kartvelian=Iberian>Georgian  	
453	EVENING	суьйре	syɪ̆rē		453	EVENING	ахəылҧаз	ɑχəɨlpʰɑz			
					453	EVENING	ахəлбыҽха	ɑχəlbɨʈ͡ʂʰχɑ			
454	NIGHT	буьйса	byːsə	?	454	NIGHT	аҵх	ɑt͡sʼχ	una ights		
455	WEEK	кӏира	kʼɪrə	3 circ	455	WEEK	амчыбжь	ɑmt͡ʃʰɨbʒ	<> time		
											
456	MONTH	бутт	bu͡ʊtː								
457	YEAR	шо	ʃo	sun							
458	SPRINGTIME	бӏаьсте	bʡæstē		458	SPRINGTIME	ааҕын	ɑːʁɨn			
459	SUMMER	аьхке	æxkē		459	SUMMER	аҧхын	ɑpʰχɨn			
460	AUTUMN	гуьйре	ɡyːre	x خَرِيف‎ ḵarīf শৰৎ (xorot) शरद् f (śarad) •Karibest Herbst	460	AUTUMN	ҭагалан	tʰɑɡɑlɑn			
					460	AUTUMN	хкаарачан	χkʼɑːrɑt͡ʃʰɑn			
461	WINTER	ӏа	ʡə	hiver	461	WINTER	аӡын	ɑd͡zɨn			
462	JANUARY	январь	jənvərʲ		462	JANUARY	ианвар	iɑnvɑr			
463	FEBRUARY	февраль	fevrəlʲ		463	FEBRUARY	февраль	fɛvrɑlʲ			
464	MARCH	март	mərt		464	MARCH	март	mɑrtʼ			
465	APRIL	апрель	əprelʲ		465	APRIL	апрель	ɑpʼrɛlʲ			
466	MAY	май	məj		466	MAY	маи	mɑi			
467	JUNE	июнь	ɪjunʲ		467	JUNE	иуун	iuun			
468	JULY	июль	ɪjulʲ		468	JULY	иууль	iuulʲ			
469	AUGUST	август	əvɡu͡ʊst		469	AUGUST	август	ɑvɡustʼ			
470	SEPTEMBER	сентябрь	sentjəbrʲ		470	SEPTEMBER	сентиабр	sɛntʼiɑbr			
471	OCTOBER	октябрь	oktjəbrʲ		471	OCTOBER	октиабр	ɔkʼtʼiɑbr			
472	NOVEMBER	ноябрь	nojəbrʲ		472	NOVEMBER	ноиабр	nɔiɑbr			
473	DECEMBER	декабрь	dekəbrʲ		473	DECEMBER	декабр	dɛkʼɑbr			
474	MONDAY	оршот	orʃot	erst 1	474	MONDAY	ашəахьа	ɑʂəɑχʲe			
475	TUESDAY	шинара	ʃɪnərə	zwiner 2	475	TUESDAY	аҩаша	ɑɥɑʂɑ	ɑ ɥɑ ʂɑ		
476	WEDNESDAY	кхаара	qəərə	qhir 3	476	WEDNESDAY	ахаша	ɑχɑʂɑ	ɑ χɑ ʂɑ		
477	THURSDAY	еара	eərə	feərə 4	477	THURSDAY	аҧшьаша	ɑpʰʃɑʂɑ	ɑ pʰʃɑ ʂɑ		
478	FRIDAY	пӏераска	pʼerəskə	pʼerə 5	478	FRIDAY	ахəаша	ɑχəɑʂɑ	ɑ χəɑ ʂɑ		
479	SATURDAY	шот	ʃot	шот 6 satur 7	479	SATURDAY	асабша	ɑsɑbʂɑ	a sambsa		
480	SUNDAY	кӏиранде	kʼɪrənde	кӏира-Ende	480	SUNDAY	амҽыша	ɑmʈ͡ʂʰɨʂɑ	<> sun		
481	BIG	доккха	doqːə	darg	481	BIG	аду	ɑdu			
482	SMALL	кегий	keɡɪɪ̆	kück	482	SMALL	амаҷ	ɑmɑt͡ʃʼ			
483	LONG	еха	exə	exa 𓆈 extra	483	LONG	ахəхəа	ɑχəχəɑ			
484	SHORT	доца	dōt͡sə	?	484	SHORT	акьаҿ	ɑkʼʲeʈʈ͡ʂʼ			
485	WIDE	шуьйра	ʃyɪ̆rə	<	485	WIDE	аиужь	áiuʒ			
486	NARROW	готта	ɡotːə		485	WIDE	аиҵых	áit͡sʼɨχ			
487	DENSE	луьста	lystə		486	NARROW	аҭшəа	ɑtʰʂəɑ			
488	THICK	стомма	stomːə	stämmig	487	DENSE	аилач	ɑilɑt͡ʃʰ			
489	THIN (OF SHAPE OF OBJECT)	дуткъа	du͡ʊtqʼə		488	THICK	ажəпа	ɑʐəpʼɑ			
490	FINE OR THIN	ховха	xɔ͡ʊxə		490	FINE OR THIN	апа	ɑpʼɑ			
491	SOLID	чӏогӏа	t͡ʃʼōɣə		490	FINE OR THIN	аҵаӷа	ɑt͡sʼɑʁɑ			
492	FLAT	чӏапа	t͡ʃʼəpə	≠ deep	490	FINE OR THIN	аӡа	ɑd͡zɑ			
493	SMOOTH	шера	ʃērə		491	SOLID	аҟаца	ɑqʼɑt͡sʰɑ			
494	HARD	чӏогӏa	t͡ʃʼoɣa		491	SOLID	аӷəӷəаҟаца	ɑʁəʁəɑqʼɑt͡sʰɑ			
495	SOFT	кӏеда	kʼedə		492	FLAT	ақəаҟьа	ɑkʰəɑqʼʲe			
496	ROUND	горга	ɡorɡə	circ! gyroge	492	FLAT	аҧаҟьа	ɑpʰɑqʼʲe			
497	POINTED	ира	ɪrə		493	SMOOTH	аимаҩзы	áimɑɥzɨ			
498	SHARP	ира	ɪrə		494	HARD	акьакьа	ɑkʼʲekʼʲe			
499	BLUNT	аьртa	ærta		495	SOFT	атата	ɑtʼɑtʼɑ			
500	HEAVY	деза	dezə	δασύς dense	496	ROUND	акəмпыл	ɑkʼəmpʼɨl			
501	BEAUTIFUL	хаза	xəzə	ⲥⲁⲓⲉ	497	POINTED	аҵар	ɑt͡sʼɑr			
502	HOT	довха	dɔ͡ʊxə		498	SHARP	аҵар	ɑt͡sʼɑr			
503	WARM	довха	dɔ͡ʊxə	Dusche	499	BLUNT	ацагə	ɑt͡sʰɑɡə			
504	COLD	шийла	ʃɪɪ̆lə	chill	500	HEAVY	ахьанҭа	ɑχʲentʰɑ			
505	COOL	шийла	ʃɪɪ̆lə	chill	501	BEAUTIFUL	аҧшӡа	ɑpʰʂd͡zɑ			
506	FRESH	керла	kerlə	√kur > chill	502	HOT	ашы	ɑʂɨ			
507	DAMP	тӏуьна	tʼynə	тӏуьна ~ Dampf	503	WARM	аҧха	ɑpʰχɑ			
508	WET	тӏеда	tʼēdə	-- twet	504	COLD	ахьшəашəа	ɑχʲʂəɑʂəɑ			
509	DRY	eкъа	eqʼə		505	COOL	ахьшəашəа	ɑχʲʂəɑʂəɑ			
510	FULL	дуьзна	dyznə		505	COOL	ицәыхьшәашәоу	it͡ɕʷʰuχʲʃʲʷøʃʲʷɔu			
511	EMPTY	яьсса	jæsːə		506	FRESH	цқьа	t͡sʰkʰʲe			
512	OPEN (OF DOOR)	диллина	dɪlːɪnə	diele	507	DAMP	ацəаак	ɑt͡sʰəɑːkʼ			
513	CLOSED	дӏакъевлина	dʡəqʼevlɪnə	des¬…?	508	WET	абааӡа	ábɑːd͡zɑ			
513	CLOSED	дӏачӏагӏдина	dʡət͡ʃʼəɣdɪnə		509	DRY	Аба	ɑbɑ			
514	CLEAN	цӏена	t͡sʼenə	цӏена ~ cleana	509	DRY	аҩа	ɑɥɑ			
515	DIRTY	боьха	bø̄xə		510	FULL	азна	ɑznɑ			
516	RAW	буьйда	byɪ̆də	bad	511	EMPTY	аҭацəы	ɑtʰɑt͡sʰəɨ			
517	RIPE	хилла	xɪlːə		512	OPEN (OF DOOR)	аарта	ɑːrtʼɑ			
518	TASTY	чоме	t͡ʃōmē	sense	513	CLOSED	ихҩоу	iχɥɔu			
519	SWEET	мерза	merzə	<	513	CLOSED	иаркыу	iɑrkʼɨu			
520	BITTER	къаьхьа	qʼæʜə		514	CLEAN	ацқьа	ɑt͡sʰkʰʲe			
521	SOUR	муьста	mystə		515	DIRTY	аҟьашь	ɑqʼʲeʃ			
522	BRIGHT	сирла	sɪrlə	sara / sola	517	RIPE	Арҭ	ɑrtʰ			
523	DARK	бодане	bodəne	<	517	RIPE	аҟала	ɑqʼɑlɑ			
524	BLACK	ӏаьржа	ʡærʒə	ʡærʒə schwärze	517	RIPE	иҟалахьоу	iqʼɑlɑχʲɔu			
525	WHITE	кӏайн	kʼəjn	Kain vs Alba	518	TASTY	ахаа	ɑχɑː			
526	RED	цӏен	t͡sʼēn	--?	519	SWEET	азла	ɑzlɑ			
527	YELLOW	можа	mōʒə	--?	520	BITTER	аша	ɑʂɑ			
528	BLUE	сийна	sɪɪ̆nə	--?	521	SOUR	аҵəҵəы	ɑt͡sʼət͡sʼəɨ			
529	GREEN	баьццара	bæt͡sːərə	--?	522	BRIGHT	алаша	ɑlɑʂɑ	a leus <> lux		
530	GREY	cира	cɪrə	cɪrəy	523	DARK	алашьца	ɑlɑʃt͡sʰɑ	al¬schwats		
530	GREY	мокха	moqə	mocca	524	BLACK	аиқуаҵәа	ɑikʰuɑt͡sʼʷɑ	a'schwats / kurax		
531	COLORFUL	къорза	qʼorzə	<	525	WHITE	ашкəакəа	ɑʂkʼəɑkʼəɑ			
532	CHEAP	дораха	dōrəxə		526	RED	аҟаҧшь	ɑqʼɑpʰʃ		--	
533	EXPENSIVE	деза	dezə		527	YELLOW	аҩеижь	ɑɥɛiʒ			
534	PRECIOUS	мехала	mexələ	much	528	BLUE	аҽҵәа	ɑʈ͡ʂʰt͡sʼʷɑ			
535	BLIND	бӏаьрзе	bʡærze		529	GREEN	ашьацҧшҭəала	ɑʃɑt͡sʰpʰʂtʰəɑlɑ			
536	DEAF	къора	qʼorə	¬ohr	529	GREEN	аеҵəа	ɑɛt͡sʼəɑ			
537	POWERFUL	нуьцкъала	nyt͡sqʼələ	𓈖𓈎 <> mighty	530	GREY	ацəыш	ɑt͡sʰəɨʂ			
538	STRONG	зоьртала	zørtələ	>durat	531	COLORFUL	Аилыҕраа	ɑilɨʁrɑː			
538	STRONG	нуьцкъала	nyt͡sqʼələ		531	COLORFUL	аҕраҷкəын	ɑʁrɑt͡ʃʼkʼəɨn			
539	WEAK	гӏорасиза	ɣorəsɪzə		532	CHEAP	амариа	ɑmɑriɑ			
540	FAT (OBESE)	дерстана	derstənə		533	EXPENSIVE	амҩан	ɑmɥɑn			
541	THIN (SLIM)	куц долу	ku͡ʊt͡s dolu͡ʊ		534	PRECIOUS	кыр иаҕсоу	kʼɨr iɑʁsɔu			
542	GOOD-LOOKING	хаза	xəzə		534	PRECIOUS	акыр иаҕсоу	ɑkʼɨr iɑʁsɔu			
543	EVIL	вон	vōn	Ba.on	535	BLIND	алашə	ɑlɑʂə			
544	STUPID	сонта	sontə	¬sense	536	DEAF	адагəа	ɑdɑɡəɑ			
545	LAZY	мало ен	məlō en		537	POWERFUL	аӷəӷəа	ɑʁəʁəɑ			
546	DILIGENT	тӏера	tʼerə		538	STRONG	абаҟа	ɑbɑqʼɑ	able a'brachio <> arm		
547	STINGY	пис	pɪs		539	WEAK	акəада	ɑkʼəɑdɑ			
547	STINGY	сутара	su͡ʊtərə		540	FAT (OBESE)	аҧсыла	ɑpʰsɨlɑ	obesil <> ob sila=fat		
548	CLEVER	хьекъале	ʜeqʼəle	helle;)	541	THIN (SLIM)	акала	ɑkʼɑlɑ	a klein		
549	DEXTEROUS	тӏахъаьлла	tʼəxʔælːə		541	THIN (SLIM)	акьалантар	ɑkʼʲelɑntʼɑr	a klein.anter		
550	DEAR	хьоме	ʜōmē	homy	541	THIN (SLIM)	аиҿартə	áiʈʈ͡ʂʼɑrtʼə	a shorte		
551	MERRY	самукъане	səmu͡ʊqʼənē		542	GOOD-LOOKING	аҧшӡа	ɑpʰʂd͡zɑ			
552	GENTLE	кlеда	kledə	~	543	EVIL	абааҧсы	ɑbɑːpʰsɨ			
553	BE HUNGRY	меца	met͡sə	@meat	544	STUPID	агаӡа	ɑɡɑd͡zɑ			
554	SICK	цомгуш долу	t͡somɡu͡ʊʃ dolu͡ʊ	sense dull	545	LAZY	аашьа	ɑːʃɑ	al ɑːʃɑ  lazy		
555	NAKED	дерзана	derzənə	darb	546	DILIGENT	иҟубҷоу	iqʼubt͡ʃʼɔu			
556	SAD	самукъане воцу	səmu͡ʊqʼəne vot͡su͡ʊ	??	547	STINGY	акы	ɑkʼɨ		<<	
557	LIVING	дийна	dɪɪ̆nə	divankh	547	STINGY	акаҷбеи	ɑkʼɑt͡ʃʼbɛi			
558	GOOD	дика	dɪkə	d-g / good	547	STINGY	аҟəџьыр	ɑqʼəd͡ʒɨr			
559	BAD	вон	von	vain, ba.on	548	CLEVER	аҟəыш	ɑqʼəɨʂ	a kweise		
560	CORRECT (RIGHT)	нийса	nɪɪ̆sə	--	548	CLEVER	аҟəыӷа	ɑqʼəɨʁɑ	a'quire		
561	SEVERE	вон	von		549	DEXTEROUS	напҟазала	nɑpʼqʼɑzɑlɑ			
562	TRUE	бакъдолу	bəqʼdolu͡ʊ		550	DEAR	алашара	ɑlɑʂɑrɑ	<		
563	OLD (USED)	къена	qʼenə	<<	551	MERRY	алах-ҿых	ɑlɑχʈʈ͡ʂʼɨχ			
564	NEW	керла	kerlə	<	551	MERRY	игурҕьаччо	iɡurʁʲet͡ʃʰt͡ʃʰɔ			
565	FORMER	хилла	xɪlːə		551	MERRY	агурҕьа	ɑɡurʁʲe			
566	OLD (AGED)	къена	qʼenə		551	MERRY	агурҿыхага	ɑɡurʈʈ͡ʂʼɨχɑɡɑ			
567	YOUNG	къона	qʼōnə		552	GENTLE	атата	ɑtʼɑtʼɑ			
568	POOR	къен	qʼēn		552	GENTLE	аҟəымшəышə	ɑqʼəɨmʂəɨʂə			
569	RICH	хьоле	ʜōle		552	GENTLE	ақьыҧш	ɑkʰʲipʰʂ			
570	FAMILIAR	девзаш долу	devzəʃ dolu͡ʊ		553	BE HUNGRY	амлашь	ɑmlɑʃ	<> famila famine		
571	FAME	цӏеяхана	t͡sʼejəxənə		554	SICK	ачымазаҩ	ɑt͡ʃʰɨmɑzɑɥ			
572	FOREIGN	нехан	nexən		555	NAKED	аҟьантаз	ɑqʼʲentʼɑz			
573	DIFFERENT	тайп-тайпанара	təɪ̆p-təɪ̆pənərə		556	SAD	алахьеиқəҵага	ɑlɑχʲɛikʰət͡sʼɑɡɑ			
574	NEAR	гергара	ɡerɡərə	circa	557	LIVING	абза	ɑbzɑ			
575	FAR	гена	ɡenə	gone	558	GOOD	абзиа	ɑbziɑ	<<<		
575	FAR	генара	ɡenərə		559	BAD	-хəарҭам	χəɑrtʰɑm			
576	LEFT	аьрру	ærːu͡ʊ̄		560	CORRECT (RIGHT)	иашоу	iɑʂɔu	IS just		
577	RIGHT	аьтту	ætːu͡ʊ		561	SEVERE	абааҧсы	ɑbɑːpʰsɨ		quelqun	
578	OTHER	кхин	qɪn	ky	562	TRUE	агəҭылса	ɑɡətʰɨlsɑ	agade		
579	FIRST	хьалхара	ʜəlxərə		562	TRUE	абзиаҵəҟьа	ɑbziɑt͡sʼəqʼʲe	<> good		
580	SECOND	шолгIа	ʃolɡiə	folge	563	OLD (USED)	Ажə	ɑʐə	aged		
581	THIRD	кхоалгӏа	qoəlɣə		564	NEW	аҿыц	ɑʈʈ͡ʂʼɨt͡sʰ			
582	LAST (FINAL)	тӏаьххьара	tʼæʜːərə		565	FORMER	анкьатәи	ɑnkʼʲet͡pʼi			
583	ALONE	цхьаъ	t͡sʜəʔ	 	566	OLD (AGED)	абырг	ɑbɨrɡ			
584	ALL AT ONCE	цу сохьтта	t͡su͡ʊ soʜtːə		566	OLD (AGED)	ақабада	ɑkʰɑbɑdɑ			
585	TOGETHER	цхьана	t͡sʜənə	t'syn!	566	OLD (AGED)	Ажə	ɑʐə			
586	FOR A LONG TIME	дукха	du͡ʊqə	dur.que	567	YOUNG	аҟата	ɑqʼɑtʼɑ	agade? <> accademy		
587	SUDDENLY	цIеххьана	t͡sieʜːənə	~	568	POOR	ананамга	ɑnɑnɑmɡɑ	𓂜 <> havenot		
588	INSTANTLY	цу сохьтта	t͡su͡ʊ soʜtːə		569	RICH	абеиа	ɑbɛiɑ	habe ¬poor		
589	LATER	тӏаьхьо	tʼæʜo		570	FAMILIAR	адыр	ɑdɨr	:		
590	NOW	хӏинца	hɪnt͡sə	heutse	571	FAME	адыр	ɑdɨr	dire@Ode		
591	TODAY	тахана	təxənə	te.sun	572	FOREIGN	атəым	ɑtʼəɨm		(young sun)	
592	TOMORROW	кхана	qə̄nə	güne	573	DIFFERENT	Еиуа-еиҧшым	ɛiuɑɛipʰʂɨm			
593	SOON	кеста	kestə		574	NEAR	ааигəа	áɑiɡəɑ	@gea		
594	THEN	тӏаккха	tʼəqːə	then.que	575	FAR	ахара	ɑχɑrɑ			
595	YESTERDAY	селхана	selxənə	sol.sun	576	LEFT	арма	ɑrmɑ	arm		
596	ONCE (IN THE PAST)	цкъа	t͡sqʼə		577	RIGHT	арҕьа	ɑrʁʲe	arm		
597	AT THAT TIME	хӏетахьь	hetəʜʲ	then	578	OTHER	даҽа	dɑʈ͡ʂʰɑ	d'other < dos 2		
598	AFTERWARDS	тӏаккха	tʼəqːə		578	OTHER	даҽакы	dɑʈ͡ʂʰɑkʼɨ	d'other < dos 2		
599	BEFORE	хьалхa	ʜəlxa		579	FIRST	актәи	ɑkʼt͡pʼi	ek, erst 1𓊃𓊪𓊗 		
600	AT FIRST	хьалха	ʜəlxə		580	SECOND	аҩбатəи	ɑɥbɑtʼəi	beid      2 𓊃𓊪𓊗 		
601	ONE TIME	цкъа	t͡sqʼə		581	THIRD	ахҕатәи	ɑχʁɑt͡pʼi	xirt       3 𓊃𓊪𓊗 		
602	SOMETIMES	цкъаццкъа	t͡sqʼət͡sːqʼə		582	LAST (FINAL)	аҵыхəтəантəи	ɑt͡sʼɨχətʼəɑntʼəi			
603	OFTEN	кест-кеста	kest-kestə	<3	583	ALONE	мацара	mɑt͡sʰɑrɑ	<		
604	ALWAYS	даим	də̄ɪm		584	ALL AT ONCE	зныкала	znɨkʼɑlɑ			
605	NEVER	цкъа а	t͡sqʼə ə		584	ALL AT ONCE	зныкҟьара	znɨkʼqʼʲerɑ		<<	
606	HERE	кхузахь	qu͡ʊzəʜ	qvo.ze	585	TOGETHER	аиц...	ɑit͡sʰ...			
607	HITHER	кхуза	qu͡ʊzə		586	FOR A LONG TIME	акыраамҭа	ɑkʼɨrɑːmtʰɑ			
608	HENCE	кхузара	qu͡ʊzərə		587	SUDDENLY	иаалырҟьаны	iɑːlɨrqʼʲenɨ			
609	THERE	цигахь	t͡sɪɡəʜ	therg	588	INSTANTLY	иаразнакҵәҟьа	iɑrɑznɑkʼt͡sʼʷqʼʲe			
610	THITHER	цига	t͡sɪɡə	therg	589	LATER	уажəшьҭаншəа	uɑʐəʃtʰɑnʂəɑ			
611	AHEAD	нийса дӏа	nɪɪ̆sə dʡə		590	NOW	уажәы	uɑʒʲʷy	just jetzto itzo		
612	FORWARD	хьалха	ʜəlxə̄		591	TODAY	иахьа	iɑχʲe			
613	BACKWARD	юха	juxə	juxta?	592	TOMORROW	уаҵәы	uɑt͡sʼʷɨ			
614	BACK (DIRECTION)	юха	juxə		593	SOON	иласны	ilɑsnɨ			
615	DOWN OR BELOW	лахахь	ləxəʜ		594	THEN	нас	nɑs	乃 Naǐ 那 na  nachher		
616	DOWN	охьа	oʜə	un'e	595	YESTERDAY	иацы	iɑt͡sʰɨ			
617	ABOVE	лакхахь	ləqəʜ		596	ONCE (IN THE PAST)	зны	znɨ	ocne once		
618	UP	хьала	ʜələ	hel! ili	597	AT THAT TIME	усҟан	usqʼɑn			
619	EVERYWHERE	массанхьа	məsːənʜə̄	mucha ante	598	AFTERWARDS	нас	nɑs	乃 Naǐ nachher		
620	NOT	ца	t͡sə	---- (n)ikke @ FIN	599	BEFORE	уаанӡа	uɑɑnd͡zɑ	ante		
621	A LITTLE	кӏеззиг	kʼezːɪɡ	klitzig	600	AT FIRST	азнаказы	áznɑkʼɑzɨ	erstens		
622	HARDLY	халла	xəlːə	kaulm	600	AT FIRST	аҧхьа	ápʰχʲe			
623	VERY	вуно	vu͡ʊno	verny	601	ONE TIME	зны	znɨ			
625	STILL	кхин	qɪn	quie.t/n	602	SOMETIMES	зны-зынла	znɨzɨnlɑ			
626	ONLY	бен ...ца	ben ...t͡sə		603	OFTEN	лассы-лассы	lɑssɨlɑssɨ			
627	ALREADY	хӏинцале	hɪnt͡səle		604	ALWAYS	енагь	ɛnɑɡʲ			
628	AGAIN	юха а	juxə ə		604	ALWAYS	еснагь	ɛsnɑɡʲ			
629	IN VAIN	эрна	ernə		605	NEVER	ианакəызаалак	iɑnɑkʼəɨzɑːlɑkʼ			
630	IN FRONT OF	хьалха	ʜəlxə		606	HERE	ара	ɑrɑ	here		
631	BEHIND	тӏехьа	tʼeʜə		606	HERE	абра	ɑbrɑ	over @SEM		
632	BELOW OR UNDER	кIелахь	kieləʜ		606	HERE	араҟа	ɑrɑqʼɑ			
633	THROUGH	чекх	t͡ʃeq		607	HITHER	ара	ɑrɑ			
634	NEXT TO	юххе	juxːē	iuxta	607	HITHER	араҟа	ɑrɑqʼɑ			
635	BETWEEN	юккъехь	jukːʔeʜ	iuxta	608	HENCE	арантә	ɑrɑnt͡pʼ			
636	BECAUSE OF	дуьхьа	dyʜə	denn	609	THERE	уа	uɑ	wo, yonder		
637	THIS	и	ɪ	a	610	THITHER	уахь	uɑχʲ			
637	THIS	иза	ɪzə	'is	610	THITHER	анахь	ɑnɑχʲ			
638	THAT	и	ɪ		611	AHEAD	ишиашоу	iʂiɑʂɔu			
638	THAT	иза	ɪzə		612	FORWARD	ҕхьаҟа	ʁχʲeqʼɑ			
639	ALL	дерриг	derːɪɡ	der>cer>cal	613	BACKWARD	шьҭахьла	ʃtʰɑχʲlɑ			
640	I	cо	co	egi i.go icho	614	BACK (DIRECTION)	шьҭахьҟа	ʃtʰɑχʲqʼɑ			
641	THOU	хьо	ʜo	'ou	615	DOWN OR BELOW	лбаа	lbɑː			
642	HE OR SHE OR IT	и	ɪ	he	616	DOWN	алада	ɑlɑdɑ	a-la down, al under		
642	HE OR SHE OR IT	иза	ɪzə	ze,iz	617	ABOVE	хыхь	χɨχʲ			
643	WE	тхо	txo	--	618	UP	аҩада	ɑɥɑdɑ	--		
643	WE	вай	vəɪ̆	wei	619	EVERYWHERE	зегьынцьара	zɛɡʲint͡sʰʲɑrɑ			
644	YOU	шу	ʃu͡ʊ	syou	620	NOT	-м	m	mei  𓅓𓂜		
645	THEY	уьш	yʃ		621	A LITTLE	ҕыҭк	ʁɨtʰkʼ	~little ;)		
646	WHAT	хӏун	hu͡ʊn	quon	622	HARDLY	аарлаҳәа	ɑːrlɑħʲʷø			
647	WHO	мила	mɪlə	mi	622	HARDLY	афергьҳәа	ɑfɛrɡʲħʲʷø			
648	WHERE	мичaхь	mɪt͡ʃaʜ	mi	623	VERY	даара	dɑɑrɑ	sehr		
649	WHITHER	мича	mɪt͡ʃə	mi	624	SO (IN THIS WAY)	ас	ɑs	a'so		
650	HOW	муха	mu͡ʊ̄xə	mi	624	SO (IN THIS WAY)	абас	ɑbɑs			
651	WHY	хӏунда	hu͡ʊndə	mi	625	STILL	макьана	mɑkʼʲenɑ			
652	HOW MUCH	мел	mel	mi	626	ONLY	заҵәык	zɑt͡sʼʷɨkʼ			
652	HOW MUCH	маса	məsə	mi	627	ALREADY	уажәшьҭа	uɑʒʲʷʃtʰɑ			
653	ONE	цхьаъ	t͡sʜəʔ	erste	627	ALREADY	аиҳа ипоу	ɑiħɑ ipʼɔu			
654	TWO	шиъ	ʃɪʔ	tsei	628	AGAIN	ҿыц	ʈʈ͡ʂʼɨt͡sʰ			
655	THREE	кхоъ	qoʔ	qoree	628	AGAIN	дырҩегь	dɨrɥɛɡʲ			
656	FOUR	диъ	dɪʔ	ditra	628	AGAIN	дырҩегьых	dɨrɥɛɡʲiχ			
657	FIVE	пхиъ	pxɪʔ	pjenj	629	IN VAIN	баша	bɑʂɑ			
658	SIX	ялх	jəlx	selx	630	IN FRONT OF	аҕхьа	ɑʁχʲe			
659	SEVEN	ворхӏ	vor̥	---	631	BEHIND	нхыҵ	nχɨt͡sʼ			
660	EIGHT	бархӏ	bər̥	ba!	632	BELOW OR UNDER	амҵа	ɑmt͡sʼɑ			
661	NINE	исс	ɪsː		632	BELOW OR UNDER	амҵан	ɑmt͡sʼɑn			
662	TEN	итт, йтта	ɪtː	nt/tn/tē	634	NEXT TO	ааигуара	ɑːiɡuɑrɑ			
663	ELEVEN	цхьайтта	t͡sʜəɪ̆tːə	tzeh.erst	635	BETWEEN	абжьара	ɑbʒɑrɑ			
664	TWELVE	шийтта	ʃɪɪ̆tːə	zweite	636	BECAUSE OF	-иззы	izzɨ			
665	TWENTY	ткъа	tqʼə	twq 2	636	BECAUSE OF	-ҟнытә	qʼnɨt͡pʼ			
666	THIRTY	ткъе итт	tqʼe ɪtː		637	THIS	ари	ɑri			
667	FORTY	шовзткъа	ʃɔ͡ʊztqʼə		637	THIS	абри	ɑbri			
668	FIFTY	шовзткъе итт	ʃɔ͡ʊztqʼe ɪtː		638	THAT	Абни	ɑbni			
669	SIXTY	кхузткъа	qu͡ʊztqʼə		638	THAT	убри	ubri			
670	SEVENTY	кхузткъе итт	qu͡ʊztqʼe ɪtː		639	ALL	зегьы	zɛɡʲi			
671	EIGHTY	дезткъа	deztqʼə	deca…	640	I	са	sɑ	cо, ego		
672	NINETY	дезткъе итт	deztqʼe ɪtː	deca…	640	I	сара	sɑrɑ	selber		
673	HUNDRED	бӏе	bʡe	bǎi:百	641	THOU	бара	bɑrɑ	---		
674	THOUSAND	эзар	ezər	ashur	642	HE OR SHE OR IT	иара	iɑrɑ	her		
675	AND	a	a	a.	643	WE	ҳара	ħɑrɑ	wir		
676	OR	я	jə	oя	644	YOU	шәара	ʃʲʷørɑ	sir		
677	STAND	латта	lətːə	latte;)	645	THEY	дара	dɑrɑ	der		
678	SIT	хиъна ӏан	xɪʔnə ʡən	xin ezen	647	WHO	дарбан	dɑrbɑn	--		
679	LIE (REST)	ӏилла	ʡɪlːə	hin lii	648	WHERE	иабыкуу	iɑbɨkʼuu			
680	HANG	кхаза	qə̄zə		648	WHERE	аба-	ɑbɑ	a'wo		
681	BECOME	хила	xɪlə		648	WHERE	ахь-	ɑχʲ	aqui		
682	HAPPEN	хила	xɪlə		649	WHITHER	иабыкуу	iɑbɨkʼuu			
683	START	доло	dōlo		649	WHITHER	аба-	ɑbɑ			
684	CEASE	дӏадерза	dʡəderzə		649	WHITHER	ахь-	ɑχʲ			
685	CHANGE (BECOME DIFFERENT)	хийца	xɪɪ̆t͡sə	xhanцe	650	HOW	-шҕа	ʂʁɑ			
686	RISE (MOVE UPWARDS)	кхета	qetə		651	WHY	избан	izbɑn			
687	SET (HEAVENLY BODIES)	чубуза	t͡ʃu͡ʊbu͡ʊzə		652	HOW MUCH	заҟа	zɑqʼɑ			
688	SHINE	серло яла	serlo jələ	sahrla	653	ONE	акы	ɑkʼɨ	ek		
689	THUNDER (VERB)	къекъа	qʼēqʼə		653	ONE	аӡәы	ɑd͡ʑʷu	1 eindz		
690	BLOW (OF WIND)	хьекха	ʜēqə		654	TWO	ҩба	ɥbɑ	2 bi tiu.bɑ:number		
691	FLOW (OF RIVER)	эха	exə		655	THREE	хҕа	χʁɑ	3 thrai		
692	FLOW	охьаэха	oʜəexə		656	FOUR	ҕшьба	ʁʃbɑ	шourba		
693	REVOLVE	хьийза	ʜɪɪ̆zə		657	FIVE	хəба	χəbɑ	χənq.ba  χfi.ba five		
694	SWAY	леста	lestə		658	SIX	фба	fbɑ	----	+++	
695	SWING (MOVEMENT)	лесто	lestō		659	SEVEN	Бжьба	bʒbɑ	7 ʒbɑ sieba	++ OK!	
696	FALL	охьакхета	oʜəqetə		660	EIGHT	ааба	ɑːbɑ	8 ahba acht.bā:八		
697	BURNING	дага	də̄ɡə		661	NINE	жәба	ʒʲʷbɑ	1+8		
