		NE:Caspian 	NOT PIE!	2.1 Indo-European 2.2 Semitic 2.3 Turkic 2.4 Mongolic			NW:Pontic    	some PIE	ɨ < r	South:Kartvelian=Iberian>Georgian  	
144	FOX	цхьогал	t͡sʜōɡəl		144	FOX	абгахəыҷы	ɑbɡɑχəɨt͡ʃʼɨ			
145	HARE	пхьагал	pʜə̄ɡəl		145	HARE	ажьа	ɑʒɑ	haza		
146	MOUSE	дахка	dəxkə		146	MOUSE	аҳəынаҧ	ɑħəɨnɑpʰ			
147	WOLF	борз	borz	lu.pus	147	WOLF	абгаду	ɑbɡɑdu			
148	BIRD	олхазар	olxəzər	el.txier <<	148	BIRD	аҧсаатə	ɑpʰsɑːtʼə	ɸatar saTier		
150	CHICKEN	котам	kōtəm		150	CHICKEN	акəты	ɑkʼətʼɨ	a котам		
151	ROOSTER	боргӏал, нӏаьна	borɣəl	<>	151	ROOSTER	арбаҕь	árbɑʁʲ	a borɣəl <<		
152	GOOSE	гӏаз	ɣəz	ɣoose	152	GOOSE	аҟыз	ɑqʼɨz	a geez	+++	
153	EAGLE	aьрзу	aʲrzu͡ʊ	AIR ++	153	EAGLE	ауарба	ɑuɑrbɑ	Aar<<	+++<<	
154	DUCK	бад	bəd	<> daughter !!!	154	DUCK	акəата	ɑkʼəɑtʼɑ	da.ck		
155	OWL	бухӏа	bu͡ʊhə	mbuhuu	155	OWL	аты	ɑtʼɨ			
156	CRANE	гӏаргӏули	ɣərɣu͡ʊlɪ	ɣər.n	156	CRANE	апҟа	ɑpʼqʼɑ			
157	CROW	къиг	qʼɪɡ	къигow	157	CROW	аҟəараан	ɑqʼəɑrɑɑn	a qarähen	+++	
158	CUCKOO	aттйокх	atːjoq		158	CUCKOO	акəыкəу	ɑkʼəɨkʼəu			
159	SWAN	гӏургӏаз	ɣu͡ʊrɣəz	^ goose	159	SWAN	агьад	ɑɡʲed	^ goose ≠ eagle		
160	FISH	чӏара	t͡ʃʼərə	Tier!	160	FISH	аҧсыӡ	ɑpʰsɨd͡z	a fishz		
161	PERCH (FISH)	окунь	oku͡ʊnʲ		161	PERCH (FISH)	ацəыбла	ɑt͡sʰəɨblɑ			
162	PIKE (FISH)	гӏазкхийн чӏара	ɣəzqɪɪ̆n t͡ʃʼərə		162	PIKE (FISH)	ахиаала	ɑχiɑɑlɑ			
