No. 	English 	Thai ภาษาไทย 	Romanized Thai 	PIE	Lao 	Romanized Lao 	Shan 	Romanized Shan 	Southern Kam 	Gelao 	Buyang (E'ma/Langnian/Yerong) 	Zhuang (IPA) 	Ong Be 	Hlai 	White Hmong			
37 	man 	ชาย 	chaay 	guy, kerl	ຊາຍ 	sáːy 	ၸၢႆး 	t͡saːj4 	lak31 pan55 	paɯ55 'lo55 	la:k0 ɕɛ54 	saːi1 	da3 xiang4 	pha3 maan1 	txiv neej			
38 	human 	คน 	khon 		ຄົນ 	kʰón 	ၵူၼ်း 	kon4 	nyən212 (Chinese) 	qa33 tshu35 	ma0 iŋ31 	pou4, hun2 	leng1 hun2 	u2 aau1 	neeg			
39 	child 	เด็ก 	dèk 	lurki	ເດັກ, ລູກ 	dék, lȗːk 	လုၵ်ႈ 	luk3 	lak31 'un323 	la35 lie55 	la:k11 	lɯk8 (ŋeː2) 			me nyuam			
40 	wife 	เมีย 	mia 	< ma	ເມຍ 	míaː 	မေး 	me4 	mai31 	lɯ55 mi55 	ma0 liu312 	naːŋ2 	mai4 lək8 		poj niam			
41 	husband 	ผัว 	phǔa 	fu 夫 < pa	ຜົວ 	pʰŭaː 	ၽူဝ် 	pʰo1 	sau31 	la31 ba31 	qhɯ:i11 	kwaːn1 	da3 xiang4 		txiv			
42 	mother 	แม่ 	mâeae 	ma	ແມ່ 	mɛ̄ː 	မႄႈ 	mɛ3 	naai31 	a55 mi55 	miə11 	meː6 	mai4 lau4 		niam			
43 	father 	พ่อ 	phɔ̂ɔ 	pa	ພໍ່ 	pʰɔ̄ː 	ပေႃႈ 	pɔ3 	pu31 	a55 ba33 	pa11 	poː6 	be2 lau4 		txiv			
44 	animal 	สัตว์ (Sanskrit) 	sàt 	√	ສັດ (Sanskrit) 	sát 	သတ်း 	sʰat4 				toŋ6 tuː2 			tsiaj			
45 	fish 	ปลา 	plaa 	pla.os > platt butt fish	ປາ 	paː 	ပႃ 	paa1 	pa55 	ma55 liɯ31 	ma0 la312 	plaː1 	ba1 	hla1 	ntses			
46 	bird 	นก 	nók 		ນົກ 	nōk 	ၼူၵ်ႉ 	nok5 	mok21 	ma33 no35 	ma0 nuk11 	rok8 	nok8 	tatt7 	noog			
47 	dog 	หมา 	mǎa 		ໝາ 	măː 	မႃ 	maa1 	ngwa35 	ṃɯ31 	qoi24 	maː1 	ma1 	pa1 	dev			
48 	louse	(body, head) 	เล็น, เหา 	len, hǎo 	ເມັ່ນ, ເຫົາ 		mén, hăo 	မဵၼ်း, ႁဝ် 	men4, haw1 	naan55, tau55 	tung53 	(qa0) tu54 	nɐn2, rɐu1 	dɔn2, kat7 		tuv		
49 	snake 	งู 	ŋuu 	𓆙 nun <> natter :	ງູ 	ŋúː 	ငူး 	ŋu4 	sui212 	ma55 ngɯ31 	ŋa312 	ŋɯː2 	ngia2 	za2 	nab			
50 	worm 	หนอน 	nɔ̌ɔn 	𓆙 nun <> mean(der)	ໜອນ 	nɔ̆ːn 	မူင်ႈ 	moŋ3 	saan31 		ŋa312 in11 	no:n1 			cua nab			
51 	tree 	ต้นไม้ 	ton maːj 	Tanne 木 树	ຕົ້ນໄມ້ 	tȏn mai 	မႆႉ 	maj5 		ti31 		mɐi4 	dun3 	tshai1 	ntoo			
52 	forest 	ดง, ป่า 	doŋ, pàa 	Tanne 木 phaor.os	ດົງ, ປ່າ 	doŋ, pāː 	ထိူၼ်ႇ 	tʰɤn2 			qaŋ24 qa0 tui54 	ʔdoŋ1 			zoov			
53 	stick 	กิ่ง 	kìŋ 	末mo, 未mei	ໄມ້ 	mai 	ၶွၼ်ႉ 	kʰɔn5 				ŋaːm6 			ceg			
54 	fruit 	ผลไม้ 	pʰon la maːj 	von 木 ?	ໝາກໄມ້ 	mȁːk mai 	မၢၵ်ႇ 	maak2 	tui55, təm33 	ma35 	ma:k11 	maːk7 	mak8 		txiv			
55 	seed 	เม็ด 	mét 		ເມັດ 	mēt 	မဵတ်ႉ 	met5 				ɕeː6 	vɔn2 	tseeng1 	noob			
56 	leaf 	ใบ 	bai 	bait blatt	ໃບ 	baɯ, baj 	တွင် 	tɔŋ1 	pa53 	dʑi31 dʑi31 	(qa0) ʔdɛŋ31 	ʔbɐɯ1 			nplooj			
57 	root 	ราก 	râak 	~	ຮາກ 	hȃːk 	ႁၢၵ်ႈ, ႁူဝ် 	haak3, ho1 	sang35 	tsu31 tsu31 	(qa0) ɕa:ŋ54 	raːk8 	nya2 	kei1 	cag			
58 	bark (of a tree) 	เปลือก, ผิว 	plʉ̀ak, phǐw 		ເປືອກ, ກາບ 	pɨ̏aːk, kȁːp 	ပိူၵ်ႇ 	pɤk2 				nɐŋ1 mɐi4 			tawv			
59 	flower 	ดอก 	dɔ̀ɔk 		ດອກ 	dɔ̏ːk 	မွၵ်ႇ 	mɔk2 	nuk323 	hu55 ngo53 	ma0 ŋa11 	ʔdo:k7 	hua1 (Chinese) 	tsheeng1 	paj			
60 	grass 	หญ้า 	yâa 	"1. घास ghās > yaas 2. မြက် 	mye'  "	ຫຍ້າ 	ɲȁː 	ယိူဝ်ႈ 	jɤ3 	nyang13 		(qa0) ɲa11 	ɲɯː3 	bɔt7 	kan3 	nyom			
61 	rope 	เชือก 	chʉ̂ak 	𓍿 !!!	ເຊືອກ, ສາຍ 	sɨ̑aːk, săːy 	ၸိူၵ်ႈ 	tsɤk3 	lam33 			ɕaːk8 			hlua			
62 	skin 	หนัง 	nǎŋ 		ໜັງ 	năŋ 	ၼင် 	naŋ1 	pi212 (Chinese) 	mu33 qu35 	ʔbuŋ31 	nɐŋ1 			tawv			
63 	meat 	เนื้อ 	nʉ́a 	牛 niú	ເນຶ້ອ 	nɨ̑aː 	ၼိူဝ်ႉ 	nɤ5 	nan31 	'vu33 	uə24 	noː6 			nqaij			
64 	blood 	เลือด 	lʉ̂at 	Blut	ເລືອດ 	lɨ̑aːt 	လိူတ်ႈ 	lɤt3 	phat13 	pla35 	qha24 	lɯ:t8 	ba'7 	hlaatt7 	ntshav			
65 	bone 	กระดูก, ก้าง 	kradùuk, kâaŋ 	carne!	ກະດູກ 	ká dȕːk 	လုပ်ႇ 	lup2 	lak323 	qa33 qei31 de13; [tang21] 	(qa0) ʔda:k31 	ʔdo:k7 	ua'8 		pob-txha			
66 	fat (noun) 	มัน 	man 	𓎙 𓂧 𓏮 𓈒 𓏥	ມັນ 	mán 	မၼ်းၶႆ 	man4 kʰaj1 	ju22 	qə33 den33 		piː2 			roj			
67 	egg 	ไข่ 	khày 	egg.ei a khay	ໄຂ່ 	kʰāy 	ၶႆႇ 	kʰaj2 	kaai53 	pa33 tung53 	qa0 tam54 	klɐi5 		zɯɯm1 	qe			
68 	horn 	เขา 	khǎo 	khǎorn 	ເຂົາ 	kʰăo 	ၶဝ် 	kʰaw1 		vu31 qo31 		kɐu1 		hau1 	kub			
69 	tail 	หาง 	hǎaŋ 	(an)Hang	ຫາງ 	hăːŋ 	ႁၢင် 	haaŋ1 	sət55 		qa0 ɕut11 	ri:ŋ1 			tw			
70 	feather 	ขน 	khǒn 	<> crown?	ຂົນ 	kʰŏn 	ၶူၼ် 	kʰon1 	pjən55 	qa33 mei35 	mui11 	pɯn1 	vun2 	hun1 	plaub			
71 	hair 	ผม 	phǒm 	plume 髟 biao.m 头发 fa.m	ຜົມ 	pʰŏm 	ၽူမ် 	pʰom1 	pjaam55 	qə33 sung31 	ma0 ɕa:m54 (Chinese) 	plom1, jɐm1 	fui1, sɔu3 	dan2 gwou3 	plaub-hau			
72 	head 	หัว 	hǔa 	hǔad 	ຫົວ 	hǔa 	ႁူဝ် 	ho1 	kau323 	tɛ31 lui35 	qa0 ðu11 	klɐu3 	hau3 	gwou3 	taub-hau			
73 	ear 	หู 	hǔu 	hǔur 	ຫູ 	hǔː 	ႁူ 	hu1 	kha35 	pa35 vei31 	ta0 ða312 	rɯː2 	sa1 	zai1 	pob-ntseg			
74 	eye 	ตา 	taa 	two 	ຕາ 	tàː 	တႃ 	taa1 	ta55 	mu33 tɯ31 	ma0 ta54 	taː1 	da1 	tsha1 	(qhov)-muag			
75 	nose 	จมูก 	camùuk 		ດັງ 	daŋ 	ၶူႈလင် 	kʰu3 laŋ1 	maang55 	te31 ngɛ35 	(qa0) tiŋ213 	ʔdɐng1 	lɔng1 	khat7 	(qhov)-ntswg			
76 	mouth 	ปาก 	pàak 	𓊪口 pa.kou	ປາກ 	pȁːk 	သူပ်း 	sʰop4 	'əp55 		ŋoŋ312 	paːk7 	bak7 	pom3 	(qhov)-ncauj			
77 	tooth 	ฟัน 	fan 	fangs, ƒzahn	ແຂ້ວ 	kʰɛ̏ːw 	ၶဵဝ်ႈ 	kʰew3 	pjaan55 	plang31 	(qa0) ɕɔŋ54 	heːu3, fɐn2 	tin1 	fan1 	hniav			
78 	tongue (organ) 	ลิ้น 	lín 	língua 	ລີ້ນ 	lȋːn 	လိၼ်ႉ 	lin5 	ma212 	dɯ35 maɯ31 	ma0 lɛn11 	lin4 	lin4 	hliin3 	nplaig			
79 	fingernail 	เล็บ 	lép 		ເລັບ 	lēp 	ၼဵပ်ႉ 	nep5 		mie31 lie35 mi31 		rip8 fɯŋ2 	da1 lək8 mɔ2 	(tsɯ2) liip7 	rau tes			
80 	foot 	เท้า, ตีน 	tháaw, tiin 	two 2	ຕີນ 	tiːn 	တိၼ် 	tin1 	tin55 	qo35 	ʑuŋ31 	tin1 	kok7 	tett7, khok7 	ko-taw			
81 	leg 	ขา 	khǎa 	le.kha > leg	ຂາ 	kʰăː 	ၵၢဝ်ႈ 	kaaw3 		na31 qo31 		kaː1 	va2 	ha1 	ceg			
82 	knee 	เข่า 	khào 	khào.one knee	ເຂົ່າ 	kʰāo 	ၶဝ်ႇ 	kʰaw2 		tu31 qu35 		klɐu3 hoː5 		gwou3 rou1 	(hauv) caug			
83 	hand 	มือ 	mʉʉ 	manu	ມື 	mɨ́ 	မိုဝ်း 	mɯ4 	mja212 	pa31 mi31 	ŋɛk11 	fɯŋ2 	mɔ2 	meɯ1 	tes			
84 	wing 	ปีก 	pìik 	pir flieg phi˜g wing	ປີກ 	pȉːk 	ပိၵ်ႇ 	pik2 	pa53 			fɯ:t8 		phiik7 	tis			
85 	belly 	พุง 	phuŋ 		ໂພ່ນ 	pʰōːn 	တွင်ႉ 	tɔŋ5 	long212 	pu33 hlang33 	(qa0) luŋ54 	tuŋ4 	bo'8 	pok7 	plab			
86 	guts 	ไส้ 	sây 		ໄສ້ 	sȁi 	သႆႈ 	sʰaj3 	sai323 	qa33 ɕe33 	(qa0) ɕi24 	sɐi3 	tse4 	raai3 	hnyuv			
87 	neck 	คอ, ศอ 	khɔɔ, sɔ̌ɔ 		ຄໍ 	kʰɔ́ː 	ၶေႃး 	kʰɔ4 	nyən33 	tang31 lang31 	(qa0) ʑɔ312 	hoː2 		(tsɯ2) zong3 	caj-dab			
88 	back 	หลัง 	lǎŋ 		ຫຼັງ 	lăŋ 	ဢႅဝ် 	ʔɛw1 	lai212 	tang35 kang53 	(qa0) ʔdiŋ24 	lɐŋ1 		(tsɯ2) tshuny3 	nrob qaum			
89 	breast 	นม 	nom 	;) mammal	ນົມ 	nóm 	ၼူမ်း 	nom4 	nyo31, mi212 	pa31 pa35 	ɛm11 	ʔɐk7 		tsei1 	mis			
90 	heart 	ใจ 	t͡ɕaj 	hǔa.cay huarzay	ໃຈ 	t͡ɕaɯ, t͡ɕaj 	ႁူဝ်ၸႂ် 	ho1 tsaɯ 		tei31 hlei55 		ɕɐɯ1, sɐm1 	mak8 tim1 	hlaau3 	plawv			
91 	liver 	ตับ 	tàp 		ຕັບ 	táp 	တပ်း 	tap4 	taap55 	tie35 	(qa0) tap54 	tap7 	dɔp7 	ngaan1 	siab			
92 	to drink 	ดื่ม 	dʉ̀ʉm 	drumk	ດື່ມ 	dɨ̄ːm 	သူတ်ႉ 	sʰot5 	wum31 	zan55 	(qa0) ʑɔt11 	ʔdum5 		hjaau1, tshɯp7, ook9 	haus			
93 	to eat 	กิน 	kin 	kaun@Hind	ກິນ 	kìn 	ၵိၼ် 	kin1 	zan55 	ka31 	ka:n54 	kɯn1 	kɔn1 	la2 	noj			
94 	to bite 	กัด 	kàt 	kaut@Hind	ກັດ 	kát 	ၶူပ်း 	kʰop4 	'it31 	tsang55 	(qa0) ðam11 	hɐp8 	kap8 	kaany3 	tom			
95 	to suck 	ดูด 	dùut 		ດູດ 	dȕːt 	လုတ်ႇ 	lut2 		tsi35 	ɲup54 	ɕup7 			ntxais			
96 	to spit 	ถ่ม, คาย 	thòm, khaay 		ຖົ່ມ, ຄາຍ 	tʰōm, kʰáːy 	ထူမ်ႇ 	tʰom2 	phju453 	qə33 thu35 	(qa0) tu11 	piː1 		phi2 	nti, nto			
97 	to vomit 	อ้วก, อาเจียน 	?ûak, ?aacian 	wuerg, koacen	ຮາກ 	hȃːk 	ႁၢၵ်ႈ 	haak3 	wen35, nye55 	qə33 ta35 	ta:u312 	ru:k8 		feek7 	ntuav			
98 	to blow 	เป่า 	paw 	pwlow	ເປົ່າ 	paw 	ပဝ်ႇ 	paw2 	səp21, wet13 		hip54 	poː5 		ou2 	tshuab			
99 	to breathe 	หายใจ 	hǎaycay 	hatchi hale	ຫາຽໃຈ 	haːj t͡ɕaɯ, haːj t͡ɕaj 	ထူၺ်ႈၸႂ် 	tʰoj3 tsaɯ 				ti:u1 ɕəɯ1 			ua pa			
100 	to laugh 	หัวเราะ 	hǔːa rɔ́ʔ 	hua huar	ຫົວ 	hǔːa 	ၶူဝ် 	kʰo1 	ko55 		(qa0) ɕɔ53 	ri:u1 	liau1 		luag			
101 	to see 	เห็น 	hěn 	seh.en se.hen	ເຫັນ 	hěn 	ႁၼ် 	han1 	nu53, naang212 	qə33 lɯ35 	qai54 han24 	hɐn1 			pom			
102 	to hear 	ยิน 	yin 	hin hören	ຍິນ 	ɲín 	ငိၼ်း 	ŋin4 	xong55 kha35, zhing 453 	nyung35 	ʑak54 	ɲiː1 	heng3 		hnov			
