Id	English (gloss)	Georgian language	PIE		IPA	
160	cloud	ღრუბელი (ɣrubeli)	Qoore > qru ~ cloubd	++	/ɣrubɛli/	
161	fog	ნისლი (nisli)	Niesel	+++	/nisli/	
162	sky	ცა (ca)	ciel, sky		/tsɑ/	
163	wind	ქარი (kari)	𓈎𓂋𓇋𓇲 coort	+++	/kʰɑri/	
164	snow	თოვლი (tovli)			/tʰɔvli/	
165	ice	ყინული (q̇inuli)	snow.le	++	/qʼinuli/	
166	smoke	კვამლი (ḳvamli)	Qualm.le	++	/kʼvɑmli/	
167	fire	ცეცხლი, ხანძარი (cecxli, xanʒari)	zünder, indra	++	/tsɛtsxli/, /xɑndzɑri/	
168	ash	ფერფლი (perpli)	Para-phyr > fire	++<	/pʰɛrpʰli/	
169	to burn	წვა (c̣va)			/tsʼvɑ/	
170	road	გზა (gza)			/ɡzɑ/	
171	mountain	მთა (mta)	monta	+++	/mtʰɑ/	
172	red	წითელი (c̣iteli)	cirth	+~	/tsʼitʰɛli/	
173	green	მწვანე (mc̣vane)			/mtsʼvɑnɛ/	
174	yellow	ყვითელი (q̇viteli)			/qʼvitʰɛli/	
175	white	თეთრი (tetri)		-- 	/tʰɛtʰri/	
176	black	შავი (šavi)	Sar > char > ʃɑvi > Schwarz	+++	/ʃɑvi/	
177	night	ღამე (ɣame)			/ɣɑmɛ/	
178	day	დღე (dɣe)	day, Tag	+++	/dɣɛ/	
179	year	წელი (c̣eli)	< ciel, sora		/tsʼɛli/	
180	warm	თბილი (tbili)	Tiflis!	√?	/tʰbili/	
181	cold	ცივი (civi)	shiver civl kühl cool	++	/tsivi/	
182	full	სავსე (savse)			/sɑvsɛ/	
183	new	ახალი (axali)			/ɑxɑli/	
184	old	ძველი (ʒveli)	vieille	+	/dzvɛli/	
185	good	კარგი (ḳargi)		½ 	/kʼɑrɡi/	
186	bad	ცუდი (cudi)			/tsudi/	
187	rotten	დამპალი, გაფუჭებული (damṗali, gapuč̣ebuli)	Dumped < damp(feucht)	++?	/dɑmpʼɑli/, /ɡɑpʰutʃʼɛbuli/	
188	dirty	ჭუჭყიანი (č̣uč̣q̇iani)	kaka=dirt		/tʃʼutʃʼqʼiɑni/	
189	straight	პირდაპირი (ṗirdaṗiri)		<<	/pʼirdɑpʼiri/	
190	round	მრგვალი (mrgvali)		-- 	/mrɡvɑli/	
191	sharp (as a knife)	ბასრი, მჭრელი (basri, mč̣reli)	basher is besser	+??	/bɑsri/, /mtʃʼrɛli/	
192	dull (as a knife)	ბლაგვი (blagvi)	belag		/blɑɡvi/	
193	smooth	გლუვი (gluvi)			/ɡluvi/	
194	wet	სველი (sveli)	swet.ly	++	/svɛli/	
195	dry	მშრალი (mšrali)	Mizraim ^^		/mʃrɑli/	
196	correct	ზუსტი (zusṭi)	zustimm!		/zustʼi/	
197	near	ახლო (axlo)	nah.lo		/ɑxlɔ/	
198	far	შორი (šori)		<<	/ʃɔri/	
199	right	მარჯვენა (marǯvena)	marsch		/mɑrdʒvɛnɑ/	
200	left	მარცხენა (marcxena)	marsch		/mɑrtsxɛnɑ/	
201	at	-ში (-ši)	ath, as, zu		/-ʃi/	
202	in	-ში (-ši)	ath, as, zu		/-ʃi/	
203	with	-თან (-tan)	Tʰɑn > con	+++<	/-tʰɑn/	
204	and	და (da)	to, ad, da@	+++	/dɑ/	
205	if	თუ, რომ (tu, rom)	krui, 𓇋𓂋, vs darum!		/tʰu/, /rɔm/	
206	because	რადგან (radgan)			/rɑdɡɑn/	
207	name	სახელი, გვარი (saxeli, gvari)	Sax Sachse! Gewahr		/sɑxɛli/, /ɡvɑri/	
