Nº 	English 	Tupinambá  “lingua franca” → ñeengatú creole!	PIE <> Portuguese 	Guarani	ñeengatú (easy creole variant)	Tupinikĩ most divergent	Paraguayan jopará mixes Guarani and Spanish		caipira crole	!= Tapyŷa / Jê languages
174	yellow 	îub 	sarı	sa'yju						
175	white 	ting 	<<< ---	morotĩ						
176	black 	un (s-) 	黯 an (色sè) ¬  黑 hēi	ũ (h-)						
177	night 	pytuna 	𓇰 <> 𓊪𓏏𓇯 Jupiter 𓁷𓏏𓇯	pyhare						
178	day 	'ara 	𓇳 Hora 𓉔 𓂋 𓅱 𓇳 𓏤	ára						
179	year 	seîxu, akaîu 	<<	ary						
180	warm 	 		haku						
181	cold 	ro'y 	<kuro	ro'y						
182	full 	enysem (s-) 		enyhẽ (h-)						
183	new 	pysasu 		pyahu						
184	old 	wera 	gwer > worn	tuja						
185	good 	katu 	katu ~ good | Porã ~ pure	porã, pupu						
186	bad 	aíb 	𓃀 𓇋 𓈖 𓅪 ⲃⲱⲛ 𓏏 bad / bent 𓈋 𓅪	vai						
187	rotten 	îuk 	yuck;)	tuju						
188	dirty 	ky'á 	𓐍 kara/gray/grease… կեղ çirkli ក្រខ្វក់ krɑk كىر‎ кир kir !!	ky'a	!!++					
189	straight 	 								
190	round 	a, puã 	--	apu'a						
191	sharp 	 		haimbe						
192	dull 	 								
193	smooth 	 	~-	sỹi						
194	wet 	 	hydro	hykue						
195	dry 	 		kã						
196	correct 	 	<> piri (close;)	hekopete, porâ						
197	near 	piri 	pres	âguĩ						
198	far 	apuê, apê 	A-piri ^^ 𓂜byry → far QED	mombyry						
199	right 	 		akatúape						
200	left 	 		asúpe						
201	at 	-pe 	bei by נ 	-pe						
202	in 	pupé (inside of) 	bei by נ	-pe, pýpe (inside of)						
203	with 	ndibé, irúnamo, irumo (company); pupé (instrument) 	And, ante.by, 𓂋𓅓	ndive, ndie, ndi (company)						
204	and 	none; y(in Nheengatu via Portuguese) 	un[d], y, he, 和	ha						
205	if 	saê 	Sei … 如 rú 𓇋𓂋	... rõ						
206	because 	mahy, saê 		ajeve						
207	name 	era (t-) 	𓂋𓈖 *a Reim	éra (t-, h-, r-)(téra, réra, héra)						
