No 	English 	Turkish 	Eurasian	Kyrgyz (Cyrillic) 	Mongolian (Cyrillic) 	Oroqen (IPA) 	Manchu (MT) 	Korean (RRK) 	Japanese (Hepburn romanization)
108	to live 	yaşamak 	Yashen <<	жаша- 	амьдрах 	i:nikin 	banji- 	sal- 	iki-
109	to die 	ölmek 	mör→öl? Old	өл- 	үхэх 	bu- 	buce- 	jug- 	shin-
110	to kill 	öldürmek 	old!	өлтүр- 	алах 	wa:- 	wa- 	jugi- 	koros-
111	to fight 	savaşmak 	warus++ vuruşmaq,döyüşmək 	согуш-, мушташ- 	байлдах, зодолдох 	wa:ldɪ- 	afa- 	ssau- 	tatakaw-
112	to hunt 	avlamak 	abala- 	уула- 	авлах 	bəyu:- 	abala- 	sanyang-ha- sanyang-ga- (< Sino-Korean 山行 sanhaeng 'going to the mountains') 	kar-
113	to hit 	vurmak, patlamak, согар	beatle, charge	ур-, сок- 	цохих, балбах 	mʊnda:- 	tanta- 	chi- ttaeri- dudeuri- galgi- 	ut-, but- uchitsuke-, buttsuke-, butsuke- tatak-, hatak- nagur- tsuk- atar- (v.i.), ate- (v.t.)
114	to cut 	kesmek 	Кес ~ cut	кес-, кырк-, тил- 	огтлох, хэсэглэх 	dʒig- 	faita- furu- 	be- jareu-/jall- 	kir- tat- kar- nag-
115	to split 	yarmak 	yaw!	бөл-, ажырат-, жар- (of firewood) 	хагалах, ярах 	i:wə:- 	delhebu- dendebu- 	gareu-/gall- 	war-
116	to stab 	batırmak 	Bat! <> beat, push	сай- 	хутгалах, шаах 	gɪdala:- 	toko- gidala- (with a spear) huwesile- (with a dagger) 	jjireu-/jjill- 	sas- tsuk-
117	to scratch 	tırnamak çizmek 		тырма- 	маажих 	ʊkɪ:- 	waša- wasihala- 	geulg- halkwi- 	kak-
118	to dig 	kazmak 	Kaspian, kratz, carve	каз- 	малтах ухах 	ulə:- 	fete- 	pa- 	hor-
119	to swim 	yüzmek 	<> juice!	сүз- 	сэлэх 	əlbi- 	ebiše- muke selbi- 	he- 	oyog-
120	to fly 	uçmak 		уч- 	нисэх 	dəyli- dəg- 	deye- 	nal- 	tob-
121	to walk 	yürümek 	jire++	бас- 	алхах 	girani- 	okso- yabu- 	geot-/geor- 	aruk-
