 No. 	English 	Basque euskara =  Aquitanian	PIE anknüpfbar?		EG anknüpfbar?	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	Caucasus anknüpfbar?	Uralic anknüpfbar?	Dravidian anknüpfbar? NO	DRAVIDIAN connection? NO	Aryan	
163	wind 	haize	✓️	haze	𓅱 𓏏 𓊡 haitze?   𓊡 #tsh3w #TAw #ṯau	𓊡, 𓅱 𓏏 𓊡, 𓊡 𓅱   2.  𓋴 𓅱 𓎛 𓊡, 𓆓 𓂝 𓊡,  𓋴 𓏲 𓎘 𓃀 𓄲 𓏛  3.  𓈖 𓆑 𓏏 𓊡 𓏲				గాలి (gāli) 	gale++ காற்று (kāṟṟu) quru@lat	
164	snow 	elur / edur		el.duro						మంచు (mancu) 	@manchu	
165	ice 	izotz	✓️✓️✓️	ICE…						గడ్డమంచు (gaḍḍamancu) 		
166	smoke 	ke	½ 	smo.ke / fo.ge ke.lam qualm	𓎛 𓏏 𓏮 𓊮 chet	𓎛 𓏏 𓏮 𓊮			~~	పొగ (poga) 	పొగ (poga) fog vs smog rauch 	
167	fire 	su	---	chau’?	𓋴𓆓 𓏏𓊮 sud™ -	𓊮 2. 𓐍 𓏏 𓊮, 𓏴 𓏏 𓊮, 𓈎 𓂋 𓂋 𓊮, 𓋴𓆓 𓏏𓊮			~~	మంట (maNța) / నిప్పు (nippu)  ---	Thyssen @Turk/Hun	
168	ash 	hauts / errauts	✓️	Chauts ^^ !!		𓇋 𓏏 𓈖 𓏌 𓍢 𓂊 				బూడిద (būḍida) 		
169	to burn 	erre	✓️	[fei]err / be.erre.n / charr		𓊮, 𓌳 𓄿 𓐍 𓊮,  𓌳 𓄿 𓄡 𓊮, 𓍑 𓄿 𓆑 𓊮 , 𓎡 𓊪 𓊶, 𓋴 𓌳 𓄿 𓅓 𓊮 				కాలు (kālu) / మండు (maNḍu) 	char / chot / [b]eri	
170	road 	bide	<<✓️✓️!!>>>	pod@path,way,weit	𓂸 𓏏 𓈖 𓈐 𓈇 piden	𓅓 𓂝 𓍿 𓇱, 𓐝 𓂝 𓏏 𓈖 𓌙 𓈐 𓂻, 𓅓 𓍿 𓃒  2. 𓍯 𓄿 𓏏 𓈐 , 𓍯 𓏏 𓈐 𓈘  3. 𓂸 𓏏 𓈖 𓈐 𓈇			bide ~ బాట (bāṭa) 	బాట (bāṭa) 	വഴി (/ʋaɻi/) way  / pod / lu	
171	mountain 	mendi	✓️✓️✓️	mount	ⲣⲉⲙⲛⲧⲱⲟⲩ  mountain man	𓈉 𓏤, 𓈋 𓏤, 𓈋 𓅱 𓊌			kmounta!	కొండ (koNḍa) 	Himalaya!	
172	red 	gorri	✓️✓️✓️	kirish! Carnel	 𓂧 𓈙 𓂋 𓅟 cšorri	1. 𓏏 𓄟 𓋴 𓏞 𓏜, 𓍘 𓅓 𓋴 𓏞 1b. 𓍿 𓅓 𓋴 𓏞 1c. 𓂧 𓇋 𓏇 𓋳 <> 2. 𓂧 𓈙 𓂋 𓅟			!!!	ఎర్ర (erra) 	erra.de <> ver:wurm	
173	green 	berde / orlegi	✓️✓️✓️	> verde !!	𓇆?	𓎡 𓄿 𓅱, 2. 𓇆 = 𓇅 𓆓 𓏛			<>	పచ్చ (pacca) 	Fresh / vir see Uralic	
174	yellow 	hori	✓️✓️	shori!! sarı		𓈎 𓈖 𓇋 𓇋 𓐏, 𓈎 𓈖 𓇋 𓇋 𓏏 𓏊				పసుపు (pasupu) 	man.yellow @mango?	
175	white 	zuri	<<^^ ✓️✓️?	shori=yellow	𓌈 𓆓 𓇳 ? <> 𓇆?	𓌈, 𓌈 𓂂,  𓌈 𓆓 𓇳, 𓎛 𓌈 𓆓 𓇶  1. 𓃀 𓅡 𓄿 𓈎 𓆭  2. 𓊏 𓊪 𓇳, 𓊏 𓊪 𓇶 3. 𓋴 𓈙 𓊪, 𓇳 𓋴 𓈙 𓊪 𓇶			~-	తెల్ల (tella) 	வெள்ளை (vellai) 	
176	black 	beltz	✓️✓️~	blacz @ pelt?	… 𓃀 𓆓 𓂂	𓆎 𓅓 𓁸, 𓆎 𓏛 2. 𓐍 𓋴 𓃀 𓆓 𓂂  2b. 𓆓 𓂝 𓌠 𓃀 3. 𓐍  𓐍				నల్ల (nalla) / కర్రి (karri) 	nulla! కర్రి (karri) 	
177	night 	gau	✓️✓️<<>>	𓐍𓆼𓄿𓅱 grau grḥ! 𓎡𓎡Kalaila	𓆼 𓄿 𓅱 𓏮 𓇰 ++ gau 	𓎡𓎡𓇰, 𓉸, 𓇰,  2.  𓆼 𓄿 𓅱 𓏮 𓇰  ,  𓐍 𓆼 𓄿 𓅱𓇰, 𓎼 𓂋 𓎛 𓇰  3.  𓅱 𓐍 𓇰   𓏲 𓄿 𓆼 𓇰  5. 𓍑 𓄿 𓅱𓇰			(g)rayi	రేయి (rēyi) / రాత్రి (rātri) / మాపు (māpu) 	𓇳 retreat	
178	day 	egun	✓️✓️	gun=sun!  𓂻 <> Egon?	𓋴 𓅱 𓇳 𓏥	𓋴 𓅱 𓇳 𓏥, 𓇳 𓏤, 𓋴 𓋴 𓋴 𓅱 𓇳 𓏥  2. 𓉔 𓂋 𓅱 𓇳 𓏤  3.  𓊄 𓅱 𓇳 𓏥			~-	పగలు (pagalu) 		
179	year 	urte	✓️	yearth	𓂋 𓇋 𓆵 𓇳	𓆵𓆶?, 𓆳 𓏏 𓏤, 𓈖 𓂋 𓇋 𓆵 𓇳				యేడు (yēḍu) / యేడాది (yēḍādi) / సంవత్సరం (saMvatsaraM) 	anno yēḍādi	
180	warm 	bero	✓️	pyro > burn@beroom	𓆑 𓂋 𓊮 ?	𓊮, 𓋴 𓐍 𓅓 𓅓, 𓋴 𓈙 𓅓 𓅓 𓊮, 𓋴 𓂋 𓆑 𓊮, 𓐍 𓅓 𓊮, 𓈙 𓅓 𓅓 𓊮			~~	వెచ్చని (veccani) 	Bake Besser ;)	
181	cold 	hotz	!!	Ice 1/x heitz 𓎛 𓋴	𓎛 𓎿 𓋴 𓊡 hotz !?	𓈎 𓃀 𓏂, 𓈎 𓃀 𓃀 𓈗, 2. 𓎛 𓋴  , 𓎛 𓎿 𓋴 𓊡				చల్లని (callani) 	చల్లని (callani) < Kar	
182	full 	beteta	<<<>>	𓅪 / 𓏏 𓏏 𓏝 bu.totall ++?	𓏏 𓏏 𓏝 bu.teta	𓏏 𓏏 𓏝, 𓏏 𓅱 𓏏 𓀾 𓏜  2. 𓎔 𓏛 𓅓				నిండు (niNḍu) 	tummel	
183	new 	berri		barely very pure? <> turn	/	𓈖 𓌳 𓄿 𓅱 𓏏 𓏛, 𓌳 𓄿 𓅱 𓏮 𓏛, 𓌳 𓏏 𓏛				కొత్త (kotta) 	cut kadash@SEM	
184	old 	zahar	✓️ !<	gero 𓎡 𓎛 𓎡 𓎛 𓀘	𓎡 𓎛 𓎡 𓎛 𓀘 cahar 	𓇋𓄿, 𓇋𓄿𓅱𓏏𓀗  1. 𓎡 𓎛 𓎡 𓎛 𓀘  2. 𓇋𓇩 𓋴𓆰 𓏛  3. 𓈖𓐍𓐍			~~	పాత (pāta) 	vati;) alleé hOld yeary	
185	good 	on	✓️	Bon eun?	𓃀 𓅱 𓄤	𓄤, 𓃀 𓄤, 𓃀 𓅱 𓄤 𓆑 𓂋, 𓄤 𓆑 𓂋				మంచి (manci) 	null manko	
186	bad 	txar	<<<!!>>>>	𓋴 𓂝 𓍯 𓄿 𓐎  /  𓎛 𓄿 𓂝 𓏤	𓈋 𓏴 𓅪 txar ~ star(ling) 𓅂	𓃀 𓇋 𓈖 𓅪,  𓈋 𓅪, 𓈋 𓅱 𓅪, 𓈋 𓏴 𓅪 3. 𓃛			carott?	చెడ్డ (ceḍḍa) 	shit;) kakta panne ;)	
187	rotten 	ustel		pustel? abstell?		𓂝 𓍯 𓄿 𓐎 2. 𓎛 𓍯 𓄿 𓐎 				కుళ్ళిన (kuḷḷina) / చెడిన (ceḍina) 	cede (went?)	
188	dirty 	zikin		sick?		?				మురికైన (murikaina) 	murky	
189	straight 	zuzen	<<>>	stronzo so'sein! <> correct	𓂸 𓏏𓌙 𓌙 𓏜 <<< ?!?	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜,   𓂸 𓏏𓌙 𓌙 𓏜			直 zhí.sein duz सीधा sīdhā	నేరు (nēru) 	near 𓈖	صَحِيح‎ (ṣaḥīḥ)
190	round 	biribil	<<	bir<>wirbel=turn ballaballa	𓄲 𓂻 ~ 𓊪 𓄵 𓂋 	𓂧 𓃀 𓈖 𓂂 𓂻, 𓄲 𓂻, 𓄲 𓈖 𓂻, 𓄷 𓈖 𓂻, 𓄲 𓇉 𓊗 𓏤 𓏤 𓏤 𓏤, 𓐪 𓂧 𓏌 𓂻, 𓐪 𓂧 𓏌 𓏛				గుండ్రని (guNḍrani) 	గుండ్రని (guNḍrani) 	
191	sharp (as a knife) 	zorrotz	~	sharrafz	<<	𓂧, 𓇮 𓏜, 𓋴 𓊪 𓂧 𓇮, 𓋴 𓇮 𓂧 𓌪   2.  𓂧 𓐝 𓌪 𓂡, 𓅓 𓂠 𓂧 𓊃𓏛, 𓅓 𓂧 𓋴𓌪, 𓆓 𓏏 𓌪, 𓇮 𓏜				పదునైన (padunaina) 		
192	dull (as a knife) 	kamuts		≠ smutz	𓈖𓆓 𓋴 𓅪 {ka}mnuts	𓈖𓆓 𓋴 𓅪, 𓅪				మొండి (mōNḍi) / మొద్దైన (moddaina) 	mud<>smooth?	
193	smooth 	leun		<>line		𓋴𓈖𓂝 𓂝 𓏞 𓏛, 𓋴𓌢 𓂝 𓂝 2. 𓇋 𓂧 𓄿, 𓏞 𓏛				నున్నని (nunnani) 	nnnmONO  s’mooth	
194	wet 	busti / heze	> 	wästhe ʷheze ⁿheze		𓈖 𓊪 𓅯 𓈗				తడి (taḍi) 	ಒದ್ದೆ (odde) 	
195	dry 	lehor		al.hara=sand/sun'ed	… 𓂋 𓇳 l'hora lehor	𓋴 𓆄 𓅱𓇳, 𓆄 𓅱𓇳 2. 𓇶 3. 𓅱𓈙 𓂋 𓇳 4. 𓋴𓏲 𓈙 𓂋 𓇳, 𓇶,  5. 𓐍 𓅓 𓊡				పొడి (poḍi) / ఎండు (ēMḍu) 	Water-a 𓇶 photo ;) 	
196	correct 	zuzen	✓️!	sosein / ceca! ^^ straight	𓆄 𓆄 𓏤 ?	𓂝 𓈎 𓄿 𓇋 𓇋 𓏏 𓂭 𓂭 𓏜 2. 𓆄, 𓁦, 𓆄𓆄 𓏏 𓏤, 𓌷 𓂝 𓏏𓆄 𓏛 𓏥			直 zhí.sein (straight!)	సరైన (saraina) 	sa’right correct	"ზუსტი (zusṭi)	zustimm!  so’ists "
197	near 	hurbil	~?	nahrbei	𓐍 𓂋 𓍚 𓅱𓂻 𓆑	𓐍 𓂋  2.  𓂋 𓉔 𓅱𓏥, 𓂋 𓏤 𓂝 𓏤,  3. 𓍚 𓅱𓂻 𓆑  4. 𓏏 𓎡 𓈖 𓂻				దగ్గర (daggara) 	DA	
198	far 	urrun	<	run@durum?	𓍯 𓄿 𓀜, 𓍯 𓄿 𓈐, 𓍯 𓈐,   3. 𓎛 𓁷 𓂋 𓈐 > urrun	𓍯 𓄿 𓀜, 𓍯 𓄿 𓈐, 𓍯 𓈐,   3. 𓎛 𓁷 𓂋 𓈐				దూరం (dūraM) 	dura+	
199	right 	eskuin	✓️ ??		𓇋 𓏠 𓈖𓊿 egmn > equin -- ?	𓇋 𓏠 𓈖𓊿,  𓋀 𓂢  2. 𓊿  3.  𓋀 𓂢,  𓅆 𓏏𓏮				కుడి (kuḍi) 	Cut-hand?	
200	left 	ezker	✓️✓️	isqierda		𓋁, 𓋁 𓃀, 𓋁 𓃀 𓏏𓏮 𓈇,  𓋁 𓃀 𓏮 𓂢, 𓍋 𓃀 𓏮 𓂢  2. 𓏏 𓋁 𓏮				ఎడమ (eḍama) 		
201	at 	-n / -an / -ean / -etan	✓️✓️!	in / an at an ante !!	𓈖	𓂋, 𓁷 𓏤, 𓌨 𓂋			~	-వద్ద (-vadda) (location) / -వైపు (-vaipu) (direction) 	Vat-a / vadda / al …	
202	in 	-n / -an / -ean / -etan	✓️✓️	in / an at ante !!	𓈖	𓈖			~	-లో (-lō) 	Al …  il~in	
203	with 	-ekin / -arekin	✓️✓️!	a’con 𓂋.con	𓎛 𓈖𓂝 ekin,  𓐍 𓂋 𓎛 𓈖 𓂝  -arekin	𓎛 𓈖𓂝  2. 𓐍 𓂋, 𓁷 𓏤, 𓐍 𓏏 𓆑				-తో (-tō) 	-உடன் (-udan)~with	
204	and 	eta	✓️✓️	ãt / et		𓎛 𓈖𓂝  2. 𓐍 𓂋 𓀒			++	మరియు (mariyu) 	mit ಮತ್ತು (mattu)  -உம் (-um) cum	
205	if 	(baldin) ba-	✓️!	𓇋 be… Falls … wäre !! <<	𓇋 𓂋 wär' < •bar [old!]	𓇋 𓂋				-ఇతే (-itē) 	-ఇతే (-itē)  𓇋𓂋	
206	because 	-elako / bait- / ... eta	~	for- weil … as …	𓂋 𓁻 àl.auge elako !	𓁷, 𓁷 𓏤, 𓂋 𓁻, 𓈖𓈖𓏏𓏏, 𓈖𓏮				-వల్ల (-valla) / ఎందుకంటే (endukaNṭē) 	weil	
207	name 	izen / deitura	✓️!!	heißen / dite !!??	/	𓂋𓈖𓀁, 𓂋𓈖𓍷			++++	ಹೆಸರು (hesaru)	heiße  / appeller	
	axe	aizkora	✓️✓️	Adze +++ kora=bark!		Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!						
	hoe	aitzur	™	~adze Hoeitz! <> heizen								
	knife	aizto	™	atze 								
	stone	Haitz <<<<<	✓️✓️™!	ERZ /Gnheisz!!!								
