 No. 	English 	Basque euskara =  Aquitanian	PIE anknüpfbar?		EG anknüpfbar?	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	Caucasus anknüpfbar?	Uralic anknüpfbar?	Dravidian anknüpfbar? NO	DRAVIDIAN connection? NO	Aryan	
40	wife 	Emazte / andre	✓️✓️ <<	Emanze ;) Andere #2	𓌢 𓈖 𓏏 𓁐  ˢandre 	𓌢 𓈖 𓏏 𓁐 2. 𓌢 𓈖 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓈟 𓏏 𓁐, 2. 𓌸 𓂋 𓏏, 3. 𓎟 𓏏 𓉐 𓏤			ex-manus-ceps (“taker”)	భార్య (bhārya) / ఆలి (āli) 	man.eve  wo.man	
41	husband 	senar	✓️	senior?	𓌢 𓈖 𓀀	𓉔 𓂸, 𓉔 𓇋𓂸𓀀 2. 𓎟 𓀀 3. 𓌢𓈖𓀀					^^ man = Macker భర్త bharta@ROM	
42	mother 	ama	✓️✓️	mama		𓅐 𓏏 𓁐, 𓂠 𓏏 𓁐, 1b 𓄟 𓋴 𓏏 𓁒 2. 𓂸 𓏏 𓁐 3. 𓂠 𓏏 𓁐 4. 𓅐 𓂋 𓏏 𓁐?			✓️✓️	அம்மா (ammā)	Mama Amme	
43	father 	aita	✓️✓️	vatta	𓇋 𓏏 𓆑 𓀀	𓇋 𓏏 𓆑 𓀀			✓️✓️	அப்பா (appā)  	Papa t’andro	
44	animal 	abere (domestic) / animalia	✓️✓️	baer, Eber “wild animal”	𓂧 𓂋 𓄛  aber/abder/ader ?	𓄛   <>  𓂧 𓂋 𓄛 					jungle Tierv	
45	fish 	arrain	? 	rom@rhein	𓂋 𓅓 𓆛 𓂻 arraim	𓆑 𓏏 𓏏 𓅱, 𓂋 𓅓 𓆛 𓂻, 𓅱 𓎛 𓂝 𓆟			ramin?	மீன் (mīṉ) 	Min ~ naun   చేప cēpa~fish -	
46	bird 	txori	✓️✓️	tyr	𓅂 tyw® طير ṭīr < πTier ptero , 𓂧 𓎼 𓇋 𓇋 𓏏 𓀃 𓅭	𓄿 𓏤, 𓄿 𓊪 𓂧 𓅬 2. 𓊪 𓅮 𓅯 3. 𓂧 𓎼 𓇋 𓇋 𓏏 𓀃 𓅭, 𓅭, 𓅿			piteri	പറവ (/paraʋa/)   పిట్ట (piṭṭa)  	bird / papagei	
47	dog 	txakur	✓️✓️	dogger Dackel	𓍿 𓊃 𓅓 𓃡 txakum ?	𓍿 𓊃 𓅓 𓃡  2.  𓃛 𓅱 𓃡, 𓃛 𓅱 𓏮 𓊗 𓄛			da.ku	కుక్క (kukka) நாய் (nāy) 	Kuan*2	
48	louse 	zorri	✓️!	зулкъ cvr.m しらみ  shirami <> red	𓎡 𓆨 <> 𓆑	𓎡 𓏏 𓏏 𓆨			zhuv@Romani 虱 sat ចៃ 	పేను (pēnu) 	<> قملة‎  qámla  krumm.laus 	
49	snake 	suge	✓️✓️	sũgke snake	𓋴 𓍋 𓆙 ?	𓆑 𓈖 𓏏 𓆙, 𓆑 𓈖 𓍿 𓆙, 𓅭 𓇾 𓆙  2. 𓎛 𓆑 𓄫 𓅱 𓆙, 𓂋 𓂋 𓎡 𓎡 𓆙, 𓋴 𓍋 𓃀 𓏏 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙				పాము (pāmu) 	phy.ma <> wurm?	
