№ ,English word ,Simplified,Pinyin ,PIE,NOTE,Traditional Chinese ,Simplified Chinese,POS ,IPA ,,,,,,,,,,,,,,,,
76,mouth ,咀 zuǐ 嘴 zuǐba ,zuǐ ,口 kǒu 人 rén!,!!!,嘴 ,咀 zuǐ 嘴 zuǐba ,noun ,tsuei˨˩˦ ,tsuei˨˩pa ,,嘴巴 ,嘴巴,,,,,,,,,,,,
77,tooth ,牙齿,yáchǐ ,tjoothi 牙,+@KO,牙齒 ,牙齿,noun ,ia˧˥tʂʰʐ˨˩˦ ,,,,,,,,,,,,,,,,
78,tongue ,舌 shétou ,shé ,,~,舌 ,舌 shétou ,noun ,ʂɤ˧˥ ,ʂɤ˧˥tʰou ,,舌頭 ,舌头,,,,,,,,,,,,
79,fingernail ,指甲,zhǐjia ,甲 ~角,!,指甲 ,指甲,noun ,tʂʐ˧˥tɕia˨˩ ,,,,,,,,,,,,,,,,
80,foot ,脚,jiǎo ,jamb 甲 ?,~~,腳 ,脚,noun ,tɕiɑu˨˩˦ ,,,,,,,,,,,,,,,,
81,leg ,腿,tuǐ ,Thight 다리 dari,+,腿 ,腿,noun ,tʰuei˨˩˦ ,,,,,,,,,,,,,,,,
82,knee ,膝 xīgài ,xī ,,~,膝 ,膝 xīgài ,noun ,ɕi˥˥ ,ɕi˥˥kai˥˩ ,,膝蓋 ,膝盖,,,,,,,,,,,,
83,hand ,手,shǒu ,,™,手 ,手,noun ,ʂou˨˩˦ ,,,,,,,,,,,,,,,,
84,wing ,翼 chìbǎng ,yì ,𓇌 𓇋𓇋 𓆄𓆄,+,翼 ,翼 chìbǎng ,noun ,ji˥˩ ,tʂʰʐ˥˩paŋ˨˩˦ ,,翅膀 ,翅膀,,,,,,,,,,,,
85,belly ,肚子,dùzi ,,,肚子 ,肚子,noun ,tu˥˩tsɨ ,,,,,,,,,,,,,,,,
86,guts ,肠子,chángzi ,,,腸子 ,肠子,noun ,tʂʰɑŋ˧˥tsɨ ,,,,,,,,,,,,,,,,
87,neck ,脖子,bózi ,,,脖子 ,脖子,noun ,pwɔ˧˥tsɨ ,,,,,,,,,,,,,,,,
88,back ,背,bèi ,,+,背 ,背,noun ,pei˥˩ ,,,,,,,,,,,,,,,,
