No. 	English 	Standard Eastern Armenian հայերեն (hayeren) 	Transcription (հh:P WT:HY TR) 	IPA pronunciation	cognate less PIE than ‘Kartvelian’ !	OK?	Egyptian match	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	𒌋	NOT Elamite 	
153	lake 	լիճ 	lič 	lit͡ʃ	lič le'𓈙 Loch lake	+++	l'𓈙	𓈙 𓈇 𓏤, 𓈘 𓈅 𓏤, 𓄞 𓂧 𓈘 𓈅 𓏤, 𓎛 𓆰 𓈖 𓏏 𓏯 𓈘 𓈇			
154	sea 	ծով 	cov 	t͡sɔv	"ზღვა (zɣva)	𓈙"	~~	𓈙	𓈙, 𓈙 𓈇 𓏤  2. 𓇅 𓆓 𓅨 𓈗 𓈘, 𓇆 𓅨 𓂋 𓇋 𓈗 𓈘 𓈅 𓏤, 𓇋 𓇋 𓏲 𓅓 𓂝 𓈗 𓈘 𓈇	𒄰𒎌	KAM.MESH	
155	salt 	աղ 	ał 	ɑʁ	hel, sal™	~+	𓎛 𓌴 𓏏𓈒 𓏥	𓎛 𓌳 𓄿 𓏏𓍖 𓈒 𓏥 B. 𓎛 𓌴 𓏏𓈒 𓏥			
156	stone 	քար 	kʿar 	kʰɑɾ	quartz chert	ok?	𓊌 𓂋 kʰɑɾ?	𓊌  2. 𓇋 𓈖 𓂋 𓊌 3. 𓃀 𓇋 𓏏 𓊌 	𒄴𒄯™,𒄯𒎌	h.har.lg, HAR.MEŠ	
157	sand 	ավազ 	avaz 	ɑˈvɑz	πa.z  π𓈙 ?		𓅮𓈙 ?	𓈙 𓂝 𓏮 𓈒 𓏥, 𓈙 𓂝 𓈒 𓏥			
158	dust 	փոշի 	pʿoši 	pʰɔˈʃi	pust 𓅱 𓋴 𓏏 sawdust	<~		𓐍 𓅓 𓅱 𓊡 𓏪			
159	earth 	հող 	hoł 	hɔʁ	hɔʁ whole ≠ hole hell! hort	<<+	𓎛 𓄿 𓈅 𓏥	𓎛 𓄿 𓏏 𓈅 𓏥, 𓄿 𓎛 𓏏 𓈇, 𓄿 𓎡 𓂋 𓀭 𓏪, 𓄿 𓎡 𓂋 𓆙, 𓅱𓂝 𓎛  2. 𓇾 𓈇 𓏤  3. 𓅭𓏏𓅱𓈅 𓏥 , 𓅭𓏏𓏮𓊌 𓊃 𓅭 𓄿 𓏏𓅱𓈇 𓏥  4. 𓎤 𓃀 𓃀 𓈅 𓏥	𒈬𒊒𒌦	mu-ru-un	
160	cloud 	ամպ 	amp 	ɑmp		<--	𓍲 𓈖 𓂝 ??	𓈎 𓂋 𓇋 𓇲, 𓈎 𓂋 𓇋 𓃫 𓀜, 𓈎 𓂋 𓂋 𓊡, 𓈎 𓂋 𓊡   2. 𓍲 𓈖 𓂝 𓍁  ϭⲏⲡⲉ ?			
161	fog 	մառախուղ, մշուշ 	maṙaxuł, mšuš 	mɑrɑˈχuʁ, məˈʃuʃ	ma.Rauch <> m.Asches	+++ >>	@ 𓈗				
162	sky 	երկինք 	erkinkʿ 	jɛɾˈkiŋkʰ	<<< kiŋkʰ ~ gök  (night) sky 𒆠𒅅	!!!	𓎡𓎡𓇰 ≈ 𒈪	𓇯, 𓊪 𓏏 𓇯, 𓁷 𓏏 𓇯, 𓄿 𓂋 𓏏 𓇯, 𓄿 𓊃 𓂋 𓏏 𓇯, 𓄿  2. 𓈎 𓃀 𓎛 𓅂 , 𓈎 𓃀 𓎛 𓅱𓏁 𓅭 𓏥 𓈉 3. 𓏌 𓏌 𓏏 𓏌 𓇯 𓁐 	𒆠𒅅	ki-ik	
163	wind 	քամի 	kʿami 	kʰɑˈmi	Shu.ma charm IM 𓆎?	??	𓊡 𓅱 ??	𓊡, 𓅱 𓏏 𓊡, 𓊡 𓅱   2.  𓋴 𓅱 𓎛 𓊡, 𓆓 𓂝 𓊡,  𓋴 𓏲 𓎘 𓃀 𓄲 𓏛  3.  𓈖 𓆑 𓏏 𓊡 𓏲	𒅎™	IM.lg	
164	snow 	ձյուն 	jyun 	d͡zjun	d͡znow 𐍃𐌽𐌰𐌹𐍅	~~ ok?	𓐠 𓏤  𓅱 𓇲 𓏤𓏤𓏤 ?				
165	ice 	սառույց 	saṙuycʿ 	sɑˈrujt͡sʰ	Sar.ice <  sꜣrꜣq 𓐠 𓏤 𓂋 𓏤 𓏘 𓅱 𓇲 𓏤𓏤𓏤 snow	+++ <<<	𓐠 𓏤 𓂋 𓏤 𓏘 𓅱 𓇲 𓏤𓏤𓏤				
166	smoke 	ծուխ 	cux 	t͡suχ	dusk? 	<??	𓎛 𓏏 𓏮 𓊮 ??	𓎛 𓏏 𓏮 𓊮			
167	fire 	հուր, կրակ 	hur, krak 	huɾ, kəˈɾɑk	(p)huyro 火 huǒ	+++ <<	𓈎 𓂋 𓂋 𓊮	𓊮 2. 𓐍 𓏏 𓊮, 𓏴 𓏏 𓊮, 𓈎 𓂋 𓂋 𓊮, 𓋴𓆓 𓏏𓊮	𒇷𒅎,𒇷𒈪𒅔	li-im, li-mi-in	
168	ash 	մոխիր 	moxir 	mɔˈχiɾ	m.asche(r) ! <> ma.Rauch maṙax	<+>	𓅓 𓏱 ?	𓇋 𓏏 𓈖 𓏌 𓍢 𓂊 			
169	to burn 	վառվել, այրվել 	vaṙvel, ayrvel 	vɑrˈvel, ɑjɾˈvɛl	virve √fire	+++	𓍑 𓄿 𓆑 𓊮	𓊮, 𓌳 𓄿 𓐍 𓊮,  𓌳 𓄿 𓄡 𓊮, 𓍑 𓄿 𓆑 𓊮 , 𓎡 𓊪 𓊶, 𓋴 𓌳 𓄿 𓅓 𓊮 	𒇷𒅎𒈠	li-im-ma	
170	road 	ճամփա, ճանապարհ 	čampʿa, čanaparh 	t͡ʃɑmˈpʰɑ, t͡ʃɑnɑˈpɑɾ	campaign tramper.path  𐎋𐎐𐎔 canopy 𓆃 ⋍ 𓈐?	<<<	𓍿 𓅓 𓃒 ƒ	𓅓 𓂝 𓍿 𓇱, 𓐝 𓂝 𓏏 𓈖 𓌙 𓈐 𓂻, 𓅓 𓍿 𓃒  2. 𓍯 𓄿 𓏏 𓈐 , 𓍯 𓏏 𓈐 𓈘  3. 𓂸 𓏏 𓈖 𓈐 𓈇	𒆜𒎌	KASKAL.MEŠ	
171	mountain 	լեռ, սար 	leṙ, sar 	lɛr, sɑɾ	sar<kar ler??	++ <<	𓈉 𓏤	𓈉 𓏤, 𓈋 𓏤, 𓈋 𓅱 𓊌	𒂖𒉿	el-pi	
172	red 	կարմիր 	karmir 	kɑɾˈmiɾ	kamin, kirschir, karmir<gwürm™ > dscharmi	++++	𓍿 𓅓 𓏞 / 𓂧 𓇋 𓏇 𓋳 / 𓂧 𓈙 𓂋 𓅟	1. 𓏏 𓄟 𓋴 𓏞 𓏜, 𓍘 𓅓 𓋴 𓏞 1b. 𓍿 𓅓 𓋴 𓏞 1c. 𓂧 𓇋 𓏇 𓋳 <> 2. 𓂧 𓈙 𓂋 𓅟			
173	green 	կանաչ 	kanačʿ 	kɑˈnɑt͡ʃʰ	krüna Kanacken genese 🕌	<+?	𓎡 𓄿 𓅱 𓇆 = 𓇅 𓆓 𓏛	𓎡 𓄿 𓅱, 2. 𓇆 = 𓇅 𓆓 𓏛	𒄷𒆷𒀊𒈾	hu-la-ap-na	
174	yellow 	դեղին 	dełin 	dɛˈʁin	dora:gold dɛˈʁin ≈ tawrin 𓈎 𓅱 𓂋 𓂡  ≈ ᑫšáirnu 	𓈎 TAR!!	𓈎 𓈖 𓇋 𓇋 𓐏	𓈎 𓈖 𓇋 𓇋 𓐏, 𓈎 𓈖 𓇋 𓇋 𓏏 𓏊	?𒃻𒅕𒉡𐎹	hh.šá-ir-nu-ya	
175	white 	սպիտակ 	spitak 	əspiˈtɑk 	espen swhite star! <<<<	++ 	𓊏 𓊪 𓇶 / 𓋴 𓌉 𓆓 𓇶	𓌈, 𓌈 𓂂,  𓌈 𓆓 𓇳, 𓎛 𓌈 𓆓 𓇶  1. 𓃀 𓅡 𓄿 𓈎 𓆭  2. 𓊏 𓊪 𓇳, 𓊏 𓊪 𓇶 3. 𓋴 𓈙 𓊪, 𓇳 𓋴 𓈙 𓊪 𓇶	𒅆𒈪𒌓	ši-mi-ut	
176	black 	սեւ 	sew 	sɛv	Schwarz, šar 𓐍	+++/2	𓆓 𓂝 𓌠 / 𓐍 	𓆎 𓅓 𓁸, 𓆎 𓏛 2. 𓐍 𓋴 𓃀 𓆓 𓂂  2b. 𓆓 𓂝 𓌠 𓃀 3. 𓐍 𓐍			
177	night 	գիշեր 	gišer 	ɡiˈʃɛɾ	GIG Gece <> gök!  𓐍 𓆼  𓎡 𓎡 𓇰	<<+++	𓎡𓎡𓇰	𓎡𓎡𓇰, 𓉸, 𓇰,  2.  𓆼 𓄿 𓅱 𓏮 𓇰  ,  𓐍 𓆼 𓄿 𓅱𓇰, 𓎼 𓂋 𓎛 𓇰  3.  𓅱 𓐍 𓇰   𓏲 𓄿 𓆼 𓇰  5. 𓍑 𓄿 𓅱𓇰	𒋗𒌓𒈨	šu-ut-me	
178	day 	օր 	ōr 	ɔɾ	houra jour oray		𓉔 𓂋 𓅱 𓇳 𓏤	𓋴 𓅱 𓇳 𓏥, 𓇳 𓏤, 𓋴 𓋴 𓋴 𓅱 𓇳 𓏥  2. 𓉔 𓂋 𓅱 𓇳 𓏤  3.  𓊄 𓅱 𓇳 𓏥	𒈾;?;𒈾𒀭𒈨;𒈾𒀭𒈾	na; nan; na-an-me; na-an-na	
179	year 	տարի 	tari 	tɑˈɾi	Iteri!! ☽☽☽  Three seasons	+++ 	𓆳 𓏏 𓏤 / 𓇋 𓆵 𓇳	𓆵𓆶?, 𓆳 𓏏 𓏤, 𓈖 𓂋 𓇋 𓆵 𓇳			
180	warm 	տաք 	takʿ 	tɑkʰ	tűz	<<™	𓐍 𓏏 𓊮 / 𓍑 𓇋 𓋴 𓊮 	𓊮, 𓋴 𓐍 𓅓 𓅓, 𓋴 𓈙 𓅓 𓅓 𓊮, 𓋴 𓂋 𓆑 𓊮, 𓐍 𓅓 𓊮, 𓈙 𓅓 𓅓 𓊮			
181	cold 	ցուրտ 	cʿurt 	t͡sʰuɾt	ḫurs < 𓎛 𓎿 𓋴 𓊡 < Cʿurt ~ cold < kur~snow  	+++ 	𓎛 𓎿 𓋴 𓊡 @ 𓈎 𓂋 𓂋 𓊡	𓈎 𓃀 𓏂, 𓈎 𓃀 𓃀 𓈗, 2. 𓎛 𓋴  , 𓎛 𓎿 𓋴 𓊡			
182	full 	լիքը 	likʿə 	ˈlikʰə	like locked liquid?		𓎔??	𓏏 𓏏 𓏝, 𓏏 𓅱 𓏏 𓀾 𓏜  2. 𓎔 𓏛 𓅓	𒌋𒌋𒁕𒋡,𒁍?	man-da-qa, pu-	
183	new 	նոր 	nor 	nɔɾ	newer	++ 	𓌳 𓄿 𓅱 𓏮 𓏛	𓈖 𓌳 𓄿 𓅱 𓏏 𓏛, 𓌳 𓄿 𓅱 𓏮 𓏛, 𓌳 𓏏 𓏛		piš	
184	old 	հին 	hin 	hin	senior Hühne hin-fällig;)	ok?	𓇋𓄿𓅱𓀗 ?	𓇋𓄿, 𓇋𓄿𓅱𓏏𓀗  1. 𓎡 𓎛 𓎡 𓎛 𓀘  2. 𓇋𓇩 𓋴𓆰 𓏛  3. 𓈖𓐍𓐍	𒋡𒊏,𒊒𒊒	qa-ra, ru-ru	
185	good 	լավ 	lav 	lɑv	love! lob! @ Leib	++ ok?	𓄤 𓆑 ≈ 𓄣 ♡  	𓄤, 𓃀 𓄤, 𓃀 𓅱 𓄤 𓆑 𓂋, 𓄤 𓆑 𓂋	𒁀𒄩,𒈠𒊑𐎹	ba-ha, ma-ri-ya	
186	bad 	վատ 	vat 	vɑt	"vad ~ bad !!  𓃀 𓇋 𓅪 ≈ 𓅭 ≈ 𓅪 բութ 	butʿ  ""dull"""	++ 	𓃀 𓇋 𓅪	𓃀 𓇋 𓈖 𓅪,  𓈋 𓅪, 𓈋 𓅱 𓅪, 𓈋 𓏴 𓅪 3. 𓃛			
187	rotten 	փտած 	pʿtac 	pʰəˈtɑt͡s	^^ bad fouled			𓂝 𓍯 𓄿 𓐎 2. 𓎛 𓍯 𓄿 𓐎 			
188	dirty 	կեղտոտ 	kełtot 	kɛχˈtɔt	kɛχˈtɔt ~ kar.dirt 𓐍	ok? <<		?			
189	straight 	ուղիղ 	ułił 	uˈʁiʁ		≈?	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜 uqrir?	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜,   𓂸 𓏏𓌙 𓌙 𓏜	𒅖𒌉𒊩𒋡	iš-tur-rák-qa	
190	round 	կլոր 	klor 	kəˈlɔɾ	√circle	++ ok?	𓄲 𓂻 ?	𓂧 𓃀 𓈖 𓂂 𓂻, 𓄲 𓂻, 𓄲 𓈖 𓂻, 𓄷 𓈖 𓂻, 𓄲 𓇉 𓊗 𓏤 𓏤 𓏤 𓏤, 𓐪 𓂧 𓏌 𓂻, 𓐪 𓂧 𓏌 𓏛	𒅕𒉿	ir-pi	
191	sharp (as a knife) 	սուր 	sur 	suɾ	shurp!	++ ok?	𓂧 cheirᵖ	𓂧, 𓇮 𓏜, 𓋴 𓊪 𓂧 𓇮, 𓋴 𓇮 𓂧 𓌪   2.  𓂧 𓐝 𓌪 𓂡, 𓅓 𓂠 𓂧 𓊃𓏛, 𓅓 𓂧 𓋴𓌪, 𓆓 𓏏 𓌪, 𓇮 𓏜			
192	dull (as a knife) 	բութ 	butʿ 	butʰ	bad butter butcher? see 𓃀 𓇋 𓅪 bad	++ ok?	𓅪	𓈖𓆓 𓋴 𓅪, 𓅪			
193	smooth 	հարթ 	hartʿ 	hɑɾtʰ	hart<>smooth!  hart ≈ jchor™?	!?	𓇋 𓂧 𓄿 ?	𓋴𓈖𓂝 𓂝 𓏞 𓏛, 𓋴𓌢 𓂝 𓂝 2. 𓇋 𓂧 𓄿, 𓏞 𓏛			
194	wet 	թաց 	tʿacʿ 	tʰɑt͡sʰ	thach durchtränkt @ 	--	𓈗?	𓈖 𓊪 𓅯 𓈗			
195	dry 	չոր 	čʿor 	t͡ʃʰɔɾ	<🌣šara dörr 	++ ok?	𓋴 𓆄 𓅱𓇳	𓋴 𓆄 𓅱𓇳, 𓆄 𓅱𓇳 2. 𓇶 3. 𓅱𓈙 𓂋 𓇳 4. 𓋴𓏲 𓈙 𓂋 𓇳, 𓇶,  5. 𓐍 𓅓 𓊡	?,𒍢𒋾𒋡	*zit, zí-ti-qa	
196	correct 	ճիշտ 	čišt 	t͡ʃiʃt	c’est!  𓁦 čištur sister 'esther!	++ ok?	𓆄 𓆄 𓏏 𓏤	𓂝 𓈎 𓄿 𓇋 𓇋 𓏏 𓂭 𓂭 𓏜 2. 𓆄, 𓁦, 𓆄𓆄 𓏏 𓏤, 𓌷 𓂝 𓏏𓆄 𓏛 𓏥		išturraka	
197	near 	մոտ 	mot 	mɔt	≠moot,remote	<<	𓍚𓅱𓂻 , 𓉔 𓅱𓏥, 𓂝 𓏤 ??	𓐍 𓂋  2.  𓂋 𓉔 𓅱𓏥, 𓂋 𓏤 𓂝 𓏤,  3. 𓍚 𓅱𓂻 𓆑  4. 𓏏 𓎡 𓈖𓂻		kanna	
198	far 	հեռու 	heṙu 	hɛˈru	faru > hɛˈru hiero heroady 	<<	𓎛 𓁷 𓂋 𓈐 heṙu 	𓍯 𓄿 𓀜, 𓍯 𓄿 𓈐, 𓍯 𓈐,   3. 𓎛 𓁷 𓂋 𓈐			
199	right 	աջ 	aǰ 	ɑt͡ʃʰ	<< ortho hadj? 𓋀 𓂢  <> 𓂝	!!!!	𓅆 𓏏 𓏮,  𓋀 𓂢  ɑt͡ʃʰ ?	𓇋 𓏠 𓈖𓊿,  𓋀 𓂢  2. 𓊿  3.  𓋀 𓂢,  𓅆 𓏏 𓏮		šutur	
200	left 	ձախ 	jax 	d͡zɑχ	Juxta-pose	<??>	𓏏 𓋁 𓏮 ? d͡zɑχta?	𓋁, 𓋁 𓃀, 𓋁 𓃀 𓏏𓏮 𓈇,  𓋁 𓃀 𓏮 𓂢, 𓍋 𓃀 𓏮 𓂢  2. 𓏏 𓋁 𓏮			
201	at 	-ում, -ին 	-um, -in 	um, in	im, in	++:	𒀸 ina 𓈖	𓂋, 𓁷 𓏤, 𓌨 𓂋	?,𒊮	hate, ŠÀ	
202	in 	-ում, մեջ 	-um, meǰ 	um, mɛt͡ʃʰ	um, im, in	+++	𓈖 •main umeǰⁿ  𓈗	𓈖	𒈠?	ma-	
203	with 	հետ 	het 	hɛt	whit, he, w.et, with, ḫet 𓎛 𓂞  𒃰 GADA	+++	𓐍 𓏏 𓆑	𓎛 𓈖𓂝  2. 𓐍 𓂋, 𓁷 𓏤, 𓐍 𓏏 𓆑		hidaka	
204	and 	եւ, ու 	ew, u 	jɛv, u	ʰund, y, ye, 也 v, w, with, sy, ja, so-gar	+++	𒌑 ú …	𓎛 𓈖𓂝  2. 𓐍 𓂋 𓀒	𒀝𒅗	ak-ka	
205	if 	եթե 	etʿe 	jɛˈtʰɛ	yet gived sei'so?  Est-ce-que? < whether 𓇋𓂋  	++ ok?	仿佛 如同	𓇋𓂋	𒀭𒅗	an-ka	
206	because 	որովհետեւ 	orovhetew 	vɔɾɔfhɛˈtɛv	for whether !!! 𓂋𓇋  for …	++ ok?	𓁷 𓏤, 𓂋 𓁻	𓁷, 𓁷 𓏤, 𓂋 𓁻, 𓈖𓈖𓏏𓏏, 𓈖𓏮			
207	name 	անուն 	anun 	ɑˈnun	𓂋𓈖 renown, a name	~~	𓂋𓈖 	𓂋𓈖𓀁, 𓂋𓈖𓍷	𒄭𒅖?	hi-iš 	
		6 – վեց	vech		(s)ech	~					
		7 – յոթ	yoth		syeth	~+					
		8 – ութ,	owth		ohth	++					
		9 – ինը	inë		(n)inë	~+					
		10 – տաս	tas		dix, tens	++					
