No. 	English 	𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections	Egyptian many variants	Akkadian SEM-PIE	Akkadian 
49	snake 	𒈲	muš, ušum	могой mogoi maciji @ Hausa ⇔ [ḥa](ה)naš naḥš	𓆑 𓈖 𓏏 𓆙, 𓆑 𓈖 𓍿 𓆙, 𓅭 𓇾 𓆙  2. 𓎛 𓆑 𓄫 𓅱 𓆙, 𓂋 𓂋 𓎡 𓎡 𓆙, 𓋴 𓍋 𓃀 𓏏 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙		ṣēru 
50	worm 	𒈥 	mar	𓆙  مار mâr مر mor@PERSIA Marde Made / Wm-r  w-r-m 𒈲 MUŠ •[[MARSH]] 	𓆑 𓈖 𓍿 𓆙 2. 𓎡 𓄿 𓂓 𓏤 𓆙 3. 𓆓 𓂧 𓆑 𓏏 𓆙		
51	tree 	𒄑	ngiš 𓍲 𓈖 𓆭 	"ES 𒄑 iṣu 𓋴 𓆭 Esche / Ceder  ニ ni ნჯა ncaˡ ""tree"" @ Georgian nd͡ʒɑˡ"	1. 𓍲 𓈖 𓆭, 2. 𓏙 𓈎 3. 𓂧 𓈎 𓂋 𓂷 𓈒 𓏥, 4. 𓅡 𓈎 𓆭 5. 𓆭 𓅓 𓆭 6. 𓆱 𓏏 𓏤 7. 𓈎 𓃀 𓆭		𒄑 (iṣu) 
52	forest 	𒌁	tir	trees (𒊺 ŠE) , Tannen	𓏠 𓏌 𓏌 𓏌 𓆭 𓆭 𓆭, 𓏠 𓏌 𓏌 𓏌 𓆮		gūru 
53	stick 	𒄑	ngiš	EC ≈ ág <> съ́чка GeÄst	𓆱 𓏏 𓏤, 2. 𓂝 𓅓 𓂝 𓄿 𓌚		
54	fruit 	𒄧	gurun	green <> corn	𓉐 𓂋 𓏏 𓏯 𓌾 𓏥, 𓉐 𓂋 𓏏 𓂺 𓈓, 𓉐 𓂋 𓏏 𓍁 𓈓, 𓍁 𓂋 𓏏 , 2. 𓂋 𓂋  3. 𓏙 𓈎 4. 𓂧 𓄿 𓃀 𓆳 5. 𓇭 𓈒 𓏥		inbu 
55	seed 	𒀀	a	𓂋 •r̥̄ Äre 𓉐 𓂋 𓏏 𓂺 𓈓  fruit !	𓄝 𓏏 𓇋 𓇋 𓏏 𓂺 𓏥,  𓂸 𓏏 𓏲 𓏏 𓂺 𓏥, 𓅓 𓏏 𓂺 𓅱 𓏏		𒆰 (zēru) 
56	leaf 	𒄑𒉺	(ngiš)pa	Blatt <> feather	𓇥 𓂋 𓆓 𓄔 2. 𓂝 𓂋 𓇋 𓇋 𓏏 𓆱, 𓄔 𓏤  3. 𓋴 𓐟 𓄿 𓊪𓏏𓆰		ḫasḫaltu 
57	root 	𒄑𒄿…𒈾	(ngiš) i-ri9-na	𒌫 úr ? ren.phyt?	𓍯 𓄿 𓃀 𓆰, 𓏠𓈖𓇋𓇋𓏏𓆱, 𓆱𓇛, 𓇡 		𒁼 (šuršu) 
58	bark (of a tree) 						𒄑𒁇𒄯 (sihpu) 
59	flower 	𒌌	ul, gi-rin	ƒula V+GUL ყვავილი q̇vavili 	𓆸 ⋍ 𓆹, 𓊃 𓈙 𓈖 𓆸,  𓇇𓆰, 𓇬𓈖𓃀, 𓃹𓈖𓃀𓆰, 𓁷 𓂋 𓂋 𓏏 𓆰, 		inbu 
60	grass 	𒌑	ú	weed 	𓁸  𓏥  2.  𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥 		dīšu 
61	rope 	𒂊𒊺	éše	Öse 𒅖𒄭𒈠𒀀𒀸 iš-ḫi(ma)@PIE 𓍱 𓋴 𓍢, Öse, lasso <> Schnur	𓁷 𓏤 𓍢, 𓂝 𓎛 𓍢, 𓇋 𓎛 𓍢, 𓍱 𓋴 𓍢 2. 𓈖 𓍇 𓏌 𓅱 𓎛 𓍢 		𒂠 (eblu) 
62	skin 	𒍪	su	sur δέρ	𓄛, 𓄚 𓈖 𓏏 𓄛, 𓄞 𓂧 𓅱, 2. 𓂧 𓂋 𓄛 3. 𓄟 𓋴 𓂓 𓄛 4. 𓃀 𓅡 𓄇 𓄛  		gildu 
63	meat 	𒍪, 𒍜	uzu, su	𓄿 𓈙 𓂋 𓄹 auzhur fleshu 	𓄹, 𓇋 𓆑 𓄻 𓏥, 𓇋 𓅱 𓆑 𓄹 𓄹 𓄹  2. 𓄿 𓈙 𓂋 𓄹, 𓅨 𓂋 𓇋 𓄹		ṭabhu 
64	blood 	𒍗, 𒋀 ,  𒁁 	úš, (ŠEŠ)ùri, múd	𒂊𒌍𒄯 e-eš-ḫar @PIE ēshar असृज् asṛj dúš 𓂧 𓈙 𓂋 𓂐	𓂐, 2. 𓂧 𓈙 𓂋 𓂐, 𓂧 𓈙 𓂋 𓅱 𓏯 3. 𓊃 𓈖 𓆑 𓅱 𓂐	<>	𒄈𒉻𒁺 (eṣemtu) 
65	bone 	𒄑𒆕	(ngiš)gag / DÙᵍ / KAK	𓈎 𓋴 𓌟 qag > qas  ⲕⲁⲥ Кость > 𒄩𒀀𒀸𒊭 •h₃ésth₁  > osteo  <> knee	𓈎 𓋴 𓌟 2. 𓄹,𓄺, 𓄻 , 𓌟 𓏤		𒉌𒄑 (šamnu) 
66	fat (noun) 	𒅀?	ìa	𒉌 i₃ 𒉌 li₂, še-mu Sahm 𒊺𒈬 	𓎙 𓂧 𓏌 𓏥, 𓎙 𓆓 𓊌 𓏥, 𓂝 𓆓 𓎙 𓏌 𓏥 2.  𓄞 𓂧 𓐏, 𓆓 𓂧 𓂉,  𓆓 𓂧 𓄿 𓄃,  3. 𓈎 𓈖 𓐎  4. 𓄡 𓊪 𓈖 𓃾 …		
67	egg 	𒉭	nuz, NUNUZ	Nuss, Negg 𒌐 𒉭 baida beide nuts 𒁉𒉌𒌅 bi-ni-tu 𒉿𒇻  	𓏏 𓏥, 𓋴 𓅱 𓎛 𓏏 𓆇 𓐎		𒉭 (pelû) 
68	horn 	𒋛	si	"𔒂 súʳ 𜒚 saʳ sir शृङ्ग śṛṅgá  ≈ 𒋜 su₄ 𒋗 šu 𒋠	sig₂  𒋝 SIK 𒋛 sig₉"	𓄏 𓏤, 𓎛 𓆰 𓈖𓄏, 𓎛 𓆱 𓈖 𓏌 𓏏 2. 𓂧 𓃀 𓄏 , 𓂝 𓃀 𓄏 𓏤		qarnu 
69	tail 	𒆲	kun	𓄛 cuaᵒⁿ kuon (Esperanto) @ 𓃡 󳢳 󳢴 󳢵 󳢶 󳢷 𓐍 𓃀 𓄢 זָנָב cuanav svans  	1. 𓄜 2. 𓋴 𓂧 𓄢 3. 𓐍 𓃀 𓋴 𓇋 𓇋 𓏏 𓏥 , 𓐍 𓃀 𓊃 𓏏 𓄢  		zibbatu 
70	feather 	𒄑𒉺	(ngiš)pa	GeFieder < 𒁁𒋻 pattar 𓇋 f feather   𓎼 𓃀 𓅬 𑜆𑜢𑜀𑜫 pik	𓆄 𓅱 𓏏 𓁸 2. 𓆅 𓏏 𓏤 𓁸		nāṣu 
71	hair 	𒋠	siki	skhair 𒋠 šārtu   𒋛 SÍK silk 𒋠 ŠÍG ≈ 𒆥 šig Zeug	 𓎛, 𓁸𓏥, 𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥, 𓃀 𓎡 𓎡 𓁸, 𓃀 𓂓 𓁸 		šārtu 
72	head 	𒊕, 𒌋𒅗	sang, ugu	"𒊕𒆠	saĝ-ki saĝki Schädel   𒌋𒅗 Kaᵠ Kopf"	𓁶 𓊪, 𓁶 𓏤, 2. 𓁷 𓂋 𓇯 𓀀		rēšu 
73	ear 	𒄑𒌇	ngeš.tug	tḥakʷʼum тхьакӏум шэхэн  𒉿  *taliŋa @ Malay	1.𓄔 2.𓄕 3.𓂈 𓏤         1. 𓄟 𓋴 𓇥 𓂋 𓄔 2. 𓇋 𓂧 𓄔 3. 𓇥 𓂋 𓆓 𓄔		uznu 
74	eye 	𒅆	igi	eygeⁿ	1a. 𓁹 1b. 𓂝 𓈖 𓁹 2. 𓁹 𓏏 𓏮 , 𓅜 𓐍 𓏏 𓁻, 𓋹 𓈖 𓐍 𓏏 𓂀  		īnu 
75	nose 	𒅗	kiri3,4	ცხვირი cxviri <> curve?  𓈙 𓂋 𓂉 𓄹 širi™ ϣⲁⲓ šai®	𓂊, 𓂉 𓏤, 𓈙 𓂋 𓏏 𓂉 𓄹, 𓆑 𓈖 𓂧 𓂉, 𓆑 𓈖 𓆓 𓐩 𓂉		appu 
76	mouth 	𒅗	ka	口 kǒu kau! GeBiss	𓂋		pû 
77	tooth 	𒅗	zu	ᶜzuth 𓍿 𓊃 𓏏 𓄑	1. 𓄑 𓏤, 1b. 𓍿 𓊃 𓏏 𓄑 2. 𓇋 𓃀 𓎛 𓄑 𓏤 3. 𓈖 𓅘 𓎛 𓂧 		šinnu 
78	tongue (organ) 	𒅴	eme	𒅴 ᵠeme~mouth 	𓄓, 𓄓 𓄻 𓏤, 𓈖 𓄓 𓋴 𓄻, 𓈖 𓄓 𓋴 𓄻 2. 𓊃 𓈖 𓎡 𓄓, 𓊃 𓈖 𓎡 𓄓 2b. 𓈙 𓋴 𓐟 𓄿 𓅱 𓄓 𓏤 2c. 𓍱 𓊃 𓂋 𓄓		lišānu 
79	fingernail 		umbin	𓋁 𓃀 𓌟 𓄹 𓏤 ?	𓋁 𓃀 𓌟 𓄹 𓏤		"ṣupru , 𒂇𒋗𒋛;𒂇𒋛𒁲;𒂇𒋗𒍣;𒂆𒋗𒋛	aga-šu-s"
80	foot 	𒄊	ngìri, GIR₃	𓂻 curir  𓅱 𓂝 𓂋 𓂾 µnair™	𓃀, 𓂾, 𓂾𓏏𓄹, 2. 𓂋 𓂧 𓂾 ~ 𓅱 𓂝 𓂋 𓏏𓂾 		šēpu 
81	leg 	𒈜, 𒌫	pah[LUL], úr	pah[demi] pod	𓃀, 𓂾, 𓃛 𓂝 𓄯, 𓃛 𓅱 𓂝 𓅱 𓄯 𓄹		kimṣu 
82	knee 	𒄑𒆕	(ngiš)gag	gangnee <> bone	𓊪 𓂧 𓂾 𓄹, 2. 𓌳 𓋴 𓏏𓂾 , 𓌳 𓄿 𓊨 𓏏𓂾		birku 
83	hand 	𒋗	buzur, šu	pfoter 手 shǒu cheiro	𓂝 𓏤, 𓂧 𓏏 𓏤, 𓇥 𓂋 𓏏 𓂧, 𓍑 𓏏 𓂩		qātu 
84	wing 	𒄑𒉺	(ngiš)pa	'par, opter	𓂧 𓈖 𓎛 𓆃, 𓂧 𓌳 𓏏 𓆃, 𓆓 𓈖 𓎛 𓆃, 𓂧 𓃀 𓄏		kappu 
85	belly 	𒋻𒁇	hašbar		𓄡, 𓄡 𓏏 𓏤 , 𓄡 𓂂 𓏏		libbu 
86	guts 	𒊮	šag4	sack, эсәк@Turk	𓃀 𓋴 𓎡 𓅱 𓐎, 𓇋 𓋴 𓐎, 𓄿 𓇋 𓋴 𓐎 , 𓄿 𓋴 𓐎 2. 𓄤 𓂋 𓏏, 𓄤		erru 
87	neck 	𒄭 	gú	𓐍 𓐍 𓄈 Gurgel collum 𒄑𒆪?	𓄈, 2. 𓐍 𓐍 𓄈, 3. 𓄊 𓏏 𓏤 𓄻  4. 𓋭 𓅿  5. 𓃀 𓂝 𓈖 𓏏 𓄻  𓅿  		kišādu, labiānu 
88	back 	𒍨	háš	ha.š 𓐠 后 hòuᶴ hinds-  ha.šâ شا  𓐟 𓏤   ʰachter   iskis,arc, ẓahr 𒆹 sug  ὀπίσθιος  ha.soi ⲥⲟⲓ < ϭⲓⲥⲓ 𓋴𓐠𓂋𓏘  ზურგი zurgi=back #sꜣrꜣq sark@Tocharian > ʃark  	𓊪 𓊃 𓂧, 𓄻 𓄩 𓄦 𓄹, 𓊪 𓋴 𓆓 𓄪 𓄪 𓄪, 𓊪 𓂧 𓋴 𓅱 𓄪 𓏤, 𓇋 𓄿 𓏏 𓄦 𓏏 𓄻, 𓐟 𓏤, 𓐠 𓏤		šašallu 
89	breast 	𒃮	gaba	Gebrust(Korb, chest) κιβωτός	0. 𓏏𓏏 1. 𓃀 𓏏 𓄹, 𓃀 𓅌 𓏏,  𓅌 𓏏, 2. 𓈎𓄿𓃀𓏏𓄹, 3. 𓍲 𓈖 𓃀 𓏏 𓄹, 𓍲 𓈖 𓃀 𓅌 𓏏 𓂒, 4. 𓏠 𓈖 𓂧 𓂒		irtu 
90	heart 	𒄯𒄯,𒄯, 𒀚	ur5HAR, šà, lipiš	cœur caeur™, HAR, Liebes, Leibes-	𓎛 𓄿 𓏏 𓏮 𓄣, 𓄂 𓏏 𓏮 𓄣, 𓇉 𓏏 𓄣, 𓄣 𓏤		libbu 
91	liver 	𒉺? 𒄯𒄯	bà, ur5HAR	hepa <> lipiš	𓅓 𓊃 𓏏 𓄹 𓈓 , 𓏇 𓇋 𓋴 𓏏 𓄹 𓏤 , 𓈘 𓈇 𓋴 𓏏 𓄹 		kabattu 
92	to drink 	𒀀𒅘	(a)nang	ndring, nuckel <> nagen	𓃀 𓂝 𓃀 𓂝 𓀢 , 𓃀 𓂝 𓃀 𓂝 𓈗 , 2. 𓏏 𓐍 𓏌 3. 𓋴 𓏴 𓂋 𓇋 𓈗 𓏲 𓂧 𓆑 𓂻, 𓋴 𓅨 𓂋 𓇋 𓈗 𓀁, 𓊃 𓅨 𓂋 𓏊 4. 𓊃 𓃀 𓇋 𓀁 		šatû 
93	to eat 	𒅥	gu7	kau 𒅥 KU2 ⋍ খা kha @ 口 kǒu	𓅱 𓈙 𓂝 𓄑 𓀁, 𓃹 𓈖 𓅓 𓀁 2. 𓏘 𓏘 𓀁 3. 𓏶 𓀁, 𓇬 𓀁, 𓏶 𓅓 𓀁  		akālu 
